,Location,Latitude,Longitude,Facility Type,Facility Size,Technology Level,Crop,Evapotranspiration (L/year),Annual Water Consumption (L/year),Annual Energy Consumption (MWh/year),Annual CO2 Emissions (kg CO2-eq/year)
0,"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,Low-tech,Roses,320464.3237603764,320464.3237603764,0.0,0.0
1,"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,Low-tech,Lettuce,417988.10045646,417988.10045646,0.0,0.0
2,"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,Low-tech,Spinach,420862.2140837654,420862.2140837654,0.0,0.0
3,"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,Low-tech,Broccoli,419452.4325934171,419452.4325934171,0.0,0.0
4,"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,Low-tech,Basil,381166.2284502887,381166.2284502887,0.0,0.0
5,"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,Low-tech,Tomatoes,547394.1043841831,547394.1043841831,0.0,0.0
6,"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,Low-tech,Bell peppers,482093.9460028339,482093.9460028339,0.0,0.0
7,"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,Low-tech,Zucchini,398615.4412138949,398615.4412138949,0.0,0.0
8,"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,Low-tech,Strawberries,354481.4755232751,354481.4755232751,0.0,0.0
9,"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,High-tech,Roses,320464.3237603764,320464.3237603764,36.18648,14210.430696000001
10,"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,High-tech,Lettuce,417988.10045646,417988.10045646,36.18648,14210.430696000001
11,"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,High-tech,Spinach,420862.2140837654,420862.2140837654,36.18648,14210.430696000001
12,"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,High-tech,Broccoli,419452.4325934171,419452.4325934171,36.18648,14210.430696000001
13,"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,High-tech,Basil,381166.2284502887,381166.2284502887,36.18648,14210.430696000001
14,"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,High-tech,Tomatoes,547394.1043841831,547394.1043841831,36.18648,14210.430696000001
15,"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,High-tech,Bell peppers,482093.9460028339,482093.9460028339,36.18648,14210.430696000001
16,"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,High-tech,Zucchini,398615.4412138949,398615.4412138949,36.18648,14210.430696000001
17,"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,High-tech,Strawberries,354481.4755232751,354481.4755232751,36.18648,14210.430696000001
18,"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,Low-tech,Roses,560812.5665806587,560812.5665806587,0.0,0.0
19,"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,Low-tech,Lettuce,731479.1757988051,731479.1757988051,0.0,0.0
20,"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,Low-tech,Spinach,736508.8746465896,736508.8746465896,0.0,0.0
21,"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,Low-tech,Broccoli,734041.7570384799,734041.7570384799,0.0,0.0
22,"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,Low-tech,Basil,667040.8997880052,667040.8997880052,0.0,0.0
23,"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,Low-tech,Tomatoes,957939.6826723202,957939.6826723202,0.0,0.0
24,"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,Low-tech,Bell peppers,843664.4055049594,843664.4055049594,0.0,0.0
25,"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,Low-tech,Zucchini,697577.0221243161,697577.0221243161,0.0,0.0
26,"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,Low-tech,Strawberries,620342.5821657313,620342.5821657313,0.0,0.0
27,"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,High-tech,Roses,560812.5665806587,560812.5665806587,70.14000000000001,27543.978000000006
28,"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,High-tech,Lettuce,731479.1757988051,731479.1757988051,70.14000000000001,27543.978000000006
29,"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,High-tech,Spinach,736508.8746465896,736508.8746465896,70.14000000000001,27543.978000000006
30,"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,High-tech,Broccoli,734041.7570384799,734041.7570384799,70.14000000000001,27543.978000000006
31,"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,High-tech,Basil,667040.8997880052,667040.8997880052,70.14000000000001,27543.978000000006
32,"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,High-tech,Tomatoes,957939.6826723202,957939.6826723202,70.14000000000001,27543.978000000006
33,"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,High-tech,Bell peppers,843664.4055049594,843664.4055049594,70.14000000000001,27543.978000000006
34,"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,High-tech,Zucchini,697577.0221243161,697577.0221243161,70.14000000000001,27543.978000000006
35,"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,High-tech,Strawberries,620342.5821657313,620342.5821657313,70.14000000000001,27543.978000000006
36,"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,Low-tech,Roses,801160.8094009409,801160.8094009409,0.0,0.0
37,"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,Low-tech,Lettuce,1044970.25114115,1044970.25114115,0.0,0.0
38,"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,Low-tech,Spinach,1052155.5352094136,1052155.5352094136,0.0,0.0
39,"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,Low-tech,Broccoli,1048631.081483543,1048631.081483543,0.0,0.0
40,"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,Low-tech,Basil,952915.5711257216,952915.5711257216,0.0,0.0
41,"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,Low-tech,Tomatoes,1368485.2609604574,1368485.2609604574,0.0,0.0
42,"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,Low-tech,Bell peppers,1205234.8650070848,1205234.8650070848,0.0,0.0
43,"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,Low-tech,Zucchini,996538.6030347374,996538.6030347374,0.0,0.0
44,"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,Low-tech,Strawberries,886203.6888081875,886203.6888081875,0.0,0.0
45,"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,High-tech,Roses,801160.8094009409,801160.8094009409,43.66296,17146.444391999998
46,"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,High-tech,Lettuce,1044970.25114115,1044970.25114115,43.66296,17146.444391999998
47,"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,High-tech,Spinach,1052155.5352094136,1052155.5352094136,43.66296,17146.444391999998
48,"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,High-tech,Broccoli,1048631.081483543,1048631.081483543,43.66296,17146.444391999998
49,"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,High-tech,Basil,952915.5711257216,952915.5711257216,43.66296,17146.444391999998
50,"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,High-tech,Tomatoes,1368485.2609604574,1368485.2609604574,43.66296,17146.444391999998
51,"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,High-tech,Bell peppers,1205234.8650070848,1205234.8650070848,43.66296,17146.444391999998
52,"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,High-tech,Zucchini,996538.6030347374,996538.6030347374,43.66296,17146.444391999998
53,"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,High-tech,Strawberries,886203.6888081875,886203.6888081875,43.66296,17146.444391999998
54,"Miami, Florida",25.7741728,-80.19362,Greenhouse,Small,Low-tech,Roses,391752.96090112085,391752.96090112085,48.248640000000016,18947.240928000007
55,"Miami, Florida",25.7741728,-80.19362,Greenhouse,Small,Low-tech,Lettuce,510972.21833207534,510972.21833207534,48.248640000000016,18947.240928000007
56,"Miami, Florida",25.7741728,-80.19362,Greenhouse,Small,Low-tech,Spinach,514485.3657672271,514485.3657672271,48.248640000000016,18947.240928000007
57,"Miami, Florida",25.7741728,-80.19362,Greenhouse,Small,Low-tech,Broccoli,512763.6930218279,512763.6930218279,48.248640000000016,18947.240928000007
58,"Miami, Florida",25.7741728,-80.19362,Greenhouse,Small,Low-tech,Basil,465957.72096832015,465957.72096832015,48.248640000000016,18947.240928000007
