Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,656810,-,-,-,45.45,-98.5,0,396,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,GHI,Relative Humidity
2022,1,1,0,30,-23.6,0,69.52
2022,1,1,1,30,-24.6,0,68.41
2022,1,1,2,30,-24.900000000000002,0,66.23
2022,1,1,3,30,-24.6,0,63.51
2022,1,1,4,30,-24.400000000000002,0,62.660000000000004
2022,1,1,5,30,-24.5,0,62.43
2022,1,1,6,30,-24.8,0,62.28
2022,1,1,7,30,-25.3,0,62.32
2022,1,1,8,30,-25.6,0,61.22
2022,1,1,9,30,-25.900000000000002,0,61.34
2022,1,1,10,30,-26.400000000000002,0,62.18
2022,1,1,11,30,-27.200000000000003,0,63.09
2022,1,1,12,30,-27.700000000000003,0,62.410000000000004
2022,1,1,13,30,-27.8,0,61.89
2022,1,1,14,30,-26.8,25,57.07
2022,1,1,15,30,-24.200000000000003,154,51.34
2022,1,1,16,30,-21.700000000000003,278,53.03
2022,1,1,17,30,-20.400000000000002,364,53.99
2022,1,1,18,30,-19.400000000000002,398,55.19
2022,1,1,19,30,-18.7,378,56.370000000000005
2022,1,1,20,30,-18.6,305,58.910000000000004
2022,1,1,21,30,-19.5,188,66.09
2022,1,1,22,30,-21.1,48,67.38
2022,1,1,23,30,-21.900000000000002,0,65.04
2022,1,2,0,30,-22,0,67.5
2022,1,2,1,30,-22.200000000000003,0,70.60000000000001
2022,1,2,2,30,-22.700000000000003,0,73.9
2022,1,2,3,30,-23.1,0,76.11
2022,1,2,4,30,-23.400000000000002,0,77.79
2022,1,2,5,30,-23.6,0,78.82000000000001
2022,1,2,6,30,-23.900000000000002,0,79.94
2022,1,2,7,30,-24,0,79.65
2022,1,2,8,30,-24.1,0,79.67
2022,1,2,9,30,-24.1,0,79.46000000000001
2022,1,2,10,30,-24.200000000000003,0,80.41
2022,1,2,11,30,-24,0,79.65
2022,1,2,12,30,-23.5,0,78.48
2022,1,2,13,30,-22.700000000000003,0,76.95
2022,1,2,14,30,-21,21,70.61
2022,1,2,15,30,-18.1,108,67.43
2022,1,2,16,30,-15.3,258,66.72
2022,1,2,17,30,-12.9,257,64.59
2022,1,2,18,30,-10.8,334,63.35
2022,1,2,19,30,-9.1,358,63.34
2022,1,2,20,30,-8.1,264,65.85
2022,1,2,21,30,-8.700000000000001,119,75.34
2022,1,2,22,30,-10.4,46,80.8
2022,1,2,23,30,-11.200000000000001,0,77.88
2022,1,3,0,30,-11,0,78.19
2022,1,3,1,30,-10.700000000000001,0,80.16
2022,1,3,2,30,-10.4,0,82.49
2022,1,3,3,30,-10.100000000000001,0,85.48
2022,1,3,4,30,-9.8,0,89.29
2022,1,3,5,30,-9.600000000000001,0,93.03
2022,1,3,6,30,-9.3,0,94.13
2022,1,3,7,30,-9.200000000000001,0,94.08
2022,1,3,8,30,-9.3,0,93.52
2022,1,3,9,30,-9.600000000000001,0,93.27
2022,1,3,10,30,-9.5,0,89.78
2022,1,3,11,30,-9.1,0,88.17
2022,1,3,12,30,-9.1,0,90.37
2022,1,3,13,30,-9.4,0,91.27
2022,1,3,14,30,-9.3,24,88.43
2022,1,3,15,30,-8,148,81.09
2022,1,3,16,30,-6.2,270,78.77
2022,1,3,17,30,-4.6000000000000005,355,76.74
2022,1,3,18,30,-3.4000000000000004,390,76.44
2022,1,3,19,30,-2.8000000000000003,371,77.32000000000001
2022,1,3,20,30,-3.1,297,81.57000000000001
2022,1,3,21,30,-4.6000000000000005,161,90.68
2022,1,3,22,30,-6.9,36,96.54
2022,1,3,23,30,-8.4,0,95.26
2022,1,4,0,30,-9.200000000000001,0,94.42
2022,1,4,1,30,-9.8,0,92.79
2022,1,4,2,30,-10.200000000000001,0,91.04
2022,1,4,3,30,-10.5,0,89.88
2022,1,4,4,30,-10.700000000000001,0,89.29
2022,1,4,5,30,-11,0,89.43
2022,1,4,6,30,-11.200000000000001,0,88.3
2022,1,4,7,30,-11.3,0,87.37
2022,1,4,8,30,-11.200000000000001,0,86.59
2022,1,4,9,30,-11,0,85.45
2022,1,4,10,30,-10.9,0,84.57000000000001
2022,1,4,11,30,-10.9,0,83.65
2022,1,4,12,30,-11.100000000000001,0,83.28
2022,1,4,13,30,-11.3,0,82
2022,1,4,14,30,-11.4,9,79.83
2022,1,4,15,30,-10.8,94,75.74
2022,1,4,16,30,-9.9,173,74.56
2022,1,4,17,30,-9.3,112,76.37
2022,1,4,18,30,-9.3,163,77.83
2022,1,4,19,30,-9.600000000000001,130,78.06
2022,1,4,20,30,-9.9,123,78.37
2022,1,4,21,30,-10.5,122,79.47
2022,1,4,22,30,-11.3,29,79.18
2022,1,4,23,30,-12.4,0,78.3
2022,1,5,0,30,-13.4,0,75.74
2022,1,5,1,30,-14.200000000000001,0,73.78
2022,1,5,2,30,-14.700000000000001,0,72.19
2022,1,5,3,30,-15,0,70.41
2022,1,5,4,30,-15.100000000000001,0,68.75
2022,1,5,5,30,-15.3,0,67.95
2022,1,5,6,30,-15.600000000000001,0,67.76
2022,1,5,7,30,-16,0,68.1
2022,1,5,8,30,-16.3,0,68.15
2022,1,5,9,30,-16.5,0,68.05
2022,1,5,10,30,-16.8,0,68.59
2022,1,5,11,30,-17.2,0,69.79
2022,1,5,12,30,-17.7,0,70.93
2022,1,5,13,30,-18.1,0,70.7
2022,1,5,14,30,-18.3,12,69.42
2022,1,5,15,30,-18.1,136,67
2022,1,5,16,30,-17.6,258,64.74
2022,1,5,17,30,-17,355,63.9
2022,1,5,18,30,-16.6,405,64.3
2022,1,5,19,30,-16.400000000000002,386,65.26
2022,1,5,20,30,-16.6,314,67.1
2022,1,5,21,30,-17.2,198,68.82000000000001
2022,1,5,22,30,-18,57,70.19
2022,1,5,23,30,-18.6,0,69.89
2022,1,6,0,30,-18.900000000000002,0,69.06
2022,1,6,1,30,-19.200000000000003,0,68.89
2022,1,6,2,30,-19.5,0,68.78
2022,1,6,3,30,-19.900000000000002,0,69
2022,1,6,4,30,-20.400000000000002,0,69.17
2022,1,6,5,30,-20.900000000000002,0,68.7
2022,1,6,6,30,-21.400000000000002,0,68.1
2022,1,6,7,30,-21.8,0,67.3
2022,1,6,8,30,-22.3,0,66.92
2022,1,6,9,30,-22.8,0,66.61
2022,1,6,10,30,-23.400000000000002,0,66.88
2022,1,6,11,30,-23.900000000000002,0,66.81
2022,1,6,12,30,-24.3,0,66.32000000000001
2022,1,6,13,30,-24.8,0,66.26
2022,1,6,14,30,-24.8,14,63.47
2022,1,6,15,30,-24.200000000000003,154,60.38
2022,1,6,16,30,-23.5,288,58.38
2022,1,6,17,30,-22.6,378,57.29
2022,1,6,18,30,-21.8,415,57.39
2022,1,6,19,30,-21.200000000000003,397,58.01
2022,1,6,20,30,-20.900000000000002,324,59.24
2022,1,6,21,30,-21.200000000000003,206,62.64
2022,1,6,22,30,-22.3,55,67.25
2022,1,6,23,30,-23.200000000000003,0,64.16
2022,1,7,0,30,-23.5,0,64.46000000000001
2022,1,7,1,30,-23.6,0,64.76
2022,1,7,2,30,-23.200000000000003,0,63.35
2022,1,7,3,30,-22.700000000000003,0,62.160000000000004
2022,1,7,4,30,-22.3,0,60.94
2022,1,7,5,30,-21.900000000000002,0,59.410000000000004
2022,1,7,6,30,-21.6,0,59.15
2022,1,7,7,30,-21.700000000000003,0,60.6
2022,1,7,8,30,-22.1,0,61.92
2022,1,7,9,30,-22.8,0,64.61
2022,1,7,10,30,-23.5,0,67.13
2022,1,7,11,30,-23.900000000000002,0,69.12
2022,1,7,12,30,-23.900000000000002,0,70.03
2022,1,7,13,30,-23.400000000000002,0,68.44
2022,1,7,14,30,-21.400000000000002,16,60.38
2022,1,7,15,30,-18.2,96,57.050000000000004
2022,1,7,16,30,-15.200000000000001,93,56.84
2022,1,7,17,30,-12.9,49,58.82
2022,1,7,18,30,-11.3,210,61.68
2022,1,7,19,30,-10.4,180,65.34
2022,1,7,20,30,-9.8,87,68.45
2022,1,7,21,30,-9.5,53,69.77
2022,1,7,22,30,-9.3,21,68.39
2022,1,7,23,30,-9,0,67
2022,1,8,0,30,-8.6,0,67.62
2022,1,8,1,30,-8.200000000000001,0,68.99
2022,1,8,2,30,-8,0,71.03
2022,1,8,3,30,-7.9,0,73.66
2022,1,8,4,30,-7.9,0,77.02
2022,1,8,5,30,-8,0,80.66
2022,1,8,6,30,-8.200000000000001,0,84.95
2022,1,8,7,30,-8.4,0,89.61
2022,1,8,8,30,-8.6,0,93.22
2022,1,8,9,30,-8.4,0,92.7
2022,1,8,10,30,-8.1,0,94.18
