Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1871352,-,b'Colorado',b'United States',37.58,-105.79,0,2298,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,-1.3,77.81
2022,1,1,1,0,0,-1.3,79.65
2022,1,1,2,0,0,-1.2000000000000002,81.06
2022,1,1,3,0,0,-1.2000000000000002,82.61
2022,1,1,4,0,0,-1.5,85.05
2022,1,1,5,0,0,-1.9000000000000001,85.67
2022,1,1,6,0,0,-3.1,88.66
2022,1,1,7,0,0,-3.4000000000000004,88.26
2022,1,1,8,0,0,-3.5,85.66
2022,1,1,9,0,0,-5,85.03
2022,1,1,10,0,0,-6,81.45
2022,1,1,11,0,0,-6.9,78.56
2022,1,1,12,0,0,-7.7,76.73
2022,1,1,13,0,0,-8.3,75.87
2022,1,1,14,0,0,-9.200000000000001,75.62
2022,1,1,15,0,32,-8.3,72.49
2022,1,1,16,0,19,-7.2,71.29
2022,1,1,17,0,340,-7,68.59
2022,1,1,18,0,336,-7,65.59
2022,1,1,19,0,20,-7.4,63.29
2022,1,1,20,0,73,-8.200000000000001,62.230000000000004
2022,1,1,21,0,132,-9,61.03
2022,1,1,22,0,82,-9.8,61.03
2022,1,1,23,0,88,-10.600000000000001,61.54
2022,1,2,0,0,0,-11.600000000000001,61.14
2022,1,2,1,0,0,-12.4,60.870000000000005
2022,1,2,2,0,0,-13.200000000000001,60.7
2022,1,2,3,0,0,-14.3,61.63
2022,1,2,4,0,0,-15.9,63.27
2022,1,2,5,0,0,-17.900000000000002,62.83
2022,1,2,6,0,0,-19.400000000000002,59.71
2022,1,2,7,0,0,-20.200000000000003,55.06
2022,1,2,8,0,0,-20.700000000000003,51.46
2022,1,2,9,0,0,-21.1,49.58
2022,1,2,10,0,0,-20.900000000000002,47.730000000000004
2022,1,2,11,0,0,-19.900000000000002,46.2
2022,1,2,12,0,0,-18.900000000000002,45.61
2022,1,2,13,0,0,-18.1,46.01
2022,1,2,14,0,0,-17.3,46.87
2022,1,2,15,0,58,-13.9,47.980000000000004
2022,1,2,16,0,274,-9.3,50.52
2022,1,2,17,0,425,-5.7,52.29
2022,1,2,18,0,526,-2.8000000000000003,53.08
2022,1,2,19,0,566,-0.6000000000000001,52.660000000000004
2022,1,2,20,0,542,0.7000000000000001,51.57
2022,1,2,21,0,455,1,53.63
2022,1,2,22,0,315,0.2,60.52
2022,1,2,23,0,140,-2.9000000000000004,59.84
2022,1,3,0,0,0,-5.9,65.18
2022,1,3,1,0,0,-7.6000000000000005,73.66
2022,1,3,2,0,0,-9.1,81.42
2022,1,3,3,0,0,-10.100000000000001,86.08
2022,1,3,4,0,0,-10.9,88.11
2022,1,3,5,0,0,-11.5,87.58
2022,1,3,6,0,0,-12.100000000000001,86.08
2022,1,3,7,0,0,-12.3,81.79
2022,1,3,8,0,0,-12.3,75.3
2022,1,3,9,0,0,-12.4,69.09
2022,1,3,10,0,0,-12.4,63.49
2022,1,3,11,0,0,-12.4,59.6
2022,1,3,12,0,0,-12.3,56.81
2022,1,3,13,0,0,-12.200000000000001,54.47
2022,1,3,14,0,0,-11.9,52.120000000000005
2022,1,3,15,0,62,-9,48.99
2022,1,3,16,0,280,-4.9,49.71
2022,1,3,17,0,300,-2.2,52.04
2022,1,3,18,0,537,0.2,54.410000000000004
2022,1,3,19,0,571,1.7000000000000002,57.9
2022,1,3,20,0,546,2.5,58.45
2022,1,3,21,0,460,2.7,58.730000000000004
2022,1,3,22,0,320,1.7000000000000002,66.73
2022,1,3,23,0,144,-2,74.06
2022,1,4,0,0,0,-5.5,82.42
2022,1,4,1,0,0,-7.1000000000000005,85.8
2022,1,4,2,0,0,-8.200000000000001,85.46000000000001
2022,1,4,3,0,0,-9.1,81.9
2022,1,4,4,0,0,-9.9,77.23
2022,1,4,5,0,0,-10.100000000000001,71.36
2022,1,4,6,0,0,-10.4,67.91
2022,1,4,7,0,0,-11.100000000000001,66.47
2022,1,4,8,0,0,-11.4,64.8
2022,1,4,9,0,0,-11.5,64.47
2022,1,4,10,0,0,-11.5,64.3
2022,1,4,11,0,0,-11.600000000000001,64.75
2022,1,4,12,0,0,-11.600000000000001,65.02
2022,1,4,13,0,0,-11.600000000000001,65.16
2022,1,4,14,0,0,-11.3,63.96
2022,1,4,15,0,99,-8.5,58.5
2022,1,4,16,0,239,-4.7,56.480000000000004
2022,1,4,17,0,428,-1.8,56.34
2022,1,4,18,0,531,1.1,51.33
2022,1,4,19,0,567,2.6,49.25
2022,1,4,20,0,516,3.1,49
2022,1,4,21,0,433,2.9000000000000004,51.29
2022,1,4,22,0,275,1.8,55.800000000000004
2022,1,4,23,0,97,-0.9,62.27
