Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1252854,-,-,-,42.65,-73.74,0,36,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,GHI,Relative Humidity
2022,1,1,0,30,2.7,0,100
2022,1,1,1,30,2.7,0,100
2022,1,1,2,30,2.5,0,99.72
2022,1,1,3,30,2.3000000000000003,0,97.95
2022,1,1,4,30,2.2,0,96.64
2022,1,1,5,30,2.2,0,96.03
2022,1,1,6,30,2.6,0,94.51
2022,1,1,7,30,3.2,0,93.29
2022,1,1,8,30,3.8000000000000003,0,93.28
2022,1,1,9,30,4.3,0,94.25
2022,1,1,10,30,4.4,0,95.88
2022,1,1,11,30,4.4,0,95.91
2022,1,1,12,30,4.9,2,92.72
2022,1,1,13,30,5.5,10,93.32000000000001
2022,1,1,14,30,5.9,15,94.49
2022,1,1,15,30,6.1000000000000005,26,94.4
2022,1,1,16,30,6.5,69,93.37
2022,1,1,17,30,6.6000000000000005,25,94.99
2022,1,1,18,30,6.2,47,97.7
2022,1,1,19,30,5.4,26,100
2022,1,1,20,30,4.7,11,100
2022,1,1,21,30,4.800000000000001,1,100
2022,1,1,22,30,5.4,0,98.35000000000001
2022,1,1,23,30,5.9,0,96.92
2022,1,2,0,30,6.300000000000001,0,95.87
2022,1,2,1,30,6.4,0,94.96000000000001
2022,1,2,2,30,6.4,0,94.56
2022,1,2,3,30,6.1000000000000005,0,96.32000000000001
2022,1,2,4,30,5.4,0,98.86
2022,1,2,5,30,4.800000000000001,0,99.29
2022,1,2,6,30,4.3,0,100
2022,1,2,7,30,3.6,0,100
2022,1,2,8,30,3.2,0,97.66
2022,1,2,9,30,3,0,96.09
2022,1,2,10,30,2.7,0,94.82000000000001
2022,1,2,11,30,2.3000000000000003,0,94.06
2022,1,2,12,30,2,1,93.06
2022,1,2,13,30,1.8,29,92.15
2022,1,2,14,30,1.6,59,91.19
2022,1,2,15,30,1.5,62,89.78
2022,1,2,16,30,1.4000000000000001,27,88.10000000000001
2022,1,2,17,30,1.5,133,84.99
2022,1,2,18,30,1.7000000000000002,115,82.15
2022,1,2,19,30,1.5,75,82.32000000000001
2022,1,2,20,30,0.8,15,86.47
2022,1,2,21,30,0,2,89.11
2022,1,2,22,30,-0.6000000000000001,0,89.60000000000001
2022,1,2,23,30,-1.4000000000000001,0,90.22
2022,1,3,0,30,-2.3000000000000003,0,87.74
2022,1,3,1,30,-3.2,0,84.5
2022,1,3,2,30,-3.7,0,80.94
2022,1,3,3,30,-4,0,78.04
2022,1,3,4,30,-4.6000000000000005,0,77.68
2022,1,3,5,30,-5.2,0,76.89
2022,1,3,6,30,-5.4,0,75.34
2022,1,3,7,30,-5.2,0,71.93
2022,1,3,8,30,-5.2,0,69.47
2022,1,3,9,30,-5.300000000000001,0,67.65
2022,1,3,10,30,-5.7,0,66.86
2022,1,3,11,30,-6,0,65.34
2022,1,3,12,30,-6.2,3,62.86
2022,1,3,13,30,-6.2,21,59.28
2022,1,3,14,30,-6,35,54.58
2022,1,3,15,30,-5.9,63,52.46
2022,1,3,16,30,-5.800000000000001,56,51.89
2022,1,3,17,30,-5.9,74,52.39
2022,1,3,18,30,-6.1000000000000005,83,53.58
2022,1,3,19,30,-6.5,72,55.54
2022,1,3,20,30,-7,39,57.9
2022,1,3,21,30,-7.5,3,60.18
2022,1,3,22,30,-8,0,63.21
2022,1,3,23,30,-8.4,0,65.54
2022,1,4,0,30,-8.8,0,67.2
2022,1,4,1,30,-9.5,0,69.47
2022,1,4,2,30,-10.3,0,72.37
2022,1,4,3,30,-11,0,75.27
2022,1,4,4,30,-11.5,0,76.04
2022,1,4,5,30,-11.8,0,75.8
2022,1,4,6,30,-12,0,75.56
2022,1,4,7,30,-12.100000000000001,0,76.02
2022,1,4,8,30,-12.200000000000001,0,76.89
2022,1,4,9,30,-12.3,0,77.75
2022,1,4,10,30,-12.3,0,78.02
2022,1,4,11,30,-12,0,76.96000000000001
2022,1,4,12,30,-10.600000000000001,10,70.98
2022,1,4,13,30,-7.7,135,60.6
2022,1,4,14,30,-4.5,173,54.86
2022,1,4,15,30,-2.3000000000000003,327,53.49
2022,1,4,16,30,-0.8,344,53.370000000000005
2022,1,4,17,30,0.2,323,54.15
2022,1,4,18,30,0.6000000000000001,369,56.97
2022,1,4,19,30,0.2,265,63.18
2022,1,4,20,30,-1.4000000000000001,128,76.58
2022,1,4,21,30,-2.8000000000000003,10,84.32000000000001
2022,1,4,22,30,-3.2,0,84.74
2022,1,4,23,30,-3.6,0,86.07000000000001
2022,1,5,0,30,-3.9000000000000004,0,86.29
2022,1,5,1,30,-4.1000000000000005,0,85.91
2022,1,5,2,30,-4.2,0,85.4
2022,1,5,3,30,-4.4,0,86.08
2022,1,5,4,30,-4.6000000000000005,0,86.41
2022,1,5,5,30,-4.7,0,86.4
2022,1,5,6,30,-4.7,0,86.99
2022,1,5,7,30,-4.9,0,87.75
2022,1,5,8,30,-5,0,86.82000000000001
2022,1,5,9,30,-4.9,0,85.45
