Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2282335,-,b'Texas',b'United States',35.2,-101.83,0,1121,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,11,67.95
2022,1,1,1,0,0,10,73.46000000000001
2022,1,1,2,0,0,9.3,78.10000000000001
2022,1,1,3,0,0,8.9,82.16
2022,1,1,4,0,0,8.3,87.91
2022,1,1,5,0,0,8,92.26
2022,1,1,6,0,0,8,94.35000000000001
2022,1,1,7,0,0,8,95.25
2022,1,1,8,0,0,7.5,93.75
2022,1,1,9,0,0,6.4,94.24
2022,1,1,10,0,0,5.5,98.59
2022,1,1,11,0,0,5.300000000000001,97.98
2022,1,1,12,0,0,4.7,95.5
2022,1,1,13,0,0,3.5,96.17
2022,1,1,14,0,0,1.7000000000000002,93.47
2022,1,1,15,0,27,-1.1,84.55
2022,1,1,16,0,225,-3.6,71.38
2022,1,1,17,0,365,-4.5,59.92
2022,1,1,18,0,420,-4.5,53.64
2022,1,1,19,0,570,-4.4,51.14
2022,1,1,20,0,229,-5.2,55.49
2022,1,1,21,0,18,-6.300000000000001,58.78
2022,1,1,22,0,6,-7,56.56
2022,1,1,23,0,38,-8.1,55.68
2022,1,2,0,0,0,-9,53.6
2022,1,2,1,0,0,-9.700000000000001,52.83
2022,1,2,2,0,0,-10.200000000000001,53.79
2022,1,2,3,0,0,-10.200000000000001,54.54
2022,1,2,4,0,0,-9.8,54.65
2022,1,2,5,0,0,-9.3,54.38
2022,1,2,6,0,0,-8.9,54.4
2022,1,2,7,0,0,-8.5,54.03
2022,1,2,8,0,0,-8.1,53.51
2022,1,2,9,0,0,-7.9,53.54
2022,1,2,10,0,0,-8,54.49
2022,1,2,11,0,0,-8,54.69
2022,1,2,12,0,0,-8,54.61
2022,1,2,13,0,0,-7.9,53.99
2022,1,2,14,0,0,-7.1000000000000005,51
2022,1,2,15,0,112,-4.1000000000000005,42.69
2022,1,2,16,0,351,-0.4,34.56
2022,1,2,17,0,493,2.2,28.27
2022,1,2,18,0,573,4.1000000000000005,23.04
2022,1,2,19,0,596,5.4,18.47
2022,1,2,20,0,554,6,15.89
2022,1,2,21,0,451,6,15.09
2022,1,2,22,0,297,3.9000000000000004,28.76
2022,1,2,23,0,115,1.5,25.28
2022,1,3,0,0,0,0.8,22.57
2022,1,3,1,0,0,0.30000000000000004,23.5
2022,1,3,2,0,0,-0.9,26.490000000000002
2022,1,3,3,0,0,-2.1,30.54
2022,1,3,4,0,0,-2.9000000000000004,32.9
2022,1,3,5,0,0,-3.2,32.82
2022,1,3,6,0,0,-3.2,31.64
2022,1,3,7,0,0,-3.3000000000000003,31.64
2022,1,3,8,0,0,-3.4000000000000004,33.44
2022,1,3,9,0,0,-3.5,36.21
2022,1,3,10,0,0,-3.7,40.51
2022,1,3,11,0,0,-3.9000000000000004,45.49
2022,1,3,12,0,0,-4,50.7
2022,1,3,13,0,0,-4,55.660000000000004
2022,1,3,14,0,0,-2.3000000000000003,54.550000000000004
2022,1,3,15,0,166,0.5,48.58
2022,1,3,16,0,344,3.8000000000000003,40.59
2022,1,3,17,0,485,8,23.96
2022,1,3,18,0,575,10.200000000000001,18.59
2022,1,3,19,0,599,11.5,16.97
2022,1,3,20,0,558,12.200000000000001,16.2
2022,1,3,21,0,455,12.100000000000001,16.490000000000002
2022,1,3,22,0,301,9.700000000000001,21.86
2022,1,3,23,0,118,4.4,33.27
2022,1,4,0,0,0,3.1,35.03
2022,1,4,1,0,0,3,34.910000000000004
2022,1,4,2,0,0,2.2,36.9
2022,1,4,3,0,0,1.3,38.84
2022,1,4,4,0,0,0.6000000000000001,39.81
2022,1,4,5,0,0,0.1,39.93
2022,1,4,6,0,0,-0.4,40.77
2022,1,4,7,0,0,-0.8,42.44
2022,1,4,8,0,0,-1,44.12
2022,1,4,9,0,0,-1.1,44.83
2022,1,4,10,0,0,-1,44.2
2022,1,4,11,0,0,-0.8,43.13
2022,1,4,12,0,0,-0.5,41.83
2022,1,4,13,0,0,-0.1,40.14
2022,1,4,14,0,0,1.3,35.99
2022,1,4,15,0,27,4.4,29.21
2022,1,4,16,0,142,8.8,22.22
2022,1,4,17,0,316,13.5,15.27
2022,1,4,18,0,441,16,12.31
2022,1,4,19,0,599,17.6,10.94
2022,1,4,20,0,431,18.5,10.47
2022,1,4,21,0,258,18.5,11.07
2022,1,4,22,0,169,15.5,18.830000000000002
2022,1,4,23,0,51,10.700000000000001,27.37
2022,1,5,0,0,0,9.8,27.96
2022,1,5,1,0,0,9.600000000000001,28.36
2022,1,5,2,0,0,8.700000000000001,31.35
2022,1,5,3,0,0,6.7,37.65
2022,1,5,4,0,0,5.4,42.230000000000004
2022,1,5,5,0,0,4.1000000000000005,46.83
2022,1,5,6,0,0,3.1,49.59
2022,1,5,7,0,0,1.9000000000000001,52.71
2022,1,5,8,0,0,0.7000000000000001,56.02
2022,1,5,9,0,0,-0.6000000000000001,61.82
2022,1,5,10,0,0,-1.7000000000000002,68.14
2022,1,5,11,0,0,-2.6,73.83
2022,1,5,12,0,0,-3.5,79.07000000000001
2022,1,5,13,0,0,-4.3,83.49
2022,1,5,14,0,0,-3.1,75.3
2022,1,5,15,0,71,-0.8,60.78
2022,1,5,16,0,241,2,45.33
2022,1,5,17,0,473,4.5,35.800000000000004
2022,1,5,18,0,559,6.7,29.91
2022,1,5,19,0,586,8.4,26.86
2022,1,5,20,0,546,9.600000000000001,25.36
