Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1772739,-,b'Colorado',b'United States',39.2,-106.83,0,2423,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,-6.300000000000001,70.10000000000001
2022,1,1,1,0,0,-7.6000000000000005,69.14
2022,1,1,2,0,0,-8.4,68.62
2022,1,1,3,0,0,-9,68.2
2022,1,1,4,0,0,-9.9,68.33
2022,1,1,5,0,0,-11,67.07000000000001
2022,1,1,6,0,0,-11.3,66.85
2022,1,1,7,0,0,-11.3,66.41
2022,1,1,8,0,0,-11.600000000000001,66.41
2022,1,1,9,0,0,-11.8,66.36
2022,1,1,10,0,0,-12,67.01
2022,1,1,11,0,0,-12.3,66.67
2022,1,1,12,0,0,-12.8,66.13
2022,1,1,13,0,0,-13.5,65.76
2022,1,1,14,0,0,-14.3,64.42
2022,1,1,15,0,68,-14.100000000000001,63.34
2022,1,1,16,0,237,-12.100000000000001,64.5
2022,1,1,17,0,337,-11.5,63.96
2022,1,1,18,0,423,-11.3,63.53
2022,1,1,19,0,478,-11.4,63.480000000000004
2022,1,1,20,0,450,-11.600000000000001,63.11
2022,1,1,21,0,319,-12,63.06
2022,1,1,22,0,249,-12.600000000000001,62.75
2022,1,1,23,0,138,-13.9,62.39
2022,1,2,0,0,0,-15.9,61.690000000000005
2022,1,2,1,0,0,-17.400000000000002,62.32
2022,1,2,2,0,0,-19,61.92
2022,1,2,3,0,0,-20.900000000000002,60.53
2022,1,2,4,0,0,-22.8,59.57
2022,1,2,5,0,0,-23.1,59.800000000000004
2022,1,2,6,0,0,-23,57.51
2022,1,2,7,0,0,-22.5,50.800000000000004
2022,1,2,8,0,0,-21.8,42.9
2022,1,2,9,0,0,-21.3,37.9
2022,1,2,10,0,0,-20.900000000000002,35.58
2022,1,2,11,0,0,-20.3,34.660000000000004
2022,1,2,12,0,0,-19.700000000000003,35.54
2022,1,2,13,0,0,-18.900000000000002,37.04
2022,1,2,14,0,0,-18,39.17
2022,1,2,15,0,70,-16.3,42.09
2022,1,2,16,0,239,-12.8,49.52
2022,1,2,17,0,389,-8.5,62.49
2022,1,2,18,0,491,-5.9,67.14
2022,1,2,19,0,534,-3.9000000000000004,67.72
2022,1,2,20,0,514,-3,68.45
2022,1,2,21,0,434,-2.7,68.74
2022,1,2,22,0,301,-3.5,70.05
2022,1,2,23,0,134,-6.4,65.35
2022,1,3,0,0,0,-9.9,66.53
2022,1,3,1,0,0,-12.4,67.3
2022,1,3,2,0,0,-13.9,63.57
2022,1,3,3,0,0,-14.600000000000001,57.79
2022,1,3,4,0,0,-14.8,54.56
2022,1,3,5,0,0,-14.700000000000001,53.4
2022,1,3,6,0,0,-14.700000000000001,53.49
2022,1,3,7,0,0,-14.8,54.29
2022,1,3,8,0,0,-14.3,54.17
2022,1,3,9,0,0,-13.9,54.47
2022,1,3,10,0,0,-13.600000000000001,53.96
2022,1,3,11,0,0,-13.600000000000001,53.42
2022,1,3,12,0,0,-13.600000000000001,52.43
2022,1,3,13,0,0,-13.700000000000001,51.44
2022,1,3,14,0,0,-13.600000000000001,49.2
2022,1,3,15,0,72,-12.100000000000001,46.78
2022,1,3,16,0,245,-8.3,49.95
2022,1,3,17,0,390,-4,63.300000000000004
2022,1,3,18,0,493,-2,67.38
2022,1,3,19,0,537,-1.1,68.72
2022,1,3,20,0,482,-0.8,69.36
2022,1,3,21,0,438,-1,70.57000000000001
2022,1,3,22,0,304,-2.2,70.68
2022,1,3,23,0,137,-6,62.96
2022,1,4,0,0,0,-9.8,55.53
2022,1,4,1,0,0,-11.9,56.33
2022,1,4,2,0,0,-13.3,58.79
2022,1,4,3,0,0,-13.700000000000001,59.77
2022,1,4,4,0,0,-13.600000000000001,60.17
2022,1,4,5,0,0,-13.3,59.870000000000005
2022,1,4,6,0,0,-13,58.96
2022,1,4,7,0,0,-12.600000000000001,60.83
2022,1,4,8,0,0,-11.8,63.28
2022,1,4,9,0,0,-10.8,63.99
2022,1,4,10,0,0,-11.700000000000001,64.89
2022,1,4,11,0,0,-13.100000000000001,65.36
2022,1,4,12,0,0,-14.100000000000001,65.4
2022,1,4,13,0,0,-14.5,66.05
2022,1,4,14,0,0,-13.5,66.37
2022,1,4,15,0,35,-10.200000000000001,65.69
2022,1,4,16,0,66,-6.7,66.24
2022,1,4,17,0,382,-4.800000000000001,67.69
2022,1,4,18,0,201,-3.7,69.21000000000001
2022,1,4,19,0,530,-3.3000000000000003,70.13
2022,1,4,20,0,498,-3.1,70.41
2022,1,4,21,0,199,-3,71.16
2022,1,4,22,0,160,-3.1,71.52
2022,1,4,23,0,88,-3.5,71.72
2022,1,5,0,0,0,-3.9000000000000004,71.19
2022,1,5,1,0,0,-4.2,70.92
2022,1,5,2,0,0,-4.5,70.41
2022,1,5,3,0,0,-5.1000000000000005,70.14
2022,1,5,4,0,0,-6.1000000000000005,70.13
2022,1,5,5,0,0,-6.4,69.94
2022,1,5,6,0,0,-6.4,70.02
2022,1,5,7,0,0,-6.300000000000001,70.35000000000001
