Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,3894480,-,b'Georgia',b'United States',33.74,-84.39,0,305,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,18.5,100
2022,1,1,1,0,0,18.2,100
2022,1,1,2,0,0,17.900000000000002,100
2022,1,1,3,0,0,17.6,100
2022,1,1,4,0,0,17.5,100
2022,1,1,5,0,0,17.8,100
2022,1,1,6,0,0,18.1,100
2022,1,1,7,0,0,18.3,100
2022,1,1,8,0,0,18.400000000000002,100
2022,1,1,9,0,0,18.5,100
2022,1,1,10,0,0,18.6,100
2022,1,1,11,0,0,18.6,100
2022,1,1,12,0,0,18.6,100
2022,1,1,13,0,28,19.3,100
2022,1,1,14,0,184,20.5,97.81
2022,1,1,15,0,198,21.8,91.69
2022,1,1,16,0,118,22.900000000000002,83.65
2022,1,1,17,0,165,23.700000000000003,77.54
2022,1,1,18,0,235,24,74.5
2022,1,1,19,0,194,23.8,75.39
2022,1,1,20,0,393,23.200000000000003,80.01
2022,1,1,21,0,176,22.1,86.62
2022,1,1,22,0,15,20.5,93.61
2022,1,1,23,0,0,19.900000000000002,96.16
2022,1,2,0,0,0,19.8,97.02
2022,1,2,1,0,0,19.5,98.2
2022,1,2,2,0,0,19.3,98.99000000000001
2022,1,2,3,0,0,19.3,99.32000000000001
2022,1,2,4,0,0,19.400000000000002,98.97
2022,1,2,5,0,0,19.5,98.55
2022,1,2,6,0,0,19.6,97.60000000000001
2022,1,2,7,0,0,19.6,97.54
2022,1,2,8,0,0,19.700000000000003,96.94
2022,1,2,9,0,0,19.5,98.18
2022,1,2,10,0,0,19.200000000000003,99.9
2022,1,2,11,0,0,19,100
2022,1,2,12,0,0,18.7,100
2022,1,2,13,0,5,18,100
2022,1,2,14,0,14,17.3,98.58
2022,1,2,15,0,19,16.400000000000002,94.86
2022,1,2,16,0,147,16.400000000000002,89.7
2022,1,2,17,0,12,16.6,81.67
2022,1,2,18,0,185,16,80.32000000000001
2022,1,2,19,0,67,15.8,82.01
2022,1,2,20,0,60,15.4,84.97
2022,1,2,21,0,5,14.700000000000001,90.47
2022,1,2,22,0,15,14.200000000000001,94.08
2022,1,2,23,0,0,13.8,97.21000000000001
2022,1,3,0,0,0,13.4,98.44
2022,1,3,1,0,0,12.9,100
2022,1,3,2,0,0,12.8,99.3
2022,1,3,3,0,0,12,99.89
2022,1,3,4,0,0,10.200000000000001,99.39
2022,1,3,5,0,0,5.9,95.19
2022,1,3,6,0,0,3.2,91.35000000000001
2022,1,3,7,0,0,2.2,90.86
2022,1,3,8,0,0,1.4000000000000001,91.32000000000001
2022,1,3,9,0,0,1.3,89.55
2022,1,3,10,0,0,1.3,86.84
2022,1,3,11,0,0,0.9,85.73
2022,1,3,12,0,0,0.5,84.11
2022,1,3,13,0,9,0.5,80.42
2022,1,3,14,0,26,1.3,73.95
2022,1,3,15,0,123,2.4000000000000004,68.42
2022,1,3,16,0,137,3.5,64.21000000000001
2022,1,3,17,0,238,4.4,60.910000000000004
2022,1,3,18,0,382,5,58.59
2022,1,3,19,0,560,5.300000000000001,57.35
2022,1,3,20,0,442,5,58.28
2022,1,3,21,0,282,4.2,62.1
2022,1,3,22,0,98,2,76.10000000000001
2022,1,3,23,0,0,0.4,85.59
2022,1,4,0,0,0,-0.4,89.60000000000001
2022,1,4,1,0,0,-1.2000000000000002,93.27
2022,1,4,2,0,0,-1.8,95.77
2022,1,4,3,0,0,-2.4000000000000004,98.3
2022,1,4,4,0,0,-2.9000000000000004,99.95
2022,1,4,5,0,0,-3.5,100
2022,1,4,6,0,0,-3.8000000000000003,100
2022,1,4,7,0,0,-4,100
2022,1,4,8,0,0,-3.9000000000000004,100
2022,1,4,9,0,0,-3.6,97.93
2022,1,4,10,0,0,-3.7,98.45
2022,1,4,11,0,0,-3.5,97.89
2022,1,4,12,0,0,-3.2,96.77
2022,1,4,13,0,33,-1.3,88.68
2022,1,4,14,0,207,1.6,78.75
2022,1,4,15,0,382,4.7,69.05
2022,1,4,16,0,516,6.800000000000001,61.13
2022,1,4,17,0,590,8.1,55.77
2022,1,4,18,0,604,8.9,52.82
2022,1,4,19,0,553,9.200000000000001,52.03
2022,1,4,20,0,438,9,53.78
2022,1,4,21,0,279,7.9,61.2
2022,1,4,22,0,98,4.7,79.62
2022,1,4,23,0,0,3.6,82.81
2022,1,5,0,0,0,3.3000000000000003,83.74
2022,1,5,1,0,0,3.4000000000000004,84.27
2022,1,5,2,0,0,4.2,82.03
2022,1,5,3,0,0,4.7,81.95
2022,1,5,4,0,0,5,84.18
2022,1,5,5,0,0,5,88.67
2022,1,5,6,0,0,4,97.14
2022,1,5,7,0,0,3.1,100
2022,1,5,8,0,0,3.5,100
2022,1,5,9,0,0,4.5,100
2022,1,5,10,0,0,4.4,100
2022,1,5,11,0,0,4.9,100
2022,1,5,12,0,0,5.300000000000001,100
2022,1,5,13,0,29,5.800000000000001,97.79
2022,1,5,14,0,195,7.1000000000000005,85.72
2022,1,5,15,0,363,9.1,73.47
2022,1,5,16,0,493,11.200000000000001,66.63
2022,1,5,17,0,569,12.3,63.800000000000004
2022,1,5,18,0,405,13,61.36
2022,1,5,19,0,106,13.200000000000001,60.660000000000004
2022,1,5,20,0,87,13,62.09
2022,1,5,21,0,125,11.8,73.82000000000001
