Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,4098101,-,b'Georgia',b'United States',33.48,-81.97,0,48,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,20.3,98.31
2022,1,1,1,0,0,19.900000000000002,100
2022,1,1,2,0,0,19.700000000000003,100
2022,1,1,3,0,0,19.5,100
2022,1,1,4,0,0,19.8,99.11
2022,1,1,5,0,0,19.700000000000003,99.83
2022,1,1,6,0,0,19.700000000000003,99.67
2022,1,1,7,0,0,19.8,99.39
2022,1,1,8,0,0,19.700000000000003,99.2
2022,1,1,9,0,0,19.6,98.81
2022,1,1,10,0,0,19.5,98.94
2022,1,1,11,0,0,19.400000000000002,98.71000000000001
2022,1,1,12,0,0,19.200000000000003,98.49000000000001
2022,1,1,13,0,16,19.900000000000002,95.83
2022,1,1,14,0,214,21.400000000000002,91.21000000000001
2022,1,1,15,0,100,23.200000000000003,84.17
2022,1,1,16,0,122,24.400000000000002,77.04
2022,1,1,17,0,547,25.1,71.93
2022,1,1,18,0,547,25.3,69.53
2022,1,1,19,0,192,25.3,68.66
2022,1,1,20,0,374,24.8,70.48
2022,1,1,21,0,220,23.8,74.29
2022,1,1,22,0,57,22.3,78.58
2022,1,1,23,0,0,21.400000000000002,80.55
2022,1,2,0,0,0,20.8,81.9
2022,1,2,1,0,0,20.200000000000003,84.05
2022,1,2,2,0,0,20.200000000000003,83.39
2022,1,2,3,0,0,20.1,84.74
2022,1,2,4,0,0,19.8,88.49
2022,1,2,5,0,0,19.5,92.75
2022,1,2,6,0,0,19.3,95.77
2022,1,2,7,0,0,19.5,96.04
2022,1,2,8,0,0,19.6,96.21000000000001
2022,1,2,9,0,0,19.5,96.97
2022,1,2,10,0,0,19.5,97.06
2022,1,2,11,0,0,19.700000000000003,96.9
2022,1,2,12,0,0,19.8,96.98
2022,1,2,13,0,47,20.400000000000002,95.05
2022,1,2,14,0,47,21.5,91.82000000000001
2022,1,2,15,0,113,22.700000000000003,85.74
2022,1,2,16,0,193,23.400000000000002,83.26
2022,1,2,17,0,271,23.5,83.65
2022,1,2,18,0,378,22.8,84.59
2022,1,2,19,0,44,21.700000000000003,86.68
2022,1,2,20,0,91,20.400000000000002,89.87
2022,1,2,21,0,16,19,94.23
2022,1,2,22,0,15,18.2,96
2022,1,2,23,0,0,18.2,97.14
2022,1,3,0,0,0,18.900000000000002,97.53
2022,1,3,1,0,0,19.5,97.68
2022,1,3,2,0,0,20.200000000000003,97.24000000000001
2022,1,3,3,0,0,20.3,97.11
2022,1,3,4,0,0,20.3,96.27
2022,1,3,5,0,0,20.200000000000003,96.16
2022,1,3,6,0,0,20.1,96.12
2022,1,3,7,0,0,19.6,95.52
2022,1,3,8,0,0,14.5,90.16
2022,1,3,9,0,0,8.200000000000001,83.67
2022,1,3,10,0,0,6.9,82.21000000000001
2022,1,3,11,0,0,6.300000000000001,79.67
2022,1,3,12,0,0,6.2,79.25
2022,1,3,13,0,51,6.5,76.46000000000001
2022,1,3,14,0,223,7.9,69.65
2022,1,3,15,0,215,9.5,60.94
2022,1,3,16,0,521,10.600000000000001,55.57
2022,1,3,17,0,454,11.4,52.03
2022,1,3,18,0,417,11.9,49.43
2022,1,3,19,0,540,11.9,47.89
2022,1,3,20,0,419,11.4,47.93
2022,1,3,21,0,255,10.100000000000001,53.38
2022,1,3,22,0,73,6.9,73.37
2022,1,3,23,0,0,5.6000000000000005,78.18
2022,1,4,0,0,0,4.9,80.56
2022,1,4,1,0,0,4.2,82.64
2022,1,4,2,0,0,3.7,83.18
2022,1,4,3,0,0,3.2,83.91
2022,1,4,4,0,0,2.9000000000000004,84.21000000000001
2022,1,4,5,0,0,2.3000000000000003,87.10000000000001
2022,1,4,6,0,0,1.5,92.19
2022,1,4,7,0,0,0.8,97.05
2022,1,4,8,0,0,0.30000000000000004,100
2022,1,4,9,0,0,0,100
2022,1,4,10,0,0,0,100
2022,1,4,11,0,0,0.2,99.74000000000001
2022,1,4,12,0,0,0,97.76
2022,1,4,13,0,58,1.7000000000000002,83.98
2022,1,4,14,0,239,3.8000000000000003,65.67
2022,1,4,15,0,409,6,53.76
2022,1,4,16,0,536,7.7,47.660000000000004
2022,1,4,17,0,604,9,44.4
2022,1,4,18,0,607,9.8,42.97
2022,1,4,19,0,546,10.200000000000001,42.65
2022,1,4,20,0,421,10,44.51
2022,1,4,21,0,255,8.8,55.51
2022,1,4,22,0,72,5.1000000000000005,74.08
2022,1,4,23,0,0,4.3,73.82000000000001
2022,1,5,0,0,0,4.3,71.72
2022,1,5,1,0,0,3.8000000000000003,74.15
2022,1,5,2,0,0,3.5,76.18
2022,1,5,3,0,0,3.5,77.09
2022,1,5,4,0,0,3.5,78.68
2022,1,5,5,0,0,3.3000000000000003,80.60000000000001
2022,1,5,6,0,0,3.6,81
2022,1,5,7,0,0,4,80.41
2022,1,5,8,0,0,4.5,72.17
2022,1,5,9,0,0,4.800000000000001,74.25
2022,1,5,10,0,0,5.1000000000000005,73.3
2022,1,5,11,0,0,5.1000000000000005,77.01
2022,1,5,12,0,0,5,81.3
2022,1,5,13,0,12,6.1000000000000005,79.17
2022,1,5,14,0,218,7.7,75.35000000000001
2022,1,5,15,0,382,10.5,72.81
2022,1,5,16,0,508,13.4,71.82000000000001
2022,1,5,17,0,222,15.100000000000001,68.84
2022,1,5,18,0,586,15.8,64.65
2022,1,5,19,0,526,15.8,61.56
2022,1,5,20,0,410,15.200000000000001,60.6
2022,1,5,21,0,247,13.5,67.16
2022,1,5,22,0,71,9.700000000000001,80.55
2022,1,5,23,0,0,8.3,84.14
2022,1,6,0,0,0,7.6000000000000005,86.73
2022,1,6,1,0,0,7.1000000000000005,89.18
2022,1,6,2,0,0,6.5,93.13
2022,1,6,3,0,0,6,96.85000000000001
2022,1,6,4,0,0,5.4,100
2022,1,6,5,0,0,4.9,100
2022,1,6,6,0,0,4.5,100
2022,1,6,7,0,0,4.6000000000000005,100
2022,1,6,8,0,0,5,100
2022,1,6,9,0,0,5.5,99.82000000000001
2022,1,6,10,0,0,5.800000000000001,96.65
2022,1,6,11,0,0,5.800000000000001,96.54
2022,1,6,12,0,0,5.7,96
2022,1,6,13,0,37,6.2,92.58
2022,1,6,14,0,131,7.7,86.64
2022,1,6,15,0,396,10.5,76.43
2022,1,6,16,0,522,13.100000000000001,66.41
2022,1,6,17,0,587,15.100000000000001,56.31
2022,1,6,18,0,588,16,54.120000000000005
2022,1,6,19,0,525,16.2,55.81
2022,1,6,20,0,402,15.9,59.25
2022,1,6,21,0,238,14.9,66.08
2022,1,6,22,0,18,13,74.35000000000001
2022,1,6,23,0,0,12.9,75.95
2022,1,7,0,0,0,12.9,79.08
2022,1,7,1,0,0,13.200000000000001,82.97
2022,1,7,2,0,0,13.5,88.18
2022,1,7,3,0,0,13.4,90.86
2022,1,7,4,0,0,12,85.33
2022,1,7,5,0,0,8.8,77.42
2022,1,7,6,0,0,6.4,77.63
2022,1,7,7,0,0,5.2,78.95
2022,1,7,8,0,0,4.4,79.29
2022,1,7,9,0,0,3.6,80.44
2022,1,7,10,0,0,2.8000000000000003,82.65
2022,1,7,11,0,0,2,85.96000000000001
2022,1,7,12,0,0,1.5,87.32000000000001
2022,1,7,13,0,57,3,77.33
2022,1,7,14,0,236,5.2,60.06
2022,1,7,15,0,403,7.2,48.480000000000004
2022,1,7,16,0,526,8.6,42.32
2022,1,7,17,0,354,9.600000000000001,38.160000000000004
2022,1,7,18,0,462,10.100000000000001,35.660000000000004
2022,1,7,19,0,446,10.200000000000001,34.550000000000004
2022,1,7,20,0,416,9.8,35.81
2022,1,7,21,0,254,8.4,45.07
2022,1,7,22,0,77,5.1000000000000005,66.97
2022,1,7,23,0,0,4,69.06
2022,1,8,0,0,0,3.5,70.06
2022,1,8,1,0,0,3,71.56
2022,1,8,2,0,0,2.4000000000000004,74.27
2022,1,8,3,0,0,1.8,76.84
2022,1,8,4,0,0,1.5,77.08
2022,1,8,5,0,0,0.9,78.33
2022,1,8,6,0,0,0.4,78.67
2022,1,8,7,0,0,0,79.24
2022,1,8,8,0,0,-0.30000000000000004,79.9
2022,1,8,9,0,0,-0.7000000000000001,80.55
2022,1,8,10,0,0,-1.2000000000000002,79.57000000000001
2022,1,8,11,0,0,-1.8,78
2022,1,8,12,0,0,-2.3000000000000003,76.69
2022,1,8,13,0,55,-1.1,66.13
2022,1,8,14,0,234,1.1,52.96
2022,1,8,15,0,403,3.5,46.36
2022,1,8,16,0,530,5.7,42.45
2022,1,8,17,0,320,7.300000000000001,41.13
2022,1,8,18,0,605,8.5,40.800000000000004
2022,1,8,19,0,171,9.1,41.62
2022,1,8,20,0,219,9,44.39
2022,1,8,21,0,79,7.800000000000001,54.980000000000004
2022,1,8,22,0,41,4.4,71.63
2022,1,8,23,0,0,4,68.36
2022,1,9,0,0,0,3.6,68.21000000000001
2022,1,9,1,0,0,3.2,69.18
2022,1,9,2,0,0,3.2,69.27
2022,1,9,3,0,0,3.3000000000000003,70.38
2022,1,9,4,0,0,3.4000000000000004,70.89
2022,1,9,5,0,0,3.5,72.94
2022,1,9,6,0,0,3.4000000000000004,77.57000000000001
2022,1,9,7,0,0,3.4000000000000004,81.92
2022,1,9,8,0,0,3.4000000000000004,86.01
2022,1,9,9,0,0,3.5,89.28
2022,1,9,10,0,0,3.6,91.99
2022,1,9,11,0,0,3.5,95.49
2022,1,9,12,0,0,3.7,97.23
2022,1,9,13,0,46,5.4,91.95
2022,1,9,14,0,209,7.4,88.04
2022,1,9,15,0,372,10,83.88
2022,1,9,16,0,250,13.100000000000001,81.14
2022,1,9,17,0,438,15.9,77.41
2022,1,9,18,0,564,18.3,74.26
2022,1,9,19,0,245,19.3,74.75
2022,1,9,20,0,238,19.200000000000003,78.12
2022,1,9,21,0,39,18,85.81
2022,1,9,22,0,12,16.3,94.74
2022,1,9,23,0,0,16.400000000000002,95.07000000000001
2022,1,10,0,0,0,16,97.8
2022,1,10,1,0,0,15.700000000000001,99.05
2022,1,10,2,0,0,15.700000000000001,98.88
2022,1,10,3,0,0,15.8,98.13
2022,1,10,4,0,0,15.4,98.28
2022,1,10,5,0,0,14.600000000000001,98.36
2022,1,10,6,0,0,13.600000000000001,97.88
2022,1,10,7,0,0,12.4,96.3
2022,1,10,8,0,0,10.9,92.99
2022,1,10,9,0,0,9.600000000000001,87.31
2022,1,10,10,0,0,8.700000000000001,84.18
2022,1,10,11,0,0,8,81.49
2022,1,10,12,0,0,7.2,78.01
2022,1,10,13,0,30,7.300000000000001,69.45
2022,1,10,14,0,58,8.1,54.04
2022,1,10,15,0,402,9.3,41.09
2022,1,10,16,0,538,10.5,35.89
2022,1,10,17,0,615,11.600000000000001,34.160000000000004
2022,1,10,18,0,627,12.200000000000001,34.14
2022,1,10,19,0,566,12.4,34.77
2022,1,10,20,0,445,11.9,37.410000000000004
2022,1,10,21,0,275,10.4,52.82
2022,1,10,22,0,90,6.7,68.7
2022,1,10,23,0,0,5.5,69.37
2022,1,11,0,0,0,4.7,72.34
2022,1,11,1,0,0,4.1000000000000005,74.49
2022,1,11,2,0,0,3.7,75.26
2022,1,11,3,0,0,2.9000000000000004,78.31
2022,1,11,4,0,0,2.2,80.25
2022,1,11,5,0,0,1.5,82.10000000000001
2022,1,11,6,0,0,0.9,83.52
