Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2725645,-,b'Texas',b'United States',30.28,-97.75,0,171,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,22.8,81.77
2022,1,1,1,0,0,22,87.62
2022,1,1,2,0,0,21.200000000000003,94.48
2022,1,1,3,0,0,20.8,99.04
2022,1,1,4,0,0,20.900000000000002,99.67
2022,1,1,5,0,0,21,99.48
2022,1,1,6,0,0,21.1,98.87
2022,1,1,7,0,0,21.3,97.3
2022,1,1,8,0,0,21.3,96.73
2022,1,1,9,0,0,21.3,96.06
2022,1,1,10,0,0,21.3,95.63
2022,1,1,11,0,0,21.3,95.8
2022,1,1,12,0,0,21.1,96.89
2022,1,1,13,0,0,20.8,97.41
2022,1,1,14,0,30,21.3,93.32000000000001
2022,1,1,15,0,37,22.200000000000003,85.59
2022,1,1,16,0,89,23.400000000000002,73.56
2022,1,1,17,0,121,24.1,62.52
2022,1,1,18,0,217,24.200000000000003,54.69
2022,1,1,19,0,222,24.6,46.79
2022,1,1,20,0,186,25.200000000000003,40
2022,1,1,21,0,263,25.6,36.15
2022,1,1,22,0,165,24.5,45.51
2022,1,1,23,0,98,21.5,56.36
2022,1,2,0,0,0,19.200000000000003,61.46
2022,1,2,1,0,0,17.5,67.73
2022,1,2,2,0,0,16,70.66
2022,1,2,3,0,0,14.600000000000001,67.06
2022,1,2,4,0,0,11,66.9
2022,1,2,5,0,0,5.6000000000000005,68.08
2022,1,2,6,0,0,1.7000000000000002,64.11
2022,1,2,7,0,0,0.1,56.32
2022,1,2,8,0,0,-0.6000000000000001,52.24
2022,1,2,9,0,0,-1,53.370000000000005
2022,1,2,10,0,0,-1.5,54.6
2022,1,2,11,0,0,-2.2,52.75
2022,1,2,12,0,0,-3.1,50.24
2022,1,2,13,0,0,-3.7,49.67
2022,1,2,14,0,76,-3,47.58
2022,1,2,15,0,273,-1.2000000000000002,42.910000000000004
2022,1,2,16,0,454,1,38.1
2022,1,2,17,0,588,3.2,34.69
2022,1,2,18,0,656,5.2,32.3
2022,1,2,19,0,667,6.800000000000001,30.48
2022,1,2,20,0,604,7.7,29.52
2022,1,2,21,0,479,8,29.09
2022,1,2,22,0,305,7.4,30.2
2022,1,2,23,0,110,5.1000000000000005,38.6
2022,1,3,0,0,0,2.9000000000000004,50.74
2022,1,3,1,0,0,1.9000000000000001,56.71
2022,1,3,2,0,0,1,62.1
2022,1,3,3,0,0,0.2,66.67
2022,1,3,4,0,0,-0.4,69.49
2022,1,3,5,0,0,-0.5,68.56
2022,1,3,6,0,0,-0.30000000000000004,64.67
2022,1,3,7,0,0,-0.2,61.910000000000004
2022,1,3,8,0,0,-0.7000000000000001,63.620000000000005
2022,1,3,9,0,0,-1.4000000000000001,66.7
2022,1,3,10,0,0,-2,69.15
2022,1,3,11,0,0,-2.3000000000000003,69.55
2022,1,3,12,0,0,-2.5,69.42
2022,1,3,13,0,0,-2.3000000000000003,69.23
2022,1,3,14,0,78,1.4000000000000001,54.74
2022,1,3,15,0,271,4.7,39.87
2022,1,3,16,0,452,8.700000000000001,27.3
2022,1,3,17,0,587,11,22.88
2022,1,3,18,0,664,12.200000000000001,21.44
2022,1,3,19,0,670,13,20.61
2022,1,3,20,0,608,13.5,20.27
2022,1,3,21,0,485,13.4,20.85
2022,1,3,22,0,310,12.200000000000001,29.7
2022,1,3,23,0,111,7.6000000000000005,54.5
2022,1,4,0,0,0,5.5,55.59
2022,1,4,1,0,0,5.300000000000001,54.22
2022,1,4,2,0,0,5,53.63
2022,1,4,3,0,0,4,56.58
2022,1,4,4,0,0,3.5,58.77
2022,1,4,5,0,0,3.4000000000000004,59.5
2022,1,4,6,0,0,3.6,59.36
2022,1,4,7,0,0,3.6,60.32
2022,1,4,8,0,0,3.3000000000000003,63.03
2022,1,4,9,0,0,2.1,69.53
2022,1,4,10,0,0,1,74.16
2022,1,4,11,0,0,0.2,77.24
2022,1,4,12,0,0,-0.1,78.61
2022,1,4,13,0,0,0,78.98
2022,1,4,14,0,73,3.5,61.6
2022,1,4,15,0,267,6.800000000000001,50.79
2022,1,4,16,0,447,11.600000000000001,33.62
2022,1,4,17,0,582,14.3,28.400000000000002
2022,1,4,18,0,656,16.2,26.78
2022,1,4,19,0,663,17.5,26.93
2022,1,4,20,0,599,18.3,27.63
2022,1,4,21,0,475,18.3,29.19
2022,1,4,22,0,303,17.1,34.53
2022,1,4,23,0,107,12.5,53.01
2022,1,5,0,0,0,10.9,60.59
2022,1,5,1,0,0,10.3,65.57000000000001
2022,1,5,2,0,0,9.9,70.29
2022,1,5,3,0,0,9.600000000000001,75.12
2022,1,5,4,0,0,9.200000000000001,80.77
2022,1,5,5,0,0,8.9,85.04
2022,1,5,6,0,0,8.700000000000001,87.26
2022,1,5,7,0,0,8.4,88.65
2022,1,5,8,0,0,7.9,89.66
2022,1,5,9,0,0,7.5,88.49
2022,1,5,10,0,0,7.1000000000000005,85.87
2022,1,5,11,0,0,6.7,83.19
2022,1,5,12,0,0,6.2,81.53
2022,1,5,13,0,0,5.9,79.43
2022,1,5,14,0,70,9.1,61.27
