Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,3802112,-,b'Michigan',b'United States',43.7,-85.49,0,291,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,-0.4,93.03
2022,1,1,1,0,0,-0.5,94.16
2022,1,1,2,0,0,-0.8,95.36
2022,1,1,3,0,0,-1,95.51
2022,1,1,4,0,0,-1.3,95.35000000000001
2022,1,1,5,0,0,-1.8,95.66
2022,1,1,6,0,0,-2.3000000000000003,95.05
2022,1,1,7,0,0,-3.1,95.26
2022,1,1,8,0,0,-3.7,94.12
2022,1,1,9,0,0,-4.1000000000000005,92.34
2022,1,1,10,0,0,-4.4,89.56
2022,1,1,11,0,0,-4.9,88.39
2022,1,1,12,0,0,-4.9,86.08
2022,1,1,13,0,0,-4.7,83.17
2022,1,1,14,0,26,-4.4,80.67
2022,1,1,15,0,63,-3.9000000000000004,76.11
2022,1,1,16,0,120,-3.5,73.27
2022,1,1,17,0,123,-3.3000000000000003,71.52
2022,1,1,18,0,163,-3.5,71.33
2022,1,1,19,0,104,-3.7,70.60000000000001
2022,1,1,20,0,89,-4.1000000000000005,70.63
2022,1,1,21,0,27,-4.9,71.62
2022,1,1,22,0,8,-5.9,72.77
2022,1,1,23,0,0,-6.6000000000000005,73.12
2022,1,2,0,0,0,-7.4,75.38
2022,1,2,1,0,0,-7.9,76.14
2022,1,2,2,0,0,-8.4,76.81
2022,1,2,3,0,0,-8.8,76.82000000000001
2022,1,2,4,0,0,-9.200000000000001,77.14
2022,1,2,5,0,0,-9.5,77.21000000000001
2022,1,2,6,0,0,-9.700000000000001,76.32000000000001
2022,1,2,7,0,0,-10,75.73
2022,1,2,8,0,0,-10.3,74.97
2022,1,2,9,0,0,-10.5,73.8
2022,1,2,10,0,0,-10.5,71.48
2022,1,2,11,0,0,-10.8,70.57000000000001
2022,1,2,12,0,0,-11.200000000000001,69.94
2022,1,2,13,0,0,-12,71.05
2022,1,2,14,0,85,-10.9,69.95
2022,1,2,15,0,151,-8.700000000000001,67.49
2022,1,2,16,0,285,-7.300000000000001,66.51
2022,1,2,17,0,332,-6.300000000000001,65.72
2022,1,2,18,0,320,-5.5,64.74
2022,1,2,19,0,280,-5.1000000000000005,65
2022,1,2,20,0,166,-5,66.59
2022,1,2,21,0,94,-5.7,69.12
2022,1,2,22,0,9,-6.800000000000001,71.34
2022,1,2,23,0,0,-7.2,73.19
2022,1,3,0,0,0,-7.300000000000001,73.87
2022,1,3,1,0,0,-7.5,75.12
2022,1,3,2,0,0,-7.800000000000001,76.77
2022,1,3,3,0,0,-8.1,78.47
2022,1,3,4,0,0,-8.3,79.41
2022,1,3,5,0,0,-8.4,80.05
2022,1,3,6,0,0,-8.9,82.56
2022,1,3,7,0,0,-9.4,85
2022,1,3,8,0,0,-9.600000000000001,86.12
2022,1,3,9,0,0,-9.3,85.32000000000001
2022,1,3,10,0,0,-9.1,85.06
2022,1,3,11,0,0,-9.600000000000001,87.15
2022,1,3,12,0,0,-10.4,90.33
2022,1,3,13,0,0,-10.600000000000001,89.96000000000001
2022,1,3,14,0,84,-9.200000000000001,82.97
2022,1,3,15,0,227,-6.1000000000000005,73.52
2022,1,3,16,0,344,-4.3,66.51
2022,1,3,17,0,412,-3.2,63.06
2022,1,3,18,0,428,-2.4000000000000004,61.06
2022,1,3,19,0,387,-2.2,60.97
2022,1,3,20,0,292,-2.6,62.54
2022,1,3,21,0,161,-3.9000000000000004,67.85
2022,1,3,22,0,18,-6.1000000000000005,75.04
2022,1,3,23,0,0,-6.800000000000001,78.53
2022,1,4,0,0,0,-7,81.51
2022,1,4,1,0,0,-7.1000000000000005,84.3
2022,1,4,2,0,0,-7.2,87.53
2022,1,4,3,0,0,-7.1000000000000005,89.2
2022,1,4,4,0,0,-7.2,90.97
2022,1,4,5,0,0,-7.300000000000001,91.72
2022,1,4,6,0,0,-7.4,92.47
2022,1,4,7,0,0,-7.4,93.13
2022,1,4,8,0,0,-7.5,94.77
2022,1,4,9,0,0,-7.5,96.11
2022,1,4,10,0,0,-7.5,97.10000000000001
2022,1,4,11,0,0,-7.4,97.73
2022,1,4,12,0,0,-6.9,95.27
2022,1,4,13,0,0,-6.5,93.25
2022,1,4,14,0,79,-5.300000000000001,88.28
2022,1,4,15,0,151,-4,83.26
2022,1,4,16,0,168,-2.5,78.12
2022,1,4,17,0,252,-1.5,74.51
2022,1,4,18,0,294,-1,73.21000000000001
2022,1,4,19,0,210,-0.8,72.39
2022,1,4,20,0,192,-1.1,74.93
2022,1,4,21,0,94,-1.8,79.43
2022,1,4,22,0,16,-2.4000000000000004,83.10000000000001
2022,1,4,23,0,0,-2.3000000000000003,84.97
2022,1,5,0,0,0,-2.2,86.97
2022,1,5,1,0,0,-2.1,87.8
2022,1,5,2,0,0,-2,87.71000000000001
2022,1,5,3,0,0,-1.9000000000000001,87.53
2022,1,5,4,0,0,-2,89.02
2022,1,5,5,0,0,-2,90.43
2022,1,5,6,0,0,-1.8,91.33
2022,1,5,7,0,0,-1.6,92.3
2022,1,5,8,0,0,-1.6,94.02
2022,1,5,9,0,0,-1.5,94.66
2022,1,5,10,0,0,-1.4000000000000001,95.43
2022,1,5,11,0,0,-1.2000000000000002,95.94
2022,1,5,12,0,0,-1,96.59
2022,1,5,13,0,0,-0.9,96.9
2022,1,5,14,0,33,-1.1,93.99
2022,1,5,15,0,152,-2.4000000000000004,87.65
2022,1,5,16,0,220,-3.6,84.55
2022,1,5,17,0,305,-4.4,82.65
2022,1,5,18,0,158,-5.2,82.04
2022,1,5,19,0,279,-5.800000000000001,81.96000000000001
2022,1,5,20,0,206,-6.2,82.4
2022,1,5,21,0,86,-6.5,83.51
2022,1,5,22,0,16,-6.800000000000001,85.48
2022,1,5,23,0,0,-6.7,86.56
2022,1,6,0,0,0,-6.4,88.7
2022,1,6,1,0,0,-6,90.41
2022,1,6,2,0,0,-5.6000000000000005,90.95
2022,1,6,3,0,0,-5.4,90.84
2022,1,6,4,0,0,-5.5,89.94
2022,1,6,5,0,0,-5.9,89.10000000000001
2022,1,6,6,0,0,-6.6000000000000005,89.09
2022,1,6,7,0,0,-7,88.35000000000001
2022,1,6,8,0,0,-7.2,88.16
2022,1,6,9,0,0,-7.5,88.17
2022,1,6,10,0,0,-8,87.94
2022,1,6,11,0,0,-8.6,86.83
2022,1,6,12,0,0,-9.4,85.96000000000001
2022,1,6,13,0,0,-9.8,84.23
2022,1,6,14,0,72,-9.4,82.7
2022,1,6,15,0,142,-8.9,79.28
2022,1,6,16,0,251,-8.5,77.35000000000001
2022,1,6,17,0,337,-8.200000000000001,76.31
2022,1,6,18,0,422,-8,75.33
2022,1,6,19,0,382,-8.200000000000001,75.63
2022,1,6,20,0,218,-8.6,76.4
2022,1,6,21,0,158,-9.3,77.95
2022,1,6,22,0,14,-10.3,78.68
2022,1,6,23,0,0,-11.100000000000001,78.83
2022,1,7,0,0,0,-11.700000000000001,78.66
2022,1,7,1,0,0,-12.3,78.96000000000001
2022,1,7,2,0,0,-12.8,79.46000000000001
2022,1,7,3,0,0,-13.3,80.89
2022,1,7,4,0,0,-13.5,81.56
2022,1,7,5,0,0,-13.5,81.33
2022,1,7,6,0,0,-13.600000000000001,81.69
2022,1,7,7,0,0,-13.5,81.2
2022,1,7,8,0,0,-13.5,81.64
2022,1,7,9,0,0,-13.600000000000001,82.36
2022,1,7,10,0,0,-13.9,82.92
2022,1,7,11,0,0,-14.3,83.54
2022,1,7,12,0,0,-14.700000000000001,84.57000000000001
2022,1,7,13,0,0,-14.9,85.41
2022,1,7,14,0,86,-13.8,82.86
2022,1,7,15,0,233,-11.3,80.28
2022,1,7,16,0,354,-9.600000000000001,77.62
2022,1,7,17,0,429,-8.4,74.91
2022,1,7,18,0,447,-7.800000000000001,73.41
2022,1,7,19,0,407,-7.5,72.87
2022,1,7,20,0,313,-7.6000000000000005,75.3
2022,1,7,21,0,178,-8.3,76.35000000000001
2022,1,7,22,0,36,-9.1,72.39
2022,1,7,23,0,0,-9.700000000000001,73.13
2022,1,8,0,0,0,-10.8,76.33
2022,1,8,1,0,0,-11.9,79.13
2022,1,8,2,0,0,-12.600000000000001,81.28
2022,1,8,3,0,0,-12.9,83.39
2022,1,8,4,0,0,-13.3,85.66
2022,1,8,5,0,0,-13.4,87.2
2022,1,8,6,0,0,-13.3,88.4
2022,1,8,7,0,0,-13.100000000000001,88.66
2022,1,8,8,0,0,-12.8,88.45
2022,1,8,9,0,0,-12.3,87.07000000000001
2022,1,8,10,0,0,-11.8,85.87
2022,1,8,11,0,0,-11.700000000000001,84.47
2022,1,8,12,0,0,-12.100000000000001,83.39
2022,1,8,13,0,0,-12.200000000000001,81.31
2022,1,8,14,0,53,-11.200000000000001,79.12
2022,1,8,15,0,160,-9.700000000000001,76.64
2022,1,8,16,0,316,-8.200000000000001,75.10000000000001
2022,1,8,17,0,365,-6.800000000000001,73.83
2022,1,8,18,0,364,-5.5,73.07000000000001
2022,1,8,19,0,42,-4.7,74.37
2022,1,8,20,0,132,-4.3,77.03
2022,1,8,21,0,165,-4.4,80.17
2022,1,8,22,0,14,-4.7,83.54
2022,1,8,23,0,0,-4.4,86.38
2022,1,9,0,0,0,-4.1000000000000005,89.67
2022,1,9,1,0,0,-3.8000000000000003,92.01
2022,1,9,2,0,0,-3.5,93.59
2022,1,9,3,0,0,-3,94.74
2022,1,9,4,0,0,-2.5,96.33
2022,1,9,5,0,0,-2,97.41
2022,1,9,6,0,0,-1.8,98.01
2022,1,9,7,0,0,-1.7000000000000002,98.05
2022,1,9,8,0,0,-1.7000000000000002,96.8
2022,1,9,9,0,0,-2,95.57000000000001
2022,1,9,10,0,0,-2.3000000000000003,93.71000000000001
2022,1,9,11,0,0,-2.4000000000000004,90.23
2022,1,9,12,0,0,-2.7,84.4
2022,1,9,13,0,0,-4.3,80.25
2022,1,9,14,0,88,-5.7,77.7
2022,1,9,15,0,82,-6.7,74.76
2022,1,9,16,0,114,-7.6000000000000005,72.94
2022,1,9,17,0,229,-8.5,72.62
2022,1,9,18,0,199,-9.200000000000001,72.2
2022,1,9,19,0,207,-9.700000000000001,71.71000000000001
2022,1,9,20,0,125,-10.200000000000001,72.16
2022,1,9,21,0,189,-10.700000000000001,73.23
2022,1,9,22,0,41,-11.100000000000001,74.72
2022,1,9,23,0,0,-11.5,75.01
2022,1,10,0,0,0,-11.8,74.15
2022,1,10,1,0,0,-12,72.58
2022,1,10,2,0,0,-12.700000000000001,72.47
2022,1,10,3,0,0,-13.700000000000001,73.56
2022,1,10,4,0,0,-14.5,74.55
2022,1,10,5,0,0,-15.200000000000001,76.03
2022,1,10,6,0,0,-15.8,77.74
2022,1,10,7,0,0,-16.3,78.89
2022,1,10,8,0,0,-16.7,79.60000000000001
2022,1,10,9,0,0,-16.7,78.97
2022,1,10,10,0,0,-16.5,77.94
2022,1,10,11,0,0,-15.700000000000001,75.45
2022,1,10,12,0,0,-14.9,74.12
2022,1,10,13,0,0,-14.5,73.9
2022,1,10,14,0,54,-13.9,72.77
2022,1,10,15,0,146,-13.5,72.18
2022,1,10,16,0,148,-13.3,72.2
2022,1,10,17,0,50,-13.3,72
2022,1,10,18,0,115,-13.4,72.01
2022,1,10,19,0,361,-13.4,71.67
2022,1,10,20,0,157,-13.4,71.86
2022,1,10,21,0,59,-13.5,73.5
2022,1,10,22,0,18,-13.5,75.97
2022,1,10,23,0,0,-13.600000000000001,78.39
2022,1,11,0,0,0,-13.8,79.74
2022,1,11,1,0,0,-13.9,80.27
2022,1,11,2,0,0,-13.9,80.25
2022,1,11,3,0,0,-14.100000000000001,78.91
2022,1,11,4,0,0,-14.5,78.56
2022,1,11,5,0,0,-14.700000000000001,78.41
2022,1,11,6,0,0,-14.4,76.3
2022,1,11,7,0,0,-13.8,73.78
2022,1,11,8,0,0,-13.600000000000001,73.21000000000001
2022,1,11,9,0,0,-13.8,74.17
2022,1,11,10,0,0,-14.100000000000001,75.81
2022,1,11,11,0,0,-14.4,77.68
2022,1,11,12,0,0,-14.4,79.08
2022,1,11,13,0,0,-13.700000000000001,80.14
2022,1,11,14,0,53,-11.700000000000001,80.32000000000001
2022,1,11,15,0,78,-9.600000000000001,78.78
2022,1,11,16,0,162,-7.7,76.89
2022,1,11,17,0,229,-6.4,75.71000000000001
2022,1,11,18,0,376,-6,74.92
2022,1,11,19,0,405,-6.300000000000001,74.15
2022,1,11,20,0,314,-6.5,74.56
2022,1,11,21,0,183,-6.800000000000001,77.55
2022,1,11,22,0,30,-6.800000000000001,80.36
2022,1,11,23,0,0,-6,83.13
2022,1,12,0,0,0,-4.7,85.28
2022,1,12,1,0,0,-3.5,88.3
2022,1,12,2,0,0,-2.2,90.42
2022,1,12,3,0,0,-1.2000000000000002,92.65
2022,1,12,4,0,0,-0.7000000000000001,94.01
2022,1,12,5,0,0,-0.9,94.60000000000001
2022,1,12,6,0,0,-1.2000000000000002,93.35000000000001
2022,1,12,7,0,0,-1.5,92.12
2022,1,12,8,0,0,-1.9000000000000001,92.86
2022,1,12,9,0,0,-2.7,95.37
2022,1,12,10,0,0,-3.3000000000000003,96.24000000000001
2022,1,12,11,0,0,-3.7,96.33
2022,1,12,12,0,0,-4.2,96.4
2022,1,12,13,0,0,-4.3,94.60000000000001
2022,1,12,14,0,32,-3.1,90.94
2022,1,12,15,0,42,-1.1,86.31
2022,1,12,16,0,268,-0.2,82.86
2022,1,12,17,0,49,0.2,82.66
2022,1,12,18,0,100,0.4,83.22
2022,1,12,19,0,282,0.5,84.29
2022,1,12,20,0,58,0.4,86.09
2022,1,12,21,0,178,-0.6000000000000001,90.22
2022,1,12,22,0,16,-2.7,90.58
2022,1,12,23,0,0,-3.9000000000000004,91.94
2022,1,13,0,0,0,-4.7,93.09
2022,1,13,1,0,0,-5.4,94.16
2022,1,13,2,0,0,-6,95.42
2022,1,13,3,0,0,-6.1000000000000005,95.05
2022,1,13,4,0,0,-6.1000000000000005,94.38
2022,1,13,5,0,0,-6.300000000000001,94.85000000000001
2022,1,13,6,0,0,-6.300000000000001,93.97
2022,1,13,7,0,0,-6.2,92.56
2022,1,13,8,0,0,-6.1000000000000005,91.54
2022,1,13,9,0,0,-6.2,91.83
2022,1,13,10,0,0,-6.2,91.33
2022,1,13,11,0,0,-6.2,91.33
2022,1,13,12,0,0,-6.2,91.32000000000001
2022,1,13,13,0,0,-6.300000000000001,91.88
2022,1,13,14,0,87,-5.2,90.04
2022,1,13,15,0,149,-3,84.68
2022,1,13,16,0,174,-1.7000000000000002,80.43
2022,1,13,17,0,212,-0.9,78.65
2022,1,13,18,0,447,-0.30000000000000004,78.24
2022,1,13,19,0,409,0.1,78.49
2022,1,13,20,0,317,0,81.78
2022,1,13,21,0,98,-1.4000000000000001,86.07000000000001
2022,1,13,22,0,45,-3.9000000000000004,89.58
2022,1,13,23,0,0,-4.5,91.92
2022,1,14,0,0,0,-4.4,93.31
2022,1,14,1,0,0,-4.3,94.78
2022,1,14,2,0,0,-4.3,95.85000000000001
2022,1,14,3,0,0,-4.4,94.92
2022,1,14,4,0,0,-5.1000000000000005,92.9
2022,1,14,5,0,0,-6.1000000000000005,89.15
2022,1,14,6,0,0,-7.4,85.97
2022,1,14,7,0,0,-9,85.48
2022,1,14,8,0,0,-10.4,84.88
2022,1,14,9,0,0,-11.4,84.3
2022,1,14,10,0,0,-12.200000000000001,83.16
2022,1,14,11,0,0,-13,81.87
2022,1,14,12,0,0,-14,81.85000000000001
2022,1,14,13,0,0,-14.5,80.94
2022,1,14,14,0,60,-12.5,76.84
2022,1,14,15,0,184,-10.200000000000001,72.97
2022,1,14,16,0,271,-9.3,71.17
2022,1,14,17,0,331,-8.6,69.49
2022,1,14,18,0,349,-8.3,68.57000000000001
2022,1,14,19,0,297,-8.4,68.58
2022,1,14,20,0,239,-9,69.85000000000001
2022,1,14,21,0,143,-9.8,70.82000000000001
2022,1,14,22,0,26,-11,73.06
2022,1,14,23,0,0,-12,74.10000000000001
2022,1,15,0,0,0,-12.700000000000001,74.28
2022,1,15,1,0,0,-13.4,74.77
2022,1,15,2,0,0,-14,75.34
2022,1,15,3,0,0,-14.3,75.7
2022,1,15,4,0,0,-14.4,75.91
2022,1,15,5,0,0,-14.4,75.95
2022,1,15,6,0,0,-14.4,75.91
2022,1,15,7,0,0,-14.3,76.33
2022,1,15,8,0,0,-14.100000000000001,76.45
2022,1,15,9,0,0,-14,76.65
2022,1,15,10,0,0,-14.100000000000001,77.72
2022,1,15,11,0,0,-14,77.47
2022,1,15,12,0,0,-14,77.35000000000001
2022,1,15,13,0,0,-14.100000000000001,77.39
2022,1,15,14,0,53,-13.200000000000001,75.99
2022,1,15,15,0,248,-11.9,74.32000000000001
2022,1,15,16,0,379,-10.600000000000001,72.16
2022,1,15,17,0,458,-9.600000000000001,70.13
2022,1,15,18,0,479,-9,68.71000000000001
2022,1,15,19,0,441,-8.700000000000001,67.7
2022,1,15,20,0,348,-8.9,68.60000000000001
2022,1,15,21,0,211,-10.3,71.52
2022,1,15,22,0,35,-12.8,74.01
2022,1,15,23,0,0,-13.600000000000001,75.64
2022,1,16,0,0,0,-13.700000000000001,75.7
2022,1,16,1,0,0,-13.9,75.38
2022,1,16,2,0,0,-14.4,76.5
2022,1,16,3,0,0,-15.3,79.38
2022,1,16,4,0,0,-16.1,82.03
2022,1,16,5,0,0,-16.900000000000002,84.93
2022,1,16,6,0,0,-17.7,87.36
2022,1,16,7,0,0,-18.3,87.62
2022,1,16,8,0,0,-18.8,86.88
2022,1,16,9,0,0,-19.200000000000003,85.47
2022,1,16,10,0,0,-19.6,84.27
2022,1,16,11,0,0,-19.900000000000002,83.51
2022,1,16,12,0,0,-20.1,83.71000000000001
2022,1,16,13,0,0,-19.8,83.69
2022,1,16,14,0,99,-17.2,80.4
2022,1,16,15,0,251,-13.100000000000001,78.66
2022,1,16,16,0,377,-10.3,79.77
2022,1,16,17,0,450,-8.3,77.89
2022,1,16,18,0,413,-7,75.63
2022,1,16,19,0,398,-6.5,74.97
2022,1,16,20,0,264,-6.300000000000001,75.17
2022,1,16,21,0,148,-6.9,76.99
2022,1,16,22,0,31,-7.800000000000001,76.69
2022,1,16,23,0,0,-8.200000000000001,76.51
2022,1,17,0,0,0,-8.4,76.81
2022,1,17,1,0,0,-8.5,77.24
2022,1,17,2,0,0,-8.5,77.41
2022,1,17,3,0,0,-8.5,77.78
2022,1,17,4,0,0,-8.4,76.76
2022,1,17,5,0,0,-9,78.79
2022,1,17,6,0,0,-9.9,82.84
2022,1,17,7,0,0,-9.9,85.57000000000001
