Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,820647,-,b'California',b'United States',37.36,-118.39,0,1262,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,103,0.9,59.5
2022,1,1,1,0,0,-2.3000000000000003,59.050000000000004
2022,1,1,2,0,0,-3.8000000000000003,59.86
2022,1,1,3,0,0,-5.2,59.83
2022,1,1,4,0,0,-6.6000000000000005,59.31
2022,1,1,5,0,0,-7.4,58.620000000000005
2022,1,1,6,0,0,-8.4,59.15
2022,1,1,7,0,0,-9.3,59.18
2022,1,1,8,0,0,-10.200000000000001,58.96
2022,1,1,9,0,0,-10.5,56.29
2022,1,1,10,0,0,-10.3,50.96
2022,1,1,11,0,0,-10,44.800000000000004
2022,1,1,12,0,0,-10,40.4
2022,1,1,13,0,0,-9.8,36.52
2022,1,1,14,0,0,-9.3,32.3
2022,1,1,15,0,0,-8.4,28.25
2022,1,1,16,0,125,-6.2,25.07
2022,1,1,17,0,297,-2.5,28.98
2022,1,1,18,0,438,1.4000000000000001,33.28
2022,1,1,19,0,528,3.3000000000000003,34.04
2022,1,1,20,0,551,4.800000000000001,35
2022,1,1,21,0,517,5.6000000000000005,36.06
2022,1,1,22,0,418,5.6000000000000005,40.13
2022,1,1,23,0,273,4.7,45.050000000000004
2022,1,2,0,0,104,2.6,38.9
2022,1,2,1,0,0,0.6000000000000001,37.81
2022,1,2,2,0,0,-1,39.86
2022,1,2,3,0,0,-1.9000000000000001,40.5
2022,1,2,4,0,0,-3,40.67
2022,1,2,5,0,0,-3.9000000000000004,40.9
2022,1,2,6,0,0,-4.6000000000000005,40.77
2022,1,2,7,0,0,-5.1000000000000005,40.58
2022,1,2,8,0,0,-5.4,40.17
2022,1,2,9,0,0,-5.6000000000000005,39.25
2022,1,2,10,0,0,-5.7,37.92
2022,1,2,11,0,0,-5.800000000000001,37.33
2022,1,2,12,0,0,-5.800000000000001,37.22
2022,1,2,13,0,0,-5.800000000000001,37.09
2022,1,2,14,0,0,-5.800000000000001,36.71
2022,1,2,15,0,0,-5.7,37.08
2022,1,2,16,0,122,-3.8000000000000003,36.86
2022,1,2,17,0,262,0,40.69
2022,1,2,18,0,426,3.6,40.67
2022,1,2,19,0,401,5,43.85
2022,1,2,20,0,546,6.1000000000000005,45.93
2022,1,2,21,0,508,6.6000000000000005,46.79
2022,1,2,22,0,416,6.5,49.34
2022,1,2,23,0,275,5.300000000000001,56.300000000000004
2022,1,3,0,0,106,2.5,55.01
2022,1,3,1,0,0,-0.30000000000000004,50.58
2022,1,3,2,0,0,-2,49.04
2022,1,3,3,0,0,-3.1,47.53
2022,1,3,4,0,0,-3.7,45.63
2022,1,3,5,0,0,-4,43.67
2022,1,3,6,0,0,-4.2,41.26
