Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,6209872,-,b'Maine',b'United States',46.86,-68.01,0,149,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,-5.7,93.81
2022,1,1,1,0,0,-4.800000000000001,93.67
2022,1,1,2,0,0,-4,93.98
2022,1,1,3,0,0,-3.7,93.77
2022,1,1,4,0,0,-3.8000000000000003,93.82000000000001
2022,1,1,5,0,0,-3.9000000000000004,93.22
2022,1,1,6,0,0,-3.8000000000000003,93.52
2022,1,1,7,0,0,-3.6,93.66
2022,1,1,8,0,0,-3.5,93.84
2022,1,1,9,0,0,-3.6,93.96000000000001
2022,1,1,10,0,0,-3.7,93.74
2022,1,1,11,0,0,-3.7,93.77
2022,1,1,12,0,0,-3.2,93.78
2022,1,1,13,0,61,-2.3000000000000003,94.08
2022,1,1,14,0,70,-1.1,94.60000000000001
2022,1,1,15,0,109,0,95.58
2022,1,1,16,0,333,0.5,96.78
2022,1,1,17,0,59,0.6000000000000001,97.09
2022,1,1,18,0,75,0.7000000000000001,96.81
2022,1,1,19,0,29,0.6000000000000001,97.62
2022,1,1,20,0,31,0.6000000000000001,97.78
2022,1,1,21,0,0,0.6000000000000001,97.63
2022,1,1,22,0,0,0.6000000000000001,97.36
2022,1,1,23,0,0,0.5,97.94
2022,1,2,0,0,0,0.5,97.63
2022,1,2,1,0,0,0.5,97.42
2022,1,2,2,0,0,0.4,97.44
2022,1,2,3,0,0,0.30000000000000004,96.55
2022,1,2,4,0,0,-0.2,96.38
2022,1,2,5,0,0,-0.9,94.68
2022,1,2,6,0,0,-2,94.4
2022,1,2,7,0,0,-2.8000000000000003,93.69
2022,1,2,8,0,0,-3.6,92.87
2022,1,2,9,0,0,-4.3,91.56
2022,1,2,10,0,0,-5.1000000000000005,90.71000000000001
2022,1,2,11,0,0,-6,88.7
2022,1,2,12,0,0,-7.1000000000000005,87.42
2022,1,2,13,0,24,-7.800000000000001,86.03
2022,1,2,14,0,86,-8.1,85.06
