Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1819764,-,b'Wyoming',b'United States',42.86,-106.33,0,1574,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,-8.700000000000001,60.61
2022,1,1,1,0,0,-10,65.29
2022,1,1,2,0,0,-11.100000000000001,68.58
2022,1,1,3,0,0,-11.600000000000001,68.64
2022,1,1,4,0,0,-11.9,68.04
2022,1,1,5,0,0,-12.100000000000001,67.27
2022,1,1,6,0,0,-12.3,66.87
2022,1,1,7,0,0,-12.600000000000001,66.56
2022,1,1,8,0,0,-13,65.48
2022,1,1,9,0,0,-13.700000000000001,65.15
2022,1,1,10,0,0,-14.5,64.61
2022,1,1,11,0,0,-15.100000000000001,63.72
2022,1,1,12,0,0,-15.4,62.47
2022,1,1,13,0,0,-15.700000000000001,62.14
2022,1,1,14,0,0,-15.9,62.15
2022,1,1,15,0,43,-15.3,60.03
2022,1,1,16,0,194,-13.4,55.53
2022,1,1,17,0,330,-11.5,50.9
2022,1,1,18,0,423,-9.4,45.480000000000004
2022,1,1,19,0,461,-7.6000000000000005,40.07
2022,1,1,20,0,440,-6.6000000000000005,36.88
2022,1,1,21,0,362,-6.2,36.160000000000004
2022,1,1,22,0,237,-6.800000000000001,36.71
2022,1,1,23,0,85,-9.3,48.27
2022,1,2,0,0,0,-10.8,52.77
2022,1,2,1,0,0,-11.600000000000001,52.92
2022,1,2,2,0,0,-11.9,50.85
2022,1,2,3,0,0,-11.600000000000001,48.52
2022,1,2,4,0,0,-11.600000000000001,49.870000000000005
2022,1,2,5,0,0,-11.9,52.78
2022,1,2,6,0,0,-12.200000000000001,54.68
2022,1,2,7,0,0,-12.5,55.72
2022,1,2,8,0,0,-12.8,56.08
2022,1,2,9,0,0,-13,56.04
2022,1,2,10,0,0,-13,55.52
2022,1,2,11,0,0,-13,55.65
2022,1,2,12,0,0,-12.9,55.19
2022,1,2,13,0,0,-12.9,54.7
2022,1,2,14,0,0,-13,54.38
2022,1,2,15,0,40,-12,51.230000000000004
2022,1,2,16,0,184,-9.4,46.4
2022,1,2,17,0,317,-6.1000000000000005,41.910000000000004
2022,1,2,18,0,280,-3.4000000000000004,38.86
2022,1,2,19,0,354,-1.4000000000000001,36.97
2022,1,2,20,0,338,-0.4,37.26
2022,1,2,21,0,134,-0.7000000000000001,40.06
2022,1,2,22,0,233,-2,45.24
2022,1,2,23,0,84,-4.1000000000000005,52.02
2022,1,3,0,0,0,-5.5,55.72
2022,1,3,1,0,0,-6.4,57.1
2022,1,3,2,0,0,-7,56.74
2022,1,3,3,0,0,-7.300000000000001,55.74
2022,1,3,4,0,0,-7.300000000000001,55
2022,1,3,5,0,0,-7.2,55.050000000000004
2022,1,3,6,0,0,-7,55.02
2022,1,3,7,0,0,-7.1000000000000005,55.78
2022,1,3,8,0,0,-7.1000000000000005,55.81
2022,1,3,9,0,0,-7.1000000000000005,55.74
2022,1,3,10,0,0,-7.300000000000001,56.39
2022,1,3,11,0,0,-7.5,56.86
2022,1,3,12,0,0,-7.7,57.47
2022,1,3,13,0,0,-7.9,58.18
2022,1,3,14,0,0,-8,58.47
2022,1,3,15,0,29,-7.1000000000000005,55.61
2022,1,3,16,0,145,-5,50.78
2022,1,3,17,0,273,-2.2,43.660000000000004
2022,1,3,18,0,346,-0.1,40.58
2022,1,3,19,0,366,1.6,37.32
2022,1,3,20,0,358,2.3000000000000003,37.35
2022,1,3,21,0,364,2,40.06
2022,1,3,22,0,240,0.9,45.35
2022,1,3,23,0,57,-0.9,52.1
2022,1,4,0,0,0,-2.1,56.29
2022,1,4,1,0,0,-2.5,56.13
2022,1,4,2,0,0,-2.7,55.050000000000004
2022,1,4,3,0,0,-2.8000000000000003,54.620000000000005
2022,1,4,4,0,0,-2.5,53.75
2022,1,4,5,0,0,-2,52.83
2022,1,4,6,0,0,-1.7000000000000002,52.89
2022,1,4,7,0,0,-1.7000000000000002,53.29
2022,1,4,8,0,0,-2.1,54.64
2022,1,4,9,0,0,-2.3000000000000003,55.18
2022,1,4,10,0,0,-2.3000000000000003,54.74
2022,1,4,11,0,0,-2.3000000000000003,53.28
2022,1,4,12,0,0,-1.7000000000000002,52.18
2022,1,4,13,0,0,-1.6,57.61
2022,1,4,14,0,0,-1.1,62.33
2022,1,4,15,0,21,0,62.1
2022,1,4,16,0,180,1.7000000000000002,56.46
2022,1,4,17,0,313,2.5,49.26
2022,1,4,18,0,324,1.8,45.050000000000004
2022,1,4,19,0,443,1.4000000000000001,42.74
2022,1,4,20,0,359,1,42.79
2022,1,4,21,0,315,0.30000000000000004,45.480000000000004
2022,1,4,22,0,71,-0.7000000000000001,50.08
2022,1,4,23,0,41,-2.1,54.71
2022,1,5,0,0,0,-3.4000000000000004,57.47
2022,1,5,1,0,0,-4.6000000000000005,59.63
2022,1,5,2,0,0,-6,62.160000000000004
2022,1,5,3,0,0,-7.2,63.95
2022,1,5,4,0,0,-8.200000000000001,66.98
2022,1,5,5,0,0,-8.700000000000001,69.42
2022,1,5,6,0,0,-9,71.99
2022,1,5,7,0,0,-9.1,74.32000000000001
2022,1,5,8,0,0,-8.700000000000001,75.01
2022,1,5,9,0,0,-8,74.45
2022,1,5,10,0,0,-7.5,74.27
2022,1,5,11,0,0,-7.4,76.24
2022,1,5,12,0,0,-7.5,77.2
2022,1,5,13,0,0,-8.5,78.52
2022,1,5,14,0,0,-9.600000000000001,77.29
2022,1,5,15,0,19,-10.9,75.54
2022,1,5,16,0,25,-11.700000000000001,73.54
2022,1,5,17,0,114,-12.5,71.05
2022,1,5,18,0,90,-13.4,68.13
2022,1,5,19,0,84,-14.5,65.58
2022,1,5,20,0,116,-15.200000000000001,63.53
2022,1,5,21,0,81,-15.9,62.690000000000005
2022,1,5,22,0,67,-16.7,62.56
2022,1,5,23,0,31,-17.6,63.29
2022,1,6,0,0,0,-18.3,63.550000000000004
2022,1,6,1,0,0,-18.7,63.64
2022,1,6,2,0,0,-18.900000000000002,63
2022,1,6,3,0,0,-18.8,61.53
2022,1,6,4,0,0,-18.3,59.65
2022,1,6,5,0,0,-17.6,58.370000000000005
2022,1,6,6,0,0,-16.7,57.35
2022,1,6,7,0,0,-15.9,57.17
2022,1,6,8,0,0,-15.100000000000001,56.800000000000004
2022,1,6,9,0,0,-14.600000000000001,57.85
2022,1,6,10,0,0,-14.3,60.370000000000005
