Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,4280640,-,b'South Carolina',b'United States',32.78,-79.93,0,8,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,19.5,100
2022,1,1,1,0,0,19.3,100
2022,1,1,2,0,0,19.3,100
2022,1,1,3,0,0,19.200000000000003,100
2022,1,1,4,0,0,19.3,100
2022,1,1,5,0,0,19.3,100
2022,1,1,6,0,0,19.3,100
2022,1,1,7,0,0,19.200000000000003,100
2022,1,1,8,0,0,18.900000000000002,100
2022,1,1,9,0,0,18.7,100
2022,1,1,10,0,0,18.6,100
2022,1,1,11,0,0,18.5,100
2022,1,1,12,0,0,18.5,100
2022,1,1,13,0,71,19.400000000000002,97.59
2022,1,1,14,0,240,20.400000000000002,92.38
2022,1,1,15,0,397,21.6,84.8
2022,1,1,16,0,232,22.400000000000002,79.42
2022,1,1,17,0,566,22.8,76.3
2022,1,1,18,0,561,22.900000000000002,75.03
2022,1,1,19,0,493,22.8,74.96000000000001
2022,1,1,20,0,370,22.3,77.55
2022,1,1,21,0,207,21.3,84.28
2022,1,1,22,0,42,19.900000000000002,93.97
2022,1,1,23,0,0,19.3,99.23
2022,1,2,0,0,0,19.200000000000003,100
2022,1,2,1,0,0,19.1,100
2022,1,2,2,0,0,19.1,100
2022,1,2,3,0,0,19,100
2022,1,2,4,0,0,19.200000000000003,98.84
2022,1,2,5,0,0,19,99.58
2022,1,2,6,0,0,19,97.57000000000001
2022,1,2,7,0,0,19.1,93.98
2022,1,2,8,0,0,19.1,93.3
2022,1,2,9,0,0,19,95.82000000000001
2022,1,2,10,0,0,18.900000000000002,98.60000000000001
2022,1,2,11,0,0,18.900000000000002,99.77
2022,1,2,12,0,0,19,99.44
2022,1,2,13,0,73,19.6,97.12
2022,1,2,14,0,242,20.5,93.46000000000001
2022,1,2,15,0,394,21.5,88.26
2022,1,2,16,0,509,22.200000000000003,83.93
2022,1,2,17,0,565,22.6,81.49
2022,1,2,18,0,556,22.8,80.71000000000001
2022,1,2,19,0,485,22.6,82.18
2022,1,2,20,0,45,22.1,85.61
2022,1,2,21,0,7,20.900000000000002,93.38
2022,1,2,22,0,15,19.900000000000002,98.97
2022,1,2,23,0,0,19.6,99.87
2022,1,3,0,0,0,19.6,99.84
2022,1,3,1,0,0,19.700000000000003,99.85000000000001
2022,1,3,2,0,0,19.8,100
2022,1,3,3,0,0,19.900000000000002,100
2022,1,3,4,0,0,20,99.52
2022,1,3,5,0,0,20.1,98.43
2022,1,3,6,0,0,20.200000000000003,97.54
2022,1,3,7,0,0,20.5,97.10000000000001
2022,1,3,8,0,0,20.900000000000002,94.29
2022,1,3,9,0,0,20.900000000000002,91.04
2022,1,3,10,0,0,18.1,87.37
2022,1,3,11,0,0,12.200000000000001,80.38
2022,1,3,12,0,0,10.200000000000001,79.14
2022,1,3,13,0,32,9.9,74.53
2022,1,3,14,0,60,10.600000000000001,71.45
2022,1,3,15,0,85,11.700000000000001,69.65
2022,1,3,16,0,166,12.200000000000001,65.51
2022,1,3,17,0,440,12.5,62.83
2022,1,3,18,0,351,13.100000000000001,61.52
2022,1,3,19,0,515,13.4,61.4
2022,1,3,20,0,285,13.200000000000001,62.32
2022,1,3,21,0,226,12.5,64.41
2022,1,3,22,0,36,11.200000000000001,70.62
2022,1,3,23,0,0,10.3,74.42
2022,1,4,0,0,0,9.600000000000001,76.49
2022,1,4,1,0,0,8.8,79.13
2022,1,4,2,0,0,8.1,81.24
2022,1,4,3,0,0,7.7,81.64
2022,1,4,4,0,0,7.4,81.43
2022,1,4,5,0,0,7,82.12
2022,1,4,6,0,0,6.7,83.03
2022,1,4,7,0,0,6.4,84.37
2022,1,4,8,0,0,6.2,84.43
2022,1,4,9,0,0,5.9,85.43
2022,1,4,10,0,0,5.7,86.54
2022,1,4,11,0,0,5.6000000000000005,87.55
2022,1,4,12,0,0,5.7,87.31
2022,1,4,13,0,54,6.800000000000001,80.92
2022,1,4,14,0,268,8.1,73.03
2022,1,4,15,0,429,9.5,66.93
2022,1,4,16,0,546,10.700000000000001,63.230000000000004
2022,1,4,17,0,600,11.600000000000001,61.52
2022,1,4,18,0,591,12.3,60.99
2022,1,4,19,0,520,12.700000000000001,62
2022,1,4,20,0,388,12.700000000000001,64.98
2022,1,4,21,0,220,12.100000000000001,72.87
2022,1,4,22,0,42,10.5,83.78
2022,1,4,23,0,0,10.200000000000001,86.88
2022,1,5,0,0,0,10.3,88.83
2022,1,5,1,0,0,10.4,92.14
2022,1,5,2,0,0,10.8,94.05
2022,1,5,3,0,0,11.4,94.10000000000001
2022,1,5,4,0,0,11.700000000000001,94.55
2022,1,5,5,0,0,11.9,94.59
2022,1,5,6,0,0,12.100000000000001,94.29
2022,1,5,7,0,0,12.200000000000001,94.87
2022,1,5,8,0,0,12.200000000000001,95.81
2022,1,5,9,0,0,12.3,95.76
2022,1,5,10,0,0,12.3,95.58
2022,1,5,11,0,0,11.9,96.14
2022,1,5,12,0,0,11.700000000000001,95.92
2022,1,5,13,0,20,11.9,94.95
2022,1,5,14,0,237,12.3,93.48
2022,1,5,15,0,142,12.9,92.05
2022,1,5,16,0,300,13.5,89.72
2022,1,5,17,0,568,14.3,86.45
2022,1,5,18,0,386,15.200000000000001,82.63
2022,1,5,19,0,505,15.9,79.74
2022,1,5,20,0,385,16.1,78.58
2022,1,5,21,0,222,15.5,82.5
2022,1,5,22,0,52,13.5,89.96000000000001
2022,1,5,23,0,0,12.9,92.73
2022,1,6,0,0,0,12.600000000000001,94.61
2022,1,6,1,0,0,12.200000000000001,96.37
2022,1,6,2,0,0,11.700000000000001,97.62
2022,1,6,3,0,0,11.100000000000001,98.27
2022,1,6,4,0,0,10.600000000000001,97.28
2022,1,6,5,0,0,10.100000000000001,96.27
2022,1,6,6,0,0,9.700000000000001,95
2022,1,6,7,0,0,9.3,94.7
2022,1,6,8,0,0,9,94.75
2022,1,6,9,0,0,8.700000000000001,95.54
2022,1,6,10,0,0,8.5,96.16
2022,1,6,11,0,0,8.3,96.9
2022,1,6,12,0,0,8.700000000000001,95.11
2022,1,6,13,0,75,10,89.36
2022,1,6,14,0,148,11.200000000000001,84.47
2022,1,6,15,0,411,12.9,76.27
2022,1,6,16,0,528,15.100000000000001,63.54
2022,1,6,17,0,587,16,59.35
2022,1,6,18,0,585,16.3,59.21
2022,1,6,19,0,519,16.400000000000002,60
