Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1028018,-,-,-,38.37,-81.62,0,229,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,GHI,Relative Humidity
2022,1,1,0,30,13.9,0,87.24
2022,1,1,1,30,14.200000000000001,0,88.43
2022,1,1,2,30,14.700000000000001,0,90.76
2022,1,1,3,30,15.4,0,92.91
2022,1,1,4,30,16,0,94.78
2022,1,1,5,30,16.3,0,95.76
2022,1,1,6,30,16.400000000000002,0,95.94
2022,1,1,7,30,16.2,0,97.05
2022,1,1,8,30,16,0,97.58
2022,1,1,9,30,15.5,0,99.54
2022,1,1,10,30,15.3,0,98.61
2022,1,1,11,30,15,0,100
2022,1,1,12,30,15.100000000000001,0,96.99000000000001
2022,1,1,13,30,15.8,7,95.42
2022,1,1,14,30,16.6,21,93.93
2022,1,1,15,30,17.3,24,89.86
2022,1,1,16,30,17.7,13,82.74
2022,1,1,17,30,17.900000000000002,67,78.16
2022,1,1,18,30,17.900000000000002,37,78.15
2022,1,1,19,30,17.7,166,80.63
2022,1,1,20,30,17.2,35,86.62
2022,1,1,21,30,17,12,88.67
2022,1,1,22,30,17.3,0,88.65
2022,1,1,23,30,17.400000000000002,0,89.78
2022,1,2,0,30,17.2,0,91.54
2022,1,2,1,30,16.5,0,94.95
2022,1,2,2,30,15.700000000000001,0,97.54
2022,1,2,3,30,14.8,0,99.37
2022,1,2,4,30,14.100000000000001,0,99.11
2022,1,2,5,30,13.700000000000001,0,98.71000000000001
2022,1,2,6,30,13.3,0,98.8
2022,1,2,7,30,12.700000000000001,0,99.18
2022,1,2,8,30,11.700000000000001,0,100
2022,1,2,9,30,10.9,0,98.5
2022,1,2,10,30,10.600000000000001,0,97.26
2022,1,2,11,30,10.5,0,96.86
2022,1,2,12,30,10.4,0,96.03
2022,1,2,13,30,10.4,47,94.7
2022,1,2,14,30,10.4,19,91.9
2022,1,2,15,30,10.200000000000001,57,88.46000000000001
2022,1,2,16,30,9.8,53,84.92
2022,1,2,17,30,9,70,83.98
2022,1,2,18,30,8,86,84.16
2022,1,2,19,30,7,44,83.21000000000001
2022,1,2,20,30,6,12,82.38
2022,1,2,21,30,5.2,10,82.09
2022,1,2,22,30,4.4,0,83.91
2022,1,2,23,30,3.8000000000000003,0,84.63
2022,1,3,0,30,3.2,0,85.68
2022,1,3,1,30,2.6,0,85.52
2022,1,3,2,30,1.9000000000000001,0,85.83
2022,1,3,3,30,1.3,0,84.10000000000001
2022,1,3,4,30,0.8,0,81.95
2022,1,3,5,30,0.4,0,80.4
2022,1,3,6,30,0,0,81.22
2022,1,3,7,30,-0.5,0,81.59
