Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,4012101,-,b'Ohio',b'United States',39.96,-83.01,0,222,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,10.8,96.9
2022,1,1,1,0,0,10.9,97.5
2022,1,1,2,0,0,11.100000000000001,98.82000000000001
2022,1,1,3,0,0,11.4,100
2022,1,1,4,0,0,11.9,100
2022,1,1,5,0,0,12.5,100
2022,1,1,6,0,0,13.3,99.97
2022,1,1,7,0,0,14,98.42
2022,1,1,8,0,0,14.100000000000001,97.81
2022,1,1,9,0,0,13.5,98.01
2022,1,1,10,0,0,12.100000000000001,100
2022,1,1,11,0,0,11.600000000000001,100
2022,1,1,12,0,0,11.700000000000001,100
2022,1,1,13,0,0,11.5,100
2022,1,1,14,0,20,12,97.19
2022,1,1,15,0,5,12.4,95.68
2022,1,1,16,0,30,12.700000000000001,94.65
2022,1,1,17,0,16,12.8,94.71000000000001
2022,1,1,18,0,13,12.8,95.07000000000001
2022,1,1,19,0,8,12.3,96.25
2022,1,1,20,0,5,11.5,95.85000000000001
2022,1,1,21,0,4,10.200000000000001,96.02
2022,1,1,22,0,5,8.5,95.22
2022,1,1,23,0,0,6.9,93.89
2022,1,2,0,0,0,5.6000000000000005,92.02
2022,1,2,1,0,0,4.7,92.12
2022,1,2,2,0,0,4.4,91.79
2022,1,2,3,0,0,3.9000000000000004,92.25
2022,1,2,4,0,0,3.4000000000000004,92.39
2022,1,2,5,0,0,2.9000000000000004,90.73
2022,1,2,6,0,0,2.5,89.49
2022,1,2,7,0,0,2.2,88.97
2022,1,2,8,0,0,1.9000000000000001,88.79
2022,1,2,9,0,0,1.7000000000000002,87.88
2022,1,2,10,0,0,1.4000000000000001,87.44
2022,1,2,11,0,0,1.1,86.36
2022,1,2,12,0,0,0.6000000000000001,85.67
2022,1,2,13,0,0,0,84.28
2022,1,2,14,0,127,-0.2,81.21000000000001
2022,1,2,15,0,273,0.30000000000000004,76.66
2022,1,2,16,0,84,0.9,73.22
2022,1,2,17,0,75,1.3,70.93
2022,1,2,18,0,110,1.4000000000000001,69.67
2022,1,2,19,0,7,1.2000000000000002,69.39
2022,1,2,20,0,39,0.7000000000000001,70.17
2022,1,2,21,0,23,-0.1,72.72
2022,1,2,22,0,8,-0.9,77.18
2022,1,2,23,0,0,-1.5,78.93
2022,1,3,0,0,0,-2.1,79.96000000000001
2022,1,3,1,0,0,-2.8000000000000003,81.58
2022,1,3,2,0,0,-3.6,83.84
2022,1,3,3,0,0,-4.7,87.36
2022,1,3,4,0,0,-4.800000000000001,85.59
2022,1,3,5,0,0,-4.800000000000001,83.37
2022,1,3,6,0,0,-4.7,81.37
2022,1,3,7,0,0,-4.6000000000000005,79.35000000000001
2022,1,3,8,0,0,-4.7,78.32000000000001
2022,1,3,9,0,0,-4.9,76.7
2022,1,3,10,0,0,-5,74.94
2022,1,3,11,0,0,-5.1000000000000005,72.8
2022,1,3,12,0,0,-5.300000000000001,72.03
2022,1,3,13,0,0,-5.300000000000001,71.52
2022,1,3,14,0,85,-4.1000000000000005,64.74
2022,1,3,15,0,158,-3,60.46
2022,1,3,16,0,197,-2,57.7
2022,1,3,17,0,300,-1.2000000000000002,55.71
2022,1,3,18,0,491,-0.8,55.1
2022,1,3,19,0,439,-0.9,55.72
2022,1,3,20,0,332,-1.4000000000000001,57.54
2022,1,3,21,0,185,-2.6,67.19
2022,1,3,22,0,34,-4.800000000000001,79.57000000000001
2022,1,3,23,0,0,-5,80.18
2022,1,4,0,0,0,-5,80.73
2022,1,4,1,0,0,-4.9,80.91
2022,1,4,2,0,0,-4.800000000000001,81.11
2022,1,4,3,0,0,-4.7,81.5
2022,1,4,4,0,0,-4.6000000000000005,82.04
2022,1,4,5,0,0,-4.6000000000000005,82.99
2022,1,4,6,0,0,-4.6000000000000005,83.63
2022,1,4,7,0,0,-4.5,83.31
2022,1,4,8,0,0,-4.5,83.14
2022,1,4,9,0,0,-4.5,82.54
2022,1,4,10,0,0,-4.6000000000000005,82.71000000000001
2022,1,4,11,0,0,-4.7,83.74
2022,1,4,12,0,0,-4.800000000000001,85.2
2022,1,4,13,0,0,-4.3,83.61
2022,1,4,14,0,148,-2.2,72.31
2022,1,4,15,0,300,-0.1,62.190000000000005
2022,1,4,16,0,417,1.5,57.36
2022,1,4,17,0,482,2.7,54.63
2022,1,4,18,0,489,3.7,52.43
2022,1,4,19,0,437,4.2,53.04
2022,1,4,20,0,335,3.8000000000000003,58.43
2022,1,4,21,0,188,1.4000000000000001,74.33
2022,1,4,22,0,36,-0.8,79.66
2022,1,4,23,0,0,-0.4,78.11
2022,1,5,0,0,0,-0.2,79.34
2022,1,5,1,0,0,0,81.95
2022,1,5,2,0,0,0.2,84.82000000000001
2022,1,5,3,0,0,0.30000000000000004,87.79
2022,1,5,4,0,0,0.4,89.65
2022,1,5,5,0,0,0.4,90.8
2022,1,5,6,0,0,0.5,90.14
2022,1,5,7,0,0,0.5,89.88
2022,1,5,8,0,0,0.6000000000000001,89.82000000000001
2022,1,5,9,0,0,0.6000000000000001,91.19
