Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,794722,-,-,-,35.09,-92.46,0,103,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,GHI,Relative Humidity
2022,1,1,0,30,16.6,0,100
2022,1,1,1,30,16.8,0,99.53
2022,1,1,2,30,16.7,0,100
2022,1,1,3,30,16.8,0,99.34
2022,1,1,4,30,17.2,0,98.52
2022,1,1,5,30,17.900000000000002,0,96.63
2022,1,1,6,30,18.6,0,97.89
2022,1,1,7,30,18.7,0,99.69
2022,1,1,8,30,18.2,0,100
2022,1,1,9,30,17.7,0,100
2022,1,1,10,30,17.3,0,100
2022,1,1,11,30,17,0,100
2022,1,1,12,30,16.900000000000002,0,100
2022,1,1,13,30,17.3,3,97.78
2022,1,1,14,30,18.400000000000002,6,96.53
2022,1,1,15,30,19.5,6,96.25
2022,1,1,16,30,20.200000000000003,14,97.18
2022,1,1,17,30,20.6,11,97.39
2022,1,1,18,30,20.5,32,99.31
2022,1,1,19,30,19.900000000000002,23,100
2022,1,1,20,30,18.1,47,100
2022,1,1,21,30,15.3,35,100
2022,1,1,22,30,12.600000000000001,34,95.16
2022,1,1,23,30,10.700000000000001,0,94.95
2022,1,2,0,30,8.9,0,94.47
2022,1,2,1,30,6.7,0,91.23
2022,1,2,2,30,4.7,0,85.35000000000001
2022,1,2,3,30,3.3000000000000003,0,79.9
2022,1,2,4,30,2.4000000000000004,0,77.10000000000001
2022,1,2,5,30,1.6,0,76.12
2022,1,2,6,30,0.7000000000000001,0,75.14
2022,1,2,7,30,-0.2,0,73.85000000000001
2022,1,2,8,30,-1,0,72.58
2022,1,2,9,30,-1.8,0,72.45
2022,1,2,10,30,-2.4000000000000004,0,72.23
2022,1,2,11,30,-2.9000000000000004,0,73.11
2022,1,2,12,30,-3.3000000000000003,0,73.69
2022,1,2,13,30,-3.3000000000000003,6,71.36
2022,1,2,14,30,-2.8000000000000003,38,66.46000000000001
2022,1,2,15,30,-2,105,61.800000000000004
2022,1,2,16,30,-1,73,57.86
2022,1,2,17,30,-0.2,108,56.18
