Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,3358289,-,b'Iowa',b'United States',41.52,-90.57,0,180,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,0,94.89
2022,1,1,1,0,0,-0.7000000000000001,94
2022,1,1,2,0,0,-1.5,93.23
2022,1,1,3,0,0,-2.1,90.8
2022,1,1,4,0,0,-2.6,87.64
2022,1,1,5,0,0,-3.3000000000000003,85.94
2022,1,1,6,0,0,-4.2,84.89
2022,1,1,7,0,0,-5,82.09
2022,1,1,8,0,0,-5.9,80.54
2022,1,1,9,0,0,-6.4,78.16
2022,1,1,10,0,0,-6.800000000000001,76.28
2022,1,1,11,0,0,-7,74.49
2022,1,1,12,0,0,-7,73.08
2022,1,1,13,0,0,-7,72.23
2022,1,1,14,0,19,-6.5,70.9
2022,1,1,15,0,84,-6.1000000000000005,70.72
2022,1,1,16,0,118,-5.800000000000001,70.57000000000001
2022,1,1,17,0,148,-5.4,70.26
2022,1,1,18,0,150,-5.1000000000000005,70.71000000000001
2022,1,1,19,0,310,-5.4,73.42
2022,1,1,20,0,239,-6.1000000000000005,75.68
2022,1,1,21,0,141,-6.800000000000001,75.42
2022,1,1,22,0,78,-7.800000000000001,75.77
2022,1,1,23,0,0,-8.5,75.94
2022,1,2,0,0,0,-8.9,75.63
2022,1,2,1,0,0,-9.3,76.34
2022,1,2,2,0,0,-9.600000000000001,77.03
2022,1,2,3,0,0,-10,78.07000000000001
2022,1,2,4,0,0,-10.3,78.2
2022,1,2,5,0,0,-10.700000000000001,78.14
2022,1,2,6,0,0,-11.100000000000001,77.76
2022,1,2,7,0,0,-11.4,76.96000000000001
2022,1,2,8,0,0,-12,76.63
2022,1,2,9,0,0,-12.600000000000001,75.76
2022,1,2,10,0,0,-13.200000000000001,75.24
2022,1,2,11,0,0,-14.200000000000001,75.51
2022,1,2,12,0,0,-15.600000000000001,75.75
2022,1,2,13,0,0,-16.900000000000002,76.21000000000001
2022,1,2,14,0,34,-15.9,73.48
2022,1,2,15,0,152,-13.4,69.64
2022,1,2,16,0,351,-12,69.12
2022,1,2,17,0,443,-10.600000000000001,69.14
2022,1,2,18,0,479,-9.5,69.27
2022,1,2,19,0,455,-8.8,68.91
2022,1,2,20,0,374,-8.700000000000001,69.22
2022,1,2,21,0,245,-9.4,71.5
2022,1,2,22,0,91,-12.100000000000001,72.53
2022,1,2,23,0,0,-13.8,75.65
2022,1,3,0,0,0,-14.100000000000001,77.92
2022,1,3,1,0,0,-14.600000000000001,80.42
2022,1,3,2,0,0,-15.3,82.99
2022,1,3,3,0,0,-15.8,84.4
2022,1,3,4,0,0,-16.1,85.35000000000001
2022,1,3,5,0,0,-16.400000000000002,86.13
2022,1,3,6,0,0,-16.6,86.4
2022,1,3,7,0,0,-16.6,86.16
2022,1,3,8,0,0,-16.5,85.19
2022,1,3,9,0,0,-16.8,85.68
2022,1,3,10,0,0,-17.2,85.23
2022,1,3,11,0,0,-18,85.92
2022,1,3,12,0,0,-18.7,85.56
2022,1,3,13,0,0,-19,83.74
2022,1,3,14,0,58,-17.3,78.11
2022,1,3,15,0,210,-13,69.43
2022,1,3,16,0,348,-10.3,66.34
2022,1,3,17,0,436,-8.1,65.91
2022,1,3,18,0,472,-6.1000000000000005,64.68
2022,1,3,19,0,450,-4.800000000000001,65.49
2022,1,3,20,0,367,-4.1000000000000005,67.67
2022,1,3,21,0,240,-4.3,70.97
2022,1,3,22,0,89,-6.300000000000001,76.34
2022,1,3,23,0,0,-7.7,77.67
2022,1,4,0,0,0,-8,78.73
2022,1,4,1,0,0,-8.1,79.45
2022,1,4,2,0,0,-8.3,80.85000000000001
2022,1,4,3,0,0,-8.4,81.47
2022,1,4,4,0,0,-8.5,81.96000000000001
2022,1,4,5,0,0,-8.5,81.35000000000001
2022,1,4,6,0,0,-8.700000000000001,81.06
2022,1,4,7,0,0,-8.9,80.56
2022,1,4,8,0,0,-9.1,80.61
2022,1,4,9,0,0,-9.200000000000001,81.24
2022,1,4,10,0,0,-9.1,82.41
2022,1,4,11,0,0,-8.8,83.60000000000001
2022,1,4,12,0,0,-8.4,84.89
2022,1,4,13,0,0,-7.9,85.67
2022,1,4,14,0,39,-6.5,84.17
2022,1,4,15,0,129,-4.5,81.79
2022,1,4,16,0,286,-2.2,78.67
2022,1,4,17,0,389,-0.2,75.32000000000001
2022,1,4,18,0,373,0.8,76.06
2022,1,4,19,0,200,1.1,78.09
2022,1,4,20,0,199,0.9,81.47
2022,1,4,21,0,79,0.4,83.51
2022,1,4,22,0,35,-0.2,84.49
2022,1,4,23,0,0,-0.7000000000000001,85.34
2022,1,5,0,0,0,-1.1,85.27
2022,1,5,1,0,0,-1.4000000000000001,85.95
2022,1,5,2,0,0,-1.5,87.7
2022,1,5,3,0,0,-1.3,89.16
2022,1,5,4,0,0,-1.1,90.43
2022,1,5,5,0,0,-1.3,91.39
2022,1,5,6,0,0,-2.5,87.46000000000001
2022,1,5,7,0,0,-5.5,77.78
2022,1,5,8,0,0,-7.6000000000000005,73.38
2022,1,5,9,0,0,-8.5,73.16
2022,1,5,10,0,0,-9.3,72.44
2022,1,5,11,0,0,-10,70.54
2022,1,5,12,0,0,-10.700000000000001,69.35000000000001
2022,1,5,13,0,0,-11.3,68.05
2022,1,5,14,0,56,-11.600000000000001,67.23
2022,1,5,15,0,210,-11.5,65.83
2022,1,5,16,0,349,-11.3,64.8
2022,1,5,17,0,443,-11.100000000000001,64.06
2022,1,5,18,0,475,-10.9,64.31
2022,1,5,19,0,452,-10.600000000000001,64.68
2022,1,5,20,0,373,-10.3,64.91
2022,1,5,21,0,245,-10.100000000000001,65.15
2022,1,5,22,0,93,-10.100000000000001,66.47
2022,1,5,23,0,0,-10.200000000000001,67.4
2022,1,6,0,0,0,-10.9,68.27
2022,1,6,1,0,0,-11.700000000000001,68.79
2022,1,6,2,0,0,-12.9,70.62
2022,1,6,3,0,0,-13.9,72.37
2022,1,6,4,0,0,-14,73.10000000000001
2022,1,6,5,0,0,-14,73.49
2022,1,6,6,0,0,-14.5,74.52
2022,1,6,7,0,0,-14.8,74.61
2022,1,6,8,0,0,-14.600000000000001,74.27
2022,1,6,9,0,0,-14.3,73.83
2022,1,6,10,0,0,-14.100000000000001,73.08
2022,1,6,11,0,0,-14.3,73.24
2022,1,6,12,0,0,-14.5,72.9
2022,1,6,13,0,0,-14.700000000000001,72.51
2022,1,6,14,0,34,-14.5,71.25
2022,1,6,15,0,163,-13.9,69
2022,1,6,16,0,354,-13.100000000000001,66.13
2022,1,6,17,0,450,-12.600000000000001,64.48
2022,1,6,18,0,488,-12.3,63.14
2022,1,6,19,0,466,-12.3,62.160000000000004
2022,1,6,20,0,386,-12.700000000000001,62.15
2022,1,6,21,0,257,-13.4,62.49
2022,1,6,22,0,101,-14.3,62.7
2022,1,6,23,0,0,-15.200000000000001,62.95
2022,1,7,0,0,0,-16.1,62.76
2022,1,7,1,0,0,-17.7,63.92
2022,1,7,2,0,0,-19.3,64.66
2022,1,7,3,0,0,-20.400000000000002,64.97
2022,1,7,4,0,0,-21.1,64.96000000000001
2022,1,7,5,0,0,-21.8,65.9
2022,1,7,6,0,0,-22.200000000000003,66.26
2022,1,7,7,0,0,-22.5,66.84
2022,1,7,8,0,0,-22.8,67.8
2022,1,7,9,0,0,-22.900000000000002,68.4
2022,1,7,10,0,0,-22.700000000000003,68.12
2022,1,7,11,0,0,-22.5,68.53
2022,1,7,12,0,0,-21.8,67.91
2022,1,7,13,0,0,-20.900000000000002,67.11
2022,1,7,14,0,61,-19.700000000000003,65.23
2022,1,7,15,0,217,-17.8,64.34
2022,1,7,16,0,352,-16,63.56
2022,1,7,17,0,447,-14.5,63.35
2022,1,7,18,0,482,-13.100000000000001,62.58
2022,1,7,19,0,457,-12.200000000000001,62.38
2022,1,7,20,0,357,-11.700000000000001,62.11
2022,1,7,21,0,222,-11.700000000000001,64.4
2022,1,7,22,0,49,-13.3,63.59
2022,1,7,23,0,0,-14.5,65.03
2022,1,8,0,0,0,-14.3,67.13
2022,1,8,1,0,0,-13.5,68.49
2022,1,8,2,0,0,-13.5,70.11
2022,1,8,3,0,0,-13.100000000000001,70.89
2022,1,8,4,0,0,-12.8,72
2022,1,8,5,0,0,-12.8,73.19
2022,1,8,6,0,0,-12.600000000000001,74.39
2022,1,8,7,0,0,-12.100000000000001,75.10000000000001
2022,1,8,8,0,0,-11.700000000000001,76.11
2022,1,8,9,0,0,-11.4,76.21000000000001
2022,1,8,10,0,0,-11.200000000000001,76.52
2022,1,8,11,0,0,-11,76.99
2022,1,8,12,0,0,-10.8,77.57000000000001
2022,1,8,13,0,0,-10.5,77.75
2022,1,8,14,0,55,-9.4,77.19
2022,1,8,15,0,203,-7.300000000000001,74.75
2022,1,8,16,0,172,-5,73.13
2022,1,8,17,0,261,-3.3000000000000003,75.14
2022,1,8,18,0,261,-3.3000000000000003,82.04
2022,1,8,19,0,431,-3.6,86.01
2022,1,8,20,0,104,-3.7,88.5
2022,1,8,21,0,233,-3.3000000000000003,89.41
