Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1951980,-,b'Colorado',b'United States',39.74,-104.99,0,1608,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,-3.4000000000000004,80.14
2022,1,1,1,0,0,-4.7,81.85000000000001
2022,1,1,2,0,0,-5.9,80.37
2022,1,1,3,0,0,-7,78.3
2022,1,1,4,0,0,-7.800000000000001,75.29
2022,1,1,5,0,0,-8.200000000000001,73.10000000000001
2022,1,1,6,0,0,-8.4,71.09
2022,1,1,7,0,0,-8.8,70.33
2022,1,1,8,0,0,-9.200000000000001,69.53
2022,1,1,9,0,0,-9.700000000000001,69.18
2022,1,1,10,0,0,-10.200000000000001,69.09
2022,1,1,11,0,0,-10.8,69.11
2022,1,1,12,0,0,-11.5,69.16
2022,1,1,13,0,0,-12,68.22
2022,1,1,14,0,0,-12.5,67.92
2022,1,1,15,0,35,-12.200000000000001,66.46000000000001
2022,1,1,16,0,45,-11.700000000000001,64.51
2022,1,1,17,0,72,-11.5,63.28
2022,1,1,18,0,145,-11.100000000000001,61.67
2022,1,1,19,0,218,-10.5,59.93
2022,1,1,20,0,298,-9.9,59.01
2022,1,1,21,0,234,-9.4,58.49
2022,1,1,22,0,115,-9.1,59.33
2022,1,1,23,0,103,-10.4,57.7
2022,1,2,0,0,0,-12.100000000000001,60.120000000000005
2022,1,2,1,0,0,-13.9,64.1
2022,1,2,2,0,0,-14.9,63.78
2022,1,2,3,0,0,-14.600000000000001,56.82
2022,1,2,4,0,0,-14.100000000000001,49.69
2022,1,2,5,0,0,-13.3,44.77
2022,1,2,6,0,0,-12.8,43.99
2022,1,2,7,0,0,-12.5,43.37
2022,1,2,8,0,0,-12,42.56
2022,1,2,9,0,0,-11.4,42.84
2022,1,2,10,0,0,-10.700000000000001,43.93
2022,1,2,11,0,0,-9.9,45.27
2022,1,2,12,0,0,-9.200000000000001,47.51
2022,1,2,13,0,0,-8.8,50.660000000000004
2022,1,2,14,0,0,-7.9,51.63
2022,1,2,15,0,80,-5.300000000000001,49.88
2022,1,2,16,0,243,-2,47.25
2022,1,2,17,0,382,1.3,44.47
2022,1,2,18,0,475,3.7,42.04
2022,1,2,19,0,510,5,39.69
2022,1,2,20,0,483,5.5,39.06
2022,1,2,21,0,398,5.4,42.07
2022,1,2,22,0,267,4,50.78
2022,1,2,23,0,104,1.5,47.42
2022,1,3,0,0,0,-1.2000000000000002,51.81
2022,1,3,1,0,0,-2.5,54.47
2022,1,3,2,0,0,-3,53.68
2022,1,3,3,0,0,-3.1,52.17
2022,1,3,4,0,0,-3.2,51.38
2022,1,3,5,0,0,-3.3000000000000003,49.97
2022,1,3,6,0,0,-3.6,48.77
2022,1,3,7,0,0,-3.9000000000000004,48.160000000000004
2022,1,3,8,0,0,-4.2,48.79
2022,1,3,9,0,0,-4.4,50.44
2022,1,3,10,0,0,-4.5,51.6
2022,1,3,11,0,0,-4.6000000000000005,52.08
2022,1,3,12,0,0,-4.4,51.32
2022,1,3,13,0,0,-3.9000000000000004,50.13
2022,1,3,14,0,0,-3.2,49.04
2022,1,3,15,0,14,-0.9,48.45
2022,1,3,16,0,43,2.1,48.44
2022,1,3,17,0,298,4.800000000000001,41.83
2022,1,3,18,0,412,7,36.94
2022,1,3,19,0,262,8.6,30.970000000000002
2022,1,3,20,0,436,9,31.6
2022,1,3,21,0,404,8,42.45
2022,1,3,22,0,222,5.300000000000001,49.47
2022,1,3,23,0,70,1.8,47.22
2022,1,4,0,0,0,0.1,46.83
2022,1,4,1,0,0,-0.2,46.7
2022,1,4,2,0,0,-0.5,48.08
2022,1,4,3,0,0,-1.2000000000000002,51.35
2022,1,4,4,0,0,-1.1,50.870000000000005
2022,1,4,5,0,0,-0.8,49.15
2022,1,4,6,0,0,-0.6000000000000001,47.6
2022,1,4,7,0,0,-0.6000000000000001,47.03
2022,1,4,8,0,0,-0.7000000000000001,46.64
2022,1,4,9,0,0,-1,46.43
2022,1,4,10,0,0,-0.9,45.34
2022,1,4,11,0,0,-1,44.39
2022,1,4,12,0,0,-1.6,43.550000000000004
2022,1,4,13,0,0,-2.6,43.550000000000004
2022,1,4,14,0,0,-3.1,43.230000000000004
2022,1,4,15,0,58,-0.2,38.34
2022,1,4,16,0,245,3.1,35.86
2022,1,4,17,0,283,5.300000000000001,35.56
2022,1,4,18,0,476,6.5,36.29
2022,1,4,19,0,513,6.9,35.95
2022,1,4,20,0,487,6.800000000000001,36.06
2022,1,4,21,0,403,6.1000000000000005,38.03
2022,1,4,22,0,270,4.3,44.76
2022,1,4,23,0,108,1.2000000000000002,53.63
2022,1,5,0,0,0,-0.7000000000000001,58.39
2022,1,5,1,0,0,-1.3,59.550000000000004
2022,1,5,2,0,0,-1.8,59.89
2022,1,5,3,0,0,-2.3000000000000003,60.7
2022,1,5,4,0,0,-3.2,63.29
2022,1,5,5,0,0,-3.9000000000000004,64.86
2022,1,5,6,0,0,-4.3,65.16
2022,1,5,7,0,0,-4.5,64.71000000000001
2022,1,5,8,0,0,-4.6000000000000005,63.83
2022,1,5,9,0,0,-4.7,63.190000000000005
2022,1,5,10,0,0,-4.800000000000001,62.7
2022,1,5,11,0,0,-4.9,62
2022,1,5,12,0,0,-5,61.230000000000004
2022,1,5,13,0,0,-4.9,60.160000000000004
2022,1,5,14,0,0,-4.3,58.870000000000005
2022,1,5,15,0,79,-1.1,53.56
2022,1,5,16,0,163,1.6,49.550000000000004
2022,1,5,17,0,310,3.8000000000000003,45.85
2022,1,5,18,0,377,5.300000000000001,44.01
2022,1,5,19,0,506,5.7,45.15
2022,1,5,20,0,414,5.1000000000000005,48.63
2022,1,5,21,0,399,3.5,55.120000000000005
2022,1,5,22,0,42,0.5,66.21000000000001
2022,1,5,23,0,27,-3.6,75.68
2022,1,6,0,0,0,-6.9,76.31
2022,1,6,1,0,0,-9.4,75.79
2022,1,6,2,0,0,-10.9,74.97
2022,1,6,3,0,0,-11.200000000000001,72.26
2022,1,6,4,0,0,-11.200000000000001,70.38
2022,1,6,5,0,0,-11.4,70
2022,1,6,6,0,0,-11.9,70.09
2022,1,6,7,0,0,-12.4,70.72
2022,1,6,8,0,0,-12.600000000000001,70.46000000000001
2022,1,6,9,0,0,-13,70.96000000000001
2022,1,6,10,0,0,-13.4,72.01
2022,1,6,11,0,0,-13.5,72.69
2022,1,6,12,0,0,-13.3,73.43
2022,1,6,13,0,0,-12.8,74.16
2022,1,6,14,0,0,-12.5,75.58
2022,1,6,15,0,45,-10.600000000000001,74.18
2022,1,6,16,0,161,-7.6000000000000005,73.76
2022,1,6,17,0,208,-4.9,72.12
2022,1,6,18,0,392,-2.2,68.93
2022,1,6,19,0,453,0,66.05
2022,1,6,20,0,416,1.5,64.89
2022,1,6,21,0,154,2.4000000000000004,65.14
2022,1,6,22,0,54,1.9000000000000001,70.01
2022,1,6,23,0,75,-0.1,75.8
2022,1,7,0,0,0,-1.4000000000000001,78.85000000000001
2022,1,7,1,0,0,-1.6,79.21000000000001
2022,1,7,2,0,0,-1.5,79.07000000000001
2022,1,7,3,0,0,-0.6000000000000001,74.85000000000001
2022,1,7,4,0,0,0.1,71.25
2022,1,7,5,0,0,0.9,68.66
2022,1,7,6,0,0,1.6,66.47
2022,1,7,7,0,0,2.1,64.18
2022,1,7,8,0,0,2.4000000000000004,62.34
2022,1,7,9,0,0,2.4000000000000004,61.34
2022,1,7,10,0,0,2.1,61.42
2022,1,7,11,0,0,1.6,62.410000000000004
2022,1,7,12,0,0,0.7000000000000001,64.79
2022,1,7,13,0,0,-0.4,67.54
2022,1,7,14,0,0,-0.5,66.78
2022,1,7,15,0,52,2.4000000000000004,60.43
2022,1,7,16,0,205,5.5,54.910000000000004
2022,1,7,17,0,392,7.4,50.79
2022,1,7,18,0,487,9.1,47
2022,1,7,19,0,498,10.4,46.17
2022,1,7,20,0,427,10.700000000000001,52.74
2022,1,7,21,0,409,10,54.64
2022,1,7,22,0,277,8.1,55.42
2022,1,7,23,0,115,5.1000000000000005,58
2022,1,8,0,0,0,3.1,61.300000000000004
2022,1,8,1,0,0,2.3000000000000003,63.43
2022,1,8,2,0,0,1.8,64.25
2022,1,8,3,0,0,1.6,63.7
2022,1,8,4,0,0,1.4000000000000001,63.46
2022,1,8,5,0,0,1.2000000000000002,63.74
2022,1,8,6,0,0,1,64.49
2022,1,8,7,0,0,0.9,64.75
2022,1,8,8,0,0,0.8,64.85
2022,1,8,9,0,0,0.9,63.9
2022,1,8,10,0,0,1,63.24
2022,1,8,11,0,0,1,62.96
2022,1,8,12,0,0,1,63.14
2022,1,8,13,0,0,1.4000000000000001,61.65
2022,1,8,14,0,0,2.4000000000000004,58.31
2022,1,8,15,0,52,4.3,55.57
2022,1,8,16,0,130,5.2,56.96
2022,1,8,17,0,378,5.6000000000000005,58.29
2022,1,8,18,0,378,5.800000000000001,57.31
2022,1,8,19,0,115,5.800000000000001,57.15
2022,1,8,20,0,151,5.6000000000000005,56.4
2022,1,8,21,0,327,5.1000000000000005,56.31
2022,1,8,22,0,139,3.5,60.74
2022,1,8,23,0,32,0.5,67.44
2022,1,9,0,0,0,-0.6000000000000001,66.69
2022,1,9,1,0,0,-1.1,65.61
2022,1,9,2,0,0,-2,66.57000000000001
2022,1,9,3,0,0,-3.1,69.67
2022,1,9,4,0,0,-3.5,70.32000000000001
2022,1,9,5,0,0,-3.9000000000000004,70.92
2022,1,9,6,0,0,-4.4,71.32000000000001
2022,1,9,7,0,0,-4.9,70.54
2022,1,9,8,0,0,-5.300000000000001,68.38
2022,1,9,9,0,0,-5.9,67.15
2022,1,9,10,0,0,-6.6000000000000005,65.8
2022,1,9,11,0,0,-6.9,62.660000000000004
2022,1,9,12,0,0,-7,58.74
2022,1,9,13,0,0,-6.9,54.68
2022,1,9,14,0,0,-6.6000000000000005,51.7
2022,1,9,15,0,87,-4.5,46.730000000000004
2022,1,9,16,0,258,-1.5,41.95
2022,1,9,17,0,405,1.6,35.57
2022,1,9,18,0,422,3.9000000000000004,29.12
2022,1,9,19,0,543,4.7,26.810000000000002
2022,1,9,20,0,519,4.800000000000001,26.59
2022,1,9,21,0,428,4.7,28.25
2022,1,9,22,0,292,3,39.72
2022,1,9,23,0,125,-0.2,43.800000000000004
2022,1,10,0,0,0,-1.4000000000000001,44.39
2022,1,10,1,0,0,-2.6,49.870000000000005
2022,1,10,2,0,0,-3.6,52.64
2022,1,10,3,0,0,-3.4000000000000004,47.64
2022,1,10,4,0,0,-3.3000000000000003,43.9
2022,1,10,5,0,0,-3.2,40.96
2022,1,10,6,0,0,-3.2,38.9
2022,1,10,7,0,0,-3.4000000000000004,37.52
2022,1,10,8,0,0,-3.4000000000000004,36.14
2022,1,10,9,0,0,-3.4000000000000004,35.58
2022,1,10,10,0,0,-3.3000000000000003,35.04
2022,1,10,11,0,0,-3.1,34.36
2022,1,10,12,0,0,-2.7,33.22
2022,1,10,13,0,0,-2.3000000000000003,31.98
2022,1,10,14,0,0,-1.7000000000000002,31.55
2022,1,10,15,0,86,1.2000000000000002,36.17
2022,1,10,16,0,255,5.4,33.13
2022,1,10,17,0,400,8,22.71
2022,1,10,18,0,498,9.9,19.27
2022,1,10,19,0,537,10.8,18.57
2022,1,10,20,0,514,11.100000000000001,20.12
2022,1,10,21,0,431,10,33.660000000000004
2022,1,10,22,0,296,6.800000000000001,41.51
2022,1,10,23,0,129,2.8000000000000003,41.26
2022,1,11,0,0,0,0.8,44.88
2022,1,11,1,0,0,0.7000000000000001,47.09
