Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2180307,-,b'North Dakota',b'United States',46.88,-102.79,0,738,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,-22.5,60.550000000000004
2022,1,1,1,0,0,-23.200000000000003,61.09
2022,1,1,2,0,0,-24.200000000000003,62.56
2022,1,1,3,0,0,-24.900000000000002,62.32
2022,1,1,4,0,0,-25.200000000000003,61.660000000000004
2022,1,1,5,0,0,-25,61.13
2022,1,1,6,0,0,-24.6,60.2
2022,1,1,7,0,0,-24.200000000000003,59.09
2022,1,1,8,0,0,-23.8,58.370000000000005
2022,1,1,9,0,0,-23.6,58.68
2022,1,1,10,0,0,-23.900000000000002,60.47
2022,1,1,11,0,0,-24.400000000000002,62.660000000000004
2022,1,1,12,0,0,-25,66.12
2022,1,1,13,0,0,-25.200000000000003,68.51
2022,1,1,14,0,0,-25,69.38
2022,1,1,15,0,37,-23.5,66.34
2022,1,1,16,0,165,-20.6,63.01
2022,1,1,17,0,280,-18.7,60.58
2022,1,1,18,0,354,-17.2,58.72
2022,1,1,19,0,377,-16,57.69
2022,1,1,20,0,345,-15.100000000000001,57.18
2022,1,1,21,0,263,-14.9,59.44
2022,1,1,22,0,143,-16.5,61.64
2022,1,1,23,0,21,-18.900000000000002,69.02
2022,1,2,0,0,0,-20.1,72.78
2022,1,2,1,0,0,-20.5,73.52
2022,1,2,2,0,0,-20.5,73.97
2022,1,2,3,0,0,-20.200000000000003,73.37
2022,1,2,4,0,0,-19.700000000000003,72.04
2022,1,2,5,0,0,-19.200000000000003,71.14
2022,1,2,6,0,0,-18.6,70.10000000000001
2022,1,2,7,0,0,-18,69.23
2022,1,2,8,0,0,-17.400000000000002,68.62
2022,1,2,9,0,0,-16.8,68.46000000000001
2022,1,2,10,0,0,-16.3,68.98
2022,1,2,11,0,0,-15.8,69.72
2022,1,2,12,0,0,-15.200000000000001,70.92
2022,1,2,13,0,0,-13.8,71.18
2022,1,2,14,0,0,-12.700000000000001,72.8
2022,1,2,15,0,15,-11.200000000000001,72.79
2022,1,2,16,0,102,-9,71.82000000000001
2022,1,2,17,0,222,-6.5,70.05
2022,1,2,18,0,285,-3.9000000000000004,67.62
2022,1,2,19,0,132,-1.8,66.69
2022,1,2,20,0,70,-0.6000000000000001,67.43
2022,1,2,21,0,210,-0.7000000000000001,70.54
2022,1,2,22,0,124,-2.2,75.89
2022,1,2,23,0,9,-3.4000000000000004,79.26
2022,1,3,0,0,0,-3.6,80.88
2022,1,3,1,0,0,-3.9000000000000004,83.18
2022,1,3,2,0,0,-4.3,84.65
2022,1,3,3,0,0,-4.9,85.32000000000001
2022,1,3,4,0,0,-5.7,85.39
2022,1,3,5,0,0,-6.5,85.57000000000001
2022,1,3,6,0,0,-6.800000000000001,85.68
2022,1,3,7,0,0,-6.7,86.14
2022,1,3,8,0,0,-7.1000000000000005,88.25
2022,1,3,9,0,0,-8.200000000000001,92.43
2022,1,3,10,0,0,-8.5,93.12
2022,1,3,11,0,0,-8.5,94.12
2022,1,3,12,0,0,-8.1,93.58
2022,1,3,13,0,0,-7.5,91.36
2022,1,3,14,0,0,-7.6000000000000005,92.24
2022,1,3,15,0,20,-7.5,90.41
2022,1,3,16,0,157,-5.9,84.05
2022,1,3,17,0,268,-3.7,79.21000000000001
2022,1,3,18,0,341,-2.1,75.73
2022,1,3,19,0,364,-0.7000000000000001,72.87
2022,1,3,20,0,209,-0.2,73.55
2022,1,3,21,0,258,-0.9,77.14
2022,1,3,22,0,120,-2.8000000000000003,81.98
2022,1,3,23,0,13,-4.6000000000000005,86.46000000000001
2022,1,4,0,0,0,-5.5,89.24
2022,1,4,1,0,0,-6.1000000000000005,90.14
2022,1,4,2,0,0,-6.6000000000000005,90.92
2022,1,4,3,0,0,-7,91
2022,1,4,4,0,0,-7.4,91.16
2022,1,4,5,0,0,-7.7,91.10000000000001
2022,1,4,6,0,0,-8.1,91.7
2022,1,4,7,0,0,-8.5,91.59
2022,1,4,8,0,0,-9.1,92.16
2022,1,4,9,0,0,-9.1,91.05
2022,1,4,10,0,0,-8.700000000000001,89.26
2022,1,4,11,0,0,-8.1,89.04
2022,1,4,12,0,0,-7.800000000000001,89.53
2022,1,4,13,0,0,-8.3,91.4
2022,1,4,14,0,0,-9.3,91.75
2022,1,4,15,0,13,-9.600000000000001,86.62
2022,1,4,16,0,78,-10.100000000000001,79.51
2022,1,4,17,0,117,-11.5,74.33
2022,1,4,18,0,127,-12.9,70.57000000000001
2022,1,4,19,0,127,-14.3,68.11
2022,1,4,20,0,123,-15.3,66.27
2022,1,4,21,0,157,-16,65.88
2022,1,4,22,0,57,-16.8,65.08
2022,1,4,23,0,9,-17.8,64.79
2022,1,5,0,0,0,-18.8,64.6
2022,1,5,1,0,0,-19.8,64.26
2022,1,5,2,0,0,-20.8,63.77
2022,1,5,3,0,0,-21.400000000000002,62.18
2022,1,5,4,0,0,-21.6,59.95
2022,1,5,5,0,0,-21.700000000000003,58.25
2022,1,5,6,0,0,-21.8,57.59
2022,1,5,7,0,0,-21.700000000000003,56.910000000000004
2022,1,5,8,0,0,-21.900000000000002,58.01
2022,1,5,9,0,0,-22.3,59.93
2022,1,5,10,0,0,-22.700000000000003,62.52
2022,1,5,11,0,0,-22.700000000000003,64.53
2022,1,5,12,0,0,-22.6,65.83
2022,1,5,13,0,0,-22.6,66.34
2022,1,5,14,0,0,-22.700000000000003,66.4
2022,1,5,15,0,16,-22.5,65.05
2022,1,5,16,0,95,-22,63.09
2022,1,5,17,0,284,-21.400000000000002,61.78
2022,1,5,18,0,360,-20.8,60.89
2022,1,5,19,0,384,-20.3,60.33
2022,1,5,20,0,354,-20.1,60.79
2022,1,5,21,0,273,-20.200000000000003,61.77
2022,1,5,22,0,152,-20.700000000000003,63.38
2022,1,5,23,0,11,-21.3,64.77
2022,1,6,0,0,0,-21.8,65.84
2022,1,6,1,0,0,-22.200000000000003,65.88
2022,1,6,2,0,0,-22.6,66.47
2022,1,6,3,0,0,-22.700000000000003,65.82000000000001
2022,1,6,4,0,0,-22.900000000000002,65.62
2022,1,6,5,0,0,-23.1,65.21000000000001
2022,1,6,6,0,0,-23.3,64.64
2022,1,6,7,0,0,-23.6,64.51
2022,1,6,8,0,0,-23.8,63.81
2022,1,6,9,0,0,-24.200000000000003,64.03
2022,1,6,10,0,0,-24.700000000000003,64.36
2022,1,6,11,0,0,-25.1,64.36
2022,1,6,12,0,0,-25.5,64.83
2022,1,6,13,0,0,-25.8,65.28
2022,1,6,14,0,0,-26,65.27
2022,1,6,15,0,20,-25.3,64.37
2022,1,6,16,0,174,-23.3,61.49
2022,1,6,17,0,230,-22.1,59.69
2022,1,6,18,0,318,-21.1,59.45
2022,1,6,19,0,334,-19.900000000000002,58.22
2022,1,6,20,0,301,-19.1,57.77
2022,1,6,21,0,223,-18.900000000000002,58.82
2022,1,6,22,0,129,-19.400000000000002,62.79
2022,1,6,23,0,11,-20.6,62.77
2022,1,7,0,0,0,-21.6,63.78
