Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,98537,-,b'None',b'None',59.04,-158.45,0,6,-9,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,27,-4.800000000000001,92.42
2022,1,1,1,0,20,-7.800000000000001,88.57000000000001
2022,1,1,2,0,0,-11.200000000000001,84.42
2022,1,1,3,0,0,-13.9,77.32000000000001
2022,1,1,4,0,0,-16.2,72.84
2022,1,1,5,0,0,-18,70.49
2022,1,1,6,0,0,-19.200000000000003,69.87
2022,1,1,7,0,0,-19.8,69.25
2022,1,1,8,0,0,-20,68.49
2022,1,1,9,0,0,-20.3,67.68
2022,1,1,10,0,0,-20.700000000000003,66.67
2022,1,1,11,0,0,-21.1,66.46000000000001
2022,1,1,12,0,0,-21.1,65.76
2022,1,1,13,0,0,-20.900000000000002,65.74
2022,1,1,14,0,0,-20.6,66.22
2022,1,1,15,0,0,-20.5,67.46000000000001
2022,1,1,16,0,0,-20.8,69.10000000000001
2022,1,1,17,0,0,-21.400000000000002,70.10000000000001
2022,1,1,18,0,0,-22.200000000000003,70.55
2022,1,1,19,0,0,-22.6,69.51
2022,1,1,20,0,15,-22.6,68.95
2022,1,1,21,0,88,-22,68.08
2022,1,1,22,0,125,-21.200000000000003,67.53
2022,1,1,23,0,130,-20.700000000000003,67.26
2022,1,2,0,0,100,-20.400000000000002,66.11
2022,1,2,1,0,28,-20.700000000000003,65.9
2022,1,2,2,0,0,-21,65.03
