Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,524498,-,b'Oregon',b'United States',44.06,-123.09,0,133,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,79,1.1,88.97
2022,1,1,1,0,0,0.30000000000000004,89.12
2022,1,1,2,0,0,-0.30000000000000004,90.44
2022,1,1,3,0,0,-0.5,91.09
2022,1,1,4,0,0,-0.7000000000000001,92.82000000000001
2022,1,1,5,0,0,-0.8,92.8
2022,1,1,6,0,0,-1.3,93.62
2022,1,1,7,0,0,-2.3000000000000003,95.28
2022,1,1,8,0,0,-2.5,95.44
2022,1,1,9,0,0,-2.3000000000000003,94.60000000000001
2022,1,1,10,0,0,-2.7,94.31
2022,1,1,11,0,0,-3.3000000000000003,94.48
2022,1,1,12,0,0,-4,93.26
2022,1,1,13,0,0,-4.800000000000001,92.97
2022,1,1,14,0,0,-5.2,91.84
2022,1,1,15,0,0,-5.300000000000001,90.79
2022,1,1,16,0,8,-4.4,89.63
2022,1,1,17,0,144,-2,89.51
2022,1,1,18,0,274,0.30000000000000004,89.02
2022,1,1,19,0,366,2,86.18
2022,1,1,20,0,408,2.7,84.23
2022,1,1,21,0,396,3.2,82.22
2022,1,1,22,0,327,3.5,82.48
2022,1,1,23,0,216,2.5,89.94
2022,1,2,0,0,80,-0.8,95.19
2022,1,2,1,0,0,-2.2,97.8
2022,1,2,2,0,0,-2.7,98.97
2022,1,2,3,0,0,-2.1,96.69
2022,1,2,4,0,0,-1.2000000000000002,94.69
2022,1,2,5,0,0,-0.9,94.5
2022,1,2,6,0,0,-0.8,94.17
2022,1,2,7,0,0,-0.7000000000000001,93.77
2022,1,2,8,0,0,-0.6000000000000001,92.37
2022,1,2,9,0,0,-0.6000000000000001,91.51
2022,1,2,10,0,0,-0.6000000000000001,91.43
2022,1,2,11,0,0,-0.5,91.5
2022,1,2,12,0,0,-0.30000000000000004,91.44
2022,1,2,13,0,0,0,91.57000000000001
2022,1,2,14,0,0,0.5,91.04
2022,1,2,15,0,0,1.5,89.49
2022,1,2,16,0,3,1.9000000000000001,90.44
2022,1,2,17,0,128,2.4000000000000004,90.56
2022,1,2,18,0,178,3.2,88.89
2022,1,2,19,0,351,3.9000000000000004,86.92
2022,1,2,20,0,182,4.4,85.17
2022,1,2,21,0,378,4.800000000000001,84.46000000000001
2022,1,2,22,0,314,5,85.15
2022,1,2,23,0,29,4.9,86.51
2022,1,3,0,0,77,4.7,87.67
2022,1,3,1,0,0,4.5,89.7
2022,1,3,2,0,0,4.5,90.98
2022,1,3,3,0,0,4.7,91.07000000000001
2022,1,3,4,0,0,4.7,92.05
2022,1,3,5,0,0,4.9,92.08
2022,1,3,6,0,0,5.300000000000001,91.55
2022,1,3,7,0,0,5.6000000000000005,91.12
2022,1,3,8,0,0,6,91.36
2022,1,3,9,0,0,6.300000000000001,91.49
2022,1,3,10,0,0,6.300000000000001,92.29
2022,1,3,11,0,0,6,93.36
2022,1,3,12,0,0,5.6000000000000005,94.66
2022,1,3,13,0,0,5.6000000000000005,95.59
2022,1,3,14,0,0,5.9,95.47
2022,1,3,15,0,0,5.800000000000001,95.73
2022,1,3,16,0,3,5.5,96.02
2022,1,3,17,0,44,5.4,96.17
2022,1,3,18,0,83,5.5,96.05
2022,1,3,19,0,7,5.5,96.12
2022,1,3,20,0,8,5.4,95.60000000000001
2022,1,3,21,0,7,5.1000000000000005,95.88
2022,1,3,22,0,26,4.9,95.95
2022,1,3,23,0,60,4.7,96.29
2022,1,4,0,0,20,4.4,95.93
2022,1,4,1,0,0,3.8000000000000003,96.5
2022,1,4,2,0,0,3.6,95.72
2022,1,4,3,0,0,3.5,95.98
2022,1,4,4,0,0,3.5,96.04
2022,1,4,5,0,0,3.4000000000000004,96.22
2022,1,4,6,0,0,3.4000000000000004,95.97
2022,1,4,7,0,0,3.4000000000000004,96.18
2022,1,4,8,0,0,3.4000000000000004,96.55
2022,1,4,9,0,0,3.5,96.74000000000001
2022,1,4,10,0,0,3.7,96.45
2022,1,4,11,0,0,3.8000000000000003,96.86
2022,1,4,12,0,0,3.9000000000000004,96.83
2022,1,4,13,0,0,4,96.7
2022,1,4,14,0,0,4.1000000000000005,96.68
2022,1,4,15,0,0,4.3,96.5
2022,1,4,16,0,4,4.6000000000000005,96.5
2022,1,4,17,0,62,4.9,96.91
2022,1,4,18,0,22,5.1000000000000005,96.91
2022,1,4,19,0,128,5.2,96.27
2022,1,4,20,0,71,5.1000000000000005,96.47
2022,1,4,21,0,102,5,96.25
2022,1,4,22,0,5,4.800000000000001,96.32000000000001
2022,1,4,23,0,60,4.800000000000001,96.45
2022,1,5,0,0,10,4.800000000000001,96.78
2022,1,5,1,0,0,4.7,96.87
2022,1,5,2,0,0,4.5,97.04
2022,1,5,3,0,0,4.4,96.95
2022,1,5,4,0,0,5,96.68
2022,1,5,5,0,0,6.1000000000000005,97.66
2022,1,5,6,0,0,7.1000000000000005,98.32000000000001
2022,1,5,7,0,0,7.5,98.22
2022,1,5,8,0,0,7.1000000000000005,97.66
2022,1,5,9,0,0,6.5,97.39
2022,1,5,10,0,0,6,96.69
2022,1,5,11,0,0,5.5,96.55
2022,1,5,12,0,0,5.2,96.62
2022,1,5,13,0,0,4.9,96.71000000000001
2022,1,5,14,0,0,5,96.61
2022,1,5,15,0,0,4.9,96.22
2022,1,5,16,0,3,5,96.55
2022,1,5,17,0,32,5.300000000000001,97.01
2022,1,5,18,0,14,5.7,96.5
2022,1,5,19,0,95,6.1000000000000005,96.66
2022,1,5,20,0,98,6.5,96.58
2022,1,5,21,0,81,6.9,97.09
2022,1,5,22,0,5,7.300000000000001,97.09
2022,1,5,23,0,7,7.800000000000001,97.44
2022,1,6,0,0,11,8.3,98.07000000000001
2022,1,6,1,0,0,8.6,97.98
2022,1,6,2,0,0,8.8,97.7
2022,1,6,3,0,0,9.1,97.49000000000001
2022,1,6,4,0,0,9.3,97.93
2022,1,6,5,0,0,9.5,97.9
2022,1,6,6,0,0,9.600000000000001,97.52
2022,1,6,7,0,0,9.600000000000001,97.95
2022,1,6,8,0,0,9.700000000000001,97.93
2022,1,6,9,0,0,9.9,97.37
2022,1,6,10,0,0,10.100000000000001,97.10000000000001
2022,1,6,11,0,0,10.200000000000001,97.39
2022,1,6,12,0,0,10.200000000000001,97.33
2022,1,6,13,0,0,10.100000000000001,97.07000000000001
2022,1,6,14,0,0,10,96.79
2022,1,6,15,0,0,9.9,97.01
2022,1,6,16,0,5,9.9,96.9
2022,1,6,17,0,78,10,96.63
2022,1,6,18,0,185,10.200000000000001,95.82000000000001
2022,1,6,19,0,236,10.3,95.82000000000001
2022,1,6,20,0,226,10.4,95.27
2022,1,6,21,0,271,10.5,94.43
2022,1,6,22,0,211,10.200000000000001,94.54
2022,1,6,23,0,70,9.9,94.25
2022,1,7,0,0,15,9.5,94.37
2022,1,7,1,0,0,9.200000000000001,94.08
2022,1,7,2,0,0,8.9,94.28
2022,1,7,3,0,0,8.700000000000001,94.13
2022,1,7,4,0,0,8.5,93.89
2022,1,7,5,0,0,8.3,93.61
2022,1,7,6,0,0,8.1,93.48
2022,1,7,7,0,0,7.9,94.02
2022,1,7,8,0,0,8,93.42
2022,1,7,9,0,0,8.1,93.56
2022,1,7,10,0,0,8.3,94.27
2022,1,7,11,0,0,8.700000000000001,94.95
2022,1,7,12,0,0,9.1,95.29
2022,1,7,13,0,0,8.9,94.84
2022,1,7,14,0,0,8.1,94.53
2022,1,7,15,0,0,7.300000000000001,94.34
2022,1,7,16,0,4,6.7,94.68
2022,1,7,17,0,17,6.5,94.23
2022,1,7,18,0,173,6.5,93.13
2022,1,7,19,0,207,6.5,92.15
2022,1,7,20,0,224,6.6000000000000005,90.67
2022,1,7,21,0,296,6.4,89.76
2022,1,7,22,0,104,6.300000000000001,88.53
2022,1,7,23,0,21,5.800000000000001,89.84
2022,1,8,0,0,30,4.4,93.14
2022,1,8,1,0,0,3.6,94.97
2022,1,8,2,0,0,3.3000000000000003,95.61
2022,1,8,3,0,0,2.5,96.4
2022,1,8,4,0,0,2.6,96.03
2022,1,8,5,0,0,2.8000000000000003,95.47
2022,1,8,6,0,0,3,95.23
2022,1,8,7,0,0,3,95.17
2022,1,8,8,0,0,2.9000000000000004,95.17
2022,1,8,9,0,0,2.7,95.43
2022,1,8,10,0,0,2.5,95.51
2022,1,8,11,0,0,2.3000000000000003,95.23
2022,1,8,12,0,0,2,95.26
2022,1,8,13,0,0,1.4000000000000001,95.37
2022,1,8,14,0,0,1,95.23
2022,1,8,15,0,0,0.5,95.43
2022,1,8,16,0,6,1.7000000000000002,93.53
2022,1,8,17,0,143,3.6,90.54
2022,1,8,18,0,270,6.1000000000000005,85.49
2022,1,8,19,0,361,8.3,75.71000000000001
2022,1,8,20,0,403,9.4,70.81
2022,1,8,21,0,393,10,68.1
2022,1,8,22,0,331,10.200000000000001,68.13
2022,1,8,23,0,224,9.200000000000001,74.54
2022,1,9,0,0,93,7.9,69.42
2022,1,9,1,0,0,5.9,76.13
2022,1,9,2,0,0,3.9000000000000004,84.82000000000001
2022,1,9,3,0,0,2.7,91.09
2022,1,9,4,0,0,2.2,94.29
2022,1,9,5,0,0,2.2,94.15
2022,1,9,6,0,0,1.8,94.89
2022,1,9,7,0,0,1.7000000000000002,94.57000000000001
2022,1,9,8,0,0,1.4000000000000001,95.91
2022,1,9,9,0,0,1.5,93.85000000000001
2022,1,9,10,0,0,0.9,96.17
2022,1,9,11,0,0,1.1,93.27
2022,1,9,12,0,0,1,92.4
2022,1,9,13,0,0,0.2,95.22
2022,1,9,14,0,0,0.30000000000000004,92.97
2022,1,9,15,0,0,0,94
2022,1,9,16,0,21,1.2000000000000002,87.60000000000001
2022,1,9,17,0,147,3.6,79.21000000000001
2022,1,9,18,0,276,6.7,73.12
2022,1,9,19,0,371,9.5,70.77
2022,1,9,20,0,152,11.700000000000001,68.4
