Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2800743,-,b'North Dakota',b'United States',47.92,-97.03,0,254,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,-33.5,73.26
2022,1,1,1,0,0,-34.4,74.33
2022,1,1,2,0,0,-34.7,73.57000000000001
2022,1,1,3,0,0,-34.7,71.75
2022,1,1,4,0,0,-34.9,70.3
2022,1,1,5,0,0,-35.4,69.81
2022,1,1,6,0,0,-35.800000000000004,69.56
2022,1,1,7,0,0,-36,69.2
2022,1,1,8,0,0,-36.1,69.12
2022,1,1,9,0,0,-36.1,69.11
2022,1,1,10,0,0,-36.2,69.53
2022,1,1,11,0,0,-36.300000000000004,69.69
2022,1,1,12,0,0,-36.4,69.92
2022,1,1,13,0,0,-36.5,70
2022,1,1,14,0,0,-36.4,69.16
2022,1,1,15,0,72,-34.800000000000004,67.88
2022,1,1,16,0,195,-31.400000000000002,66.15
2022,1,1,17,0,237,-29.1,68.52
2022,1,1,18,0,346,-26.900000000000002,70.89
2022,1,1,19,0,347,-24.8,69.82000000000001
2022,1,1,20,0,297,-23.8,70.73
2022,1,1,21,0,202,-23.8,73.52
2022,1,1,22,0,80,-26.1,74.2
2022,1,1,23,0,0,-28.200000000000003,75.64
2022,1,2,0,0,0,-29.3,78.33
2022,1,2,1,0,0,-30,79.7
2022,1,2,2,0,0,-30.5,80.55
2022,1,2,3,0,0,-30.700000000000003,80.41
2022,1,2,4,0,0,-30.700000000000003,80.75
2022,1,2,5,0,0,-30.700000000000003,81.44
2022,1,2,6,0,0,-30.900000000000002,81.82000000000001
2022,1,2,7,0,0,-31.3,82.07000000000001
2022,1,2,8,0,0,-31.400000000000002,81.36
2022,1,2,9,0,0,-31.700000000000003,80.79
2022,1,2,10,0,0,-32,78.45
2022,1,2,11,0,0,-31.8,76.03
2022,1,2,12,0,0,-31.3,74.07000000000001
2022,1,2,13,0,0,-31,72.55
2022,1,2,14,0,0,-30.8,71.69
2022,1,2,15,0,69,-30,71.18
2022,1,2,16,0,135,-28.6,72.31
2022,1,2,17,0,204,-26.8,74.83
2022,1,2,18,0,241,-24.5,75.98
2022,1,2,19,0,336,-22.700000000000003,77
2022,1,2,20,0,288,-21.3,78.14
2022,1,2,21,0,193,-20.400000000000002,79.02
2022,1,2,22,0,76,-19.8,79.42
2022,1,2,23,0,0,-19.400000000000002,80.39
2022,1,3,0,0,0,-18.7,80.61
2022,1,3,1,0,0,-18.2,81.56
2022,1,3,2,0,0,-17.900000000000002,82.26
2022,1,3,3,0,0,-17.7,82.32000000000001
2022,1,3,4,0,0,-17.8,81.92
2022,1,3,5,0,0,-18.1,81.38
2022,1,3,6,0,0,-18.2,80.82000000000001
2022,1,3,7,0,0,-17.8,81.42
2022,1,3,8,0,0,-16.900000000000002,82.28
2022,1,3,9,0,0,-16.3,83.44
2022,1,3,10,0,0,-15.8,84.28
2022,1,3,11,0,0,-14.600000000000001,85.05
2022,1,3,12,0,0,-13,85.33
2022,1,3,13,0,0,-12.5,85.72
2022,1,3,14,0,0,-12.8,84.96000000000001
2022,1,3,15,0,40,-13.200000000000001,83.21000000000001
2022,1,3,16,0,90,-13.4,81.52
2022,1,3,17,0,124,-13.4,80.64
2022,1,3,18,0,178,-13.3,79.99
2022,1,3,19,0,260,-13.3,79.57000000000001
2022,1,3,20,0,278,-13.5,78.94
2022,1,3,21,0,196,-14.200000000000001,79.56
2022,1,3,22,0,53,-16.3,81.85000000000001
2022,1,3,23,0,0,-18.7,81.44
2022,1,4,0,0,0,-19.8,81.16
2022,1,4,1,0,0,-20,80.19
2022,1,4,2,0,0,-20,80.57000000000001
2022,1,4,3,0,0,-19.900000000000002,80.78
2022,1,4,4,0,0,-19.8,81.51
2022,1,4,5,0,0,-19.400000000000002,81.34
2022,1,4,6,0,0,-19.1,81.75
2022,1,4,7,0,0,-18.8,81.73
2022,1,4,8,0,0,-18.5,81.52
2022,1,4,9,0,0,-17.900000000000002,81.19
2022,1,4,10,0,0,-17.3,80.82000000000001
2022,1,4,11,0,0,-17,80.25
2022,1,4,12,0,0,-16.8,79.77
2022,1,4,13,0,0,-16.6,79.07000000000001
2022,1,4,14,0,0,-16.7,79.44
2022,1,4,15,0,38,-15.9,79.32000000000001
2022,1,4,16,0,111,-14.600000000000001,80.37
2022,1,4,17,0,93,-13.200000000000001,82.41
2022,1,4,18,0,120,-11.9,84.08
2022,1,4,19,0,198,-11,85.44
2022,1,4,20,0,93,-10.4,85.72
2022,1,4,21,0,128,-10.5,86.02
2022,1,4,22,0,38,-11.200000000000001,86.02
2022,1,4,23,0,0,-12,85.24
2022,1,5,0,0,0,-12.700000000000001,84.49
2022,1,5,1,0,0,-13.200000000000001,83.85000000000001
2022,1,5,2,0,0,-13.600000000000001,83.83
2022,1,5,3,0,0,-13.9,83.66
2022,1,5,4,0,0,-14.200000000000001,83.73
2022,1,5,5,0,0,-14.5,83.75
2022,1,5,6,0,0,-14.9,83.91
2022,1,5,7,0,0,-15.4,83.08
2022,1,5,8,0,0,-16.3,82.74
2022,1,5,9,0,0,-17.5,82.07000000000001
2022,1,5,10,0,0,-18.8,80.58
2022,1,5,11,0,0,-20.1,78.86
2022,1,5,12,0,0,-21.400000000000002,77.67
2022,1,5,13,0,0,-22.5,76.45
2022,1,5,14,0,0,-23.400000000000002,75.61
2022,1,5,15,0,31,-23.8,74.60000000000001
2022,1,5,16,0,96,-23.700000000000003,73.92
2022,1,5,17,0,217,-23.400000000000002,74.09
2022,1,5,18,0,264,-23,73.84
2022,1,5,19,0,270,-22.700000000000003,74.09
2022,1,5,20,0,223,-22.6,73.76
2022,1,5,21,0,145,-22.8,73.76
2022,1,5,22,0,32,-23.3,74.03
2022,1,5,23,0,0,-23.8,73.9
2022,1,6,0,0,0,-24.200000000000003,74.01
2022,1,6,1,0,0,-24.5,74.02
2022,1,6,2,0,0,-24.700000000000003,73.89
2022,1,6,3,0,0,-24.900000000000002,73.92
2022,1,6,4,0,0,-25.1,73.44
2022,1,6,5,0,0,-25.5,73.55
2022,1,6,6,0,0,-25.900000000000002,73.37
2022,1,6,7,0,0,-26.400000000000002,73.81
2022,1,6,8,0,0,-26.8,73.68
2022,1,6,9,0,0,-27.200000000000003,73.5
2022,1,6,10,0,0,-27.700000000000003,73.69
2022,1,6,11,0,0,-28.3,73.64
2022,1,6,12,0,0,-29.1,73.07000000000001
2022,1,6,13,0,0,-30.200000000000003,72.86
2022,1,6,14,0,0,-31.200000000000003,72.14
2022,1,6,15,0,39,-31.1,71.43
2022,1,6,16,0,141,-30,71
2022,1,6,17,0,226,-28.3,70.59
2022,1,6,18,0,272,-26.700000000000003,69.02
2022,1,6,19,0,293,-25.700000000000003,67.83
2022,1,6,20,0,237,-25.200000000000003,66.98
2022,1,6,21,0,217,-25.400000000000002,67.71000000000001
2022,1,6,22,0,92,-26.8,71.85000000000001
2022,1,6,23,0,0,-28.6,71.11
2022,1,7,0,0,0,-29.6,72.13
2022,1,7,1,0,0,-30.700000000000003,74.99
2022,1,7,2,0,0,-31.700000000000003,76.84
2022,1,7,3,0,0,-32.5,76.8
2022,1,7,4,0,0,-33.2,76.08
2022,1,7,5,0,0,-33.800000000000004,75.7
2022,1,7,6,0,0,-34,75.24
2022,1,7,7,0,0,-34.2,73.74
2022,1,7,8,0,0,-34.300000000000004,72.71000000000001
2022,1,7,9,0,0,-34.5,71.38
2022,1,7,10,0,0,-35.5,71.76
2022,1,7,11,0,0,-36.7,72.17
2022,1,7,12,0,0,-37.9,72.43
2022,1,7,13,0,0,-38.7,71.42
2022,1,7,14,0,0,-38,69.9
2022,1,7,15,0,74,-34.800000000000004,68.7
2022,1,7,16,0,131,-32.1,69.64
2022,1,7,17,0,241,-29.6,71.79
2022,1,7,18,0,287,-26.6,71.2
2022,1,7,19,0,158,-24.1,71.81
2022,1,7,20,0,103,-22.3,73.57000000000001
2022,1,7,21,0,89,-21,75.36
2022,1,7,22,0,27,-20.1,77.35000000000001
2022,1,7,23,0,0,-19.3,78.45
2022,1,8,0,0,0,-18.400000000000002,78.83
2022,1,8,1,0,0,-17.400000000000002,80.18
2022,1,8,2,0,0,-16,81.01
2022,1,8,3,0,0,-14.700000000000001,82.42
2022,1,8,4,0,0,-13.600000000000001,82.83
2022,1,8,5,0,0,-12.700000000000001,83.32000000000001
2022,1,8,6,0,0,-11.9,83.31
2022,1,8,7,0,0,-11.4,83.92
2022,1,8,8,0,0,-11.200000000000001,84.75
2022,1,8,9,0,0,-11.600000000000001,85.73
2022,1,8,10,0,0,-12.100000000000001,86.05
2022,1,8,11,0,0,-12.5,86.45
2022,1,8,12,0,0,-12.9,86.82000000000001
2022,1,8,13,0,0,-13.3,86.79
2022,1,8,14,0,0,-13.5,86.8
2022,1,8,15,0,69,-12.3,85.94
2022,1,8,16,0,193,-10.4,82.87
2022,1,8,17,0,78,-9.9,79.45
2022,1,8,18,0,269,-10.700000000000001,76.47
2022,1,8,19,0,223,-11.8,75.54
2022,1,8,20,0,118,-12.9,74.10000000000001
2022,1,8,21,0,56,-14.3,74
2022,1,8,22,0,54,-15.700000000000001,74.18
2022,1,8,23,0,0,-16.6,74.58
2022,1,9,0,0,0,-17.3,74.72
2022,1,9,1,0,0,-18,73.92
2022,1,9,2,0,0,-18.8,73.84
2022,1,9,3,0,0,-19.8,74.68
2022,1,9,4,0,0,-20.8,74.96000000000001
2022,1,9,5,0,0,-21.5,74.45
2022,1,9,6,0,0,-22.1,74.7
2022,1,9,7,0,0,-22.700000000000003,74.31
2022,1,9,8,0,0,-23.6,74.3
2022,1,9,9,0,0,-24.900000000000002,74.43
2022,1,9,10,0,0,-26.3,73.74
2022,1,9,11,0,0,-27.8,73.16
2022,1,9,12,0,0,-29,72.18
2022,1,9,13,0,0,-29.900000000000002,71.32000000000001
2022,1,9,14,0,0,-30.6,70.66
2022,1,9,15,0,78,-29.6,70.34
2022,1,9,16,0,204,-28,71.69
2022,1,9,17,0,306,-26.1,72.31
2022,1,9,18,0,362,-24.200000000000003,69.8
2022,1,9,19,0,367,-23.200000000000003,68.8
2022,1,9,20,0,326,-22.8,69.23
2022,1,9,21,0,231,-23,71.63
2022,1,9,22,0,103,-25.6,72.98
2022,1,9,23,0,0,-28.700000000000003,72.41
2022,1,10,0,0,0,-30.400000000000002,73.92
2022,1,10,1,0,0,-31.200000000000003,73.98
2022,1,10,2,0,0,-31.6,73.5
2022,1,10,3,0,0,-31.8,73.2
2022,1,10,4,0,0,-31.700000000000003,71.77
2022,1,10,5,0,0,-31.8,70.35000000000001
2022,1,10,6,0,0,-32.2,70.05
2022,1,10,7,0,0,-32.6,70.57000000000001
2022,1,10,8,0,0,-32.6,70.34
2022,1,10,9,0,0,-32.5,70.27
2022,1,10,10,0,0,-32.5,69.87
2022,1,10,11,0,0,-32.6,69.55
2022,1,10,12,0,0,-32.6,68.55
2022,1,10,13,0,0,-32.5,67.56
2022,1,10,14,0,0,-31.8,65.37
2022,1,10,15,0,40,-30,64.75
2022,1,10,16,0,164,-26.700000000000003,64.96000000000001
2022,1,10,17,0,227,-24.400000000000002,64.63
2022,1,10,18,0,77,-22.5,67.54
2022,1,10,19,0,187,-20.900000000000002,68.49
2022,1,10,20,0,197,-19.6,66.92
2022,1,10,21,0,158,-19.1,69
2022,1,10,22,0,94,-19,72.3
2022,1,10,23,0,0,-19.1,75.42
2022,1,11,0,0,0,-19.200000000000003,76.31
2022,1,11,1,0,0,-19.900000000000002,76.8
2022,1,11,2,0,0,-20.400000000000002,76.18
2022,1,11,3,0,0,-20.5,75.82000000000001
2022,1,11,4,0,0,-20.8,76.32000000000001
2022,1,11,5,0,0,-21,76.49
2022,1,11,6,0,0,-21.1,76.65
2022,1,11,7,0,0,-21.1,77.32000000000001
2022,1,11,8,0,0,-20.900000000000002,77.91
2022,1,11,9,0,0,-20.6,78.43
2022,1,11,10,0,0,-20.3,78.81
2022,1,11,11,0,0,-20,78.06
2022,1,11,12,0,0,-19.700000000000003,77.75
2022,1,11,13,0,0,-18.7,78.48
2022,1,11,14,0,0,-16.8,80.61
2022,1,11,15,0,44,-14.100000000000001,84.10000000000001
2022,1,11,16,0,57,-10.5,88.10000000000001
2022,1,11,17,0,293,-6.4,89.63
2022,1,11,18,0,348,-3.1,89.67
2022,1,11,19,0,349,-0.9,90.55
2022,1,11,20,0,304,0.4,90.75
2022,1,11,21,0,217,0.9,90.34
2022,1,11,22,0,98,0.30000000000000004,92.08
2022,1,11,23,0,0,-0.9,94.13
2022,1,12,0,0,0,-2.1,95.15
2022,1,12,1,0,0,-3.1,95.10000000000001
2022,1,12,2,0,0,-4,95.05
2022,1,12,3,0,0,-4.7,94.24
2022,1,12,4,0,0,-5,93.28
2022,1,12,5,0,0,-5.4,92.06
2022,1,12,6,0,0,-6.2,89.54
2022,1,12,7,0,0,-7.2,88.65
2022,1,12,8,0,0,-8.1,87.93
2022,1,12,9,0,0,-9.3,87.34
2022,1,12,10,0,0,-10.5,86.25
2022,1,12,11,0,0,-12,85.99
2022,1,12,12,0,0,-13.4,84.16
2022,1,12,13,0,0,-14,81.96000000000001
2022,1,12,14,0,0,-14,80.75
2022,1,12,15,0,73,-13,80.88
2022,1,12,16,0,62,-11,80.03
2022,1,12,17,0,89,-9.9,83.09
2022,1,12,18,0,210,-8.9,85.58
2022,1,12,19,0,151,-8.1,86.74
2022,1,12,20,0,199,-7.6000000000000005,88.45
2022,1,12,21,0,96,-7,88.86
2022,1,12,22,0,34,-6.7,89.84
2022,1,12,23,0,0,-6.6000000000000005,90.04
2022,1,13,0,0,0,-6.1000000000000005,90.62
2022,1,13,1,0,0,-5.300000000000001,91.62
2022,1,13,2,0,0,-4.5,92.13
2022,1,13,3,0,0,-4.1000000000000005,93.26
2022,1,13,4,0,0,-3.6,93.36
2022,1,13,5,0,0,-2.6,93.81
2022,1,13,6,0,0,-2.5,94.46000000000001
2022,1,13,7,0,0,-2.3000000000000003,93.51
2022,1,13,8,0,0,-2.9000000000000004,94.01
2022,1,13,9,0,0,-3.9000000000000004,92.51
2022,1,13,10,0,0,-5.6000000000000005,90.36
2022,1,13,11,0,0,-7.7,88.47
2022,1,13,12,0,0,-9.5,85.88
2022,1,13,13,0,0,-11,83.60000000000001
2022,1,13,14,0,0,-12.4,82.71000000000001
2022,1,13,15,0,78,-12.8,82.18
2022,1,13,16,0,44,-12.700000000000001,82.09
2022,1,13,17,0,108,-12.100000000000001,81.52
2022,1,13,18,0,277,-11.3,80.08
2022,1,13,19,0,254,-10.9,80.42
2022,1,13,20,0,252,-10.9,81.08
2022,1,13,21,0,180,-11.4,82.26
2022,1,13,22,0,66,-12.200000000000001,83.95
2022,1,13,23,0,0,-12.9,84.68
2022,1,14,0,0,0,-13.100000000000001,84.07000000000001
2022,1,14,1,0,0,-13.100000000000001,83.55
2022,1,14,2,0,0,-13,83.10000000000001
2022,1,14,3,0,0,-13,83.34
2022,1,14,4,0,0,-13.100000000000001,83.93
2022,1,14,5,0,0,-13.200000000000001,84.42
2022,1,14,6,0,0,-13.3,84.83
2022,1,14,7,0,0,-13.3,84.41
2022,1,14,8,0,0,-13.4,84.27
2022,1,14,9,0,0,-13.5,83.85000000000001
2022,1,14,10,0,0,-13.600000000000001,83.03
2022,1,14,11,0,0,-13.9,82.84
2022,1,14,12,0,0,-14.3,82.59
2022,1,14,13,0,0,-14.700000000000001,81.87
2022,1,14,14,0,0,-15.100000000000001,81.56
2022,1,14,15,0,44,-15.100000000000001,81.10000000000001
2022,1,14,16,0,125,-14.700000000000001,81.73
2022,1,14,17,0,241,-13.8,81.84
2022,1,14,18,0,297,-12.600000000000001,81.55
2022,1,14,19,0,374,-11.9,82.37
2022,1,14,20,0,329,-11.600000000000001,82.58
