Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1680640,-,b'New Mexico',b'United States',35.14,-107.85,0,1969,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,5,1.1,90.42
2022,1,1,1,0,0,0.5,96.98
2022,1,1,2,0,0,1,95.58
2022,1,1,3,0,0,1,94.62
2022,1,1,4,0,0,1.3,91.85000000000001
2022,1,1,5,0,0,1.6,89.62
2022,1,1,6,0,0,1.4000000000000001,88.31
2022,1,1,7,0,0,0.9,88.05
2022,1,1,8,0,0,0.6000000000000001,87.97
2022,1,1,9,0,0,0.8,86.97
2022,1,1,10,0,0,0.8,86.11
2022,1,1,11,0,0,1.1,84.05
2022,1,1,12,0,0,1.1,81.47
2022,1,1,13,0,0,0.30000000000000004,80.32000000000001
2022,1,1,14,0,0,-0.30000000000000004,80.4
2022,1,1,15,0,54,-0.30000000000000004,76.5
2022,1,1,16,0,244,-0.4,66.9
2022,1,1,17,0,309,-0.7000000000000001,61.24
2022,1,1,18,0,209,-1.7000000000000002,58.32
2022,1,1,19,0,248,-3.1,53.92
2022,1,1,20,0,378,-3.9000000000000004,48.33
2022,1,1,21,0,199,-4.3,43.7
2022,1,1,22,0,18,-5.2,41.84
2022,1,1,23,0,196,-6.4,42.39
2022,1,2,0,0,20,-8.1,45.81
2022,1,2,1,0,0,-9.3,46.89
2022,1,2,2,0,0,-10.100000000000001,47.11
