Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1069870,-,-,-,36.09,-79.78,0,242,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,GHI,Relative Humidity
2022,1,1,0,30,14.100000000000001,0,84.46000000000001
2022,1,1,1,30,14.3,0,85.74
2022,1,1,2,30,14.5,0,87.78
2022,1,1,3,30,14.600000000000001,0,90.71000000000001
2022,1,1,4,30,14.9,0,93.37
2022,1,1,5,30,15.5,0,96.13
2022,1,1,6,30,15.8,0,99.9
2022,1,1,7,30,15.700000000000001,0,100
2022,1,1,8,30,15.5,0,100
2022,1,1,9,30,15.5,0,100
2022,1,1,10,30,15.8,0,100
2022,1,1,11,30,16.3,0,100
2022,1,1,12,30,17,1,99.13
2022,1,1,13,30,18.2,26,95.32000000000001
2022,1,1,14,30,19.900000000000002,141,91.68
2022,1,1,15,30,21.8,152,86.35000000000001
2022,1,1,16,30,23.3,278,77.17
2022,1,1,17,30,24.1,288,69.95
2022,1,1,18,30,24.200000000000003,320,67.48
2022,1,1,19,30,23.900000000000002,224,68.19
2022,1,1,20,30,22.8,108,73.67
2022,1,1,21,30,21.400000000000002,24,81.72
2022,1,1,22,30,20.5,0,86.84
2022,1,1,23,30,20.1,0,89.38
2022,1,2,0,30,19.8,0,91.21000000000001
2022,1,2,1,30,19.400000000000002,0,93.43
2022,1,2,2,30,19,0,95.58
2022,1,2,3,30,18.7,0,96.54
2022,1,2,4,30,18.6,0,95.19
2022,1,2,5,30,18.5,0,93.3
2022,1,2,6,30,18.5,0,90.87
2022,1,2,7,30,18.5,0,89.97
2022,1,2,8,30,18.6,0,90.56
2022,1,2,9,30,18.6,0,92.43
