Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,5256827,-,b'Connecticut',b'United States',41.76,-72.69,0,27,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,6.4,99.76
2022,1,1,1,0,0,6.2,99.97
2022,1,1,2,0,0,5.9,100
2022,1,1,3,0,0,5.9,100
2022,1,1,4,0,0,5.800000000000001,100
2022,1,1,5,0,0,6,100
2022,1,1,6,0,0,6.2,100
2022,1,1,7,0,0,6.4,99.91
2022,1,1,8,0,0,6.6000000000000005,99.39
2022,1,1,9,0,0,6.7,99.16
2022,1,1,10,0,0,6.800000000000001,99.38
2022,1,1,11,0,0,7,98.58
2022,1,1,12,0,0,7.2,98.48
2022,1,1,13,0,13,7.9,97.17
2022,1,1,14,0,7,8.5,97.05
2022,1,1,15,0,21,9,96.77
2022,1,1,16,0,22,9.5,95.8
2022,1,1,17,0,18,10.100000000000001,95.09
2022,1,1,18,0,24,10.8,93.39
2022,1,1,19,0,37,10.700000000000001,94.51
2022,1,1,20,0,49,9.3,99.06
2022,1,1,21,0,7,8,100
2022,1,1,22,0,0,7.800000000000001,100
2022,1,1,23,0,0,7.800000000000001,100
2022,1,2,0,0,0,8.5,97.66
2022,1,2,1,0,0,9.200000000000001,94.36
2022,1,2,2,0,0,9.3,93.38
2022,1,2,3,0,0,8.3,96.74000000000001
2022,1,2,4,0,0,7.5,99.92
2022,1,2,5,0,0,7.5,99.39
2022,1,2,6,0,0,7.5,99.23
2022,1,2,7,0,0,7.7,98.42
2022,1,2,8,0,0,7.300000000000001,98.63
2022,1,2,9,0,0,7.2,97.26
2022,1,2,10,0,0,6.9,96.9
2022,1,2,11,0,0,6.6000000000000005,96.5
2022,1,2,12,0,0,6.2,96.33
2022,1,2,13,0,12,6.2,95.75
2022,1,2,14,0,39,6.800000000000001,94.17
2022,1,2,15,0,26,7.300000000000001,93.55
2022,1,2,16,0,39,8,90.86
2022,1,2,17,0,76,8.3,88.61
2022,1,2,18,0,53,8.200000000000001,86.51
2022,1,2,19,0,29,7.5,85.62
2022,1,2,20,0,26,6.300000000000001,85.87
2022,1,2,21,0,25,4.9,86.62
2022,1,2,22,0,0,3.8000000000000003,86.12
2022,1,2,23,0,0,2.9000000000000004,85.03
2022,1,3,0,0,0,1.9000000000000001,82.46000000000001
2022,1,3,1,0,0,1,80.81
2022,1,3,2,0,0,0.1,79.81
2022,1,3,3,0,0,-0.7000000000000001,79.67
2022,1,3,4,0,0,-0.9,77.37
2022,1,3,5,0,0,-1.2000000000000002,76.16
2022,1,3,6,0,0,-1.5,75.5
2022,1,3,7,0,0,-1.6,74.39
2022,1,3,8,0,0,-1.8,73.24
2022,1,3,9,0,0,-2,72.68
2022,1,3,10,0,0,-2.4000000000000004,71.86
2022,1,3,11,0,0,-2.6,69.63
2022,1,3,12,0,0,-2.8000000000000003,66.85
2022,1,3,13,0,14,-2.9000000000000004,63.01
2022,1,3,14,0,67,-2.8000000000000003,58.6
2022,1,3,15,0,22,-2.7,55.84
2022,1,3,16,0,28,-2.7,54.58
2022,1,3,17,0,60,-2.8000000000000003,54.49
2022,1,3,18,0,11,-3,55.910000000000004
2022,1,3,19,0,81,-3.4000000000000004,58.84
2022,1,3,20,0,107,-3.8000000000000003,60.620000000000005
2022,1,3,21,0,12,-4.2,60.9
2022,1,3,22,0,0,-4.4,59.31
2022,1,3,23,0,0,-4.7,58.9
2022,1,4,0,0,0,-5,59.33
2022,1,4,1,0,0,-5.300000000000001,59.82
2022,1,4,2,0,0,-5.4,59.46
2022,1,4,3,0,0,-5.800000000000001,59.76
2022,1,4,4,0,0,-6.5,60.9
2022,1,4,5,0,0,-7.1000000000000005,61.47
2022,1,4,6,0,0,-7.6000000000000005,61.53
2022,1,4,7,0,0,-8,61.4
2022,1,4,8,0,0,-8.3,61.58
2022,1,4,9,0,0,-8.6,61.97
2022,1,4,10,0,0,-9,63.18
2022,1,4,11,0,0,-9.5,65.63
2022,1,4,12,0,0,-9.5,66.26
2022,1,4,13,0,83,-8,57.76
2022,1,4,14,0,229,-5.800000000000001,49.2
2022,1,4,15,0,354,-3.5,42.980000000000004
2022,1,4,16,0,434,-1.7000000000000002,39.68
2022,1,4,17,0,455,-0.30000000000000004,39.730000000000004
2022,1,4,18,0,422,0.5,42.160000000000004
2022,1,4,19,0,333,0.5,46.910000000000004
2022,1,4,20,0,205,-0.30000000000000004,58.1
2022,1,4,21,0,59,-2.9000000000000004,75.07000000000001
2022,1,4,22,0,0,-3.4000000000000004,75.56
2022,1,4,23,0,0,-3.5,77.2
2022,1,5,0,0,0,-3.7,80.29
2022,1,5,1,0,0,-3.9000000000000004,83.91
2022,1,5,2,0,0,-3.9000000000000004,86.81
2022,1,5,3,0,0,-3.9000000000000004,90.37
2022,1,5,4,0,0,-3.8000000000000003,93.47
2022,1,5,5,0,0,-3.8000000000000003,97.43
2022,1,5,6,0,0,-3.5,99.26
2022,1,5,7,0,0,-3,98.81
2022,1,5,8,0,0,-2.6,97.91
2022,1,5,9,0,0,-2.2,98.09
2022,1,5,10,0,0,-1.6,98.83
2022,1,5,11,0,0,-0.1,98
2022,1,5,12,0,0,1.8,97.17
2022,1,5,13,0,20,3.6,96.99000000000001
2022,1,5,14,0,10,4.800000000000001,96.55
2022,1,5,15,0,46,5.4,96.85000000000001
2022,1,5,16,0,109,5.4,97.44
2022,1,5,17,0,38,5.4,97.41
2022,1,5,18,0,41,5.5,97.12
2022,1,5,19,0,49,5.5,97.03
2022,1,5,20,0,21,5.2,97.35000000000001
2022,1,5,21,0,12,4.7,97.8
2022,1,5,22,0,0,4.2,98.32000000000001
2022,1,5,23,0,0,3.8000000000000003,98.79
2022,1,6,0,0,0,3.4000000000000004,99.46000000000001
2022,1,6,1,0,0,2.8000000000000003,100
2022,1,6,2,0,0,2.5,100
2022,1,6,3,0,0,2.5,98.81
2022,1,6,4,0,0,2.2,97.91
2022,1,6,5,0,0,2,96.38
2022,1,6,6,0,0,1.8,95.38
2022,1,6,7,0,0,1.5,95.4
2022,1,6,8,0,0,1.2000000000000002,94.95
2022,1,6,9,0,0,0.7000000000000001,95.74000000000001
2022,1,6,10,0,0,0.4,94.72
2022,1,6,11,0,0,-0.2,94.45
2022,1,6,12,0,0,-0.7000000000000001,93.71000000000001
2022,1,6,13,0,65,0.4,88.22
2022,1,6,14,0,226,1.6,75.49
2022,1,6,15,0,84,2.3000000000000003,62.39
2022,1,6,16,0,71,2.8000000000000003,57.13
2022,1,6,17,0,216,3.1,54.89
2022,1,6,18,0,251,2.9000000000000004,55.25
2022,1,6,19,0,257,2.3000000000000003,58.04
2022,1,6,20,0,206,1,67.03
2022,1,6,21,0,40,-1.8,79.51
2022,1,6,22,0,0,-2.1,80.93
2022,1,6,23,0,0,-1.9000000000000001,81.16
2022,1,7,0,0,0,-1.7000000000000002,81.59
2022,1,7,1,0,0,-1.3,80.10000000000001
2022,1,7,2,0,0,-1.2000000000000002,79.43
2022,1,7,3,0,0,-1.4000000000000001,80.23
2022,1,7,4,0,0,-1.4000000000000001,79.82000000000001
2022,1,7,5,0,0,-1.3,79.23
2022,1,7,6,0,0,-1.4000000000000001,80.37
2022,1,7,7,0,0,-1.7000000000000002,82.58
2022,1,7,8,0,0,-1.9000000000000001,82.51
2022,1,7,9,0,0,-2.2,83.44
2022,1,7,10,0,0,-2.4000000000000004,84.03
2022,1,7,11,0,0,-2.5,84.93
2022,1,7,12,0,0,-2.6,85.92
2022,1,7,13,0,31,-2.3000000000000003,84.53
2022,1,7,14,0,19,-2,82.98
2022,1,7,15,0,67,-1.7000000000000002,81.84
2022,1,7,16,0,174,-1.2000000000000002,79.44
2022,1,7,17,0,255,-0.6000000000000001,76
2022,1,7,18,0,203,-0.30000000000000004,73.86
2022,1,7,19,0,181,-0.5,74.23
2022,1,7,20,0,12,-1,75.75
2022,1,7,21,0,65,-1.7000000000000002,77.14
2022,1,7,22,0,0,-2.4000000000000004,77.11
2022,1,7,23,0,0,-3.1,74.54
2022,1,8,0,0,0,-4,72.68
2022,1,8,1,0,0,-4.800000000000001,71.93
2022,1,8,2,0,0,-5.300000000000001,71.60000000000001
2022,1,8,3,0,0,-5.6000000000000005,71.41
2022,1,8,4,0,0,-5.9,71.61
2022,1,8,5,0,0,-6.1000000000000005,70.98
2022,1,8,6,0,0,-6.5,70.46000000000001
2022,1,8,7,0,0,-7.1000000000000005,70.55
2022,1,8,8,0,0,-7.800000000000001,70.51
2022,1,8,9,0,0,-8.5,70.67
2022,1,8,10,0,0,-9.3,71.52
2022,1,8,11,0,0,-10.5,71.88
2022,1,8,12,0,0,-11.200000000000001,72.06
2022,1,8,13,0,90,-9.3,67.97
2022,1,8,14,0,248,-7.300000000000001,63.89
2022,1,8,15,0,381,-5.6000000000000005,60.26
2022,1,8,16,0,465,-4.1000000000000005,57.45
2022,1,8,17,0,486,-2.9000000000000004,55.81
2022,1,8,18,0,453,-2,55.97
2022,1,8,19,0,364,-2,55.67
2022,1,8,20,0,230,-2.7,55.43
2022,1,8,21,0,74,-4.2,55.300000000000004
2022,1,8,22,0,0,-4.800000000000001,52.550000000000004
2022,1,8,23,0,0,-5.7,57.42
2022,1,9,0,0,0,-6.9,66.33
2022,1,9,1,0,0,-7.6000000000000005,70.69
2022,1,9,2,0,0,-7.800000000000001,71.87
2022,1,9,3,0,0,-7.4,72.52
2022,1,9,4,0,0,-6.4,73.48
2022,1,9,5,0,0,-6.1000000000000005,77.42
2022,1,9,6,0,0,-5.5,80.10000000000001
2022,1,9,7,0,0,-5.1000000000000005,83.24
2022,1,9,8,0,0,-5.4,87.89
2022,1,9,9,0,0,-5.1000000000000005,88.45
2022,1,9,10,0,0,-4.1000000000000005,88.01
2022,1,9,11,0,0,-2.9000000000000004,88.41
2022,1,9,12,0,0,-1.9000000000000001,90.15
2022,1,9,13,0,33,-0.5,89.48
2022,1,9,14,0,122,0.9,88.06
2022,1,9,15,0,282,1.8,87.19
2022,1,9,16,0,281,2.7,83.29
2022,1,9,17,0,273,2.9000000000000004,81.4
2022,1,9,18,0,316,2.4000000000000004,83.91
2022,1,9,19,0,136,2.2,87.10000000000001
2022,1,9,20,0,56,2.1,89.93
2022,1,9,21,0,19,1.9000000000000001,92.7
2022,1,9,22,0,0,1.7000000000000002,94.10000000000001
2022,1,9,23,0,0,1.6,94.51
2022,1,10,0,0,0,1.6,94.49
2022,1,10,1,0,0,1.6,94.57000000000001
2022,1,10,2,0,0,1.5,95.22
2022,1,10,3,0,0,1.6,94.61
2022,1,10,4,0,0,1.4000000000000001,93.79
2022,1,10,5,0,0,0.9,90.89
2022,1,10,6,0,0,-0.2,84.89
2022,1,10,7,0,0,-1.6,77.61
2022,1,10,8,0,0,-2.7,72.63
2022,1,10,9,0,0,-3.3000000000000003,71.28
2022,1,10,10,0,0,-3.8000000000000003,72.02
2022,1,10,11,0,0,-4.3,72.66
2022,1,10,12,0,0,-4.800000000000001,72.52
2022,1,10,13,0,85,-4,68.67
2022,1,10,14,0,244,-3.5,63.46
2022,1,10,15,0,377,-3.2,59.7
2022,1,10,16,0,464,-2.9000000000000004,57.51
2022,1,10,17,0,493,-2.7,56.09
2022,1,10,18,0,459,-2.8000000000000003,55.88
2022,1,10,19,0,369,-3.1,56.53
2022,1,10,20,0,235,-3.7,58.67
2022,1,10,21,0,78,-4.7,61.230000000000004
2022,1,10,22,0,0,-5.5,63.28
2022,1,10,23,0,0,-5.9,64.32000000000001
2022,1,11,0,0,0,-6.4,65.16
2022,1,11,1,0,0,-6.6000000000000005,64.84
2022,1,11,2,0,0,-6.800000000000001,64.93
2022,1,11,3,0,0,-7,64.66
2022,1,11,4,0,0,-7.5,65.69
2022,1,11,5,0,0,-8.1,67.86
2022,1,11,6,0,0,-8.5,67.8
2022,1,11,7,0,0,-8.9,67.22
2022,1,11,8,0,0,-9.200000000000001,69.61
2022,1,11,9,0,0,-9.3,70.60000000000001
2022,1,11,10,0,0,-9.8,68.74
