Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,519123,-,b'California',b'United States',40.56,-123.19,0,744,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,121,1.5,90.05
2022,1,1,1,0,0,-0.8,89.76
2022,1,1,2,0,0,-2.4000000000000004,89.37
2022,1,1,3,0,0,-3.4000000000000004,87.97
2022,1,1,4,0,0,-4,86.43
2022,1,1,5,0,0,-4.4,86.85000000000001
2022,1,1,6,0,0,-4.7,87.05
2022,1,1,7,0,0,-4.9,87.07000000000001
2022,1,1,8,0,0,-4.9,85.58
2022,1,1,9,0,0,-5.1000000000000005,84.49
2022,1,1,10,0,0,-5.2,83.04
2022,1,1,11,0,0,-5.2,81.44
2022,1,1,12,0,0,-5.2,80.02
2022,1,1,13,0,0,-4.9,78.07000000000001
2022,1,1,14,0,0,-4.3,73.88
2022,1,1,15,0,0,-3.7,69.14
2022,1,1,16,0,42,-1.8,70.74
2022,1,1,17,0,47,1.2000000000000002,74
2022,1,1,18,0,124,3.3000000000000003,70.14
2022,1,1,19,0,294,5.1000000000000005,61.620000000000005
2022,1,1,20,0,478,6.300000000000001,55.43
2022,1,1,21,0,465,7,55.01
2022,1,1,22,0,394,7,58.36
2022,1,1,23,0,275,5.7,66.39
2022,1,2,0,0,120,3.9000000000000004,62.06
2022,1,2,1,0,0,2.1,64.69
2022,1,2,2,0,0,0.4,72.31
2022,1,2,3,0,0,-0.5,76.89
2022,1,2,4,0,0,-1,78.95
2022,1,2,5,0,0,-1.4000000000000001,80.47
2022,1,2,6,0,0,-1.9000000000000001,83.01
2022,1,2,7,0,0,-2.3000000000000003,84.74
2022,1,2,8,0,0,-2.8000000000000003,86.9
2022,1,2,9,0,0,-3,86.86
2022,1,2,10,0,0,-3,85.55
2022,1,2,11,0,0,-3.2,84.93
2022,1,2,12,0,0,-3.5,85.11
2022,1,2,13,0,0,-3.3000000000000003,83.65
2022,1,2,14,0,0,-3,82.97
2022,1,2,15,0,0,-2.7,82.43
2022,1,2,16,0,25,-1.7000000000000002,81.28
2022,1,2,17,0,130,-0.1,80.19
2022,1,2,18,0,288,1,78.52
2022,1,2,19,0,355,1.9000000000000001,77.4
2022,1,2,20,0,360,2.6,77.07000000000001
2022,1,2,21,0,410,3.3000000000000003,76.84
2022,1,2,22,0,345,3.4000000000000004,78.69
2022,1,2,23,0,186,3,82.97
2022,1,3,0,0,120,1.1,87.99
2022,1,3,1,0,0,-0.2,90.67
2022,1,3,2,0,0,-0.1,91.08
2022,1,3,3,0,0,0,91.31
2022,1,3,4,0,0,0.2,90.45
2022,1,3,5,0,0,0.30000000000000004,89.68
2022,1,3,6,0,0,0.4,89.13
2022,1,3,7,0,0,0.30000000000000004,89.84
2022,1,3,8,0,0,0.30000000000000004,89.71000000000001
2022,1,3,9,0,0,0.2,90.10000000000001
2022,1,3,10,0,0,0.4,90.24
2022,1,3,11,0,0,1,90.36
2022,1,3,12,0,0,1.7000000000000002,90.53
2022,1,3,13,0,0,2.3000000000000003,90.69
2022,1,3,14,0,0,2.7,91.16
2022,1,3,15,0,0,3,91.31
2022,1,3,16,0,15,3.3000000000000003,91.62
2022,1,3,17,0,47,3.7,91.47
2022,1,3,18,0,164,4.1000000000000005,91.2
2022,1,3,19,0,332,4.4,91.68
2022,1,3,20,0,133,4.800000000000001,91.72
2022,1,3,21,0,125,5.2,91.39
2022,1,3,22,0,90,5.4,91.36
2022,1,3,23,0,60,5.300000000000001,91.99
2022,1,4,0,0,13,5.2,91.94
2022,1,4,1,0,0,5.1000000000000005,91.43
2022,1,4,2,0,0,4.9,91.09
2022,1,4,3,0,0,4.6000000000000005,91.3
2022,1,4,4,0,0,4.4,91.41
2022,1,4,5,0,0,4.3,91.58
2022,1,4,6,0,0,4.4,91.37
2022,1,4,7,0,0,4.5,91.56
2022,1,4,8,0,0,4.6000000000000005,91.27
2022,1,4,9,0,0,4.6000000000000005,91.23
2022,1,4,10,0,0,4.5,91.65
2022,1,4,11,0,0,4.5,91.56
2022,1,4,12,0,0,4.5,91.29
2022,1,4,13,0,0,4.3,91.41
2022,1,4,14,0,0,4,91.71000000000001
2022,1,4,15,0,0,3.8000000000000003,91.81
2022,1,4,16,0,36,4,91.60000000000001
2022,1,4,17,0,141,4.4,91.49
2022,1,4,18,0,54,4.7,91.57000000000001
2022,1,4,19,0,296,5,91.75
2022,1,4,20,0,348,5.300000000000001,91.95
2022,1,4,21,0,346,5.5,91.69
2022,1,4,22,0,233,5.4,92.02
2022,1,4,23,0,122,5.4,91.86
2022,1,5,0,0,17,5.300000000000001,92.10000000000001
2022,1,5,1,0,0,5.300000000000001,92.29
2022,1,5,2,0,0,5.5,91.81
2022,1,5,3,0,0,5.5,91.8
2022,1,5,4,0,0,5.800000000000001,91.95
2022,1,5,5,0,0,6.2,92.18
2022,1,5,6,0,0,6.7,91.92
2022,1,5,7,0,0,7.1000000000000005,92.03
2022,1,5,8,0,0,7.300000000000001,92.32000000000001
2022,1,5,9,0,0,7.5,92.62
2022,1,5,10,0,0,7.7,92.44
2022,1,5,11,0,0,7.9,92.03
2022,1,5,12,0,0,7.9,92.01
2022,1,5,13,0,0,7.9,92.14
2022,1,5,14,0,0,8,92.08
2022,1,5,15,0,0,8.1,92
2022,1,5,16,0,38,8.200000000000001,92.22
2022,1,5,17,0,178,8.700000000000001,92
2022,1,5,18,0,312,9.200000000000001,92.32000000000001
2022,1,5,19,0,408,9.600000000000001,91.92
2022,1,5,20,0,453,10,92.05
2022,1,5,21,0,442,10.3,92.2
2022,1,5,22,0,262,10.3,92.34
2022,1,5,23,0,201,10.100000000000001,92.02
2022,1,6,0,0,120,9.200000000000001,92.37
2022,1,6,1,0,0,8.6,92.12
2022,1,6,2,0,0,8.3,92.38
2022,1,6,3,0,0,8.1,92.44
2022,1,6,4,0,0,8,92.32000000000001
2022,1,6,5,0,0,8,91.76
2022,1,6,6,0,0,7.9,91.86
2022,1,6,7,0,0,7.800000000000001,92.22
2022,1,6,8,0,0,7.800000000000001,91.58
2022,1,6,9,0,0,7.7,92.03
2022,1,6,10,0,0,7.6000000000000005,92.12
2022,1,6,11,0,0,7.6000000000000005,91.97
2022,1,6,12,0,0,7.6000000000000005,91.85000000000001
2022,1,6,13,0,0,7.6000000000000005,91.67
2022,1,6,14,0,0,7.4,91.84
2022,1,6,15,0,0,7.1000000000000005,91.58
2022,1,6,16,0,40,7.800000000000001,91.54
2022,1,6,17,0,188,8.4,91.55
2022,1,6,18,0,330,8.700000000000001,91.34
2022,1,6,19,0,428,8.9,90.75
2022,1,6,20,0,475,9,90.36
2022,1,6,21,0,464,9.1,89.61
2022,1,6,22,0,397,9,89.33
2022,1,6,23,0,280,8.6,90.5
2022,1,7,0,0,132,8,91.10000000000001
2022,1,7,1,0,0,7.5,91.73
2022,1,7,2,0,0,7.2,91.37
2022,1,7,3,0,0,6.7,90.95
2022,1,7,4,0,0,6.1000000000000005,90.33
2022,1,7,5,0,0,5.7,90.34
2022,1,7,6,0,0,5.5,89.98
2022,1,7,7,0,0,5,90.42
2022,1,7,8,0,0,4.7,90.51
2022,1,7,9,0,0,4.4,90.91
2022,1,7,10,0,0,4.2,90.84
2022,1,7,11,0,0,4.6000000000000005,90.73
2022,1,7,12,0,0,5,91.04
2022,1,7,13,0,0,5.300000000000001,91.21000000000001
2022,1,7,14,0,0,5.6000000000000005,92.17
2022,1,7,15,0,0,5.9,92.32000000000001
2022,1,7,16,0,16,6.300000000000001,92.01
2022,1,7,17,0,21,6.6000000000000005,91.67
2022,1,7,18,0,227,6.800000000000001,91.11
2022,1,7,19,0,310,6.800000000000001,90.17
2022,1,7,20,0,130,7,87.76
2022,1,7,21,0,230,7.1000000000000005,84.97
2022,1,7,22,0,290,6.9,83.71000000000001
2022,1,7,23,0,10,6.2,85.88
2022,1,8,0,0,132,5.300000000000001,88.67
2022,1,8,1,0,0,4.7,89.22
2022,1,8,2,0,0,4.4,89.63
2022,1,8,3,0,0,4.2,89.57000000000001
2022,1,8,4,0,0,4,89.88
2022,1,8,5,0,0,3.8000000000000003,89.48
2022,1,8,6,0,0,3.4000000000000004,89.45
2022,1,8,7,0,0,2.8000000000000003,89.93
2022,1,8,8,0,0,2.3000000000000003,90.26
2022,1,8,9,0,0,1.9000000000000001,89.45
2022,1,8,10,0,0,1.5,89.32000000000001
2022,1,8,11,0,0,0.8,89.2
2022,1,8,12,0,0,0.4,88.5
2022,1,8,13,0,0,0,87.99
2022,1,8,14,0,0,-0.30000000000000004,87.37
2022,1,8,15,0,0,-0.5,87.15
2022,1,8,16,0,41,1.8,87.10000000000001
2022,1,8,17,0,189,4.5,83.31
2022,1,8,18,0,331,7.5,73.31
2022,1,8,19,0,166,9.3,65.28
2022,1,8,20,0,479,10.3,60.230000000000004
2022,1,8,21,0,468,10.5,58.33
2022,1,8,22,0,401,10.5,59.19
2022,1,8,23,0,285,9.9,71.29
2022,1,9,0,0,136,7.7,72.37
2022,1,9,1,0,0,5.800000000000001,71.91
2022,1,9,2,0,0,4.3,77.08
2022,1,9,3,0,0,3.1,81.18
2022,1,9,4,0,0,2.2,83.99
2022,1,9,5,0,0,1.7000000000000002,84.55
2022,1,9,6,0,0,1.3,84.07000000000001
2022,1,9,7,0,0,1.3,81.96000000000001
2022,1,9,8,0,0,1.3,80.23
2022,1,9,9,0,0,1.3,78.92
2022,1,9,10,0,0,1,79.53
2022,1,9,11,0,0,0.7000000000000001,80.35000000000001
2022,1,9,12,0,0,0.2,82.47
2022,1,9,13,0,0,-0.4,85.65
2022,1,9,14,0,0,-0.7000000000000001,87.84
2022,1,9,15,0,0,-0.30000000000000004,85.82000000000001
2022,1,9,16,0,42,1.6,78.51
2022,1,9,17,0,196,3.5,72.01
2022,1,9,18,0,339,5.5,67.06
2022,1,9,19,0,442,7.300000000000001,63.300000000000004
2022,1,9,20,0,491,8.5,61.29
2022,1,9,21,0,478,9,61.08
2022,1,9,22,0,411,8.8,63.08
2022,1,9,23,0,293,7.7,70.51
2022,1,10,0,0,143,4.6000000000000005,83.11
2022,1,10,1,0,0,2.8000000000000003,88
2022,1,10,2,0,0,2.5,89.43
2022,1,10,3,0,0,2.6,88.86
2022,1,10,4,0,0,3,86.67
2022,1,10,5,0,0,3.1,86.28
2022,1,10,6,0,0,2.9000000000000004,87.05
2022,1,10,7,0,0,3,86.52
2022,1,10,8,0,0,3,86.14
2022,1,10,9,0,0,3.1,86.06
2022,1,10,10,0,0,3.5,85.07000000000001
2022,1,10,11,0,0,3.7,84.76
2022,1,10,12,0,0,3.5,86.23
2022,1,10,13,0,0,3.6,85.65
2022,1,10,14,0,0,3.8000000000000003,85.01
2022,1,10,15,0,0,3.8000000000000003,85.04
2022,1,10,16,0,17,4.7,85.18
2022,1,10,17,0,108,6.5,75.31
2022,1,10,18,0,327,8.200000000000001,70.49
2022,1,10,19,0,317,10,65.32000000000001
2022,1,10,20,0,478,11.700000000000001,60.74
2022,1,10,21,0,471,12.700000000000001,59.61
2022,1,10,22,0,405,12.700000000000001,62.11
2022,1,10,23,0,290,11.600000000000001,77.49
2022,1,11,0,0,141,9.600000000000001,75.52
2022,1,11,1,0,0,9,71.14
2022,1,11,2,0,0,8.4,73.53
2022,1,11,3,0,0,7.5,78.01
2022,1,11,4,0,0,6.800000000000001,79.78
2022,1,11,5,0,0,6.5,80.11
2022,1,11,6,0,0,5.6000000000000005,82.9
2022,1,11,7,0,0,4.9,85.09
2022,1,11,8,0,0,4.4,86.12
2022,1,11,9,0,0,4.5,86.99
2022,1,11,10,0,0,4,87.63
2022,1,11,11,0,0,4.3,87.60000000000001
2022,1,11,12,0,0,4.5,85.28
2022,1,11,13,0,0,4.3,84.73
2022,1,11,14,0,0,4.3,85.85000000000001
2022,1,11,15,0,0,4.5,86
2022,1,11,16,0,20,6,86.07000000000001
2022,1,11,17,0,135,8.1,85.61
2022,1,11,18,0,182,9.1,83.09
2022,1,11,19,0,379,10.9,76.09
2022,1,11,20,0,482,13.4,64.32000000000001
2022,1,11,21,0,381,14.600000000000001,60.08
2022,1,11,22,0,345,15,59.33
2022,1,11,23,0,293,13.700000000000001,70.07000000000001
2022,1,12,0,0,92,12.600000000000001,60.19
2022,1,12,1,0,0,11.9,59.800000000000004
2022,1,12,2,0,0,10.9,64.59
2022,1,12,3,0,0,9.5,69.86
2022,1,12,4,0,0,8.3,73.99
2022,1,12,5,0,0,7.5,76.93
2022,1,12,6,0,0,6.5,80.54
2022,1,12,7,0,0,5.2,85.67
2022,1,12,8,0,0,4.4,88.9
2022,1,12,9,0,0,4.3,88.42
2022,1,12,10,0,0,4.6000000000000005,86.36
2022,1,12,11,0,0,4.9,85.01
2022,1,12,12,0,0,4.9,84.01
2022,1,12,13,0,0,4.7,82.42
2022,1,12,14,0,0,4.6000000000000005,80.15
2022,1,12,15,0,0,4.4,79.77
2022,1,12,16,0,24,5.7,79.2
2022,1,12,17,0,133,8.1,77.29
2022,1,12,18,0,258,10.9,64.68
2022,1,12,19,0,440,12.9,61.1
2022,1,12,20,0,489,14.4,58.050000000000004
2022,1,12,21,0,481,14.8,58.44
2022,1,12,22,0,415,14.600000000000001,61.07
2022,1,12,23,0,299,13.100000000000001,76.79
2022,1,13,0,0,150,10,81.98
2022,1,13,1,0,0,8,80.99
2022,1,13,2,0,0,7.4,83.69
2022,1,13,3,0,0,6.6000000000000005,87.32000000000001
2022,1,13,4,0,0,5.800000000000001,90.9
2022,1,13,5,0,0,5.4,92.19
2022,1,13,6,0,0,5.7,91
2022,1,13,7,0,0,5.2,91.2
2022,1,13,8,0,0,5,91.49
