Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1310097,-,b'Montana',b'United States',46.6,-112.03,0,1215,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,-18.6,57.410000000000004
2022,1,1,1,0,0,-18.8,56.46
2022,1,1,2,0,0,-19.3,57.36
2022,1,1,3,0,0,-19.700000000000003,58.43
2022,1,1,4,0,0,-20.1,59.81
2022,1,1,5,0,0,-20.400000000000002,61.300000000000004
2022,1,1,6,0,0,-21,63.870000000000005
2022,1,1,7,0,0,-21.6,66.82000000000001
2022,1,1,8,0,0,-21.6,68.22
2022,1,1,9,0,0,-21.200000000000003,68.3
2022,1,1,10,0,0,-21.3,68.86
2022,1,1,11,0,0,-21.5,68.79
2022,1,1,12,0,0,-21.900000000000002,69.04
2022,1,1,13,0,0,-21.900000000000002,67.95
2022,1,1,14,0,0,-21.900000000000002,66.59
2022,1,1,15,0,0,-21.3,64.99
2022,1,1,16,0,58,-19,62.43
2022,1,1,17,0,219,-15.100000000000001,60.53
2022,1,1,18,0,316,-12.700000000000001,59.34
2022,1,1,19,0,358,-10.8,58.51
2022,1,1,20,0,368,-9.4,58.86
2022,1,1,21,0,91,-8.700000000000001,60.34
2022,1,1,22,0,70,-8.8,62.550000000000004
2022,1,1,23,0,30,-9.5,64.14
2022,1,2,0,0,0,-9.8,64.08
2022,1,2,1,0,0,-9.700000000000001,62.81
2022,1,2,2,0,0,-9.8,61.53
2022,1,2,3,0,0,-10,61.42
2022,1,2,4,0,0,-10.100000000000001,61.93
2022,1,2,5,0,0,-10.4,62.910000000000004
2022,1,2,6,0,0,-10.700000000000001,63.21
2022,1,2,7,0,0,-10.5,63.14
2022,1,2,8,0,0,-10,63.86
2022,1,2,9,0,0,-9.5,64.31
2022,1,2,10,0,0,-9.1,64.85
2022,1,2,11,0,0,-9,66.11
2022,1,2,12,0,0,-9.1,67
2022,1,2,13,0,0,-9.5,68.48
2022,1,2,14,0,0,-9.5,69.16
2022,1,2,15,0,0,-9.5,69.71000000000001
2022,1,2,16,0,51,-8.1,68.51
2022,1,2,17,0,181,-5.9,67.37
2022,1,2,18,0,308,-4.3,67.87
2022,1,2,19,0,367,-3.2,69.62
2022,1,2,20,0,341,-2.5,71.11
2022,1,2,21,0,288,-2.2,72.64
2022,1,2,22,0,188,-2.4000000000000004,73.95
2022,1,2,23,0,30,-3.2,74.27
2022,1,3,0,0,0,-4.2,74.12
2022,1,3,1,0,0,-4.9,72.85000000000001
2022,1,3,2,0,0,-6.2,73
2022,1,3,3,0,0,-7.7,71.91
2022,1,3,4,0,0,-9.200000000000001,70.36
2022,1,3,5,0,0,-10.200000000000001,67.73
2022,1,3,6,0,0,-10.8,65.1
2022,1,3,7,0,0,-11.200000000000001,62.96
2022,1,3,8,0,0,-11.4,61.99
2022,1,3,9,0,0,-11.3,61.120000000000005
2022,1,3,10,0,0,-11,60.53
2022,1,3,11,0,0,-10.8,60.86
2022,1,3,12,0,0,-10.600000000000001,61.27
2022,1,3,13,0,0,-10.600000000000001,62.43
2022,1,3,14,0,0,-10.5,63.03
2022,1,3,15,0,0,-10.3,63.5
2022,1,3,16,0,86,-7.7,61.04
2022,1,3,17,0,148,-4.5,61.21
2022,1,3,18,0,315,-2.2,62.26
2022,1,3,19,0,369,-0.5,63.86
2022,1,3,20,0,295,0.8,65.36
2022,1,3,21,0,278,1.3,66.96000000000001
2022,1,3,22,0,166,0.9,69.26
2022,1,3,23,0,64,-0.6000000000000001,71.52
2022,1,4,0,0,0,-2.1,71.54
2022,1,4,1,0,0,-2.7,70.45
2022,1,4,2,0,0,-2.8000000000000003,69.39
2022,1,4,3,0,0,-2.9000000000000004,69.68
2022,1,4,4,0,0,-2.9000000000000004,70.84
2022,1,4,5,0,0,-2.8000000000000003,71.87
2022,1,4,6,0,0,-3,73.26
2022,1,4,7,0,0,-3.6,74.24
2022,1,4,8,0,0,-4.1000000000000005,77.19
2022,1,4,9,0,0,-4.3,79.63
2022,1,4,10,0,0,-4.800000000000001,80.24
2022,1,4,11,0,0,-6,79.23
2022,1,4,12,0,0,-6.9,77.73
2022,1,4,13,0,0,-7.800000000000001,76.45
2022,1,4,14,0,0,-8.9,75.44
2022,1,4,15,0,0,-9.700000000000001,74.3
2022,1,4,16,0,86,-9,72.17
2022,1,4,17,0,216,-7.6000000000000005,70.15
2022,1,4,18,0,319,-6.6000000000000005,68.75
2022,1,4,19,0,375,-5.7,67.76
2022,1,4,20,0,379,-5.1000000000000005,67.48
2022,1,4,21,0,324,-5,68.01
2022,1,4,22,0,71,-5.7,70.75
2022,1,4,23,0,99,-7.9,71.07000000000001
2022,1,5,0,0,0,-10.3,71.85000000000001
2022,1,5,1,0,0,-11.3,73.24
2022,1,5,2,0,0,-12.100000000000001,75
2022,1,5,3,0,0,-13.3,76.39
2022,1,5,4,0,0,-14.700000000000001,75.9
2022,1,5,5,0,0,-15.600000000000001,73.5
2022,1,5,6,0,0,-16.6,70.92
2022,1,5,7,0,0,-17.400000000000002,68.76
2022,1,5,8,0,0,-17.5,68.16
2022,1,5,9,0,0,-17.5,67.02
2022,1,5,10,0,0,-17.5,66.56
2022,1,5,11,0,0,-17.7,65.96000000000001
2022,1,5,12,0,0,-18.400000000000002,65.76
2022,1,5,13,0,0,-19.400000000000002,65.25
2022,1,5,14,0,0,-20.400000000000002,64
2022,1,5,15,0,0,-21.400000000000002,63.54
2022,1,5,16,0,86,-21.900000000000002,62.550000000000004
2022,1,5,17,0,172,-21.700000000000003,61.52
2022,1,5,18,0,253,-21.1,61.27
2022,1,5,19,0,309,-20.400000000000002,61.34
2022,1,5,20,0,337,-19.900000000000002,61.79
2022,1,5,21,0,293,-19.6,62.03
2022,1,5,22,0,182,-19.5,61.96
2022,1,5,23,0,35,-19.700000000000003,62.63
2022,1,6,0,0,0,-19.900000000000002,62.550000000000004
2022,1,6,1,0,0,-20,62.56
2022,1,6,2,0,0,-19.900000000000002,62.17
2022,1,6,3,0,0,-19.900000000000002,62.35
2022,1,6,4,0,0,-20,62.370000000000005
2022,1,6,5,0,0,-20,62.74
2022,1,6,6,0,0,-19.700000000000003,63.1
2022,1,6,7,0,0,-19.200000000000003,63.89
2022,1,6,8,0,0,-18.400000000000002,65.27
2022,1,6,9,0,0,-17.3,66.34
2022,1,6,10,0,0,-16.2,67.62
2022,1,6,11,0,0,-15.200000000000001,68.83
2022,1,6,12,0,0,-14.3,69.9
2022,1,6,13,0,0,-13.600000000000001,71.16
2022,1,6,14,0,0,-13,72.32000000000001
2022,1,6,15,0,0,-12.3,72.62
2022,1,6,16,0,29,-11.4,74.12
2022,1,6,17,0,59,-10.200000000000001,74.82000000000001
2022,1,6,18,0,92,-9,76.35000000000001
2022,1,6,19,0,126,-7.6000000000000005,78.47
2022,1,6,20,0,121,-6,80.15
2022,1,6,21,0,273,-4.2,81.89
2022,1,6,22,0,68,-2.7,83.68
2022,1,6,23,0,44,-2.1,84.54
2022,1,7,0,0,0,-2,84.89
2022,1,7,1,0,0,-1.5,85.23
2022,1,7,2,0,0,-1,85.19
2022,1,7,3,0,0,-0.7000000000000001,85.10000000000001
2022,1,7,4,0,0,-0.5,85.22
2022,1,7,5,0,0,0.1,84.60000000000001
2022,1,7,6,0,0,0.30000000000000004,85.23
2022,1,7,7,0,0,0.6000000000000001,84.8
2022,1,7,8,0,0,0.2,85.15
2022,1,7,9,0,0,-0.1,84.5
2022,1,7,10,0,0,0,84.36
2022,1,7,11,0,0,0.6000000000000001,82.95
2022,1,7,12,0,0,0.8,83.03
2022,1,7,13,0,0,1,82.96000000000001
2022,1,7,14,0,0,1.3,82.57000000000001
2022,1,7,15,0,0,1.8,82.44
2022,1,7,16,0,36,2.7,82.45
2022,1,7,17,0,48,3.1,82.57000000000001
2022,1,7,18,0,82,3.1,83.43
2022,1,7,19,0,113,3.2,83.16
2022,1,7,20,0,94,3.2,83.06
2022,1,7,21,0,321,3.3000000000000003,81.34
2022,1,7,22,0,227,3.4000000000000004,80.04
2022,1,7,23,0,103,3.2,80.92
2022,1,8,0,0,0,3,81.01
2022,1,8,1,0,0,2.8000000000000003,80.35000000000001
2022,1,8,2,0,0,2.5,79.66
2022,1,8,3,0,0,1.8,79.06
2022,1,8,4,0,0,1,78.37
2022,1,8,5,0,0,-0.4,77.15
2022,1,8,6,0,0,-1.6,75.57000000000001
2022,1,8,7,0,0,-2.4000000000000004,74.67
2022,1,8,8,0,0,-3.2,74.87
2022,1,8,9,0,0,-3.8000000000000003,74.88
2022,1,8,10,0,0,-4.3,75.12
2022,1,8,11,0,0,-4.7,75.38
2022,1,8,12,0,0,-5.1000000000000005,75.39
2022,1,8,13,0,0,-5.7,75.42
2022,1,8,14,0,0,-6.5,75.75
2022,1,8,15,0,0,-7.1000000000000005,76.21000000000001
2022,1,8,16,0,89,-6.2,76.52
2022,1,8,17,0,221,-4.7,75.64
2022,1,8,18,0,325,-4.1000000000000005,73.76
2022,1,8,19,0,383,-3.8000000000000003,72.62
2022,1,8,20,0,154,-3.7,72.31
2022,1,8,21,0,64,-3.6,72.21000000000001
2022,1,8,22,0,68,-3.8000000000000003,73.27
2022,1,8,23,0,26,-5.2,75.06
2022,1,9,0,0,0,-7,75.45
2022,1,9,1,0,0,-8.4,76.8
2022,1,9,2,0,0,-9.8,76.35000000000001
2022,1,9,3,0,0,-10.9,76.68
2022,1,9,4,0,0,-11.5,75.92
2022,1,9,5,0,0,-11.9,75.4
2022,1,9,6,0,0,-12.3,74.84
2022,1,9,7,0,0,-12.9,75.3
2022,1,9,8,0,0,-13.4,75.48
2022,1,9,9,0,0,-13.700000000000001,74.28
2022,1,9,10,0,0,-13.8,73.21000000000001
2022,1,9,11,0,0,-13.3,71.92
2022,1,9,12,0,0,-13.100000000000001,71.29
2022,1,9,13,0,0,-13.100000000000001,71.2
2022,1,9,14,0,0,-13,70.89
2022,1,9,15,0,0,-12.700000000000001,71.38
2022,1,9,16,0,45,-10.3,71.09
2022,1,9,17,0,217,-6.5,71.25
2022,1,9,18,0,295,-3.6,72.39
2022,1,9,19,0,375,-1.2000000000000002,74.61
2022,1,9,20,0,380,0.6000000000000001,74.49
2022,1,9,21,0,332,1.4000000000000001,76.25
2022,1,9,22,0,239,1,79.07000000000001
2022,1,9,23,0,112,-1.6,79.85000000000001
2022,1,10,0,0,0,-4.3,81.13
2022,1,10,1,0,0,-5.300000000000001,83.35000000000001
2022,1,10,2,0,0,-6.1000000000000005,83.25
2022,1,10,3,0,0,-6.800000000000001,81.66
2022,1,10,4,0,0,-7.300000000000001,79.05
2022,1,10,5,0,0,-7.9,77.05
2022,1,10,6,0,0,-8.4,75.18
2022,1,10,7,0,0,-8.9,73.44
2022,1,10,8,0,0,-9.5,72.72
2022,1,10,9,0,0,-9.9,72.27
2022,1,10,10,0,0,-10.3,72.62
2022,1,10,11,0,0,-10.600000000000001,72.84
2022,1,10,12,0,0,-10.700000000000001,73.17
2022,1,10,13,0,0,-10.700000000000001,73.8
2022,1,10,14,0,0,-10.600000000000001,73.60000000000001
2022,1,10,15,0,0,-10.4,73.11
2022,1,10,16,0,92,-8.3,72.03
2022,1,10,17,0,224,-5,72.23
2022,1,10,18,0,309,-2.4000000000000004,73.14
2022,1,10,19,0,392,-0.2,75.58
2022,1,10,20,0,398,1.3,78.42
2022,1,10,21,0,332,2.1,79.8
2022,1,10,22,0,252,1.7000000000000002,80.96000000000001
2022,1,10,23,0,121,-0.7000000000000001,82.06
2022,1,11,0,0,0,-2.7,82.29
2022,1,11,1,0,0,-3.4000000000000004,81.31
2022,1,11,2,0,0,-4,79.59
2022,1,11,3,0,0,-4.6000000000000005,78.08
2022,1,11,4,0,0,-5.1000000000000005,76.74
2022,1,11,5,0,0,-6.1000000000000005,76.67
2022,1,11,6,0,0,-7.1000000000000005,75.86
2022,1,11,7,0,0,-8,75.34
2022,1,11,8,0,0,-8.6,74.9
2022,1,11,9,0,0,-9,74.84
2022,1,11,10,0,0,-9.3,74.38
2022,1,11,11,0,0,-9.8,74.68
2022,1,11,12,0,0,-9.700000000000001,74.16
2022,1,11,13,0,0,-9,74.17
2022,1,11,14,0,0,-8,74.63
2022,1,11,15,0,0,-6.800000000000001,74.96000000000001
2022,1,11,16,0,31,-4.9,75.58
2022,1,11,17,0,57,-2.6,76
2022,1,11,18,0,95,-0.2,77.19
2022,1,11,19,0,148,1.8,78.99
2022,1,11,20,0,381,3,80.26
2022,1,11,21,0,201,3.4000000000000004,80.76
2022,1,11,22,0,105,3.3000000000000003,81.86
2022,1,11,23,0,76,2.4000000000000004,84.34
2022,1,12,0,0,0,1.1,85.2
2022,1,12,1,0,0,0.30000000000000004,85.24
2022,1,12,2,0,0,-0.1,85.41
2022,1,12,3,0,0,0,84.49
2022,1,12,4,0,0,0,83.93
2022,1,12,5,0,0,-0.2,83.31
