Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,167913,-,b'Alaska',b'United States',59.64,-151.55,0,58,-9,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,9,0,85.21000000000001
2022,1,1,1,0,0,-0.1,84.26
2022,1,1,2,0,0,-0.30000000000000004,83.81
2022,1,1,3,0,0,-0.30000000000000004,81.51
2022,1,1,4,0,0,-0.5,78.64
2022,1,1,5,0,0,-1.1,77.21000000000001
2022,1,1,6,0,0,-1.6,76.35000000000001
2022,1,1,7,0,0,-2,75.59
2022,1,1,8,0,0,-2.9000000000000004,75.56
2022,1,1,9,0,0,-4.3,73.44
2022,1,1,10,0,0,-5.6000000000000005,70.84
2022,1,1,11,0,0,-6.5,68.69
2022,1,1,12,0,0,-7.4,67.55
2022,1,1,13,0,0,-8.4,67.64
2022,1,1,14,0,0,-9.4,68.93
2022,1,1,15,0,0,-10.4,70.68
2022,1,1,16,0,0,-11,72.55
2022,1,1,17,0,0,-11.600000000000001,74.05
2022,1,1,18,0,0,-12.200000000000001,75.05
2022,1,1,19,0,0,-12.5,75.04
2022,1,1,20,0,20,-12.5,74.91
2022,1,1,21,0,71,-12.3,74.29
2022,1,1,22,0,67,-12.200000000000001,74.31
2022,1,1,23,0,5,-12.100000000000001,74.72
2022,1,2,0,0,51,-11.9,73.72
2022,1,2,1,0,0,-12,73.82000000000001
2022,1,2,2,0,0,-12.200000000000001,74
2022,1,2,3,0,0,-12.600000000000001,74.77
2022,1,2,4,0,0,-12.9,75.55
2022,1,2,5,0,0,-12.9,75.62
2022,1,2,6,0,0,-12.700000000000001,75.33
2022,1,2,7,0,0,-12.600000000000001,75.42
2022,1,2,8,0,0,-12.4,74.97
2022,1,2,9,0,0,-12.3,74.78
2022,1,2,10,0,0,-12.4,75.64
2022,1,2,11,0,0,-12.5,76.54
2022,1,2,12,0,0,-12.5,77.28
2022,1,2,13,0,0,-12.4,77.57000000000001
2022,1,2,14,0,0,-12.3,77.41
2022,1,2,15,0,0,-12.200000000000001,77.02
2022,1,2,16,0,0,-12.100000000000001,76.68
2022,1,2,17,0,0,-11.9,75.82000000000001
2022,1,2,18,0,0,-11.700000000000001,74.95
2022,1,2,19,0,0,-11.5,74.24
2022,1,2,20,0,25,-11.4,74.19
2022,1,2,21,0,19,-11.4,74.47
2022,1,2,22,0,40,-11.5,74.96000000000001
2022,1,2,23,0,103,-11.700000000000001,75.66
2022,1,3,0,0,64,-11.8,75.54
2022,1,3,1,0,0,-11.9,75.45
2022,1,3,2,0,0,-11.9,75
2022,1,3,3,0,0,-11.9,74.65
2022,1,3,4,0,0,-12,74.51
2022,1,3,5,0,0,-12.3,75.60000000000001
2022,1,3,6,0,0,-12.600000000000001,76.92
2022,1,3,7,0,0,-13,78.61
2022,1,3,8,0,0,-13.3,79.83
2022,1,3,9,0,0,-13.600000000000001,81.52
2022,1,3,10,0,0,-13.9,83.36
2022,1,3,11,0,0,-14,83.98
2022,1,3,12,0,0,-14.100000000000001,84.84
2022,1,3,13,0,0,-14,84.36
2022,1,3,14,0,0,-13.8,83.5
2022,1,3,15,0,0,-13.8,84.06
2022,1,3,16,0,0,-13.700000000000001,84.11
2022,1,3,17,0,0,-13.8,85.44
2022,1,3,18,0,0,-13.700000000000001,85.39
2022,1,3,19,0,0,-13.700000000000001,85.43
2022,1,3,20,0,46,-13.3,85.02
2022,1,3,21,0,92,-12.700000000000001,83.62
2022,1,3,22,0,114,-12.200000000000001,82.46000000000001
2022,1,3,23,0,104,-12,81.89
2022,1,4,0,0,65,-12.200000000000001,82.5
2022,1,4,1,0,16,-12.8,84.96000000000001
2022,1,4,2,0,0,-13,85.10000000000001
2022,1,4,3,0,0,-13.100000000000001,84.89
2022,1,4,4,0,0,-13.100000000000001,84.78
2022,1,4,5,0,0,-12.9,83.46000000000001
2022,1,4,6,0,0,-12.700000000000001,82.49
2022,1,4,7,0,0,-12.4,81.19
2022,1,4,8,0,0,-12.100000000000001,80.37
2022,1,4,9,0,0,-11.700000000000001,79.51
2022,1,4,10,0,0,-11.5,80.61
2022,1,4,11,0,0,-11.3,81.92
2022,1,4,12,0,0,-10.9,81.84
2022,1,4,13,0,0,-10.5,82.2
2022,1,4,14,0,0,-9.9,82.45
2022,1,4,15,0,0,-9.200000000000001,82.91
2022,1,4,16,0,0,-8.700000000000001,84.39
2022,1,4,17,0,0,-8.200000000000001,85.79
2022,1,4,18,0,0,-7.5,85.51
2022,1,4,19,0,0,-6.9,85.15
2022,1,4,20,0,14,-6.2,84.28
2022,1,4,21,0,84,-5.4,83.47
2022,1,4,22,0,104,-4.800000000000001,83.14
2022,1,4,23,0,96,-4.5,82.58
2022,1,5,0,0,60,-4.6000000000000005,82.35000000000001
2022,1,5,1,0,15,-5,82.61
