Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1310253,-,b'Idaho',b'United States',43.48,-112.03,0,1438,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,-11.3,78.26
2022,1,1,1,0,0,-12.700000000000001,80.44
2022,1,1,2,0,0,-14.100000000000001,81.46000000000001
2022,1,1,3,0,0,-14.8,80.34
2022,1,1,4,0,0,-15.200000000000001,78.86
2022,1,1,5,0,0,-16,78.66
2022,1,1,6,0,0,-16.900000000000002,77.91
2022,1,1,7,0,0,-18,77.23
2022,1,1,8,0,0,-19.3,75.72
2022,1,1,9,0,0,-20.700000000000003,74.64
2022,1,1,10,0,0,-21.8,74.63
2022,1,1,11,0,0,-22.3,75.01
2022,1,1,12,0,0,-22.8,74.98
2022,1,1,13,0,0,-23.8,75.77
2022,1,1,14,0,0,-25,76.04
2022,1,1,15,0,0,-25.6,74.59
2022,1,1,16,0,88,-23.400000000000002,72.25
2022,1,1,17,0,211,-19.6,71.11
2022,1,1,18,0,382,-16.8,69.93
2022,1,1,19,0,345,-14.600000000000001,67.66
2022,1,1,20,0,351,-13.600000000000001,69.49
2022,1,1,21,0,381,-13.100000000000001,70.53
2022,1,1,22,0,275,-13.4,73.47
2022,1,1,23,0,131,-15.9,75.41
2022,1,2,0,0,0,-19.200000000000003,77.07000000000001
2022,1,2,1,0,0,-20.8,80.01
2022,1,2,2,0,0,-21,80.84
2022,1,2,3,0,0,-20.5,79.37
2022,1,2,4,0,0,-20,77.67
2022,1,2,5,0,0,-20.1,77.47
2022,1,2,6,0,0,-20.5,77.16
2022,1,2,7,0,0,-20.900000000000002,76.39
