Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,932835,-,-,-,39.77,-86.18,0,216,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,GHI,Relative Humidity
2022,1,1,0,30,11.200000000000001,0,100
2022,1,1,1,30,11.3,0,100
2022,1,1,2,30,11.3,0,100
2022,1,1,3,30,11.3,0,100
2022,1,1,4,30,11.8,0,100
2022,1,1,5,30,12.4,0,100
2022,1,1,6,30,12.4,0,100
2022,1,1,7,30,11.4,0,100
2022,1,1,8,30,10.200000000000001,0,100
2022,1,1,9,30,9.4,0,100
2022,1,1,10,30,8.8,0,100
2022,1,1,11,30,8.1,0,100
2022,1,1,12,30,7.4,0,100
2022,1,1,13,30,7,6,98.22
2022,1,1,14,30,7,12,94.13
2022,1,1,15,30,7.2,12,90.42
2022,1,1,16,30,7.5,9,88.64
2022,1,1,17,30,7.5,46,89.32000000000001
2022,1,1,18,30,7.300000000000001,22,87.84
2022,1,1,19,30,7,29,88.72
2022,1,1,20,30,6.4,26,91.19
2022,1,1,21,30,5.9,7,93.11
2022,1,1,22,30,5.6000000000000005,1,94.72
2022,1,1,23,30,5.4,0,95.52
2022,1,2,0,30,5.2,0,95.85000000000001
2022,1,2,1,30,5.1000000000000005,0,95.94
2022,1,2,2,30,4.7,0,97.22
2022,1,2,3,30,4,0,98.27
2022,1,2,4,30,3.1,0,98.32000000000001
2022,1,2,5,30,2.2,0,97.26
2022,1,2,6,30,1.3,0,95.75
2022,1,2,7,30,0.4,0,93.78
2022,1,2,8,30,-0.5,0,91.91
2022,1,2,9,30,-1.4000000000000001,0,89.92
2022,1,2,10,30,-2.3000000000000003,0,87.63
2022,1,2,11,30,-3.3000000000000003,0,86.2
2022,1,2,12,30,-3.9000000000000004,0,83.64
2022,1,2,13,30,-3.7,15,78.92
2022,1,2,14,30,-2.9000000000000004,42,74.61
2022,1,2,15,30,-2,64,71.73
2022,1,2,16,30,-1.3,131,69.97
2022,1,2,17,30,-0.8,96,69.03
2022,1,2,18,30,-0.7000000000000001,70,69.53
2022,1,2,19,30,-1,84,71.12
2022,1,2,20,30,-1.5,90,72.59
2022,1,2,21,30,-2.1,44,74.33
2022,1,2,22,30,-3,2,77.84
2022,1,2,23,30,-4,0,81.13
2022,1,3,0,30,-5,0,83.85000000000001
2022,1,3,1,30,-5.6000000000000005,0,84.32000000000001
2022,1,3,2,30,-6.1000000000000005,0,84.11
2022,1,3,3,30,-6.4,0,84.05
2022,1,3,4,30,-6.5,0,83.95
2022,1,3,5,30,-6.6000000000000005,0,82.99
2022,1,3,6,30,-6.6000000000000005,0,82.18
2022,1,3,7,30,-6.6000000000000005,0,82.65
2022,1,3,8,30,-6.5,0,81.31
2022,1,3,9,30,-6.5,0,81.06
2022,1,3,10,30,-6.4,0,81.51
2022,1,3,11,30,-6.4,0,82.79
2022,1,3,12,30,-6.1000000000000005,0,81.86
2022,1,3,13,30,-5.2,44,76.43
2022,1,3,14,30,-3.6,195,68.66
2022,1,3,15,30,-2.3000000000000003,337,64.95
2022,1,3,16,30,-1.3,441,62.07
2022,1,3,17,30,-0.7000000000000001,493,60.56
2022,1,3,18,30,-0.30000000000000004,485,59.300000000000004
2022,1,3,19,30,-0.30000000000000004,416,59.01
2022,1,3,20,30,-0.9,294,61.04
2022,1,3,21,30,-2.7,139,73.08
2022,1,3,22,30,-4.2,7,80.99
2022,1,3,23,30,-4.6000000000000005,0,80.84
2022,1,4,0,30,-4.7,0,80.85000000000001
2022,1,4,1,30,-4.800000000000001,0,80.87
2022,1,4,2,30,-4.9,0,81.15
2022,1,4,3,30,-4.9,0,81.39
2022,1,4,4,30,-4.9,0,81.94
2022,1,4,5,30,-4.9,0,82.54
2022,1,4,6,30,-4.800000000000001,0,82.82000000000001
2022,1,4,7,30,-4.800000000000001,0,83.83
2022,1,4,8,30,-4.7,0,84.14
2022,1,4,9,30,-4.800000000000001,0,85.60000000000001
2022,1,4,10,30,-4.800000000000001,0,86.66
2022,1,4,11,30,-4.800000000000001,0,87.69
2022,1,4,12,30,-4.6000000000000005,0,87.49
2022,1,4,13,30,-3.5,38,82.4
2022,1,4,14,30,-1.6,182,75.38
2022,1,4,15,30,0.1,309,69.36
2022,1,4,16,30,1.5,316,64.71000000000001
2022,1,4,17,30,2.6,466,60.34
2022,1,4,18,30,3.4000000000000004,483,57.19
2022,1,4,19,30,3.5,415,58.19
2022,1,4,20,30,2.8000000000000003,228,64.15
2022,1,4,21,30,1.5,105,74.58
2022,1,4,22,30,0.7000000000000001,5,78.85000000000001
2022,1,4,23,30,0.6000000000000001,0,81.64
2022,1,5,0,30,0.5,0,85.17
2022,1,5,1,30,0.4,0,88.63
2022,1,5,2,30,0.30000000000000004,0,91.10000000000001
2022,1,5,3,30,0.5,0,91.10000000000001
2022,1,5,4,30,0.7000000000000001,0,90.37
2022,1,5,5,30,0.8,0,88.83
2022,1,5,6,30,0.8,0,87.60000000000001
2022,1,5,7,30,0.7000000000000001,0,87.54
2022,1,5,8,30,0.7000000000000001,0,87.33
2022,1,5,9,30,0.6000000000000001,0,88.07000000000001
2022,1,5,10,30,0.5,0,89.13
2022,1,5,11,30,0.2,0,91.11
2022,1,5,12,30,-0.8,0,90.95
2022,1,5,13,30,-2,10,81.49
2022,1,5,14,30,-2.5,26,69.39
2022,1,5,15,30,-2.1,111,61.800000000000004
2022,1,5,16,30,-1.5,233,58.76
2022,1,5,17,30,-1.1,503,57.06
2022,1,5,18,30,-1.3,493,56.51
2022,1,5,19,30,-2,424,56.18
2022,1,5,20,30,-3.3000000000000003,145,57.5
2022,1,5,21,30,-5,138,60.42
2022,1,5,22,30,-6.6000000000000005,10,63.26
2022,1,5,23,30,-7.7,0,64.1
2022,1,6,0,30,-8.5,0,63.9
2022,1,6,1,30,-9.200000000000001,0,64.73
2022,1,6,2,30,-9.600000000000001,0,65.17
2022,1,6,3,30,-9.9,0,66
2022,1,6,4,30,-10,0,66.36
2022,1,6,5,30,-10,0,67.05
2022,1,6,6,30,-10,0,67.5
2022,1,6,7,30,-10,0,68.35000000000001
2022,1,6,8,30,-10.200000000000001,0,70.13
2022,1,6,9,30,-10.5,0,72.13
2022,1,6,10,30,-10.600000000000001,0,73.05
2022,1,6,11,30,-10.600000000000001,0,73.48
2022,1,6,12,30,-10.3,0,71.9
2022,1,6,13,30,-10,16,70.78
2022,1,6,14,30,-9.5,40,69.25
2022,1,6,15,30,-9.1,64,68.43
2022,1,6,16,30,-8.700000000000001,51,67.75
2022,1,6,17,30,-8.4,137,67.69
2022,1,6,18,30,-8.200000000000001,123,67.21000000000001
2022,1,6,19,30,-8.1,157,66.82000000000001
2022,1,6,20,30,-8.200000000000001,131,67.01
2022,1,6,21,30,-8.5,83,67.59
2022,1,6,22,30,-8.8,7,68.13
2022,1,6,23,30,-9.200000000000001,0,69.28
2022,1,7,0,30,-9.5,0,69.66
2022,1,7,1,30,-10,0,70.79
2022,1,7,2,30,-10.4,0,71.01
2022,1,7,3,30,-10.9,0,71.47
2022,1,7,4,30,-11.4,0,71.43
2022,1,7,5,30,-11.8,0,70.79
2022,1,7,6,30,-12.100000000000001,0,69.79
2022,1,7,7,30,-12.4,0,69.42
2022,1,7,8,30,-12.700000000000001,0,69.64
2022,1,7,9,30,-12.9,0,69.71000000000001
2022,1,7,10,30,-13.100000000000001,0,70.28
2022,1,7,11,30,-13.3,0,71.32000000000001
2022,1,7,12,30,-13.4,0,71.60000000000001
2022,1,7,13,30,-13.100000000000001,46,70.26
2022,1,7,14,30,-12.3,202,67.91
2022,1,7,15,30,-11.3,351,65.68
2022,1,7,16,30,-10.3,458,64.04
2022,1,7,17,30,-9.1,509,61.6
2022,1,7,18,30,-8,497,59.19
2022,1,7,19,30,-7.4,427,57.99
2022,1,7,20,30,-7.5,308,58.75
2022,1,7,21,30,-8.200000000000001,151,61.22
2022,1,7,22,30,-8.9,9,71.04
2022,1,7,23,30,-9.200000000000001,0,72.27
2022,1,8,0,30,-9.600000000000001,0,71.94
2022,1,8,1,30,-10,0,76.54
2022,1,8,2,30,-10.200000000000001,0,78.51
2022,1,8,3,30,-10.200000000000001,0,76.9
2022,1,8,4,30,-10.100000000000001,0,76.28
2022,1,8,5,30,-10,0,77.31
2022,1,8,6,30,-10.200000000000001,0,79.55
2022,1,8,7,30,-10.3,0,80.47
2022,1,8,8,30,-10.4,0,81.10000000000001
2022,1,8,9,30,-10.5,0,81.65
2022,1,8,10,30,-10.600000000000001,0,82.3
2022,1,8,11,30,-10.5,0,82.33
2022,1,8,12,30,-10.3,0,82.10000000000001
2022,1,8,13,30,-9.1,44,76.57000000000001
2022,1,8,14,30,-6.9,186,68.63
