Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,845432,-,-,-,32.29,-90.18,0,86,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,GHI,Relative Humidity
2022,1,1,0,30,21.8,0,95.76
2022,1,1,1,30,21.1,0,97.97
2022,1,1,2,30,20.5,0,99.8
2022,1,1,3,30,20.200000000000003,0,100
2022,1,1,4,30,20,0,100
2022,1,1,5,30,19.900000000000002,0,100
2022,1,1,6,30,19.900000000000002,0,100
2022,1,1,7,30,20,0,100
2022,1,1,8,30,20,0,100
2022,1,1,9,30,20,0,100
2022,1,1,10,30,19.900000000000002,0,100
2022,1,1,11,30,19.900000000000002,0,100
2022,1,1,12,30,20.200000000000003,0,99.56
2022,1,1,13,30,21.200000000000003,38,94.88
2022,1,1,14,30,22.900000000000002,145,88.82000000000001
2022,1,1,15,30,24.5,116,81.10000000000001
2022,1,1,16,30,25.700000000000003,452,74.62
2022,1,1,17,30,26.700000000000003,185,71.92
2022,1,1,18,30,27.400000000000002,220,70.24
2022,1,1,19,30,27.400000000000002,369,69.48
2022,1,1,20,30,26.6,205,73.62
2022,1,1,21,30,25.3,49,81.63
2022,1,1,22,30,23.900000000000002,52,89.44
2022,1,1,23,30,22.900000000000002,0,94.29
2022,1,2,0,30,22.400000000000002,0,96.36
2022,1,2,1,30,22,0,98.04
2022,1,2,2,30,21.700000000000003,0,99.24000000000001
2022,1,2,3,30,21.6,0,99.58
2022,1,2,4,30,21.200000000000003,0,100
2022,1,2,5,30,19.8,0,100
2022,1,2,6,30,17.400000000000002,0,100
2022,1,2,7,30,14.8,0,100
2022,1,2,8,30,12.9,0,94.18
2022,1,2,9,30,11.9,0,87.28
2022,1,2,10,30,11.3,0,84.09
2022,1,2,11,30,10.5,0,82.5
2022,1,2,12,30,9.4,0,77.92
2022,1,2,13,30,8.4,11,71.10000000000001
2022,1,2,14,30,7.7,11,63.6
2022,1,2,15,30,7.4,32,59.25
2022,1,2,16,30,7,70,60.56
