Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,771625,-,b'Washington',b'United States',46.2,-119.11,0,114,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,32,-7.5,50.01
2022,1,1,1,0,0,-8.1,49.65
2022,1,1,2,0,0,-8.5,49.26
2022,1,1,3,0,0,-9.1,50.26
2022,1,1,4,0,0,-9.700000000000001,51.77
2022,1,1,5,0,0,-10.200000000000001,53.89
2022,1,1,6,0,0,-11,57.45
2022,1,1,7,0,0,-11.600000000000001,60.38
2022,1,1,8,0,0,-12,62.22
2022,1,1,9,0,0,-12.3,63.6
2022,1,1,10,0,0,-12.4,64.14
2022,1,1,11,0,0,-12.3,64.07000000000001
2022,1,1,12,0,0,-12.3,64.34
2022,1,1,13,0,0,-12.4,64.82000000000001
2022,1,1,14,0,0,-12.4,64.81
2022,1,1,15,0,0,-12.200000000000001,64.45
2022,1,1,16,0,13,-10.600000000000001,60.07
2022,1,1,17,0,101,-7.6000000000000005,56.64
2022,1,1,18,0,266,-5.300000000000001,52.1
2022,1,1,19,0,183,-4.1000000000000005,52.06
2022,1,1,20,0,294,-3.3000000000000003,52.61
2022,1,1,21,0,342,-2.8000000000000003,53.7
2022,1,1,22,0,220,-2.7,58.09
2022,1,1,23,0,96,-3.6,56.370000000000005
2022,1,2,0,0,12,-5.1000000000000005,58.95
2022,1,2,1,0,0,-6.1000000000000005,60.480000000000004
2022,1,2,2,0,0,-6.7,62.45
2022,1,2,3,0,0,-6.800000000000001,64.66
2022,1,2,4,0,0,-6.2,66.07000000000001
2022,1,2,5,0,0,-5.5,67.01
2022,1,2,6,0,0,-5.1000000000000005,68.33
