Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,3885797,-,b'Kentucky',b'United States',38.04,-84.49,0,304,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Relative Humidity,Temperature
2022,1,1,0,0,0,100,15.5
2022,1,1,1,0,0,100,16.5
2022,1,1,2,0,0,99.53,17.1
2022,1,1,3,0,0,98.17,17.2
2022,1,1,4,0,0,97.58,17
2022,1,1,5,0,0,97.76,16.6
2022,1,1,6,0,0,99.31,16.1
2022,1,1,7,0,0,100,15.200000000000001
2022,1,1,8,0,0,100,14.600000000000001
2022,1,1,9,0,0,100,14.9
2022,1,1,10,0,0,100,15.200000000000001
2022,1,1,11,0,0,100,15.200000000000001
2022,1,1,12,0,0,100,14.100000000000001
2022,1,1,13,0,0,100,13.3
2022,1,1,14,0,15,98.05,13.9
2022,1,1,15,0,25,95.37,14.4
2022,1,1,16,0,206,93.88,14.5
2022,1,1,17,0,13,95.22,14.200000000000001
2022,1,1,18,0,20,95.55,13.9
2022,1,1,19,0,7,96.06,13.700000000000001
2022,1,1,20,0,6,97.78,13.5
2022,1,1,21,0,20,99.28,13.3
2022,1,1,22,0,6,100,13.200000000000001
2022,1,1,23,0,0,100,13.600000000000001
2022,1,2,0,0,0,100,13.5
2022,1,2,1,0,0,100,13
2022,1,2,2,0,0,100,13
2022,1,2,3,0,0,100,12.9
2022,1,2,4,0,0,100,12.3
2022,1,2,5,0,0,100,12.100000000000001
2022,1,2,6,0,0,99.45,11.200000000000001
2022,1,2,7,0,0,100,10
2022,1,2,8,0,0,100,9.4
2022,1,2,9,0,0,99.17,9.9
2022,1,2,10,0,0,96.60000000000001,9.5
2022,1,2,11,0,0,94.53,8.1
2022,1,2,12,0,0,92.58,6.9
2022,1,2,13,0,0,91.79,6.300000000000001
2022,1,2,14,0,9,87.58,6.6000000000000005
