Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,20906,-,-,-,21.97,-159.38,0,114,-10,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,30,603,26.5,79.12
2022,1,1,1,30,455,26.5,79.5
2022,1,1,2,30,266,26.400000000000002,80.54
2022,1,1,3,30,60,26.200000000000003,82.07000000000001
2022,1,1,4,30,0,26.1,82.95
2022,1,1,5,30,0,26.200000000000003,82.54
2022,1,1,6,30,0,26.3,82.10000000000001
2022,1,1,7,30,0,26.3,82.38
2022,1,1,8,30,0,26.3,82.81
2022,1,1,9,30,0,26.3,83.08
2022,1,1,10,30,0,26.200000000000003,83.3
2022,1,1,11,30,0,26.200000000000003,82.3
2022,1,1,12,30,0,26.1,81.26
2022,1,1,13,30,0,26,80.87
2022,1,1,14,30,0,26,80.63
2022,1,1,15,30,0,26,81.06
2022,1,1,16,30,0,26,81.72
2022,1,1,17,30,5,26.200000000000003,81.82000000000001
2022,1,1,18,30,62,26.400000000000002,81.94
2022,1,1,19,30,163,26.5,81.46000000000001
2022,1,1,20,30,164,26.5,80.97
2022,1,1,21,30,411,26.400000000000002,80.71000000000001
2022,1,1,22,30,306,26.3,81.03
2022,1,1,23,30,302,26.1,82.09
2022,1,2,0,30,206,26,82.49
2022,1,2,1,30,131,25.8,82.87
2022,1,2,2,30,102,25.6,83.29
2022,1,2,3,30,21,25.5,83.82000000000001
2022,1,2,4,30,0,25.400000000000002,84.4
2022,1,2,5,30,0,25.400000000000002,84.08
2022,1,2,6,30,0,25.400000000000002,84.12
2022,1,2,7,30,0,25.400000000000002,84.41
2022,1,2,8,30,0,25.5,84.32000000000001
2022,1,2,9,30,0,25.700000000000003,83.88
2022,1,2,10,30,0,25.8,84.07000000000001
2022,1,2,11,30,0,25.900000000000002,84.28
2022,1,2,12,30,0,26,84.06
2022,1,2,13,30,0,26.1,83.65
