Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1336855,-,b'Arizona',b'United States',34.8,-111.73,0,1443,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,24,5.300000000000001,89.64
2022,1,1,1,0,0,4.9,90.55
2022,1,1,2,0,0,4.9,89.84
2022,1,1,3,0,0,4.800000000000001,90.03
2022,1,1,4,0,0,4.7,89.71000000000001
2022,1,1,5,0,0,4.4,89.8
2022,1,1,6,0,0,4,90.04
2022,1,1,7,0,0,3.8000000000000003,89.91
2022,1,1,8,0,0,3.5,89.94
2022,1,1,9,0,0,2.9000000000000004,88.96000000000001
2022,1,1,10,0,0,1.9000000000000001,86.76
2022,1,1,11,0,0,0.5,86.92
2022,1,1,12,0,0,-0.4,85.93
2022,1,1,13,0,0,-1.3,84.23
2022,1,1,14,0,0,-2.4000000000000004,82.12
2022,1,1,15,0,52,-1.7000000000000002,77.24
2022,1,1,16,0,235,-0.6000000000000001,65.74
2022,1,1,17,0,413,0.2,51.99
2022,1,1,18,0,540,0.8,41.76
2022,1,1,19,0,614,1.3,35.17
2022,1,1,20,0,614,1.6,32.44
2022,1,1,21,0,549,1.7000000000000002,31.57
2022,1,1,22,0,421,1.3,32.12
2022,1,1,23,0,248,-0.2,35.57
2022,1,2,0,0,61,-4.2,46.54
2022,1,2,1,0,0,-6,50.21
2022,1,2,2,0,0,-6.7,51.54
2022,1,2,3,0,0,-7.1000000000000005,52.11
2022,1,2,4,0,0,-7.4,52.74
2022,1,2,5,0,0,-7.5,52.11
2022,1,2,6,0,0,-7.5,50.77
2022,1,2,7,0,0,-7.5,49.28
2022,1,2,8,0,0,-7.1000000000000005,46.78
2022,1,2,9,0,0,-6.9,45.160000000000004
2022,1,2,10,0,0,-6.7,44.27
2022,1,2,11,0,0,-6.5,44
2022,1,2,12,0,0,-6.5,44.76
2022,1,2,13,0,0,-6.5,45.02
2022,1,2,14,0,0,-6.4,44.71
2022,1,2,15,0,54,-4.1000000000000005,39.28
2022,1,2,16,0,235,-1,33.46
2022,1,2,17,0,404,1.7000000000000002,31.27
2022,1,2,18,0,528,3.9000000000000004,31.220000000000002
2022,1,2,19,0,594,5.5,31.38
2022,1,2,20,0,595,6.5,31.37
2022,1,2,21,0,534,6.800000000000001,32.1
2022,1,2,22,0,411,6.300000000000001,36.31
2022,1,2,23,0,243,3.3000000000000003,53.71
2022,1,3,0,0,60,-1.6,62.02
2022,1,3,1,0,0,-2.5,58.550000000000004
2022,1,3,2,0,0,-3.1,54.96
2022,1,3,3,0,0,-3.3000000000000003,50.33
2022,1,3,4,0,0,-3.3000000000000003,47.480000000000004
2022,1,3,5,0,0,-3.2,46.59
2022,1,3,6,0,0,-3.3000000000000003,48.14
2022,1,3,7,0,0,-3.3000000000000003,49.68
2022,1,3,8,0,0,-3.1,49.06
2022,1,3,9,0,0,-2.6,46.54
2022,1,3,10,0,0,-2.2,44.93
2022,1,3,11,0,0,-1.6,42.29
2022,1,3,12,0,0,-1.2000000000000002,39.82
2022,1,3,13,0,0,-0.8,37.33
2022,1,3,14,0,0,-0.4,35.69
2022,1,3,15,0,37,1.9000000000000001,44.11
2022,1,3,16,0,238,6,36.2
2022,1,3,17,0,410,8.6,25.6
2022,1,3,18,0,538,11.200000000000001,20.02
2022,1,3,19,0,597,12.5,18
2022,1,3,20,0,599,12.9,18.51
2022,1,3,21,0,535,12.600000000000001,20.63
2022,1,3,22,0,413,11.100000000000001,35.4
2022,1,3,23,0,245,7.1000000000000005,52.800000000000004
2022,1,4,0,0,62,4.1000000000000005,41.84
2022,1,4,1,0,0,3.3000000000000003,40.62
2022,1,4,2,0,0,3.1,39.49
2022,1,4,3,0,0,2.8000000000000003,39.61
2022,1,4,4,0,0,2,42.730000000000004
2022,1,4,5,0,0,1.1,46.4
2022,1,4,6,0,0,0.4,49.21
2022,1,4,7,0,0,0,50.38
2022,1,4,8,0,0,-0.1,50.09
2022,1,4,9,0,0,-0.1,49.9
2022,1,4,10,0,0,0,49.01
2022,1,4,11,0,0,0.1,48.800000000000004
2022,1,4,12,0,0,0.5,48.56
2022,1,4,13,0,0,0.9,45.06
2022,1,4,14,0,0,0.7000000000000001,42.83
2022,1,4,15,0,51,2.6,52.39
2022,1,4,16,0,230,5.9,34.03
2022,1,4,17,0,398,8.1,26.830000000000002
2022,1,4,18,0,518,9.8,24.310000000000002
2022,1,4,19,0,584,11,23.37
2022,1,4,20,0,586,11.600000000000001,23.61
2022,1,4,21,0,525,11.700000000000001,24.92
2022,1,4,22,0,402,10.9,32.15
2022,1,4,23,0,237,8.3,46.15
2022,1,5,0,0,60,6.300000000000001,38.97
2022,1,5,1,0,0,5.9,37.21
