Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,863837,-,-,-,43.09,-89.38,0,260,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,GHI,Relative Humidity
2022,1,1,0,30,-3.5,0,91.63
2022,1,1,1,30,-4.4,0,91.99
2022,1,1,2,30,-5.2,0,92.36
2022,1,1,3,30,-6.1000000000000005,0,93.4
2022,1,1,4,30,-7,0,94.15
2022,1,1,5,30,-7.6000000000000005,0,93.68
2022,1,1,6,30,-7.9,0,92.14
2022,1,1,7,30,-8,0,91.01
2022,1,1,8,30,-8.200000000000001,0,89.13
2022,1,1,9,30,-8.6,0,84.8
2022,1,1,10,30,-9.1,0,81.53
2022,1,1,11,30,-9.700000000000001,0,79.69
2022,1,1,12,30,-10,0,77.63
2022,1,1,13,30,-9.9,2,75.97
2022,1,1,14,30,-9.4,28,72.84
2022,1,1,15,30,-8.9,24,69.21000000000001
2022,1,1,16,30,-8.700000000000001,20,67.71000000000001
2022,1,1,17,30,-8.6,34,66.45
2022,1,1,18,30,-8.6,146,66.06
2022,1,1,19,30,-8.8,29,66.59
2022,1,1,20,30,-9.4,61,68.52
2022,1,1,21,30,-10.100000000000001,35,71.66
2022,1,1,22,30,-10.600000000000001,2,74.54
2022,1,1,23,30,-10.9,0,76.15
2022,1,2,0,30,-11.200000000000001,0,77.24
2022,1,2,1,30,-11.3,0,76.58
2022,1,2,2,30,-11.4,0,76.66
2022,1,2,3,30,-11.5,0,76.97
2022,1,2,4,30,-11.9,0,77.88
2022,1,2,5,30,-12.4,0,77.33
2022,1,2,6,30,-12.8,0,76.73
2022,1,2,7,30,-13.3,0,77.48
2022,1,2,8,30,-13.600000000000001,0,77.16
2022,1,2,9,30,-13.9,0,78.15
2022,1,2,10,30,-14.600000000000001,0,80.84
2022,1,2,11,30,-15.4,0,82.05
2022,1,2,12,30,-15.9,0,81.33
2022,1,2,13,30,-15.4,4,76.19
2022,1,2,14,30,-13.600000000000001,128,71.41
2022,1,2,15,30,-11.5,272,69.58
2022,1,2,16,30,-9.9,381,67.16
2022,1,2,17,30,-8.700000000000001,440,65.21000000000001
2022,1,2,18,30,-8.1,441,63.89
2022,1,2,19,30,-8,385,63.46
2022,1,2,20,30,-8.700000000000001,278,66.86
2022,1,2,21,30,-10.700000000000001,134,73.81
2022,1,2,22,30,-12.9,10,70.92
2022,1,2,23,30,-13.9,0,70.72
2022,1,3,0,30,-14.3,0,72.63
2022,1,3,1,30,-14.600000000000001,0,75.12
2022,1,3,2,30,-15.3,0,79.06
2022,1,3,3,30,-16.1,0,82.55
2022,1,3,4,30,-16.900000000000002,0,85.69
2022,1,3,5,30,-17.5,0,87.82000000000001
2022,1,3,6,30,-17.8,0,88.19
2022,1,3,7,30,-18,0,88.65
2022,1,3,8,30,-18.2,0,88.89
2022,1,3,9,30,-18.5,0,89.31
2022,1,3,10,30,-18.8,0,88.97
2022,1,3,11,30,-19.200000000000003,0,88.68
2022,1,3,12,30,-19.400000000000002,0,86.74
2022,1,3,13,30,-18.3,5,77.78
2022,1,3,14,30,-15.4,126,67.78
2022,1,3,15,30,-12.3,268,64.5
2022,1,3,16,30,-10.200000000000001,367,62.68
2022,1,3,17,30,-8.4,425,62.47
2022,1,3,18,30,-7.2,431,63.980000000000004
2022,1,3,19,30,-6.5,377,66.54
2022,1,3,20,30,-6.5,105,71.13
2022,1,3,21,30,-7.9,90,80.84
2022,1,3,22,30,-9.700000000000001,10,84.84
2022,1,3,23,30,-10.700000000000001,0,84.38
