Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,4255988,-,b'Florida',b'United States',25.78,-80.19,0,13,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,24.700000000000003,80.81
2022,1,1,1,0,0,24.5,82.11
2022,1,1,2,0,0,24.3,83.48
2022,1,1,3,0,0,24.200000000000003,84.47
2022,1,1,4,0,0,24.1,85.46000000000001
2022,1,1,5,0,0,24,86.67
2022,1,1,6,0,0,23.900000000000002,87.82000000000001
2022,1,1,7,0,0,23.8,88.27
2022,1,1,8,0,0,23.700000000000003,87.9
2022,1,1,9,0,0,23.700000000000003,86.84
2022,1,1,10,0,0,23.700000000000003,86.10000000000001
2022,1,1,11,0,0,23.8,85.22
2022,1,1,12,0,0,24.200000000000003,83.53
2022,1,1,13,0,133,25,80.48
2022,1,1,14,0,330,25.400000000000002,78.69
2022,1,1,15,0,504,25.700000000000003,77.71000000000001
2022,1,1,16,0,627,25.900000000000002,76.96000000000001
2022,1,1,17,0,689,26.1,75.97
2022,1,1,18,0,678,26.200000000000003,75.07000000000001
2022,1,1,19,0,604,26.3,74.27
2022,1,1,20,0,469,26.3,74.03
2022,1,1,21,0,289,26.200000000000003,74.63
2022,1,1,22,0,94,25.6,78.31
2022,1,1,23,0,0,25.200000000000003,81.05
2022,1,2,0,0,0,25,82.97
2022,1,2,1,0,0,24.8,84.02
2022,1,2,2,0,0,24.6,84.78
2022,1,2,3,0,0,24.5,85.02
2022,1,2,4,0,0,24.400000000000002,85.01
2022,1,2,5,0,0,24.3,84.79
2022,1,2,6,0,0,24.3,83.78
2022,1,2,7,0,0,24.3,82.62
2022,1,2,8,0,0,24.200000000000003,82.17
2022,1,2,9,0,0,24.200000000000003,81.57000000000001
2022,1,2,10,0,0,24.200000000000003,81.13
2022,1,2,11,0,0,24.3,80.64
2022,1,2,12,0,0,24.5,80.83
2022,1,2,13,0,127,25.3,78.2
2022,1,2,14,0,324,25.8,75.75
2022,1,2,15,0,498,26.200000000000003,73.66
2022,1,2,16,0,621,26.400000000000002,72.53
2022,1,2,17,0,681,26.5,71.94
2022,1,2,18,0,675,26.5,71.63
2022,1,2,19,0,602,26.5,71.21000000000001
2022,1,2,20,0,469,26.400000000000002,71.52
2022,1,2,21,0,289,26.1,73.57000000000001
2022,1,2,22,0,95,25.5,77.57000000000001
2022,1,2,23,0,0,25.1,80.65
2022,1,3,0,0,0,24.900000000000002,82.49
2022,1,3,1,0,0,24.8,83.39
2022,1,3,2,0,0,24.6,84.09
2022,1,3,3,0,0,24.5,83.84
2022,1,3,4,0,0,24.5,83.22
2022,1,3,5,0,0,24.400000000000002,83.34
2022,1,3,6,0,0,24.3,84.18
2022,1,3,7,0,0,24.200000000000003,85.36
2022,1,3,8,0,0,24,87.21000000000001
2022,1,3,9,0,0,24,88.03
2022,1,3,10,0,0,24,88.65
2022,1,3,11,0,0,24,89.23
2022,1,3,12,0,0,24.3,88.92
2022,1,3,13,0,129,25.1,86.44
2022,1,3,14,0,324,25.6,82.64
2022,1,3,15,0,492,25.900000000000002,78.83
2022,1,3,16,0,37,25.900000000000002,78.33
2022,1,3,17,0,297,25.6,79.48
2022,1,3,18,0,325,25.3,79.99
2022,1,3,19,0,227,24.8,80.45
2022,1,3,20,0,213,24.3,80.15
2022,1,3,21,0,268,23.900000000000002,78.77
2022,1,3,22,0,86,23.3,78.09
2022,1,3,23,0,0,22.900000000000002,75.93
2022,1,4,0,0,0,22.5,73.82000000000001
2022,1,4,1,0,0,22.200000000000003,71.77
2022,1,4,2,0,0,21.900000000000002,70.63
2022,1,4,3,0,0,21.5,71.4
2022,1,4,4,0,0,21.3,72.72
2022,1,4,5,0,0,21.3,74.04
2022,1,4,6,0,0,21.200000000000003,76.17
2022,1,4,7,0,0,21.200000000000003,77.92
2022,1,4,8,0,0,21.3,79.3
2022,1,4,9,0,0,21.3,80.61
2022,1,4,10,0,0,21.3,81.47
2022,1,4,11,0,0,21.3,82.18
2022,1,4,12,0,0,21.400000000000002,82.23
2022,1,4,13,0,110,21.900000000000002,80.15
2022,1,4,14,0,298,22.3,77.88
2022,1,4,15,0,289,22.900000000000002,75.14
2022,1,4,16,0,384,23.200000000000003,73.96000000000001
2022,1,4,17,0,673,23.400000000000002,73.15
2022,1,4,18,0,671,23.5,72.72
2022,1,4,19,0,447,23.6,72.23
2022,1,4,20,0,244,23.6,72.33
2022,1,4,21,0,288,23.400000000000002,73.17
2022,1,4,22,0,96,23.1,74.22
2022,1,4,23,0,0,23,73.91
2022,1,5,0,0,0,22.900000000000002,73.61
2022,1,5,1,0,0,22.900000000000002,72.92
2022,1,5,2,0,0,22.900000000000002,72.43
