Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,648921,-,b'California',b'United States',37.64,-120.99,0,30,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,117,6.9,84.33
2022,1,1,1,0,0,4.800000000000001,92.15
2022,1,1,2,0,0,4.1000000000000005,95.4
2022,1,1,3,0,0,3.6,96.77
2022,1,1,4,0,0,3.2,97.29
2022,1,1,5,0,0,2.8000000000000003,98.07000000000001
2022,1,1,6,0,0,2.2,100
2022,1,1,7,0,0,1.9000000000000001,99.71000000000001
2022,1,1,8,0,0,1.9000000000000001,95.99000000000001
2022,1,1,9,0,0,1.8,91.69
2022,1,1,10,0,0,1.8,87.52
2022,1,1,11,0,0,1.6,85.04
2022,1,1,12,0,0,1.4000000000000001,83.28
2022,1,1,13,0,0,0.8,84.7
2022,1,1,14,0,0,0.1,87.58
2022,1,1,15,0,0,0.30000000000000004,86.22
2022,1,1,16,0,85,3.1,79.14
2022,1,1,17,0,250,5.5,68.58
2022,1,1,18,0,388,7.7,56.59
2022,1,1,19,0,483,9.4,48.58
2022,1,1,20,0,522,10.4,43.99
2022,1,1,21,0,496,10.700000000000001,43.21
2022,1,1,22,0,414,10.600000000000001,44.51
2022,1,1,23,0,283,9.8,53.050000000000004
2022,1,2,0,0,123,7.5,62.93
2022,1,2,1,0,0,6.4,57.67
2022,1,2,2,0,0,5.800000000000001,59
2022,1,2,3,0,0,4.7,63.75
2022,1,2,4,0,0,3.8000000000000003,67.38
2022,1,2,5,0,0,3,70.86
2022,1,2,6,0,0,2.1,75.47
2022,1,2,7,0,0,1.7000000000000002,77.99
2022,1,2,8,0,0,1.5,79.98
2022,1,2,9,0,0,1.3,81.82000000000001
2022,1,2,10,0,0,1.3,82.68
2022,1,2,11,0,0,1.3,83.36
2022,1,2,12,0,0,1.3,83.06
2022,1,2,13,0,0,1.3,81.84
2022,1,2,14,0,0,1.2000000000000002,80.96000000000001
2022,1,2,15,0,0,1.4000000000000001,80.36
2022,1,2,16,0,80,5,74.13
2022,1,2,17,0,240,8,63.71
2022,1,2,18,0,380,10.4,58.980000000000004
2022,1,2,19,0,475,12.700000000000001,52.77
2022,1,2,20,0,512,13.9,50.46
2022,1,2,21,0,489,14.4,50.550000000000004
2022,1,2,22,0,406,14.200000000000001,53.5
2022,1,2,23,0,277,12.9,68.76
2022,1,3,0,0,119,9.8,75.94
2022,1,3,1,0,0,8.4,75.46000000000001
2022,1,3,2,0,0,8.1,75.73
2022,1,3,3,0,0,7.9,75.34
2022,1,3,4,0,0,7.300000000000001,77.13
2022,1,3,5,0,0,6.800000000000001,79.56
2022,1,3,6,0,0,6.4,81.85000000000001
2022,1,3,7,0,0,6.1000000000000005,84.24
2022,1,3,8,0,0,5.800000000000001,86.88
2022,1,3,9,0,0,5.6000000000000005,89.04
2022,1,3,10,0,0,5.6000000000000005,89.29
2022,1,3,11,0,0,5.4,90.52
2022,1,3,12,0,0,5.1000000000000005,91.98
2022,1,3,13,0,0,4.9,92.58
2022,1,3,14,0,0,4.6000000000000005,94.37
2022,1,3,15,0,0,4.800000000000001,93.92
2022,1,3,16,0,77,6.9,88
2022,1,3,17,0,177,8.700000000000001,82.52
2022,1,3,18,0,313,10.5,76.68
2022,1,3,19,0,388,11.8,72.85000000000001
2022,1,3,20,0,316,12.9,69.85000000000001
2022,1,3,21,0,325,13.5,68.34
2022,1,3,22,0,293,13.3,70.27
2022,1,3,23,0,205,12.4,78.10000000000001
2022,1,4,0,0,80,10.4,84.88
2022,1,4,1,0,0,9.4,86.14
2022,1,4,2,0,0,9.600000000000001,85.39
2022,1,4,3,0,0,9.5,84.86
2022,1,4,4,0,0,9.200000000000001,84.58
2022,1,4,5,0,0,8.9,85.18
2022,1,4,6,0,0,8.700000000000001,86.28
2022,1,4,7,0,0,8.6,87.43
2022,1,4,8,0,0,8.5,88.32000000000001
2022,1,4,9,0,0,8.5,89.01
2022,1,4,10,0,0,8.5,89.79
2022,1,4,11,0,0,8.700000000000001,89.57000000000001
2022,1,4,12,0,0,8.8,90.18
2022,1,4,13,0,0,8.8,90.81
2022,1,4,14,0,0,8.8,92
2022,1,4,15,0,0,8.8,92.67
2022,1,4,16,0,14,10.5,90.15
2022,1,4,17,0,42,12,85.7
2022,1,4,18,0,164,13.4,80.54
2022,1,4,19,0,273,14.5,75.56
2022,1,4,20,0,231,15.3,71.73
