Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,3736079,-,b'Alabama',b'United States',32.36,-86.31,0,78,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,21.1,94.08
2022,1,1,1,0,0,20.400000000000002,98.7
2022,1,1,2,0,0,19.8,100
2022,1,1,3,0,0,19.700000000000003,100
2022,1,1,4,0,0,19.900000000000002,100
2022,1,1,5,0,0,19.900000000000002,100
2022,1,1,6,0,0,19.6,100
2022,1,1,7,0,0,19.8,100
2022,1,1,8,0,0,19.8,100
2022,1,1,9,0,0,19.900000000000002,100
2022,1,1,10,0,0,19.8,100
2022,1,1,11,0,0,19.8,100
2022,1,1,12,0,0,19.5,100
2022,1,1,13,0,7,20.6,99.24000000000001
2022,1,1,14,0,176,22.1,96.27
2022,1,1,15,0,344,23.5,90
2022,1,1,16,0,476,24.700000000000003,81.15
2022,1,1,17,0,555,25.6,75.17
2022,1,1,18,0,571,26.1,71.10000000000001
2022,1,1,19,0,523,25.900000000000002,71.66
2022,1,1,20,0,165,25.3,76.19
2022,1,1,21,0,32,24.200000000000003,82.76
2022,1,1,22,0,66,22.8,89.16
2022,1,1,23,0,0,22,93.09
2022,1,2,0,0,0,21.700000000000003,94.41
2022,1,2,1,0,0,21.400000000000002,95.53
2022,1,2,2,0,0,21.200000000000003,96.69
2022,1,2,3,0,0,21.200000000000003,97.24000000000001
2022,1,2,4,0,0,21.200000000000003,97.8
2022,1,2,5,0,0,21.200000000000003,98.12
2022,1,2,6,0,0,21.200000000000003,98.23
2022,1,2,7,0,0,21.200000000000003,98.35000000000001
2022,1,2,8,0,0,21.200000000000003,98.29
2022,1,2,9,0,0,21.1,98.72
2022,1,2,10,0,0,21,99.05
2022,1,2,11,0,0,20.8,99.96000000000001
2022,1,2,12,0,0,20.6,100
2022,1,2,13,0,7,20.400000000000002,99.95
2022,1,2,14,0,39,19.700000000000003,97.03
2022,1,2,15,0,5,18.900000000000002,96.02
2022,1,2,16,0,41,18.1,90.83
2022,1,2,17,0,12,17.7,86.33
2022,1,2,18,0,87,17.5,80.21000000000001
2022,1,2,19,0,98,17.7,76.59
2022,1,2,20,0,208,17.8,76.05
2022,1,2,21,0,158,17,83.86
2022,1,2,22,0,19,15.9,90.19
2022,1,2,23,0,0,15,92.45
2022,1,3,0,0,0,13.8,93.26
2022,1,3,1,0,0,11.600000000000001,93.03
2022,1,3,2,0,0,8.4,92
2022,1,3,3,0,0,5.2,89.3
2022,1,3,4,0,0,3.6,87.60000000000001
2022,1,3,5,0,0,2.6,86.9
2022,1,3,6,0,0,1.9000000000000001,84.84
2022,1,3,7,0,0,1.3,83.08
2022,1,3,8,0,0,0.8,82.08
2022,1,3,9,0,0,0.6000000000000001,81.05
2022,1,3,10,0,0,0.6000000000000001,79.33
2022,1,3,11,0,0,0.7000000000000001,77.21000000000001
2022,1,3,12,0,0,0.6000000000000001,76.39
2022,1,3,13,0,7,1,73.55
2022,1,3,14,0,6,2.1,67.74
2022,1,3,15,0,66,3.7,60.51
2022,1,3,16,0,180,5.1000000000000005,55.230000000000004
2022,1,3,17,0,279,6.300000000000001,51.13
2022,1,3,18,0,134,7.2,48.45
2022,1,3,19,0,237,7.5,47.61
2022,1,3,20,0,486,7.2,48.4
2022,1,3,21,0,322,6.300000000000001,51.77
2022,1,3,22,0,135,4,66.34
2022,1,3,23,0,0,1.9000000000000001,80.19
2022,1,4,0,0,0,1.2000000000000002,83.07000000000001
2022,1,4,1,0,0,0.30000000000000004,87.21000000000001
2022,1,4,2,0,0,-0.4,89.56
2022,1,4,3,0,0,-1.1,91.83
2022,1,4,4,0,0,-1.8,94.74
2022,1,4,5,0,0,-2.4000000000000004,97.45
2022,1,4,6,0,0,-2.8000000000000003,99.05
2022,1,4,7,0,0,-3.1,99.88
2022,1,4,8,0,0,-3.1,98.64
2022,1,4,9,0,0,-3,97.07000000000001
2022,1,4,10,0,0,-3.1,97.34
2022,1,4,11,0,0,-3.1,97.15
2022,1,4,12,0,0,-3.1,97.34
2022,1,4,13,0,24,-1.7000000000000002,90.12
2022,1,4,14,0,137,1.1,78.64
2022,1,4,15,0,375,4.9,67.01
2022,1,4,16,0,517,8.3,59.480000000000004
2022,1,4,17,0,603,10.8,55.83
2022,1,4,18,0,623,11.9,55.72
2022,1,4,19,0,579,12.5,55.94
2022,1,4,20,0,474,12.4,57.980000000000004
2022,1,4,21,0,317,11.600000000000001,64.09
2022,1,4,22,0,131,8.1,85.14
2022,1,4,23,0,0,6,93.2
2022,1,5,0,0,0,5.5,97.91
2022,1,5,1,0,0,5,100
2022,1,5,2,0,0,4.800000000000001,100
2022,1,5,3,0,0,4.6000000000000005,100
2022,1,5,4,0,0,4.5,100
2022,1,5,5,0,0,4.2,100
2022,1,5,6,0,0,4.6000000000000005,98.7
2022,1,5,7,0,0,4.3,97.37
2022,1,5,8,0,0,3.7,96.39
2022,1,5,9,0,0,3.3000000000000003,95.89
2022,1,5,10,0,0,3.2,95.46000000000001
2022,1,5,11,0,0,3.3000000000000003,95.05
2022,1,5,12,0,0,3.4000000000000004,95.05
2022,1,5,13,0,20,3.9000000000000004,93.74
2022,1,5,14,0,176,5.7,87.39
2022,1,5,15,0,95,7.5,81.27
2022,1,5,16,0,490,9.3,76.75
2022,1,5,17,0,576,11.5,72.89
2022,1,5,18,0,218,13.9,67.44
2022,1,5,19,0,312,15.200000000000001,62.89
2022,1,5,20,0,119,15.200000000000001,63.92
2022,1,5,21,0,52,14.200000000000001,76.37
2022,1,5,22,0,125,11.3,88.71000000000001
2022,1,5,23,0,0,9.1,93.24
2022,1,6,0,0,0,8.3,98.65
2022,1,6,1,0,0,7.6000000000000005,100
2022,1,6,2,0,0,7.1000000000000005,100
2022,1,6,3,0,0,6.5,100
2022,1,6,4,0,0,6.1000000000000005,100
2022,1,6,5,0,0,6,100
2022,1,6,6,0,0,6.2,100
2022,1,6,7,0,0,6.5,100
2022,1,6,8,0,0,6.800000000000001,100
2022,1,6,9,0,0,6.9,100
2022,1,6,10,0,0,6.6000000000000005,100
2022,1,6,11,0,0,6.6000000000000005,98.86
2022,1,6,12,0,0,6.7,98.89
2022,1,6,13,0,20,7.300000000000001,97.08
2022,1,6,14,0,178,8.8,93.83
2022,1,6,15,0,204,11.8,85.42
2022,1,6,16,0,490,15.4,74.14
2022,1,6,17,0,572,17.900000000000002,68.55
2022,1,6,18,0,594,19.3,68.08
2022,1,6,19,0,259,19.700000000000003,70.87
2022,1,6,20,0,177,19.200000000000003,77.96000000000001
2022,1,6,21,0,20,17.7,88.09
2022,1,6,22,0,116,15.200000000000001,94.99
2022,1,6,23,0,0,11.200000000000001,93.95
2022,1,7,0,0,0,7,88.83
2022,1,7,1,0,0,5.1000000000000005,87.28
2022,1,7,2,0,0,4.3,87.04
