Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,5277994,-,b'Vermont',b'United States',44.26,-72.57,0,205,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,1.2000000000000002,95.53
2022,1,1,1,0,0,0.9,96.16
2022,1,1,2,0,0,0.7000000000000001,95.89
2022,1,1,3,0,0,0.8,94.89
2022,1,1,4,0,0,0.7000000000000001,95.23
2022,1,1,5,0,0,0.6000000000000001,95.53
2022,1,1,6,0,0,0.8,94.86
2022,1,1,7,0,0,0.9,94.86
2022,1,1,8,0,0,1.1,94.16
2022,1,1,9,0,0,1.1,94.7
2022,1,1,10,0,0,1.2000000000000002,94.76
2022,1,1,11,0,0,1.4000000000000001,94.57000000000001
2022,1,1,12,0,0,1.6,94.5
2022,1,1,13,0,20,1.8,94.77
2022,1,1,14,0,101,2.2,94
2022,1,1,15,0,165,2.3000000000000003,94.3
2022,1,1,16,0,96,2.7,93.62
2022,1,1,17,0,185,2.9000000000000004,94.10000000000001
2022,1,1,18,0,131,2.9000000000000004,94.62
2022,1,1,19,0,87,2.7,95.47
2022,1,1,20,0,40,2.1,98.16
2022,1,1,21,0,11,2,98.89
2022,1,1,22,0,0,2.3000000000000003,97.81
2022,1,1,23,0,0,2.1,98.21000000000001
2022,1,2,0,0,0,1.9000000000000001,97.93
2022,1,2,1,0,0,1.6,97.63
