Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2395533,-,b'Nebraska',b'United States',41.12,-100.77,0,858,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,-9.600000000000001,61.53
2022,1,1,1,0,0,-10.600000000000001,63.76
2022,1,1,2,0,0,-11.200000000000001,64.48
2022,1,1,3,0,0,-11.8,65.37
2022,1,1,4,0,0,-12.200000000000001,65.17
2022,1,1,5,0,0,-12.700000000000001,64.95
2022,1,1,6,0,0,-13.200000000000001,64.8
2022,1,1,7,0,0,-13.600000000000001,64.63
2022,1,1,8,0,0,-13.9,64.07000000000001
2022,1,1,9,0,0,-14.3,63.81
2022,1,1,10,0,0,-14.700000000000001,63.51
2022,1,1,11,0,0,-15.100000000000001,63.17
2022,1,1,12,0,0,-15.4,62.52
2022,1,1,13,0,0,-15.5,62.08
2022,1,1,14,0,0,-15.4,61.27
2022,1,1,15,0,41,-15.200000000000001,60.33
2022,1,1,16,0,71,-14.8,58.65
2022,1,1,17,0,109,-14.100000000000001,56.32
2022,1,1,18,0,69,-13.3,54.28
2022,1,1,19,0,173,-12.4,52.26
2022,1,1,20,0,207,-11.600000000000001,51.06
2022,1,1,21,0,191,-11.100000000000001,50.65
2022,1,1,22,0,13,-11,50.93
2022,1,1,23,0,18,-11.4,51.76
2022,1,2,0,0,0,-11.600000000000001,52
2022,1,2,1,0,0,-12,53.43
2022,1,2,2,0,0,-12.600000000000001,56.230000000000004
2022,1,2,3,0,0,-12.9,58.49
2022,1,2,4,0,0,-13.3,60.93
2022,1,2,5,0,0,-13.700000000000001,62.82
2022,1,2,6,0,0,-13.8,63.28
2022,1,2,7,0,0,-13.9,63.99
2022,1,2,8,0,0,-13.9,64.38
2022,1,2,9,0,0,-13.8,64.5
2022,1,2,10,0,0,-13.700000000000001,65.01
2022,1,2,11,0,0,-13.5,65.38
2022,1,2,12,0,0,-13.100000000000001,64.47
2022,1,2,13,0,0,-12.5,61.940000000000005
2022,1,2,14,0,0,-11.200000000000001,56.21
2022,1,2,15,0,108,-8.200000000000001,47.050000000000004
2022,1,2,16,0,217,-4.7,39.230000000000004
2022,1,2,17,0,381,-1,32.11
2022,1,2,18,0,456,2.1,26.89
2022,1,2,19,0,473,3.6,27.21
2022,1,2,20,0,432,4.3,28.86
2022,1,2,21,0,334,4.2,32.6
2022,1,2,22,0,196,1.3,43.56
2022,1,2,23,0,34,-1.5,49.02
2022,1,3,0,0,0,-2,51.11
2022,1,3,1,0,0,-2,51.95
2022,1,3,2,0,0,-1.8,52
2022,1,3,3,0,0,-2,53.21
2022,1,3,4,0,0,-2.4000000000000004,54.78
2022,1,3,5,0,0,-2.7,55.65
2022,1,3,6,0,0,-3,56.19
2022,1,3,7,0,0,-3.4000000000000004,56.910000000000004
