Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2751837,-,b'Oklahoma',b'United States',35.48,-97.51,0,383,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Relative Humidity,Temperature
2022,1,1,0,0,0,94.08,12.4
2022,1,1,1,0,0,96.78,12.600000000000001
2022,1,1,2,0,0,98.23,12.600000000000001
2022,1,1,3,0,0,99.59,12.4
2022,1,1,4,0,0,100,12.100000000000001
2022,1,1,5,0,0,100,11.8
2022,1,1,6,0,0,100,11.8
2022,1,1,7,0,0,99.63,11.600000000000001
2022,1,1,8,0,0,100,11.100000000000001
2022,1,1,9,0,0,100,10.5
2022,1,1,10,0,0,98.13,9.600000000000001
2022,1,1,11,0,0,96.51,7.4
2022,1,1,12,0,0,91.82000000000001,4.4
2022,1,1,13,0,0,89.36,1.9000000000000001
2022,1,1,14,0,6,86.12,1.3
2022,1,1,15,0,53,80.91,1.3
2022,1,1,16,0,15,77.95,-0.4
2022,1,1,17,0,54,72.78,-2.7
2022,1,1,18,0,71,67.38,-4.1000000000000005
2022,1,1,19,0,122,62.120000000000005,-4.6000000000000005
2022,1,1,20,0,490,55.9,-4.800000000000001
2022,1,1,21,0,72,51.82,-4.7
2022,1,1,22,0,221,51.26,-5.2
2022,1,1,23,0,19,52.83,-6.6000000000000005
2022,1,2,0,0,0,53.68,-8
2022,1,2,1,0,0,55.34,-9.200000000000001
2022,1,2,2,0,0,58.730000000000004,-10
2022,1,2,3,0,0,60.28,-10.100000000000001
2022,1,2,4,0,0,57.78,-9.9
2022,1,2,5,0,0,55.61,-9.8
2022,1,2,6,0,0,55.47,-9.8
2022,1,2,7,0,0,56.120000000000005,-9.700000000000001
2022,1,2,8,0,0,57.34,-9.5
2022,1,2,9,0,0,59.04,-9.3
2022,1,2,10,0,0,60.15,-9
2022,1,2,11,0,0,60.1,-8.6
2022,1,2,12,0,0,59.79,-8.5
2022,1,2,13,0,0,58.410000000000004,-8.6
2022,1,2,14,0,38,53.14,-8
2022,1,2,15,0,208,45.88,-6.7
2022,1,2,16,0,377,39.45,-5
2022,1,2,17,0,507,35.45,-3.3000000000000003
2022,1,2,18,0,575,33.89,-1.6
2022,1,2,19,0,580,34.44,-0.30000000000000004
2022,1,2,20,0,521,35.24,0.5
2022,1,2,21,0,403,36.74,0.5
2022,1,2,22,0,240,45.49,-0.7000000000000001
2022,1,2,23,0,61,60.11,-3.8000000000000003
2022,1,3,0,0,0,56.18,-3.5
2022,1,3,1,0,0,56.550000000000004,-3.5
2022,1,3,2,0,0,63.03,-4.3
2022,1,3,3,0,0,65.38,-4.5
2022,1,3,4,0,0,64.17,-4.2
2022,1,3,5,0,0,63.56,-4
2022,1,3,6,0,0,63.370000000000005,-3.9000000000000004
2022,1,3,7,0,0,62.82,-3.8000000000000003
2022,1,3,8,0,0,62.96,-3.7
2022,1,3,9,0,0,64.19,-3.8000000000000003
2022,1,3,10,0,0,65.74,-4
2022,1,3,11,0,0,66.56,-4.1000000000000005
2022,1,3,12,0,0,67.55,-4.2
2022,1,3,13,0,0,68,-4.2
2022,1,3,14,0,39,59.79,-2.6
2022,1,3,15,0,209,54.9,-0.4
2022,1,3,16,0,375,47,2.9000000000000004
2022,1,3,17,0,499,36.35,6.1000000000000005
2022,1,3,18,0,566,31.41,8.3
2022,1,3,19,0,571,27.26,9.9
2022,1,3,20,0,513,26.03,10.4
2022,1,3,21,0,398,32.44,9.3
2022,1,3,22,0,237,50.620000000000005,4.7
2022,1,3,23,0,62,56.36,0.9
2022,1,4,0,0,0,55.94,0.6000000000000001
2022,1,4,1,0,0,55.42,0.7000000000000001
2022,1,4,2,0,0,56.77,0.6000000000000001
2022,1,4,3,0,0,59.39,0.4
2022,1,4,4,0,0,64.02,-0.2
2022,1,4,5,0,0,67.8,-0.8
2022,1,4,6,0,0,69.63,-1.2000000000000002
2022,1,4,7,0,0,69.76,-1.4000000000000001
2022,1,4,8,0,0,69.58,-1.6
2022,1,4,9,0,0,69.04,-1.7000000000000002
2022,1,4,10,0,0,68.95,-1.8
2022,1,4,11,0,0,69.2,-1.9000000000000001
2022,1,4,12,0,0,69.10000000000001,-1.9000000000000001
2022,1,4,13,0,0,69.62,-2
2022,1,4,14,0,21,65.05,-0.9
2022,1,4,15,0,38,56.17,1.6
2022,1,4,16,0,256,44.85,4.800000000000001
2022,1,4,17,0,327,34.65,8.200000000000001
2022,1,4,18,0,391,29.37,10.8
2022,1,4,19,0,327,27.43,12.200000000000001
2022,1,4,20,0,378,27.080000000000002,13
2022,1,4,21,0,400,29.84,13
2022,1,4,22,0,184,43.71,9.600000000000001
2022,1,4,23,0,41,55.53,5.300000000000001
2022,1,5,0,0,0,57.57,4.4
2022,1,5,1,0,0,57.99,4.1000000000000005
2022,1,5,2,0,0,54.42,5
2022,1,5,3,0,0,53.620000000000005,5.4
2022,1,5,4,0,0,54.21,5.1000000000000005
2022,1,5,5,0,0,59.89,3.5
2022,1,5,6,0,0,63.370000000000005,3.3000000000000003
2022,1,5,7,0,0,64.34,3.2
2022,1,5,8,0,0,70.71000000000001,1.6
2022,1,5,9,0,0,74.22,0.5
2022,1,5,10,0,0,75.26,-0.2
2022,1,5,11,0,0,75.78,-0.9
2022,1,5,12,0,0,76.74,-1.8
2022,1,5,13,0,0,77.71000000000001,-2.8000000000000003
2022,1,5,14,0,23,69.42,-2.4000000000000004
2022,1,5,15,0,108,53.24,-1.1
2022,1,5,16,0,252,42.97,0.5
2022,1,5,17,0,370,37.42,2.1
2022,1,5,18,0,431,33.62,3.4000000000000004
2022,1,5,19,0,569,29.92,4.6000000000000005
2022,1,5,20,0,512,28.84,5.1000000000000005
2022,1,5,21,0,397,29.2,5.2
2022,1,5,22,0,238,36.44,4
2022,1,5,23,0,65,56.14,0
2022,1,6,0,0,0,58.43,-1.2000000000000002
2022,1,6,1,0,0,59.06,-1.7000000000000002
2022,1,6,2,0,0,58.15,-1.7000000000000002
2022,1,6,3,0,0,61.050000000000004,-2.4000000000000004
2022,1,6,4,0,0,62.86,-3.2
2022,1,6,5,0,0,62.26,-4
2022,1,6,6,0,0,60.4,-4.7
2022,1,6,7,0,0,58.93,-5.2
2022,1,6,8,0,0,59.21,-5.7
2022,1,6,9,0,0,60.77,-6.2
2022,1,6,10,0,0,62.13,-6.6000000000000005
2022,1,6,11,0,0,63.39,-6.9
2022,1,6,12,0,0,63.74,-7.1000000000000005
2022,1,6,13,0,0,62.53,-7.4
2022,1,6,14,0,25,58.480000000000004,-7.2
2022,1,6,15,0,134,53.93,-6.5
2022,1,6,16,0,258,49.6,-5.4
2022,1,6,17,0,329,46.75,-4.5
2022,1,6,18,0,418,44.34,-3.6
2022,1,6,19,0,565,42.76,-3.1
2022,1,6,20,0,372,42.21,-3.1
2022,1,6,21,0,395,43.07,-3.6
2022,1,6,22,0,150,45.480000000000004,-4.6000000000000005
2022,1,6,23,0,41,48.800000000000004,-5.7
2022,1,7,0,0,0,50.660000000000004,-6.300000000000001
2022,1,7,1,0,0,51.19,-6.6000000000000005
2022,1,7,2,0,0,51.86,-6.9
2022,1,7,3,0,0,51.800000000000004,-7
2022,1,7,4,0,0,51.99,-7.1000000000000005
2022,1,7,5,0,0,52.06,-7.1000000000000005
2022,1,7,6,0,0,52.29,-7.1000000000000005
2022,1,7,7,0,0,52.27,-7
2022,1,7,8,0,0,52.85,-7
2022,1,7,9,0,0,53.63,-7
2022,1,7,10,0,0,55.160000000000004,-7.1000000000000005
2022,1,7,11,0,0,56.410000000000004,-7.1000000000000005
2022,1,7,12,0,0,57.76,-7.1000000000000005
2022,1,7,13,0,0,58.910000000000004,-7
2022,1,7,14,0,36,57.730000000000004,-6.300000000000001
2022,1,7,15,0,200,54.35,-4.9
2022,1,7,16,0,263,50.870000000000005,-3.3000000000000003
2022,1,7,17,0,344,47.03,-1.5
2022,1,7,18,0,421,43.63,0.30000000000000004
2022,1,7,19,0,228,41.53,1.7000000000000002
2022,1,7,20,0,338,40.910000000000004,2.6
2022,1,7,21,0,332,41.94,2.9000000000000004
2022,1,7,22,0,241,48.76,1.9000000000000001
2022,1,7,23,0,68,63.86,-1
2022,1,8,0,0,0,66.74,-1.2000000000000002
2022,1,8,1,0,0,69.64,-1
2022,1,8,2,0,0,74.2,-0.9
2022,1,8,3,0,0,79.04,-0.8
2022,1,8,4,0,0,83.16,-0.8
2022,1,8,5,0,0,86.45,-0.9
2022,1,8,6,0,0,88.14,-0.8
2022,1,8,7,0,0,89.92,-0.6000000000000001
2022,1,8,8,0,0,89.06,0.4
2022,1,8,9,0,0,90.25,1.5
2022,1,8,10,0,0,93.95,2.2
2022,1,8,11,0,0,97.58,2.6
2022,1,8,12,0,0,100,2.7
2022,1,8,13,0,0,100,3
2022,1,8,14,0,32,100,3.8000000000000003
2022,1,8,15,0,189,96.02,5.2
2022,1,8,16,0,31,91.89,6.800000000000001
2022,1,8,17,0,78,88.08,8.4
2022,1,8,18,0,546,83.56,10.200000000000001
2022,1,8,19,0,90,77.43,12.3
2022,1,8,20,0,65,70.99,14.3
2022,1,8,21,0,392,72.09,14.600000000000001
2022,1,8,22,0,148,87.9,12.100000000000001
2022,1,8,23,0,67,100,8
2022,1,9,0,0,0,100,7.5
2022,1,9,1,0,0,100,8.1
2022,1,9,2,0,0,100,7.800000000000001
2022,1,9,3,0,0,100,6.800000000000001
2022,1,9,4,0,0,100,6
2022,1,9,5,0,0,100,5.6000000000000005
2022,1,9,6,0,0,100,3.9000000000000004
2022,1,9,7,0,0,97.88,2.8000000000000003
2022,1,9,8,0,0,93.37,2.6
2022,1,9,9,0,0,84.98,2.9000000000000004
2022,1,9,10,0,0,77.23,2.7
2022,1,9,11,0,0,71.24,2
2022,1,9,12,0,0,68.09,1
2022,1,9,13,0,0,66.28,0
2022,1,9,14,0,37,60.21,0.1
2022,1,9,15,0,204,49.36,1.1
2022,1,9,16,0,370,40.17,2.5
2022,1,9,17,0,498,34.06,3.9000000000000004
2022,1,9,18,0,440,29.36,5.2
2022,1,9,19,0,420,26.44,5.9
2022,1,9,20,0,403,24.52,6.300000000000001
2022,1,9,21,0,410,25.07,5.800000000000001
2022,1,9,22,0,186,28.32,4.6000000000000005
2022,1,9,23,0,36,36.25,2.5
2022,1,10,0,0,0,42.79,0.9
2022,1,10,1,0,0,49.480000000000004,-0.8
2022,1,10,2,0,0,53.64,-2
2022,1,10,3,0,0,56.27,-2.9000000000000004
2022,1,10,4,0,0,58.03,-3.6
2022,1,10,5,0,0,60.4,-4.3
2022,1,10,6,0,0,62.28,-4.7
2022,1,10,7,0,0,62.870000000000005,-4.800000000000001
2022,1,10,8,0,0,62.68,-4.800000000000001
2022,1,10,9,0,0,62.67,-4.800000000000001
2022,1,10,10,0,0,62.86,-4.800000000000001
2022,1,10,11,0,0,63.07,-4.9
2022,1,10,12,0,0,62.67,-4.800000000000001
2022,1,10,13,0,0,62.4,-4.6000000000000005
2022,1,10,14,0,40,50.300000000000004,-2
2022,1,10,15,0,214,40.99,0.6000000000000001
2022,1,10,16,0,383,31.77,4.1000000000000005
2022,1,10,17,0,511,26.07,6.9
2022,1,10,18,0,583,22.830000000000002,8.9
2022,1,10,19,0,586,19.8,10.700000000000001
2022,1,10,20,0,531,19.59,11.600000000000001
2022,1,10,21,0,419,23.01,11.4
2022,1,10,22,0,258,41.24,9.200000000000001
2022,1,10,23,0,80,34.61,6.800000000000001
2022,1,11,0,0,0,37.82,5.1000000000000005
2022,1,11,1,0,0,42.59,3.5
2022,1,11,2,0,0,47.42,2
2022,1,11,3,0,0,51.18,0.8
2022,1,11,4,0,0,52.83,0.1
2022,1,11,5,0,0,53.160000000000004,-0.30000000000000004
2022,1,11,6,0,0,53.4,-0.7000000000000001
2022,1,11,7,0,0,53.4,-1
2022,1,11,8,0,0,53.51,-1.2000000000000002
2022,1,11,9,0,0,54.370000000000005,-1.4000000000000001
2022,1,11,10,0,0,56.660000000000004,-1.7000000000000002
2022,1,11,11,0,0,60.21,-2
2022,1,11,12,0,0,63.68,-2.2
2022,1,11,13,0,0,65.22,-2.1
2022,1,11,14,0,41,57.11,0.30000000000000004
2022,1,11,15,0,216,49.7,3.1
2022,1,11,16,0,386,42.43,6.800000000000001
2022,1,11,17,0,516,32.89,10.9
2022,1,11,18,0,589,26.45,13.5
2022,1,11,19,0,598,25.32,14.3
2022,1,11,20,0,538,25.66,14.3
2022,1,11,21,0,423,26.93,13.8
2022,1,11,22,0,262,33.660000000000004,11.600000000000001
2022,1,11,23,0,82,47.480000000000004,7.1000000000000005
2022,1,12,0,0,0,48.4,6.300000000000001
2022,1,12,1,0,0,48.44,6.1000000000000005
2022,1,12,2,0,0,51.71,5.5
2022,1,12,3,0,0,58.480000000000004,4.800000000000001
2022,1,12,4,0,0,69.66,4.1000000000000005
2022,1,12,5,0,0,81.16,3.4000000000000004
2022,1,12,6,0,0,88.88,2.9000000000000004
2022,1,12,7,0,0,92.79,2.5
2022,1,12,8,0,0,95.06,2.1
2022,1,12,9,0,0,98.88,1.4000000000000001
2022,1,12,10,0,0,100,0.7000000000000001
2022,1,12,11,0,0,100,0.6000000000000001
2022,1,12,12,0,0,98.60000000000001,0.5
2022,1,12,13,0,0,98.49000000000001,0.2
2022,1,12,14,0,39,91.25,0.9
2022,1,12,15,0,212,78.58,3
2022,1,12,16,0,381,57.59,6.800000000000001
2022,1,12,17,0,506,47.15,9.700000000000001
2022,1,12,18,0,578,39.87,11.9
2022,1,12,19,0,588,37.06,13.200000000000001
2022,1,12,20,0,533,34.74,14
2022,1,12,21,0,287,39.03,13.4
2022,1,12,22,0,261,56.82,11.100000000000001
2022,1,12,23,0,83,51.59,8.6
2022,1,13,0,0,0,52.230000000000004,7.4
2022,1,13,1,0,0,51.65,7
2022,1,13,2,0,0,53.57,6.1000000000000005
2022,1,13,3,0,0,55.160000000000004,5.300000000000001
2022,1,13,4,0,0,55.25,4.800000000000001
2022,1,13,5,0,0,56.15,4.2
2022,1,13,6,0,0,56.64,3.8000000000000003
2022,1,13,7,0,0,57.64,3.4000000000000004
2022,1,13,8,0,0,59.620000000000005,3
2022,1,13,9,0,0,61.68,2.7
2022,1,13,10,0,0,63.33,2.4000000000000004
2022,1,13,11,0,0,63.08,2.4000000000000004
2022,1,13,12,0,0,62.45,2.4000000000000004
2022,1,13,13,0,0,61.57,2.4000000000000004
2022,1,13,14,0,38,50.22,5.1000000000000005
2022,1,13,15,0,205,42.35,7.7
2022,1,13,16,0,273,37.26,10.9
2022,1,13,17,0,496,33.21,14.3
2022,1,13,18,0,565,32.46,16.5
2022,1,13,19,0,573,31.1,18.5
2022,1,13,20,0,520,31.470000000000002,18.7
2022,1,13,21,0,409,33.730000000000004,18
2022,1,13,22,0,254,49.76,15.100000000000001
2022,1,13,23,0,81,58.83,10.700000000000001
2022,1,14,0,0,0,59.97,9.5
2022,1,14,1,0,0,60.45,8.9
2022,1,14,2,0,0,61.25,8.3
2022,1,14,3,0,0,62.300000000000004,7.7
2022,1,14,4,0,0,64.21000000000001,7
2022,1,14,5,0,0,67.8,6.2
2022,1,14,6,0,0,70.8,5.7
2022,1,14,7,0,0,75.97,4.800000000000001
2022,1,14,8,0,0,79.75,4.3
2022,1,14,9,0,0,82.3,4.1000000000000005
2022,1,14,10,0,0,82.43,4.3
2022,1,14,11,0,0,80.27,4.9
2022,1,14,12,0,0,79.10000000000001,5.4
2022,1,14,13,0,0,81.10000000000001,5.4
2022,1,14,14,0,20,76.29,6.7
2022,1,14,15,0,31,71.77,8
2022,1,14,16,0,198,66.17,9.600000000000001
2022,1,14,17,0,52,62.550000000000004,10.8
2022,1,14,18,0,276,60.43,11.4
2022,1,14,19,0,395,59.85,11.600000000000001
2022,1,14,20,0,224,59.44,11.9
2022,1,14,21,0,285,58.74,12.700000000000001
2022,1,14,22,0,68,65.09,12
2022,1,14,23,0,28,68.88,10.200000000000001
2022,1,15,0,0,0,76.51,8
2022,1,15,1,0,0,66.43,9.3
2022,1,15,2,0,0,67.12,8.6
2022,1,15,3,0,0,77.85000000000001,5.300000000000001
2022,1,15,4,0,0,70.73,3.3000000000000003
2022,1,15,5,0,0,64.53,2.4000000000000004
