Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,859169,-,-,-,40.69,-89.58,0,153,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,GHI,Relative Humidity
2022,1,1,0,30,4,0,100
2022,1,1,1,30,3.3000000000000003,0,100
2022,1,1,2,30,2.7,0,98.60000000000001
2022,1,1,3,30,2.2,0,97.87
2022,1,1,4,30,1.6,0,97.68
2022,1,1,5,30,1.1,0,96.11
2022,1,1,6,30,0.5,0,94.84
2022,1,1,7,30,-0.1,0,93.78
2022,1,1,8,30,-0.5,0,92.09
2022,1,1,9,30,-0.8,0,90.67
2022,1,1,10,30,-1.1,0,88.89
2022,1,1,11,30,-1.5,0,87.15
2022,1,1,12,30,-1.8,0,85.34
2022,1,1,13,30,-1.9000000000000001,2,83.45
2022,1,1,14,30,-2,7,82.91
2022,1,1,15,30,-2,8,82.44
2022,1,1,16,30,-1.8,25,81.57000000000001
2022,1,1,17,30,-1.3,27,80.34
2022,1,1,18,30,-0.8,31,81.62
2022,1,1,19,30,-0.7000000000000001,29,85.19
2022,1,1,20,30,-1.1,47,88.61
2022,1,1,21,30,-2.1,28,91.14
2022,1,1,22,30,-3.6,4,92.10000000000001
2022,1,1,23,30,-5,0,88.46000000000001
2022,1,2,0,30,-5.9,0,84.60000000000001
2022,1,2,1,30,-6.300000000000001,0,82.24
2022,1,2,2,30,-6.6000000000000005,0,81.97
2022,1,2,3,30,-6.9,0,82.11
2022,1,2,4,30,-7.2,0,81.79
2022,1,2,5,30,-7.6000000000000005,0,81.92
2022,1,2,6,30,-7.9,0,81.08
2022,1,2,7,30,-8.3,0,80.34
2022,1,2,8,30,-8.700000000000001,0,79.53
2022,1,2,9,30,-9,0,78.49
2022,1,2,10,30,-9.200000000000001,0,77.22
2022,1,2,11,30,-9.4,0,76.87
2022,1,2,12,30,-9.9,0,77.82000000000001
2022,1,2,13,30,-10,7,74.28
