Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,4851921,-,b'Pennsylvania',b'United States',39.96,-75.17,0,24,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,8.9,96.12
2022,1,1,1,0,0,8.6,96.71000000000001
2022,1,1,2,0,0,8.4,98.10000000000001
2022,1,1,3,0,0,8.4,98.9
2022,1,1,4,0,0,8.1,100
2022,1,1,5,0,0,8.1,100
2022,1,1,6,0,0,8.3,100
2022,1,1,7,0,0,8.4,100
2022,1,1,8,0,0,8.4,99.81
2022,1,1,9,0,0,8.9,99.67
2022,1,1,10,0,0,9.3,99.44
2022,1,1,11,0,0,9.1,100
2022,1,1,12,0,0,8.700000000000001,100
2022,1,1,13,0,9,9.4,99.71000000000001
2022,1,1,14,0,24,10.200000000000001,98.03
2022,1,1,15,0,12,10.700000000000001,97.4
2022,1,1,16,0,37,11.200000000000001,96.16
2022,1,1,17,0,55,11.9,94.55
2022,1,1,18,0,47,12.200000000000001,95.11
2022,1,1,19,0,14,12,97.9
2022,1,1,20,0,5,11.600000000000001,97.96000000000001
2022,1,1,21,0,3,10.8,100
2022,1,1,22,0,0,10.600000000000001,100
2022,1,1,23,0,0,10.4,100
2022,1,2,0,0,0,10.100000000000001,100
2022,1,2,1,0,0,10.100000000000001,99.95
2022,1,2,2,0,0,10.3,100
2022,1,2,3,0,0,10.700000000000001,100
2022,1,2,4,0,0,11,100
2022,1,2,5,0,0,10.9,100
2022,1,2,6,0,0,10.8,100
2022,1,2,7,0,0,10.4,100
2022,1,2,8,0,0,9.8,100
2022,1,2,9,0,0,9.600000000000001,100
2022,1,2,10,0,0,9.600000000000001,99.08
2022,1,2,11,0,0,9.200000000000001,99.31
2022,1,2,12,0,0,8.9,99.32000000000001
2022,1,2,13,0,8,10.3,97.02
2022,1,2,14,0,46,10.700000000000001,96.16
2022,1,2,15,0,119,11.8,92.26
2022,1,2,16,0,98,12.9,90.09
2022,1,2,17,0,210,14,87.52
2022,1,2,18,0,298,14.4,87.56
2022,1,2,19,0,159,13.9,89.32000000000001
2022,1,2,20,0,38,13.100000000000001,89.26
2022,1,2,21,0,35,11.3,91.58
2022,1,2,22,0,0,10.200000000000001,91.17
2022,1,2,23,0,0,9,85.98
2022,1,3,0,0,0,6.6000000000000005,78.85000000000001
2022,1,3,1,0,0,4.5,73.63
2022,1,3,2,0,0,3.3000000000000003,70.66
2022,1,3,3,0,0,2.6,70.63
2022,1,3,4,0,0,2.2,71.7
2022,1,3,5,0,0,1.8,72.24
2022,1,3,6,0,0,1.4000000000000001,72.28
2022,1,3,7,0,0,1,72.7
2022,1,3,8,0,0,0.8,74.3
2022,1,3,9,0,0,0.7000000000000001,75.31
2022,1,3,10,0,0,0.30000000000000004,77.78
2022,1,3,11,0,0,0,80.2
2022,1,3,12,0,0,-0.4,81.10000000000001
2022,1,3,13,0,9,-0.7000000000000001,80.62
2022,1,3,14,0,4,-0.9,79.24
2022,1,3,15,0,36,-1,77.54
2022,1,3,16,0,21,-1.2000000000000002,76.65
2022,1,3,17,0,250,-1.3,76.64
2022,1,3,18,0,17,-1.4000000000000001,75.74
2022,1,3,19,0,67,-1.4000000000000001,72.82000000000001
2022,1,3,20,0,77,-1.4000000000000001,69.39
2022,1,3,21,0,20,-1.4000000000000001,66.84
2022,1,3,22,0,0,-1.8,67.29
2022,1,3,23,0,0,-2.2,67.61
2022,1,4,0,0,0,-3.5,70.17
2022,1,4,1,0,0,-4.6000000000000005,72.49
2022,1,4,2,0,0,-5.300000000000001,73.99
2022,1,4,3,0,0,-5.9,75.23
2022,1,4,4,0,0,-6.2,75.41
2022,1,4,5,0,0,-6.5,76.15
2022,1,4,6,0,0,-6.6000000000000005,76.15
2022,1,4,7,0,0,-6.7,76.89
2022,1,4,8,0,0,-6.6000000000000005,76.83
2022,1,4,9,0,0,-6.6000000000000005,77.48
2022,1,4,10,0,0,-6.6000000000000005,79.02
2022,1,4,11,0,0,-6.6000000000000005,81.19
2022,1,4,12,0,0,-6.300000000000001,79.8
2022,1,4,13,0,73,-4.6000000000000005,66.56
2022,1,4,14,0,229,-2.8000000000000003,58.800000000000004
2022,1,4,15,0,361,-1.1,53.57
2022,1,4,16,0,452,0.2,51.64
2022,1,4,17,0,484,1.1,52.1
2022,1,4,18,0,330,1.7000000000000002,54.03
2022,1,4,19,0,380,1.7000000000000002,57.410000000000004
2022,1,4,20,0,251,0.9,65.22
2022,1,4,21,0,99,-2.3000000000000003,81.63
2022,1,4,22,0,0,-3.6,84.12
2022,1,4,23,0,0,-3.7,84.68
2022,1,5,0,0,0,-3.8000000000000003,85.28
2022,1,5,1,0,0,-4,86.82000000000001
2022,1,5,2,0,0,-4.1000000000000005,87.85000000000001
2022,1,5,3,0,0,-4.2,89.10000000000001
2022,1,5,4,0,0,-4.2,90.36
2022,1,5,5,0,0,-4.1000000000000005,92.52
2022,1,5,6,0,0,-4,96.16
2022,1,5,7,0,0,-3.6,99.02
2022,1,5,8,0,0,-3.1,100
2022,1,5,9,0,0,-2,100
2022,1,5,10,0,0,-0.1,100
2022,1,5,11,0,0,1,99.96000000000001
2022,1,5,12,0,0,1.5,99.52
2022,1,5,13,0,36,1.6,98.31
2022,1,5,14,0,14,1.8,97.13
2022,1,5,15,0,44,2.2,96.19
2022,1,5,16,0,88,3.1,93.73
2022,1,5,17,0,148,3.9000000000000004,92.34
2022,1,5,18,0,199,4.3,92.82000000000001
2022,1,5,19,0,109,4.3,94.41
2022,1,5,20,0,33,3.7,97.57000000000001
2022,1,5,21,0,25,2.7,100
2022,1,5,22,0,0,2.2,100
2022,1,5,23,0,0,2.2,100
2022,1,6,0,0,0,2.1,100
2022,1,6,1,0,0,2,100
2022,1,6,2,0,0,1.8,99.73
2022,1,6,3,0,0,1.7000000000000002,98.99000000000001
2022,1,6,4,0,0,1.7000000000000002,98.73
2022,1,6,5,0,0,1.6,98.69
2022,1,6,6,0,0,1.6,98.38
2022,1,6,7,0,0,1.4000000000000001,98.3
2022,1,6,8,0,0,1,97.58
2022,1,6,9,0,0,-0.6000000000000001,100
2022,1,6,10,0,0,-1.5,100
2022,1,6,11,0,0,-1.6,97.12
2022,1,6,12,0,0,-1.1,89.35000000000001
2022,1,6,13,0,18,0.30000000000000004,82.33
2022,1,6,14,0,55,1.6,69.79
2022,1,6,15,0,114,2.4000000000000004,57.34
2022,1,6,16,0,160,3.1,51.15
2022,1,6,17,0,355,3.4000000000000004,49.02
2022,1,6,18,0,316,3.3000000000000003,49.730000000000004
