Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1307275,-,b'Arizona',b'United States',33.44,-112.07,0,332,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,24,12.5,86.8
2022,1,1,1,0,0,12,86.53
2022,1,1,2,0,0,12,86.12
2022,1,1,3,0,0,12.100000000000001,86.51
2022,1,1,4,0,0,11.9,88.19
2022,1,1,5,0,0,11.600000000000001,90.06
2022,1,1,6,0,0,11.4,91.17
2022,1,1,7,0,0,11.200000000000001,91.71000000000001
2022,1,1,8,0,0,10.4,93.71000000000001
2022,1,1,9,0,0,9.5,94.69
2022,1,1,10,0,0,8.8,94.48
2022,1,1,11,0,0,8.3,94.44
2022,1,1,12,0,0,7.7,94.99
2022,1,1,13,0,0,7.1000000000000005,93.81
2022,1,1,14,0,0,6.1000000000000005,92.73
2022,1,1,15,0,55,6.800000000000001,83.32000000000001
2022,1,1,16,0,237,8.4,65.75
2022,1,1,17,0,412,10.700000000000001,41.94
2022,1,1,18,0,534,12.100000000000001,29.39
2022,1,1,19,0,602,12.9,25.5
2022,1,1,20,0,605,13.3,23.35
2022,1,1,21,0,547,13.4,21.59
2022,1,1,22,0,424,13.100000000000001,20.42
2022,1,1,23,0,258,11.3,29.69
2022,1,2,0,0,71,7.2,46.45
2022,1,2,1,0,0,6.300000000000001,44.51
2022,1,2,2,0,0,5.1000000000000005,46.89
2022,1,2,3,0,0,3.9000000000000004,49.620000000000005
2022,1,2,4,0,0,3.1,50.22
2022,1,2,5,0,0,2.4000000000000004,50.33
2022,1,2,6,0,0,1.8,49.69
2022,1,2,7,0,0,1.4000000000000001,47.39
2022,1,2,8,0,0,1.1,44.94
2022,1,2,9,0,0,1,42.29
2022,1,2,10,0,0,0.1,45.38
2022,1,2,11,0,0,-0.9,49.730000000000004
2022,1,2,12,0,0,-1.3,51.04
2022,1,2,13,0,0,-1.3,50.32
2022,1,2,14,0,0,-1.1,49.15
2022,1,2,15,0,61,2.4000000000000004,45.38
2022,1,2,16,0,246,6.300000000000001,27.29
2022,1,2,17,0,419,9.5,20.62
2022,1,2,18,0,547,12.5,15.11
