Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1272564,-,b'Arizona',b'United States',34.54,-112.47,0,1649,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,9,4.2,100
2022,1,1,1,0,0,3.9000000000000004,100
2022,1,1,2,0,0,3.9000000000000004,100
2022,1,1,3,0,0,3.9000000000000004,100
2022,1,1,4,0,0,3.9000000000000004,100
2022,1,1,5,0,0,3.8000000000000003,100
2022,1,1,6,0,0,3.6,100
2022,1,1,7,0,0,3.3000000000000003,100
2022,1,1,8,0,0,2.6,100
2022,1,1,9,0,0,1.2000000000000002,99.04
2022,1,1,10,0,0,-0.30000000000000004,99.64
2022,1,1,11,0,0,-1.2000000000000002,100
2022,1,1,12,0,0,-1.7000000000000002,99.94
2022,1,1,13,0,0,-2.4000000000000004,95.88
2022,1,1,14,0,0,-3.6,92.49
2022,1,1,15,0,50,-3,84.65
2022,1,1,16,0,234,-1.4000000000000001,65.22
2022,1,1,17,0,415,0,44.07
2022,1,1,18,0,547,1,32.67
2022,1,1,19,0,617,1.7000000000000002,25.150000000000002
2022,1,1,20,0,620,2.2,22.25
2022,1,1,21,0,559,2.2,22.43
2022,1,1,22,0,443,1.8,23.740000000000002
2022,1,1,23,0,267,0.6000000000000001,27.93
2022,1,2,0,0,73,-3.4000000000000004,47.86
2022,1,2,1,0,0,-5.800000000000001,59.84
2022,1,2,2,0,0,-6.5,60.120000000000005
2022,1,2,3,0,0,-6.800000000000001,59.38
2022,1,2,4,0,0,-7,59.14
2022,1,2,5,0,0,-7.1000000000000005,59.28
2022,1,2,6,0,0,-6.9,56.620000000000005
2022,1,2,7,0,0,-6.300000000000001,50.65
2022,1,2,8,0,0,-6.2,48.03
2022,1,2,9,0,0,-6.1000000000000005,46.43
2022,1,2,10,0,0,-6,45.44
2022,1,2,11,0,0,-6.1000000000000005,45.54
2022,1,2,12,0,0,-6.1000000000000005,46.11
