Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1327841,-,-,-,41.81,-71.42,0,28,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,GHI,Relative Humidity
2022,1,1,0,30,6.2,0,100
2022,1,1,1,30,6.300000000000001,0,100
2022,1,1,2,30,6.5,0,100
2022,1,1,3,30,6.6000000000000005,0,100
2022,1,1,4,30,6.5,0,100
2022,1,1,5,30,6.6000000000000005,0,100
2022,1,1,6,30,6.7,0,100
2022,1,1,7,30,6.9,0,100
2022,1,1,8,30,7.1000000000000005,0,99.73
2022,1,1,9,30,7.300000000000001,0,99.86
2022,1,1,10,30,7.5,0,99.81
2022,1,1,11,30,7.7,0,99.07000000000001
2022,1,1,12,30,8.1,3,97.29
2022,1,1,13,30,8.8,21,96.46000000000001
2022,1,1,14,30,9.5,6,95.87
2022,1,1,15,30,9.9,9,96.73
2022,1,1,16,30,10.200000000000001,26,96.62
2022,1,1,17,30,10.5,28,96.36
2022,1,1,18,30,10.700000000000001,21,96.55
2022,1,1,19,30,10.3,29,99.58
2022,1,1,20,30,9.200000000000001,20,100
2022,1,1,21,30,8.5,1,100
2022,1,1,22,30,8.200000000000001,0,100
2022,1,1,23,30,8.1,0,100
2022,1,2,0,30,8.3,0,99.96000000000001
2022,1,2,1,30,8.6,0,98.28
2022,1,2,2,30,8.6,0,97.67
2022,1,2,3,30,8.1,0,100
2022,1,2,4,30,7.800000000000001,0,98.78
2022,1,2,5,30,7.800000000000001,0,100
2022,1,2,6,30,7.7,0,98.64
2022,1,2,7,30,7.7,0,98.38
2022,1,2,8,30,7.5,0,99.14
2022,1,2,9,30,7.300000000000001,0,98.89
2022,1,2,10,30,6.9,0,99.96000000000001
2022,1,2,11,30,6.5,0,99.82000000000001
2022,1,2,12,30,6.2,3,98.77
2022,1,2,13,30,6.300000000000001,11,96.78
2022,1,2,14,30,6.6000000000000005,49,95.29
2022,1,2,15,30,7.1000000000000005,69,94.02
2022,1,2,16,30,7.6000000000000005,99,93.02
2022,1,2,17,30,8.1,68,92.04
2022,1,2,18,30,8.200000000000001,27,92.72
2022,1,2,19,30,7.800000000000001,21,95.41
2022,1,2,20,30,7,20,97.91
2022,1,2,21,30,6.1000000000000005,1,97.83
2022,1,2,22,30,5.1000000000000005,0,96.73
2022,1,2,23,30,4,0,93.61
2022,1,3,0,30,2.7,0,91.29
2022,1,3,1,30,1.4000000000000001,0,89.08
2022,1,3,2,30,0.30000000000000004,0,86.06
2022,1,3,3,30,-0.5,0,83.26
2022,1,3,4,30,-1,0,81.2
2022,1,3,5,30,-1.2000000000000002,0,78.9
2022,1,3,6,30,-1.3,0,77.19
2022,1,3,7,30,-1.4000000000000001,0,76.60000000000001
2022,1,3,8,30,-1.6,0,76.21000000000001
2022,1,3,9,30,-2,0,76.68
2022,1,3,10,30,-2.3000000000000003,0,75.73
2022,1,3,11,30,-2.6,0,74.74
2022,1,3,12,30,-2.7,5,72.28
2022,1,3,13,30,-2.6,24,67.75
2022,1,3,14,30,-2.5,28,64.37
2022,1,3,15,30,-2.3000000000000003,36,62.230000000000004
2022,1,3,16,30,-2.3000000000000003,25,62.26
2022,1,3,17,30,-2.3000000000000003,24,63.33
2022,1,3,18,30,-2.3000000000000003,17,65.72
2022,1,3,19,30,-2.5,16,69.26
2022,1,3,20,30,-2.8000000000000003,28,72.35000000000001
2022,1,3,21,30,-3,1,73.71000000000001
2022,1,3,22,30,-3.2,0,73.59
2022,1,3,23,30,-3.3000000000000003,0,71.54
2022,1,4,0,30,-3.5,0,69.29
2022,1,4,1,30,-3.6,0,67.07000000000001
2022,1,4,2,30,-4,0,67.06
2022,1,4,3,30,-4.5,0,67.6
2022,1,4,4,30,-5.2,0,68.22
2022,1,4,5,30,-6,0,68.63
2022,1,4,6,30,-6.7,0,68.42
2022,1,4,7,30,-7.2,0,67.37
2022,1,4,8,30,-7.5,0,65.82000000000001
2022,1,4,9,30,-7.7,0,64.25
2022,1,4,10,30,-8,0,63.93
