Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1305270,-,b'Utah',b'United States',38.78,-112.09,0,1665,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,11,-3.7,70.98
2022,1,1,1,0,0,-4.800000000000001,69.89
2022,1,1,2,0,0,-5.6000000000000005,68.45
2022,1,1,3,0,0,-6.4,68.09
2022,1,1,4,0,0,-6.9,67.93
2022,1,1,5,0,0,-7.2,67.6
2022,1,1,6,0,0,-7.5,67.7
2022,1,1,7,0,0,-8.200000000000001,69.19
2022,1,1,8,0,0,-9.4,71.41
2022,1,1,9,0,0,-10.600000000000001,73.85000000000001
2022,1,1,10,0,0,-11.4,74.7
2022,1,1,11,0,0,-11.9,72.84
2022,1,1,12,0,0,-12,68.77
2022,1,1,13,0,0,-12.100000000000001,66.32000000000001
2022,1,1,14,0,0,-12.4,64.85
2022,1,1,15,0,24,-12.3,62.910000000000004
2022,1,1,16,0,118,-10.3,58.980000000000004
2022,1,1,17,0,352,-9.1,56.22
2022,1,1,18,0,475,-8.5,54.67
2022,1,1,19,0,540,-8.1,54.09
2022,1,1,20,0,542,-7.800000000000001,53.4
2022,1,1,21,0,481,-7.7,52.86
2022,1,1,22,0,362,-8,53.74
2022,1,1,23,0,200,-9.600000000000001,55.300000000000004
2022,1,2,0,0,33,-12.5,55.01
2022,1,2,1,0,0,-13.600000000000001,57.4
2022,1,2,2,0,0,-13.700000000000001,58.67
2022,1,2,3,0,0,-13.700000000000001,57.42
2022,1,2,4,0,0,-13.5,53.68
2022,1,2,5,0,0,-13.3,50.050000000000004
2022,1,2,6,0,0,-12.9,46.78
2022,1,2,7,0,0,-12.4,44.86
2022,1,2,8,0,0,-12.100000000000001,43.01
2022,1,2,9,0,0,-11.600000000000001,40.14
2022,1,2,10,0,0,-11.100000000000001,37.5
2022,1,2,11,0,0,-10.600000000000001,36.03
2022,1,2,12,0,0,-10.100000000000001,33.58
2022,1,2,13,0,0,-9.5,32.25
2022,1,2,14,0,0,-9.1,31.7
2022,1,2,15,0,23,-8.200000000000001,31.92
2022,1,2,16,0,180,-5,34.45
2022,1,2,17,0,340,-0.8,41.71
2022,1,2,18,0,455,1.7000000000000002,43.410000000000004
2022,1,2,19,0,520,3,45.75
2022,1,2,20,0,523,3.6,50.92
2022,1,2,21,0,464,3.8000000000000003,52.52
2022,1,2,22,0,350,3.6,55.42
2022,1,2,23,0,193,0.9,60.31
2022,1,3,0,0,34,-2.6,56.03
2022,1,3,1,0,0,-4.800000000000001,58.59
2022,1,3,2,0,0,-6.4,60.01
2022,1,3,3,0,0,-7.4,58.88
2022,1,3,4,0,0,-7.9,56.370000000000005
2022,1,3,5,0,0,-8.1,53.03
2022,1,3,6,0,0,-8.1,49.68
2022,1,3,7,0,0,-8.1,47
2022,1,3,8,0,0,-7.9,44.61
2022,1,3,9,0,0,-7.7,42.45
2022,1,3,10,0,0,-7.7,40.980000000000004
2022,1,3,11,0,0,-8,40.68
2022,1,3,12,0,0,-8.5,41.52
2022,1,3,13,0,0,-8.8,42.56
2022,1,3,14,0,0,-8.8,43.61
2022,1,3,15,0,12,-6.9,43.660000000000004
2022,1,3,16,0,175,-2.2,46
2022,1,3,17,0,326,1.8,48.63
2022,1,3,18,0,295,3.6,51.480000000000004
2022,1,3,19,0,532,4.800000000000001,54
2022,1,3,20,0,479,5.5,50.86
2022,1,3,21,0,389,5.5,51.21
2022,1,3,22,0,306,4.4,58.050000000000004
2022,1,3,23,0,169,1.6,61.67
2022,1,4,0,0,22,-0.8,60.24
2022,1,4,1,0,0,-1.5,58.59
2022,1,4,2,0,0,-1.7000000000000002,56.4
2022,1,4,3,0,0,-1.5,52.9
2022,1,4,4,0,0,-1.4000000000000001,50.54
2022,1,4,5,0,0,-1.5,48.72
2022,1,4,6,0,0,-1.7000000000000002,47.480000000000004
2022,1,4,7,0,0,-2.2,46.910000000000004
2022,1,4,8,0,0,-2.7,46.78
2022,1,4,9,0,0,-3,46.86
2022,1,4,10,0,0,-3.4000000000000004,47.06
2022,1,4,11,0,0,-4.1000000000000005,47.08
2022,1,4,12,0,0,-3.9000000000000004,46.67
2022,1,4,13,0,0,-3.1,47.42
2022,1,4,14,0,0,-2.3000000000000003,49.36
2022,1,4,15,0,13,-0.8,50.53
2022,1,4,16,0,127,1.7000000000000002,50.32
2022,1,4,17,0,327,3.6,50.47
2022,1,4,18,0,195,4.6000000000000005,51.68
2022,1,4,19,0,333,5.1000000000000005,53.07
2022,1,4,20,0,472,5.300000000000001,54.81
2022,1,4,21,0,399,5.1000000000000005,56.81
2022,1,4,22,0,100,4.4,61.15
2022,1,4,23,0,40,2.4000000000000004,67.66
2022,1,5,0,0,23,0.4,67.79
2022,1,5,1,0,0,-0.2,67.63
2022,1,5,2,0,0,-0.9,68.41
2022,1,5,3,0,0,-1.9000000000000001,69.89
2022,1,5,4,0,0,-2.6,71.23
2022,1,5,5,0,0,-2.9000000000000004,71.88
2022,1,5,6,0,0,-3,72.06
2022,1,5,7,0,0,-3,72.43
2022,1,5,8,0,0,-2.5,71.49
2022,1,5,9,0,0,-1.8,70.16
2022,1,5,10,0,0,-1,69.87
2022,1,5,11,0,0,-0.6000000000000001,69.93
2022,1,5,12,0,0,-0.7000000000000001,70.87
2022,1,5,13,0,0,-0.5,71.55
2022,1,5,14,0,0,-0.2,72.61
2022,1,5,15,0,13,1.2000000000000002,70.89
2022,1,5,16,0,119,3.6,67.47
2022,1,5,17,0,322,5.1000000000000005,66.24
2022,1,5,18,0,387,6.1000000000000005,65.01
2022,1,5,19,0,460,6.6000000000000005,63.43
2022,1,5,20,0,512,6.6000000000000005,63.59
2022,1,5,21,0,455,6.6000000000000005,64.03
2022,1,5,22,0,277,6.1000000000000005,67.2
2022,1,5,23,0,193,4.2,75.19
2022,1,6,0,0,36,1.6,83.58
2022,1,6,1,0,0,1.2000000000000002,84.75
2022,1,6,2,0,0,1.1,86.10000000000001
2022,1,6,3,0,0,0.9,87.35000000000001
