Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1132667,-,-,-,37.53,-77.42,0,47,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,GHI,Relative Humidity
2022,1,1,0,30,12,0,90.23
2022,1,1,1,30,11.5,0,93.84
2022,1,1,2,30,12,0,93.86
2022,1,1,3,30,12.700000000000001,0,95.24
2022,1,1,4,30,13.100000000000001,0,97.52
2022,1,1,5,30,13.100000000000001,0,99.73
2022,1,1,6,30,13.200000000000001,0,100
2022,1,1,7,30,13.100000000000001,0,100
2022,1,1,8,30,12.9,0,100
2022,1,1,9,30,12.700000000000001,0,100
2022,1,1,10,30,12.5,0,100
2022,1,1,11,30,12.8,0,100
2022,1,1,12,30,13.600000000000001,2,99.14
2022,1,1,13,30,14.9,8,95.75
2022,1,1,14,30,16.400000000000002,38,93.69
2022,1,1,15,30,18,73,91.44
2022,1,1,16,30,20,98,88.12
2022,1,1,17,30,22,187,84.32000000000001
2022,1,1,18,30,23.5,152,78.96000000000001
2022,1,1,19,30,23.8,85,75.53
2022,1,1,20,30,22.700000000000003,134,78.22
2022,1,1,21,30,21.1,33,82.7
2022,1,1,22,30,20.200000000000003,0,83.38
2022,1,1,23,30,20.1,0,83.15
2022,1,2,0,30,20.200000000000003,0,83.85000000000001
2022,1,2,1,30,20.400000000000002,0,83.95
2022,1,2,2,30,20.400000000000002,0,84.55
2022,1,2,3,30,20.400000000000002,0,84.99
2022,1,2,4,30,20.1,0,86.97
2022,1,2,5,30,19.8,0,88.78
2022,1,2,6,30,19.400000000000002,0,90.53
2022,1,2,7,30,19,0,91.4
2022,1,2,8,30,18.8,0,90.47
2022,1,2,9,30,18.5,0,90.31
2022,1,2,10,30,18.2,0,91.68
2022,1,2,11,30,18.2,0,92.29
2022,1,2,12,30,18.7,2,91.4
2022,1,2,13,30,19.6,5,89.05
2022,1,2,14,30,20.5,6,86.45
2022,1,2,15,30,20.900000000000002,37,85.43
2022,1,2,16,30,20.900000000000002,80,84.53
2022,1,2,17,30,20.5,56,83.62
2022,1,2,18,30,20.1,91,82.68
2022,1,2,19,30,19.200000000000003,63,82.5
2022,1,2,20,30,17.900000000000002,14,84.02
2022,1,2,21,30,16.8,17,85.82000000000001
2022,1,2,22,30,15.9,0,87.17
2022,1,2,23,30,15.200000000000001,0,88.92
2022,1,3,0,30,14.5,0,92.4
2022,1,3,1,30,14,0,95.42
2022,1,3,2,30,13.200000000000001,0,97.66
2022,1,3,3,30,11.600000000000001,0,94.98
2022,1,3,4,30,9.4,0,84.60000000000001
2022,1,3,5,30,7.7,0,78.04
2022,1,3,6,30,6,0,82.97
2022,1,3,7,30,4,0,93.60000000000001
2022,1,3,8,30,2.8000000000000003,0,94.48
2022,1,3,9,30,2.3000000000000003,0,93.28
2022,1,3,10,30,2,0,93.58
2022,1,3,11,30,1.5,0,93.32000000000001
2022,1,3,12,30,1.2000000000000002,2,92.77
2022,1,3,13,30,1,6,93.15
2022,1,3,14,30,1,56,91.75
2022,1,3,15,30,1,42,91.53
2022,1,3,16,30,0.9,56,91.65
2022,1,3,17,30,0.6000000000000001,24,91.66
