Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,986749,-,b'California',b'United States',33.72,-116.03,0,546,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,98,11.700000000000001,69.01
2022,1,1,1,0,0,9.8,78.8
2022,1,1,2,0,0,8.8,84.59
2022,1,1,3,0,0,8.1,88.17
2022,1,1,4,0,0,7.7,88.13
2022,1,1,5,0,0,7,88.68
2022,1,1,6,0,0,6.5,87.54
2022,1,1,7,0,0,5.800000000000001,85.01
2022,1,1,8,0,0,5.2,74.45
2022,1,1,9,0,0,4.6000000000000005,58.11
2022,1,1,10,0,0,3.8000000000000003,47.15
2022,1,1,11,0,0,3,42.81
2022,1,1,12,0,0,2.2,42.43
2022,1,1,13,0,0,1.7000000000000002,43.08
2022,1,1,14,0,0,1.3,44.44
2022,1,1,15,0,21,2.9000000000000004,42.660000000000004
2022,1,1,16,0,193,6,32.95
2022,1,1,17,0,373,8.200000000000001,25.04
2022,1,1,18,0,512,9.8,20.85
2022,1,1,19,0,590,10.9,18.89
2022,1,1,20,0,610,11.700000000000001,17.7
2022,1,1,21,0,562,12.100000000000001,17.37
2022,1,1,22,0,453,11.9,18.25
2022,1,1,23,0,295,10.8,23.57
2022,1,2,0,0,109,7.1000000000000005,39.800000000000004
2022,1,2,1,0,0,5.6000000000000005,39.81
2022,1,2,2,0,0,4.9,40.71
2022,1,2,3,0,0,4.1000000000000005,42.42
2022,1,2,4,0,0,3.4000000000000004,43.6
2022,1,2,5,0,0,2.6,45.29
2022,1,2,6,0,0,1.8,46.7
2022,1,2,7,0,0,1,47.97
2022,1,2,8,0,0,0.4,48.31
2022,1,2,9,0,0,0,47.980000000000004
2022,1,2,10,0,0,-0.30000000000000004,47.34
2022,1,2,11,0,0,-0.6000000000000001,46.96
2022,1,2,12,0,0,-0.9,46.83
2022,1,2,13,0,0,-1.1,46.64
2022,1,2,14,0,0,-1.3,46.79
2022,1,2,15,0,21,0.5,45.17
2022,1,2,16,0,191,3.8000000000000003,31.080000000000002
2022,1,2,17,0,370,6.5,22.51
2022,1,2,18,0,511,8.5,18.330000000000002
2022,1,2,19,0,596,9.600000000000001,17.06
2022,1,2,20,0,616,10.4,16.59
2022,1,2,21,0,570,10.8,16.61
2022,1,2,22,0,462,10.8,17.05
2022,1,2,23,0,303,9.700000000000001,22.42
2022,1,3,0,0,117,6.2,37.160000000000004
2022,1,3,1,0,0,4.800000000000001,34.21
2022,1,3,2,0,0,4.1000000000000005,34.27
2022,1,3,3,0,0,3.2,35.75
2022,1,3,4,0,0,2.5,37.18
2022,1,3,5,0,0,1.9000000000000001,38.14
2022,1,3,6,0,0,1.6,38.22
2022,1,3,7,0,0,1.5,37.83
2022,1,3,8,0,0,1.5,37.31
2022,1,3,9,0,0,1.4000000000000001,37.410000000000004
2022,1,3,10,0,0,1.1,38.39
2022,1,3,11,0,0,0.9,39.07
2022,1,3,12,0,0,0.8,39.31
2022,1,3,13,0,0,0.8,39.18
2022,1,3,14,0,0,1,38.51
2022,1,3,15,0,20,2.6,39.99
2022,1,3,16,0,192,6.2,33.980000000000004
2022,1,3,17,0,373,8.8,24.42
2022,1,3,18,0,515,11.200000000000001,20.84
2022,1,3,19,0,595,13.5,16.71
2022,1,3,20,0,616,15,15.24
2022,1,3,21,0,568,15.9,14.68
2022,1,3,22,0,461,16.1,15.27
2022,1,3,23,0,302,14.5,29.080000000000002
2022,1,4,0,0,115,10.9,32.21
2022,1,4,1,0,0,9.600000000000001,30.77
2022,1,4,2,0,0,8.6,32.9
2022,1,4,3,0,0,7.800000000000001,35.980000000000004
2022,1,4,4,0,0,7,39.230000000000004
2022,1,4,5,0,0,6.5,41.5
2022,1,4,6,0,0,6.1000000000000005,43
2022,1,4,7,0,0,5.7,44.29
2022,1,4,8,0,0,5.2,45.79
2022,1,4,9,0,0,4.7,46.230000000000004
2022,1,4,10,0,0,4.4,45.74
2022,1,4,11,0,0,3.9000000000000004,46.42
2022,1,4,12,0,0,3.5,47.5
2022,1,4,13,0,0,3.3000000000000003,48.230000000000004
2022,1,4,14,0,0,3.1,49.230000000000004
2022,1,4,15,0,18,4.5,50.43
2022,1,4,16,0,179,8.4,40.94
2022,1,4,17,0,352,11.5,31.59
2022,1,4,18,0,490,14.3,26.740000000000002
2022,1,4,19,0,571,16.1,24.48
2022,1,4,20,0,592,17.3,23.48
2022,1,4,21,0,548,17.900000000000002,23.44
2022,1,4,22,0,444,17.8,24.490000000000002
2022,1,4,23,0,292,16,35.63
2022,1,5,0,0,113,12,46.550000000000004
2022,1,5,1,0,0,10.5,45.94
2022,1,5,2,0,0,9.8,47.22
2022,1,5,3,0,0,9.1,49.4
2022,1,5,4,0,0,8.9,50.15
2022,1,5,5,0,0,8.6,51.230000000000004
2022,1,5,6,0,0,8.4,52.15
2022,1,5,7,0,0,8.200000000000001,52.99
2022,1,5,8,0,0,7.9,54.32
2022,1,5,9,0,0,7.2,57.31
2022,1,5,10,0,0,6.7,59.67
2022,1,5,11,0,0,6.4,61.300000000000004
2022,1,5,12,0,0,6.2,62.68
2022,1,5,13,0,0,5.7,65.53
2022,1,5,14,0,0,5.2,68.39
2022,1,5,15,0,18,6.6000000000000005,64.97
2022,1,5,16,0,181,10.4,52.61
2022,1,5,17,0,360,13.3,39.51
2022,1,5,18,0,496,15.700000000000001,30.72
2022,1,5,19,0,581,17.400000000000002,25.990000000000002
2022,1,5,20,0,602,18.6,23.29
2022,1,5,21,0,558,19.1,22.16
2022,1,5,22,0,453,18.900000000000002,22.39
2022,1,5,23,0,299,17,32.61
2022,1,6,0,0,117,13.100000000000001,42.300000000000004
2022,1,6,1,0,0,11.8,41.39
