Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,688925,-,b'California',b'United States',35.36,-120.37,0,595,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,137,7.300000000000001,79.21000000000001
2022,1,1,1,0,0,5.4,89.28
2022,1,1,2,0,0,4.7,93.17
2022,1,1,3,0,0,3.7,98.09
2022,1,1,4,0,0,2.9000000000000004,100
2022,1,1,5,0,0,2.2,100
2022,1,1,6,0,0,1.6,100
2022,1,1,7,0,0,1.3,100
2022,1,1,8,0,0,1.5,100
2022,1,1,9,0,0,1.9000000000000001,100
2022,1,1,10,0,0,2.2,100
2022,1,1,11,0,0,2.1,100
2022,1,1,12,0,0,1.9000000000000001,100
2022,1,1,13,0,0,1.7000000000000002,100
2022,1,1,14,0,0,1.5,100
2022,1,1,15,0,0,1.4000000000000001,100
2022,1,1,16,0,116,2.6,93.7
2022,1,1,17,0,293,4.7,79.96000000000001
2022,1,1,18,0,435,7.2,61.550000000000004
2022,1,1,19,0,533,8.8,51.63
2022,1,1,20,0,528,9.8,48.39
2022,1,1,21,0,540,10.3,48.34
2022,1,1,22,0,452,10.5,49.870000000000005
2022,1,1,23,0,312,9.9,56.370000000000005
2022,1,2,0,0,140,7.4,74.12
2022,1,2,1,0,0,5.5,78.16
2022,1,2,2,0,0,4.7,83.09
2022,1,2,3,0,0,4.1000000000000005,86.94
2022,1,2,4,0,0,3.7,89.49
2022,1,2,5,0,0,3.4000000000000004,91.89
2022,1,2,6,0,0,3.2,93.58
2022,1,2,7,0,0,3,94.84
2022,1,2,8,0,0,2.6,96.2
2022,1,2,9,0,0,2.2,95.9
2022,1,2,10,0,0,1.8,94.89
2022,1,2,11,0,0,1.5,92.3
2022,1,2,12,0,0,1.2000000000000002,88.79
2022,1,2,13,0,0,1.1,83.61
2022,1,2,14,0,0,1,79.04
2022,1,2,15,0,0,1.6,76.36
2022,1,2,16,0,109,5.5,67.11
2022,1,2,17,0,281,8.200000000000001,49.9
2022,1,2,18,0,431,10.8,50.26
2022,1,2,19,0,529,12.4,49.6
2022,1,2,20,0,566,13.100000000000001,48.81
2022,1,2,21,0,541,13.4,48.74
2022,1,2,22,0,454,13.200000000000001,50.58
2022,1,2,23,0,315,12.100000000000001,62.1
2022,1,3,0,0,144,9.4,76.8
2022,1,3,1,0,0,7.7,81.67
2022,1,3,2,0,0,7.2,88.54
2022,1,3,3,0,0,6.800000000000001,94.87
2022,1,3,4,0,0,6.300000000000001,100
2022,1,3,5,0,0,6.2,100
2022,1,3,6,0,0,6,100
2022,1,3,7,0,0,5.7,100
2022,1,3,8,0,0,5.300000000000001,100
2022,1,3,9,0,0,5.1000000000000005,100
2022,1,3,10,0,0,4.9,100
2022,1,3,11,0,0,4.800000000000001,100
2022,1,3,12,0,0,4.5,100
2022,1,3,13,0,0,4.4,100
