Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1191867,-,-,-,38.65,-75.62,0,11,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,GHI,Relative Humidity
2022,1,1,0,30,9.600000000000001,0,100
2022,1,1,1,30,9.700000000000001,0,100
2022,1,1,2,30,9.700000000000001,0,100
2022,1,1,3,30,9.700000000000001,0,100
2022,1,1,4,30,9.9,0,100
2022,1,1,5,30,10.3,0,98.35000000000001
2022,1,1,6,30,10.600000000000001,0,97.57000000000001
2022,1,1,7,30,10.9,0,97.17
2022,1,1,8,30,11,0,98.74000000000001
2022,1,1,9,30,11.4,0,98.69
2022,1,1,10,30,11.5,0,100
2022,1,1,11,30,11.200000000000001,0,100
2022,1,1,12,30,11.600000000000001,2,99.15
2022,1,1,13,30,12.5,14,96.71000000000001
2022,1,1,14,30,13,39,96.21000000000001
2022,1,1,15,30,13.5,52,94.8
2022,1,1,16,30,14.600000000000001,40,91.61
2022,1,1,17,30,15.600000000000001,16,91.32000000000001
2022,1,1,18,30,16,21,93.03
2022,1,1,19,30,16.3,118,94.92
2022,1,1,20,30,16,83,100
2022,1,1,21,30,15.3,8,100
2022,1,1,22,30,15.100000000000001,0,100
2022,1,1,23,30,15.3,0,100
2022,1,2,0,30,15.600000000000001,0,100
2022,1,2,1,30,15.5,0,100
2022,1,2,2,30,15.4,0,100
2022,1,2,3,30,15.3,0,99.77
2022,1,2,4,30,15.3,0,99.62
2022,1,2,5,30,15.3,0,99.96000000000001
2022,1,2,6,30,15.200000000000001,0,100
2022,1,2,7,30,15.100000000000001,0,100
2022,1,2,8,30,15,0,100
2022,1,2,9,30,14.700000000000001,0,100
2022,1,2,10,30,14.200000000000001,0,100
2022,1,2,11,30,14,0,100
2022,1,2,12,30,14.100000000000001,3,99.06
2022,1,2,13,30,14.600000000000001,22,96.25
2022,1,2,14,30,15.200000000000001,22,95.23
2022,1,2,15,30,15.700000000000001,11,94.37
2022,1,2,16,30,16,130,94.26
2022,1,2,17,30,16.2,40,93.84
2022,1,2,18,30,16.2,56,94.04
2022,1,2,19,30,15.9,52,95.31
2022,1,2,20,30,15,30,99.82000000000001
2022,1,2,21,30,14.100000000000001,6,100
2022,1,2,22,30,13.8,0,100
2022,1,2,23,30,13.700000000000001,0,100
2022,1,3,0,30,12.9,0,95.23
2022,1,3,1,30,11.5,0,85.69
2022,1,3,2,30,10.200000000000001,0,79.01
2022,1,3,3,30,9,0,81.04
2022,1,3,4,30,7.800000000000001,0,82.23
2022,1,3,5,30,6.300000000000001,0,81.97
2022,1,3,6,30,4.9,0,78
2022,1,3,7,30,4.1000000000000005,0,76.88
2022,1,3,8,30,3.1,0,84.7
2022,1,3,9,30,2,0,91.5
2022,1,3,10,30,1.6,0,91.57000000000001
2022,1,3,11,30,1.6,0,89.91
2022,1,3,12,30,1.5,4,90.48
2022,1,3,13,30,1.5,24,89.56
