Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,567323,-,b'Washington',b'United States',47.6,-122.33,0,39,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,22,-4.6000000000000005,76.13
2022,1,1,1,0,0,-5.9,77.04
2022,1,1,2,0,0,-6.5,77.47
2022,1,1,3,0,0,-6.800000000000001,75.8
2022,1,1,4,0,0,-6.6000000000000005,72.46000000000001
2022,1,1,5,0,0,-6.800000000000001,71.54
2022,1,1,6,0,0,-7.1000000000000005,70.98
2022,1,1,7,0,0,-7.4,69.18
2022,1,1,8,0,0,-8.1,71.08
2022,1,1,9,0,0,-9.3,77.21000000000001
2022,1,1,10,0,0,-9.700000000000001,81.54
2022,1,1,11,0,0,-9.8,84.19
2022,1,1,12,0,0,-9.5,85.88
2022,1,1,13,0,0,-9.1,86.24
2022,1,1,14,0,0,-8.700000000000001,85.33
2022,1,1,15,0,0,-8,83.99
2022,1,1,16,0,0,-6.7,82.89
2022,1,1,17,0,54,-4.2,82.97
2022,1,1,18,0,164,-2.2,83.93
2022,1,1,19,0,219,-1,85.79
2022,1,1,20,0,260,-0.2,87.63
2022,1,1,21,0,162,0.1,89.61
2022,1,1,22,0,98,0.2,91.5
2022,1,1,23,0,50,0.1,92.64
2022,1,2,0,0,19,-0.30000000000000004,94.13
2022,1,2,1,0,0,-0.4,94.48
2022,1,2,2,0,0,-0.30000000000000004,94.39
2022,1,2,3,0,0,-0.30000000000000004,93.9
2022,1,2,4,0,0,-0.30000000000000004,93.55
2022,1,2,5,0,0,-0.30000000000000004,93.52
2022,1,2,6,0,0,-0.30000000000000004,93.28
2022,1,2,7,0,0,-0.2,92.91
2022,1,2,8,0,0,-0.1,92.48
2022,1,2,9,0,0,0.1,92.19
2022,1,2,10,0,0,0.4,91.7
2022,1,2,11,0,0,0.7000000000000001,92.42
2022,1,2,12,0,0,1,93.33
2022,1,2,13,0,0,1.1,94.53
2022,1,2,14,0,0,1.3,94.64
2022,1,2,15,0,0,1.5,94.44
2022,1,2,16,0,0,1.7000000000000002,94.08
2022,1,2,17,0,16,2,93.5
2022,1,2,18,0,102,2.3000000000000003,93.38
2022,1,2,19,0,53,2.7,92.84
2022,1,2,20,0,30,3.1,92.18
2022,1,2,21,0,57,3.5,91.05
2022,1,2,22,0,13,3.7,90.22
2022,1,2,23,0,15,3.7,90.06
2022,1,3,0,0,11,3.7,89.71000000000001
2022,1,3,1,0,0,3.8000000000000003,89.2
2022,1,3,2,0,0,3.9000000000000004,89
2022,1,3,3,0,0,3.6,90.59
2022,1,3,4,0,0,3,93.05
2022,1,3,5,0,0,2.3000000000000003,94.54
2022,1,3,6,0,0,2,94.93
2022,1,3,7,0,0,2,94.94
2022,1,3,8,0,0,2.3000000000000003,94.57000000000001
2022,1,3,9,0,0,2.4000000000000004,95.18
2022,1,3,10,0,0,2.4000000000000004,95.24
2022,1,3,11,0,0,2.2,96.16
2022,1,3,12,0,0,2.2,96.2
2022,1,3,13,0,0,2.4000000000000004,95.53
2022,1,3,14,0,0,2.4000000000000004,95.59
2022,1,3,15,0,0,2.4000000000000004,95.19
2022,1,3,16,0,0,2.3000000000000003,95.31
