Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,3394724,-,b'Missouri',b'United States',38.62,-90.19,0,136,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,12.600000000000001,88.2
2022,1,1,1,0,0,12.3,90.53
2022,1,1,2,0,0,12.100000000000001,92.03
2022,1,1,3,0,0,12.100000000000001,90.86
2022,1,1,4,0,0,11.600000000000001,92.53
2022,1,1,5,0,0,10.600000000000001,96.08
2022,1,1,6,0,0,9.3,98.8
2022,1,1,7,0,0,8.200000000000001,97.19
2022,1,1,8,0,0,6.6000000000000005,94.12
2022,1,1,9,0,0,5.1000000000000005,89.98
2022,1,1,10,0,0,3.8000000000000003,88.05
2022,1,1,11,0,0,3.2,87.89
2022,1,1,12,0,0,3,88.33
2022,1,1,13,0,0,2.9000000000000004,89.73
2022,1,1,14,0,9,3,89.62
2022,1,1,15,0,4,2.9000000000000004,89.55
2022,1,1,16,0,104,3,88.34
2022,1,1,17,0,38,3.2,88.84
2022,1,1,18,0,42,3.7,88.56
2022,1,1,19,0,7,3.8000000000000003,88.45
2022,1,1,20,0,7,3.8000000000000003,88.34
2022,1,1,21,0,4,3.6,88.14
2022,1,1,22,0,25,2.7,89.44
2022,1,1,23,0,0,1.5,90.01
2022,1,2,0,0,0,0.6000000000000001,89.11
2022,1,2,1,0,0,-0.2,88.60000000000001
2022,1,2,2,0,0,-1.1,87.10000000000001
2022,1,2,3,0,0,-2.2,84.72
2022,1,2,4,0,0,-3.3000000000000003,81.52
2022,1,2,5,0,0,-4.3,79.60000000000001
2022,1,2,6,0,0,-4.9,78.26
2022,1,2,7,0,0,-5.300000000000001,77.72
2022,1,2,8,0,0,-5.6000000000000005,77.17
2022,1,2,9,0,0,-6,77.05
2022,1,2,10,0,0,-6.5,77.13
2022,1,2,11,0,0,-6.800000000000001,76.4
2022,1,2,12,0,0,-7,75.82000000000001
2022,1,2,13,0,0,-7.1000000000000005,74.66
2022,1,2,14,0,14,-6.800000000000001,71.99
2022,1,2,15,0,32,-6.300000000000001,69.33
2022,1,2,16,0,47,-5.7,67.13
2022,1,2,17,0,67,-5,65.1
2022,1,2,18,0,94,-4.6000000000000005,64.49
2022,1,2,19,0,179,-4.4,64.98
2022,1,2,20,0,185,-4,64.91
2022,1,2,21,0,109,-4.2,67.09
2022,1,2,22,0,48,-5.300000000000001,71.07000000000001
2022,1,2,23,0,0,-6.5,75.17
2022,1,3,0,0,0,-7.300000000000001,76.62
2022,1,3,1,0,0,-8.1,76.43
2022,1,3,2,0,0,-8.8,74.49
2022,1,3,3,0,0,-9.200000000000001,72.31
2022,1,3,4,0,0,-9.4,70.48
2022,1,3,5,0,0,-9.5,69.21000000000001
2022,1,3,6,0,0,-9.600000000000001,68.42
2022,1,3,7,0,0,-9.600000000000001,67.11
2022,1,3,8,0,0,-9.600000000000001,65.88
2022,1,3,9,0,0,-9.600000000000001,64.52
2022,1,3,10,0,0,-9.600000000000001,63.13
