Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,3140312,-,b'Minnesota',b'United States',44.94,-93.09,0,228,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,-14.4,68.04
2022,1,1,1,0,0,-15.8,67.93
2022,1,1,2,0,0,-17.7,67.91
2022,1,1,3,0,0,-18.7,65.06
2022,1,1,4,0,0,-19.200000000000003,61.68
2022,1,1,5,0,0,-20.1,59.28
2022,1,1,6,0,0,-20.900000000000002,58.2
2022,1,1,7,0,0,-21.3,57.77
2022,1,1,8,0,0,-21.6,57.76
2022,1,1,9,0,0,-22,57.95
2022,1,1,10,0,0,-22.700000000000003,58.480000000000004
2022,1,1,11,0,0,-24.200000000000003,59.32
2022,1,1,12,0,0,-25.900000000000002,58.86
2022,1,1,13,0,0,-27.400000000000002,58.620000000000005
2022,1,1,14,0,16,-27.700000000000003,56.99
2022,1,1,15,0,141,-25.5,55.120000000000005
2022,1,1,16,0,272,-24.200000000000003,55.24
2022,1,1,17,0,366,-23,56.14
2022,1,1,18,0,327,-21.900000000000002,55.82
2022,1,1,19,0,178,-21.3,56.65
2022,1,1,20,0,112,-20.900000000000002,57.5
2022,1,1,21,0,73,-20.900000000000002,59.120000000000005
2022,1,1,22,0,34,-21.3,61.01
2022,1,1,23,0,0,-21.900000000000002,61.67
2022,1,2,0,0,0,-23.400000000000002,63.08
2022,1,2,1,0,0,-25.200000000000003,64.01
2022,1,2,2,0,0,-26.400000000000002,64.87
2022,1,2,3,0,0,-26.900000000000002,64.88
2022,1,2,4,0,0,-27.200000000000003,65.15
2022,1,2,5,0,0,-27.700000000000003,66.04
2022,1,2,6,0,0,-28,66.28
2022,1,2,7,0,0,-28.200000000000003,66.65
2022,1,2,8,0,0,-28.1,66.16
2022,1,2,9,0,0,-28.3,66.19
2022,1,2,10,0,0,-28.6,66.2
2022,1,2,11,0,0,-28.8,65.76
2022,1,2,12,0,0,-28.8,64.19
2022,1,2,13,0,0,-28.8,63.02
2022,1,2,14,0,16,-28,61.620000000000005
2022,1,2,15,0,141,-25.8,60.46
2022,1,2,16,0,271,-23,58.980000000000004
2022,1,2,17,0,364,-21,59.33
2022,1,2,18,0,402,-18.8,58.74
2022,1,2,19,0,390,-17.3,59.21
2022,1,2,20,0,323,-16.3,60.160000000000004
2022,1,2,21,0,212,-16.1,62.9
2022,1,2,22,0,48,-17.5,61.5
2022,1,2,23,0,0,-18.8,64.9
2022,1,3,0,0,0,-20,68.34
2022,1,3,1,0,0,-20.5,69.5
2022,1,3,2,0,0,-20.6,70.87
2022,1,3,3,0,0,-20.400000000000002,71.68
2022,1,3,4,0,0,-19.8,72.21000000000001
2022,1,3,5,0,0,-19,72.89
2022,1,3,6,0,0,-18.400000000000002,73.99
2022,1,3,7,0,0,-17.900000000000002,75.4
2022,1,3,8,0,0,-17.5,76.36
2022,1,3,9,0,0,-17.400000000000002,78.23
2022,1,3,10,0,0,-17.400000000000002,79.83
2022,1,3,11,0,0,-17.5,81.72
2022,1,3,12,0,0,-17.6,83.13
2022,1,3,13,0,0,-17.6,84.01
2022,1,3,14,0,6,-16.400000000000002,82.65
2022,1,3,15,0,39,-13.700000000000001,81.96000000000001
2022,1,3,16,0,165,-10.9,79.69
2022,1,3,17,0,155,-8,77.03
2022,1,3,18,0,233,-6.1000000000000005,75.4
2022,1,3,19,0,169,-4.9,75.03
2022,1,3,20,0,318,-4.3,74.63
