Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,4058932,-,b'Florida',b'United States',27.94,-82.45,0,10,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,20.900000000000002,92.7
2022,1,1,1,0,0,20.5,96.10000000000001
2022,1,1,2,0,0,20.200000000000003,98.38
2022,1,1,3,0,0,19.8,100
2022,1,1,4,0,0,19.5,100
2022,1,1,5,0,0,19.200000000000003,100
2022,1,1,6,0,0,18.900000000000002,100
2022,1,1,7,0,0,18.5,100
2022,1,1,8,0,0,17.900000000000002,100
2022,1,1,9,0,0,17.5,100
2022,1,1,10,0,0,17.3,100
2022,1,1,11,0,0,17.3,100
2022,1,1,12,0,0,17.6,100
2022,1,1,13,0,85,20.200000000000003,94.44
2022,1,1,14,0,277,22.3,85.69
2022,1,1,15,0,455,24.400000000000002,74.99
2022,1,1,16,0,587,25.6,67.3
2022,1,1,17,0,660,26.200000000000003,63.230000000000004
2022,1,1,18,0,663,26.5,61.26
2022,1,1,19,0,600,26.400000000000002,61.980000000000004
2022,1,1,20,0,474,25.900000000000002,65.07000000000001
2022,1,1,21,0,302,25,70.85000000000001
2022,1,1,22,0,109,22.900000000000002,83.44
2022,1,1,23,0,0,21.6,92.46000000000001
2022,1,2,0,0,0,21.1,97.69
2022,1,2,1,0,0,20.900000000000002,100
2022,1,2,2,0,0,20.700000000000003,100
2022,1,2,3,0,0,20.6,100
2022,1,2,4,0,0,20.5,100
2022,1,2,5,0,0,20.400000000000002,100
2022,1,2,6,0,0,20.3,100
2022,1,2,7,0,0,20.200000000000003,100
2022,1,2,8,0,0,20.1,100
2022,1,2,9,0,0,19.900000000000002,100
2022,1,2,10,0,0,19.900000000000002,100
2022,1,2,11,0,0,19.8,100
