Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,3968312,-,b'Ohio',b'United States',41.66,-83.53,0,181,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,5.6000000000000005,99.4
2022,1,1,1,0,0,5.9,100
2022,1,1,2,0,0,5.800000000000001,100
2022,1,1,3,0,0,6,100
2022,1,1,4,0,0,6.4,100
2022,1,1,5,0,0,6.300000000000001,100
2022,1,1,6,0,0,5.9,100
2022,1,1,7,0,0,5.6000000000000005,100
2022,1,1,8,0,0,5.300000000000001,100
2022,1,1,9,0,0,4.9,100
2022,1,1,10,0,0,4.5,100
2022,1,1,11,0,0,4,99.61
2022,1,1,12,0,0,3.7,98.14
2022,1,1,13,0,0,3.5,97.14
2022,1,1,14,0,13,3.4000000000000004,96.53
2022,1,1,15,0,7,3.5,94.83
2022,1,1,16,0,11,3.4000000000000004,93.9
2022,1,1,17,0,12,3.2,93.35000000000001
2022,1,1,18,0,16,3,91.89
2022,1,1,19,0,14,2.5,91.23
2022,1,1,20,0,7,1.9000000000000001,90.96000000000001
2022,1,1,21,0,4,1,92.77
2022,1,1,22,0,5,0.6000000000000001,92.06
2022,1,1,23,0,0,0.2,91.22
2022,1,2,0,0,0,-0.1,90.16
2022,1,2,1,0,0,-0.5,88.69
2022,1,2,2,0,0,-0.9,87.88
2022,1,2,3,0,0,-1.5,87.3
2022,1,2,4,0,0,-2.1,86.22
2022,1,2,5,0,0,-2.4000000000000004,85.86
2022,1,2,6,0,0,-2.4000000000000004,85.44
2022,1,2,7,0,0,-2.5,86.14
2022,1,2,8,0,0,-2.7,86.88
2022,1,2,9,0,0,-2.9000000000000004,87.06
2022,1,2,10,0,0,-3.1,87.09
2022,1,2,11,0,0,-3.4000000000000004,87.14
2022,1,2,12,0,0,-3.6,86.61
2022,1,2,13,0,0,-3.7,86.42
2022,1,2,14,0,21,-3.1,82.67
2022,1,2,15,0,54,-2.6,79.2
2022,1,2,16,0,142,-2.3000000000000003,76.27
2022,1,2,17,0,123,-2.2,73.88
2022,1,2,18,0,260,-2.3000000000000003,72.27
2022,1,2,19,0,223,-2.5,70.91
2022,1,2,20,0,309,-2.9000000000000004,70.26
2022,1,2,21,0,169,-3.9000000000000004,71.37
2022,1,2,22,0,26,-5.4,74.31
2022,1,2,23,0,0,-6.300000000000001,76.35000000000001
2022,1,3,0,0,0,-7,77.41
2022,1,3,1,0,0,-7.6000000000000005,78.43
2022,1,3,2,0,0,-8.1,79.82000000000001
2022,1,3,3,0,0,-8.3,80.18
2022,1,3,4,0,0,-8.200000000000001,79.53
2022,1,3,5,0,0,-8.3,79.27
2022,1,3,6,0,0,-8.200000000000001,76.95
2022,1,3,7,0,0,-8.200000000000001,76.16
2022,1,3,8,0,0,-8.3,75.5
2022,1,3,9,0,0,-8.4,75.41
2022,1,3,10,0,0,-8.200000000000001,74.94
2022,1,3,11,0,0,-8,74.47
2022,1,3,12,0,0,-7.9,74.10000000000001
2022,1,3,13,0,0,-7.5,71.8
2022,1,3,14,0,127,-5.800000000000001,65.5
2022,1,3,15,0,276,-4.1000000000000005,60.83
2022,1,3,16,0,394,-3.3000000000000003,59.15
2022,1,3,17,0,461,-2.7,58.86
2022,1,3,18,0,470,-2.2,59.31
2022,1,3,19,0,419,-2,60.86
2022,1,3,20,0,311,-2.1,64.02
2022,1,3,21,0,167,-3.1,69.49
2022,1,3,22,0,25,-4.7,79.02
2022,1,3,23,0,0,-4.9,80.06
2022,1,4,0,0,0,-5,81.2
2022,1,4,1,0,0,-5.2,83.41
