Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1220847,-,-,-,40.21,-74.74,0,18,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,GHI,Relative Humidity
2022,1,1,0,30,8.9,0,97.77
2022,1,1,1,30,8.700000000000001,0,98
2022,1,1,2,30,8.6,0,97.72
2022,1,1,3,30,8.4,0,98.72
2022,1,1,4,30,8.200000000000001,0,99.9
2022,1,1,5,30,8.200000000000001,0,99.61
2022,1,1,6,30,8.200000000000001,0,99.77
2022,1,1,7,30,8.1,0,100
2022,1,1,8,30,8.3,0,99.06
2022,1,1,9,30,8.700000000000001,0,98.35000000000001
2022,1,1,10,30,9,0,98.44
2022,1,1,11,30,9,0,99.84
2022,1,1,12,30,9.1,2,98.72
2022,1,1,13,30,9.600000000000001,6,97.02
2022,1,1,14,30,10.200000000000001,11,95.74000000000001
2022,1,1,15,30,10.600000000000001,19,95.51
2022,1,1,16,30,11.100000000000001,34,94.27
2022,1,1,17,30,11.700000000000001,35,93.47
2022,1,1,18,30,11.8,31,95.92
2022,1,1,19,30,11.5,18,98.99000000000001
2022,1,1,20,30,11.100000000000001,14,99.33
2022,1,1,21,30,10.600000000000001,3,100
2022,1,1,22,30,10.4,0,100
2022,1,1,23,30,10.100000000000001,0,100
2022,1,2,0,30,10,0,100
2022,1,2,1,30,10,0,98.99000000000001
2022,1,2,2,30,10,0,99.04
2022,1,2,3,30,10.200000000000001,0,99.2
2022,1,2,4,30,10.3,0,99.25
2022,1,2,5,30,10.200000000000001,0,99.61
2022,1,2,6,30,10,0,100
2022,1,2,7,30,9.600000000000001,0,100
2022,1,2,8,30,9.3,0,100
2022,1,2,9,30,9.200000000000001,0,100
2022,1,2,10,30,9.1,0,100
2022,1,2,11,30,8.8,0,100
2022,1,2,12,30,9.3,2,95.48
2022,1,2,13,30,10.100000000000001,30,96.31
2022,1,2,14,30,10.9,46,93.45
2022,1,2,15,30,12,54,89.69
2022,1,2,16,30,13,79,87.93
2022,1,2,17,30,13.700000000000001,82,87.11
2022,1,2,18,30,13.5,234,89.33
2022,1,2,19,30,12.700000000000001,127,91.45
2022,1,2,20,30,11.3,20,94.29
2022,1,2,21,30,9.8,7,94.53
2022,1,2,22,30,8.5,0,93.51
2022,1,2,23,30,6.7,0,88.86
2022,1,3,0,30,4.800000000000001,0,81.60000000000001
2022,1,3,1,30,3.4000000000000004,0,76.48
2022,1,3,2,30,2.6,0,74.35000000000001
2022,1,3,3,30,2,0,74.35000000000001
2022,1,3,4,30,1.5,0,74.96000000000001
2022,1,3,5,30,1.2000000000000002,0,74.72
2022,1,3,6,30,1,0,74.68
2022,1,3,7,30,0.9,0,74.84
2022,1,3,8,30,0.8,0,76.51
2022,1,3,9,30,0.5,0,78.5
2022,1,3,10,30,0.2,0,79.5
2022,1,3,11,30,-0.2,0,81.28
2022,1,3,12,30,-0.6000000000000001,2,82.04
2022,1,3,13,30,-0.8,14,80.79
2022,1,3,14,30,-1,18,79.17
2022,1,3,15,30,-1.2000000000000002,16,78.12
2022,1,3,16,30,-1.3,38,76.88
2022,1,3,17,30,-1.5,28,77.4
2022,1,3,18,30,-1.5,57,76.37
2022,1,3,19,30,-1.6,29,74.43
2022,1,3,20,30,-1.7000000000000002,31,71.89
2022,1,3,21,30,-1.9000000000000001,8,69.97
2022,1,3,22,30,-2.2,0,69.56
2022,1,3,23,30,-2.8000000000000003,0,70.66
2022,1,4,0,30,-3.7,0,72.38
2022,1,4,1,30,-4.6000000000000005,0,74.34
2022,1,4,2,30,-5.2,0,75.48
2022,1,4,3,30,-5.6000000000000005,0,75.55
2022,1,4,4,30,-6,0,75.93
2022,1,4,5,30,-6.2,0,75.67
2022,1,4,6,30,-6.300000000000001,0,75.12
2022,1,4,7,30,-6.300000000000001,0,74.71000000000001
2022,1,4,8,30,-6.300000000000001,0,74.93
2022,1,4,9,30,-6.300000000000001,0,75.39
2022,1,4,10,30,-6.300000000000001,0,76.49
2022,1,4,11,30,-6.2,0,77.11
2022,1,4,12,30,-5.300000000000001,13,72.05
2022,1,4,13,30,-3.7,152,62.42
2022,1,4,14,30,-2,300,55.77
2022,1,4,15,30,-0.5,410,51
2022,1,4,16,30,0.6000000000000001,472,49.14
2022,1,4,17,30,1.3,459,50.06
2022,1,4,18,30,1.6,370,53.06
2022,1,4,19,30,1.3,280,58.02
2022,1,4,20,30,-0.5,168,72
2022,1,4,21,30,-2.5,25,84.76
2022,1,4,22,30,-2.9000000000000004,0,83.25
2022,1,4,23,30,-2.9000000000000004,0,83.32000000000001
2022,1,5,0,30,-3,0,84.17
2022,1,5,1,30,-3.2,0,85.65
2022,1,5,2,30,-3.3000000000000003,0,86.59
2022,1,5,3,30,-3.3000000000000003,0,86.85000000000001
2022,1,5,4,30,-3.3000000000000003,0,87.92
2022,1,5,5,30,-3.1,0,89.34
2022,1,5,6,30,-2.9000000000000004,0,92.4
2022,1,5,7,30,-2.6,0,96.26
2022,1,5,8,30,-2.1,0,98.85000000000001
2022,1,5,9,30,-1.1,0,97.93
2022,1,5,10,30,0.2,0,96.76
2022,1,5,11,30,1.2000000000000002,0,97.31
2022,1,5,12,30,2,3,97.51
2022,1,5,13,30,2.5,30,97.65
2022,1,5,14,30,3,19,96.88
2022,1,5,15,30,3.5,47,95.68
2022,1,5,16,30,4,65,93.67
2022,1,5,17,30,4.3,181,93.3
2022,1,5,18,30,4.4,194,93.99
2022,1,5,19,30,4.1000000000000005,101,96.60000000000001
2022,1,5,20,30,3.4000000000000004,42,100
2022,1,5,21,30,2.8000000000000003,8,100
2022,1,5,22,30,2.6,0,100
2022,1,5,23,30,2.5,0,100
2022,1,6,0,30,2.5,0,100
2022,1,6,1,30,2.4000000000000004,0,100
2022,1,6,2,30,2.2,0,100
2022,1,6,3,30,2.1,0,99.15
2022,1,6,4,30,1.9000000000000001,0,99.25
2022,1,6,5,30,1.8,0,98.54
2022,1,6,6,30,1.7000000000000002,0,98.49000000000001
2022,1,6,7,30,1.3,0,99.66
2022,1,6,8,30,0.6000000000000001,0,100
2022,1,6,9,30,-0.2,0,100
2022,1,6,10,30,-0.7000000000000001,0,100
2022,1,6,11,30,-0.8,0,96.13
2022,1,6,12,30,-0.1,5,86.62
2022,1,6,13,30,1.1,23,78.42
2022,1,6,14,30,2,86,67.93
2022,1,6,15,30,2.7,117,57.36
2022,1,6,16,30,3.2,256,52.54
2022,1,6,17,30,3.3000000000000003,319,51.29
2022,1,6,18,30,3.2,406,51.94
2022,1,6,19,30,2.6,298,55.09
2022,1,6,20,30,0.9,152,66.18
2022,1,6,21,30,-0.5,18,77.83
2022,1,6,22,30,-0.6000000000000001,0,80.43
2022,1,6,23,30,-0.5,0,80.87
2022,1,7,0,30,-0.5,0,79.59
2022,1,7,1,30,-0.7000000000000001,0,79.78
2022,1,7,2,30,-0.8,0,80.81
2022,1,7,3,30,-0.8,0,79.3
2022,1,7,4,30,-0.9,0,80.32000000000001
2022,1,7,5,30,-0.9,0,82.43
2022,1,7,6,30,-1.1,0,87.02
2022,1,7,7,30,-1.2000000000000002,0,90.01
2022,1,7,8,30,-1.3,0,91.57000000000001
2022,1,7,9,30,-1.4000000000000001,0,92.29
2022,1,7,10,30,-1.6,0,92.41
2022,1,7,11,30,-1.9000000000000001,0,92.38
2022,1,7,12,30,-1.8,7,89.78
2022,1,7,13,30,-1,138,84.41
2022,1,7,14,30,0,299,76.26
2022,1,7,15,30,0.7000000000000001,418,69.74
2022,1,7,16,30,0.7000000000000001,258,66.99
2022,1,7,17,30,0.4,293,65.3
2022,1,7,18,30,0,407,63.88
2022,1,7,19,30,-0.5,332,63.300000000000004
2022,1,7,20,30,-1.4000000000000001,182,65.31
2022,1,7,21,30,-2.4000000000000004,33,68.82000000000001
2022,1,7,22,30,-3.2,0,71.9
2022,1,7,23,30,-3.7,0,74.02
2022,1,8,0,30,-4,0,75.03
2022,1,8,1,30,-4.1000000000000005,0,75.08
2022,1,8,2,30,-4.3,0,75.35000000000001
2022,1,8,3,30,-4.6000000000000005,0,75.32000000000001
2022,1,8,4,30,-4.9,0,74.87
2022,1,8,5,30,-5.300000000000001,0,74.84
2022,1,8,6,30,-5.800000000000001,0,74.72
2022,1,8,7,30,-6.2,0,74.32000000000001
2022,1,8,8,30,-6.6000000000000005,0,74.53
2022,1,8,9,30,-6.9,0,75.14
2022,1,8,10,30,-7.2,0,76.33
2022,1,8,11,30,-7.4,0,76.77
2022,1,8,12,30,-6.7,17,70.76
2022,1,8,13,30,-5,163,64.34
2022,1,8,14,30,-3.5,321,59.9
2022,1,8,15,30,-2.1,439,55.370000000000005
2022,1,8,16,30,-0.9,501,52.26
2022,1,8,17,30,-0.1,507,49.89
2022,1,8,18,30,0.2,452,48.63
2022,1,8,19,30,-0.1,340,49.61
2022,1,8,20,30,-1.6,190,57.68
2022,1,8,21,30,-3.5,36,72.09
2022,1,8,22,30,-4.5,0,74.53
2022,1,8,23,30,-4.7,0,75.29
2022,1,9,0,30,-4.7,0,75.44
2022,1,9,1,30,-4.7,0,77.42
2022,1,9,2,30,-4.7,0,79.21000000000001
2022,1,9,3,30,-4.6000000000000005,0,79.97
2022,1,9,4,30,-4.4,0,81.29
2022,1,9,5,30,-4.2,0,83.55
2022,1,9,6,30,-4,0,85.72
2022,1,9,7,30,-3.7,0,86.93
2022,1,9,8,30,-3.4000000000000004,0,88.60000000000001
2022,1,9,9,30,-3,0,89.81
2022,1,9,10,30,-2.7,0,91.67
2022,1,9,11,30,-2.1,0,91.82000000000001
2022,1,9,12,30,-0.8,10,88.67
2022,1,9,13,30,0.8,106,87.01
2022,1,9,14,30,2.2,212,83.15
2022,1,9,15,30,3.2,255,78.09
2022,1,9,16,30,3.3000000000000003,293,76.14
2022,1,9,17,30,3.3000000000000003,372,79.45
2022,1,9,18,30,3.6,291,82.42
2022,1,9,19,30,3.7,217,86.48
2022,1,9,20,30,3.3000000000000003,99,92.84
2022,1,9,21,30,3,10,96.48
2022,1,9,22,30,2.8000000000000003,0,98.77
2022,1,9,23,30,2.7,0,100
2022,1,10,0,30,2.6,0,100
2022,1,10,1,30,2.5,0,100
2022,1,10,2,30,2.4000000000000004,0,99.77
2022,1,10,3,30,2.2,0,99.67
2022,1,10,4,30,2,0,99.19
2022,1,10,5,30,1.5,0,99.28
2022,1,10,6,30,0.7000000000000001,0,95.5
2022,1,10,7,30,-0.2,0,86.67
2022,1,10,8,30,-1.1,0,77.97
2022,1,10,9,30,-2.2,0,75.92
2022,1,10,10,30,-3.1,0,74.83
2022,1,10,11,30,-3.6,0,72.56
2022,1,10,12,30,-3.3000000000000003,16,67.88
2022,1,10,13,30,-2.4000000000000004,161,61.980000000000004
2022,1,10,14,30,-1.8,315,55.58
2022,1,10,15,30,-1.3,433,51.6
2022,1,10,16,30,-0.9,499,49.370000000000005
2022,1,10,17,30,-0.8,464,48.67
2022,1,10,18,30,-1,452,49.07
2022,1,10,19,30,-1.5,344,50.550000000000004
2022,1,10,20,30,-2.5,196,54.370000000000005
2022,1,10,21,30,-3.4000000000000004,40,58.95
2022,1,10,22,30,-3.7,0,61.9
2022,1,10,23,30,-3.7,0,62.370000000000005
2022,1,11,0,30,-3.9000000000000004,0,63.86
2022,1,11,1,30,-4.1000000000000005,0,65.12
2022,1,11,2,30,-4.3,0,66.36
2022,1,11,3,30,-4.5,0,67.16
2022,1,11,4,30,-4.9,0,69.2
2022,1,11,5,30,-5.1000000000000005,0,69.96000000000001
2022,1,11,6,30,-5.4,0,70.54
2022,1,11,7,30,-6,0,65.88
2022,1,11,8,30,-7,0,61.15
2022,1,11,9,30,-7.7,0,60.11
2022,1,11,10,30,-8,0,61.82
2022,1,11,11,30,-8,0,62.33
2022,1,11,12,30,-7.800000000000001,17,58.77
2022,1,11,13,30,-7.6000000000000005,162,54.18
2022,1,11,14,30,-7.2,320,50.53
2022,1,11,15,30,-6.7,440,48.45
2022,1,11,16,30,-6.1000000000000005,508,47.09
2022,1,11,17,30,-5.7,515,46.7
2022,1,11,18,30,-5.4,455,46.7
2022,1,11,19,30,-5.6000000000000005,348,48.34
2022,1,11,20,30,-6.6000000000000005,200,52.870000000000005
2022,1,11,21,30,-7.9,44,61.120000000000005
2022,1,11,22,30,-8.6,0,72.10000000000001
2022,1,11,23,30,-8.700000000000001,0,71.93
2022,1,12,0,30,-8.6,0,67.17
2022,1,12,1,30,-8.9,0,65.92
2022,1,12,2,30,-9.4,0,68.24
2022,1,12,3,30,-9.600000000000001,0,72.25
2022,1,12,4,30,-9.5,0,72.67
2022,1,12,5,30,-9.3,0,73.01
2022,1,12,6,30,-9,0,74.5
2022,1,12,7,30,-8.5,0,76.26
2022,1,12,8,30,-7.9,0,78.71000000000001
2022,1,12,9,30,-7.6000000000000005,0,81.69
2022,1,12,10,30,-7.300000000000001,0,83.37
2022,1,12,11,30,-6.800000000000001,0,83.51
2022,1,12,12,30,-5.2,16,77.86
2022,1,12,13,30,-2.7,126,72.15
2022,1,12,14,30,-0.30000000000000004,300,65.64
2022,1,12,15,30,1.7000000000000002,382,58.25
2022,1,12,16,30,3.1,375,56.04
2022,1,12,17,30,4,398,56.59
2022,1,12,18,30,4.4,366,58.39
2022,1,12,19,30,3.9000000000000004,232,63.63
2022,1,12,20,30,1.8,163,79.86
2022,1,12,21,30,0,38,87.39
2022,1,12,22,30,-0.4,0,87.2
2022,1,12,23,30,-0.5,0,88.44
2022,1,13,0,30,-0.6000000000000001,0,89.26
2022,1,13,1,30,-0.7000000000000001,0,90.54
2022,1,13,2,30,-0.6000000000000001,0,90.45
2022,1,13,3,30,-0.6000000000000001,0,91.19
2022,1,13,4,30,-0.6000000000000001,0,91.5
2022,1,13,5,30,-0.7000000000000001,0,91.88
2022,1,13,6,30,-0.8,0,92.53
2022,1,13,7,30,-0.8,0,92.66
2022,1,13,8,30,-0.7000000000000001,0,92.22
2022,1,13,9,30,-0.5,0,90.66
2022,1,13,10,30,-0.6000000000000001,0,90.37
2022,1,13,11,30,-0.9,0,90.99
2022,1,13,12,30,-0.30000000000000004,11,86
2022,1,13,13,30,1.4000000000000001,128,81.56
2022,1,13,14,30,3.5,242,72.59
2022,1,13,15,30,5.300000000000001,399,66.79
2022,1,13,16,30,6.1000000000000005,437,65.38
2022,1,13,17,30,6.300000000000001,325,67.58
2022,1,13,18,30,5.9,306,72.58
2022,1,13,19,30,4.9,237,85.16
2022,1,13,20,30,3.8000000000000003,100,84.16
2022,1,13,21,30,2.8000000000000003,22,83.54
2022,1,13,22,30,2,0,88.17
2022,1,13,23,30,1.5,0,92.69
2022,1,14,0,30,1.3,0,95.64
2022,1,14,1,30,1.3,0,97.09
2022,1,14,2,30,1.5,0,97.08
2022,1,14,3,30,1.6,0,98.14
2022,1,14,4,30,1.5,0,99.41
2022,1,14,5,30,1.2000000000000002,0,100
2022,1,14,6,30,1.1,0,99.57000000000001
2022,1,14,7,30,1,0,98.61
2022,1,14,8,30,1,0,97.31
2022,1,14,9,30,1.1,0,95.76
2022,1,14,10,30,1.2000000000000002,0,94.81
2022,1,14,11,30,1.3,0,94.57000000000001
2022,1,14,12,30,1.8,8,91.81
2022,1,14,13,30,3.1,105,85.91
2022,1,14,14,30,4.7,246,80.9
2022,1,14,15,30,5.9,407,75.64
2022,1,14,16,30,6.300000000000001,435,71.37
2022,1,14,17,30,6.2,483,68.12
2022,1,14,18,30,5.7,435,66.27
2022,1,14,19,30,4.6000000000000005,322,67.81
2022,1,14,20,30,2.9000000000000004,196,73.32000000000001
2022,1,14,21,30,1.2000000000000002,47,77.95
2022,1,14,22,30,-0.2,0,78.83
2022,1,14,23,30,-1.4000000000000001,0,76.56
2022,1,15,0,30,-2.6,0,73.93
2022,1,15,1,30,-3.8000000000000003,0,72.16
2022,1,15,2,30,-4.800000000000001,0,69.9
2022,1,15,3,30,-5.6000000000000005,0,67.18
2022,1,15,4,30,-6.4,0,65.05
2022,1,15,5,30,-7,0,62.53
2022,1,15,6,30,-7.6000000000000005,0,60.69
2022,1,15,7,30,-8.200000000000001,0,59.1
2022,1,15,8,30,-8.700000000000001,0,57.11
2022,1,15,9,30,-9.4,0,56.230000000000004
2022,1,15,10,30,-10.200000000000001,0,56.19
2022,1,15,11,30,-10.9,0,56.61
2022,1,15,12,30,-11,19,54.75
2022,1,15,13,30,-10.3,168,50.43
2022,1,15,14,30,-9,325,44.92
2022,1,15,15,30,-7.7,445,41.21
2022,1,15,16,30,-6.4,493,38.65
2022,1,15,17,30,-5.7,374,38.22
2022,1,15,18,30,-5.4,293,38.87
2022,1,15,19,30,-5.5,204,40.93
2022,1,15,20,30,-5.800000000000001,90,43.980000000000004
2022,1,15,21,30,-6.2,26,48.21
2022,1,15,22,30,-6.6000000000000005,0,53.11
2022,1,15,23,30,-7.2,0,57.7
2022,1,16,0,30,-8,0,63.47
2022,1,16,1,30,-9,0,69.65
2022,1,16,2,30,-9.700000000000001,0,73.27
2022,1,16,3,30,-10.3,0,75.76
2022,1,16,4,30,-10.8,0,77.42
2022,1,16,5,30,-11.3,0,79.12
2022,1,16,6,30,-11.600000000000001,0,79.60000000000001
2022,1,16,7,30,-11.9,0,80.34
2022,1,16,8,30,-12.100000000000001,0,80.46000000000001
2022,1,16,9,30,-12.3,0,80.72
2022,1,16,10,30,-12.4,0,80.64
2022,1,16,11,30,-12.3,0,80.08
2022,1,16,12,30,-11.3,19,75.04
2022,1,16,13,30,-9,169,66.78
2022,1,16,14,30,-6.5,322,62.74
2022,1,16,15,30,-4.3,344,61.59
2022,1,16,16,30,-2.4000000000000004,277,62.160000000000004
2022,1,16,17,30,-1.1,221,64.84
2022,1,16,18,30,-0.4,201,69.42
2022,1,16,19,30,-0.2,71,75.59
2022,1,16,20,30,-0.1,28,80.97
2022,1,16,21,30,0.1,7,85.54
2022,1,16,22,30,0.6000000000000001,0,88.62
2022,1,16,23,30,1.3,0,91.64
2022,1,17,0,30,2.1,0,93.4
2022,1,17,1,30,3,0,94.74
2022,1,17,2,30,3.9000000000000004,0,95.18
2022,1,17,3,30,4.7,0,95.49
2022,1,17,4,30,5.5,0,95.32000000000001
2022,1,17,5,30,6.2,0,95.17
2022,1,17,6,30,7,0,95.13
2022,1,17,7,30,7.4,0,99.31
2022,1,17,8,30,6.7,0,100
2022,1,17,9,30,4.800000000000001,0,100
2022,1,17,10,30,2.7,0,100
2022,1,17,11,30,1.5,0,98.68
2022,1,17,12,30,1.3,4,94.82000000000001
2022,1,17,13,30,1.7000000000000002,15,91.05
2022,1,17,14,30,2.4000000000000004,240,87.29
2022,1,17,15,30,2.9000000000000004,37,83.41
2022,1,17,16,30,3,103,79.44
2022,1,17,17,30,3,74,76.54
2022,1,17,18,30,2.9000000000000004,76,75.61
2022,1,17,19,30,2.6,40,76.76
2022,1,17,20,30,1.9000000000000001,15,80.19
2022,1,17,21,30,1,11,83.93
2022,1,17,22,30,0.5,0,84.61
2022,1,17,23,30,0.1,0,84.19
2022,1,18,0,30,-0.1,0,82.72
2022,1,18,1,30,-0.2,0,82.03
2022,1,18,2,30,-0.2,0,81.53
2022,1,18,3,30,-0.30000000000000004,0,81.12
2022,1,18,4,30,-0.6000000000000001,0,80.16
2022,1,18,5,30,-1.2000000000000002,0,77.60000000000001
2022,1,18,6,30,-1.9000000000000001,0,74.37
2022,1,18,7,30,-2.4000000000000004,0,72.65
2022,1,18,8,30,-2.4000000000000004,0,71.2
2022,1,18,9,30,-2.2,0,71.57000000000001
2022,1,18,10,30,-2.1,0,73.91
2022,1,18,11,30,-2,0,76.34
2022,1,18,12,30,-1,4,73.99
2022,1,18,13,30,0.7000000000000001,18,70.8
2022,1,18,14,30,1.8,99,68.03
2022,1,18,15,30,2.4000000000000004,229,65.19
2022,1,18,16,30,2.6,153,62.08
2022,1,18,17,30,2.7,166,60.13
2022,1,18,18,30,2.5,239,60.120000000000005
2022,1,18,19,30,2,178,62.35
2022,1,18,20,30,0.8,183,69.8
2022,1,18,21,30,-0.6000000000000001,30,78.60000000000001
2022,1,18,22,30,-1.6,0,83.8
2022,1,18,23,30,-2.1,0,85.49
2022,1,19,0,30,-2.5,0,87.38
2022,1,19,1,30,-2.8000000000000003,0,87.85000000000001
2022,1,19,2,30,-2.9000000000000004,0,87.64
2022,1,19,3,30,-2.8000000000000003,0,86.84
2022,1,19,4,30,-2.8000000000000003,0,86.52
2022,1,19,5,30,-3,0,87.81
2022,1,19,6,30,-3.1,0,89.22
2022,1,19,7,30,-2.9000000000000004,0,88.98
2022,1,19,8,30,-2.6,0,88.87
2022,1,19,9,30,-2,0,87.4
2022,1,19,10,30,-1.3,0,86.60000000000001
2022,1,19,11,30,-0.6000000000000001,0,85.66
2022,1,19,12,30,0.30000000000000004,9,83.97
2022,1,19,13,30,1.6,95,81.60000000000001
2022,1,19,14,30,3.1,247,78.88
2022,1,19,15,30,4.6000000000000005,316,73.3
2022,1,19,16,30,6.1000000000000005,469,65.87
2022,1,19,17,30,7.2,485,62.6
2022,1,19,18,30,7.6000000000000005,458,62.96
2022,1,19,19,30,7,359,68.44
2022,1,19,20,30,4.9,213,81.66
2022,1,19,21,30,2.7,58,91.04
2022,1,19,22,30,2.1,0,92.21000000000001
2022,1,19,23,30,2.7,0,89.71000000000001
2022,1,20,0,30,3.1,0,89.38
2022,1,20,1,30,3.2,0,90.25
2022,1,20,2,30,3.1,0,92.08
2022,1,20,3,30,2.7,0,95.22
2022,1,20,4,30,2.1,0,97.91
2022,1,20,5,30,2,0,97.60000000000001
2022,1,20,6,30,2.1,0,98.61
2022,1,20,7,30,1.9000000000000001,0,100
2022,1,20,8,30,1.8,0,100
2022,1,20,9,30,1.9000000000000001,0,99.49000000000001
2022,1,20,10,30,1.7000000000000002,0,99.84
2022,1,20,11,30,1.3,0,98.60000000000001
2022,1,20,12,30,0.9,3,96.47
2022,1,20,13,30,0.6000000000000001,9,92.68
2022,1,20,14,30,0.5,36,87.82000000000001
2022,1,20,15,30,0.30000000000000004,117,84.44
2022,1,20,16,30,0.30000000000000004,175,79.77
2022,1,20,17,30,0.5,155,74.79
2022,1,20,18,30,0.7000000000000001,133,70.38
2022,1,20,19,30,0.4,131,68.99
2022,1,20,20,30,-0.30000000000000004,64,71.17
2022,1,20,21,30,-1.4000000000000001,40,74.54
2022,1,20,22,30,-2.5,0,74.05
2022,1,20,23,30,-3.7,0,74.02
2022,1,21,0,30,-4.800000000000001,0,73.12
2022,1,21,1,30,-5.5,0,71.61
2022,1,21,2,30,-6,0,70.62
