Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1390795,-,b'Idaho',b'United States',43.6,-111.11,0,1896,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,-14.700000000000001,79.24
2022,1,1,1,0,0,-16,79.15
2022,1,1,2,0,0,-16.7,79.06
2022,1,1,3,0,0,-17,79.42
2022,1,1,4,0,0,-16.900000000000002,79.38
2022,1,1,5,0,0,-16.900000000000002,79.49
2022,1,1,6,0,0,-17.3,80.36
2022,1,1,7,0,0,-17.7,80.21000000000001
2022,1,1,8,0,0,-18.1,79.96000000000001
2022,1,1,9,0,0,-18.5,79.9
2022,1,1,10,0,0,-19.1,79.77
2022,1,1,11,0,0,-20.1,79.16
2022,1,1,12,0,0,-21.200000000000003,77.32000000000001
2022,1,1,13,0,0,-22.700000000000003,76.59
2022,1,1,14,0,0,-24.400000000000002,76.57000000000001
2022,1,1,15,0,0,-25.200000000000003,74.94
2022,1,1,16,0,48,-23.8,70.89
2022,1,1,17,0,225,-19.8,71
2022,1,1,18,0,188,-16.7,71.57000000000001
2022,1,1,19,0,422,-15,71.79
2022,1,1,20,0,286,-14.200000000000001,72.11
2022,1,1,21,0,98,-14,72.85000000000001
2022,1,1,22,0,47,-14.600000000000001,74.45
2022,1,1,23,0,42,-17.7,73.55
2022,1,2,0,0,0,-20.700000000000003,74.77
2022,1,2,1,0,0,-22.200000000000003,76.9
2022,1,2,2,0,0,-23.1,75.42
2022,1,2,3,0,0,-22.6,73.17
2022,1,2,4,0,0,-21.900000000000002,72.5
2022,1,2,5,0,0,-21.5,72.15
2022,1,2,6,0,0,-21.5,71.77
2022,1,2,7,0,0,-21.700000000000003,71.84
2022,1,2,8,0,0,-21.700000000000003,71.04
2022,1,2,9,0,0,-22,71.85000000000001
2022,1,2,10,0,0,-22.6,71.28
2022,1,2,11,0,0,-23.3,70.11
2022,1,2,12,0,0,-23.5,67.36
2022,1,2,13,0,0,-23.5,66.28
2022,1,2,14,0,0,-23.3,65.6
2022,1,2,15,0,0,-22.8,65.33
2022,1,2,16,0,119,-19.200000000000003,67.1
2022,1,2,17,0,235,-14.700000000000001,70.33
2022,1,2,18,0,365,-12.100000000000001,74.27
2022,1,2,19,0,398,-10.100000000000001,75.2
2022,1,2,20,0,324,-8.8,76.42
2022,1,2,21,0,342,-8.1,78.01
2022,1,2,22,0,215,-8,80.26
2022,1,2,23,0,49,-9.4,79.2
2022,1,3,0,0,0,-11.3,77.84
2022,1,3,1,0,0,-12.200000000000001,77.58
2022,1,3,2,0,0,-12.5,77.07000000000001
2022,1,3,3,0,0,-12.600000000000001,75.99
2022,1,3,4,0,0,-14.100000000000001,74.54
2022,1,3,5,0,0,-16.400000000000002,72.17
2022,1,3,6,0,0,-17.7,70.29
2022,1,3,7,0,0,-18.2,68.56
2022,1,3,8,0,0,-18.5,68.23
2022,1,3,9,0,0,-18.400000000000002,68.48
2022,1,3,10,0,0,-17.7,68.29
2022,1,3,11,0,0,-17.3,68.7
2022,1,3,12,0,0,-17,69.10000000000001
2022,1,3,13,0,0,-16.7,68.92
2022,1,3,14,0,0,-16.400000000000002,70.03
2022,1,3,15,0,0,-15.4,71.88
2022,1,3,16,0,129,-12,74.98
2022,1,3,17,0,277,-8.200000000000001,76.69
2022,1,3,18,0,176,-5.800000000000001,76.93
2022,1,3,19,0,441,-4.4,78.48
2022,1,3,20,0,411,-3.9000000000000004,79.68
2022,1,3,21,0,290,-4,80.62
2022,1,3,22,0,245,-4.6000000000000005,81.08
2022,1,3,23,0,44,-5.7,80.44
2022,1,4,0,0,0,-6.7,78.16
2022,1,4,1,0,0,-7,77.57000000000001
2022,1,4,2,0,0,-7.6000000000000005,77.88
2022,1,4,3,0,0,-7,76.23
2022,1,4,4,0,0,-5.800000000000001,78.53
2022,1,4,5,0,0,-5.1000000000000005,81.62
2022,1,4,6,0,0,-4.7,82.76
2022,1,4,7,0,0,-4.6000000000000005,83.75
2022,1,4,8,0,0,-4.4,84.55
2022,1,4,9,0,0,-3.9000000000000004,85.77
2022,1,4,10,0,0,-3.5,86.68
2022,1,4,11,0,0,-3.1,86.8
2022,1,4,12,0,0,-2.9000000000000004,87.61
2022,1,4,13,0,0,-3.2,87.27
2022,1,4,14,0,0,-4.1000000000000005,86.35000000000001
2022,1,4,15,0,0,-5,85.44
2022,1,4,16,0,88,-5.300000000000001,85.12
2022,1,4,17,0,219,-5.300000000000001,84.18
2022,1,4,18,0,306,-5.300000000000001,83.74
2022,1,4,19,0,421,-5.2,83.52
2022,1,4,20,0,146,-5.2,82.78
2022,1,4,21,0,351,-5.5,83.55
2022,1,4,22,0,265,-6,83.93
2022,1,4,23,0,50,-6.7,83.71000000000001
2022,1,5,0,0,0,-7.5,83.42
2022,1,5,1,0,0,-7.9,83.37
2022,1,5,2,0,0,-8,82.92
2022,1,5,3,0,0,-8,83.23
2022,1,5,4,0,0,-7.800000000000001,83.39
2022,1,5,5,0,0,-7.6000000000000005,83.27
2022,1,5,6,0,0,-7.7,83.12
2022,1,5,7,0,0,-8.200000000000001,82.8
2022,1,5,8,0,0,-8.4,82.17
