Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,865628,-,b'Nevada',b'United States',40.98,-117.73,0,1317,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,64,-5.9,75.31
2022,1,1,1,0,0,-7.300000000000001,74
2022,1,1,2,0,0,-8.200000000000001,74.48
2022,1,1,3,0,0,-9.1,76.08
2022,1,1,4,0,0,-10.100000000000001,78.23
2022,1,1,5,0,0,-11.3,81.15
2022,1,1,6,0,0,-12.4,84.75
2022,1,1,7,0,0,-13.5,88.3
2022,1,1,8,0,0,-14.200000000000001,89.4
2022,1,1,9,0,0,-14.100000000000001,87.13
2022,1,1,10,0,0,-14.100000000000001,85.48
2022,1,1,11,0,0,-14.4,84.12
2022,1,1,12,0,0,-15,83.06
2022,1,1,13,0,0,-15.700000000000001,82.48
2022,1,1,14,0,0,-16.900000000000002,81.91
2022,1,1,15,0,0,-18.1,81.10000000000001
2022,1,1,16,0,95,-17.5,78.54
2022,1,1,17,0,254,-15.600000000000001,77.66
2022,1,1,18,0,387,-13.4,77.52
2022,1,1,19,0,471,-10.9,77.06
2022,1,1,20,0,490,-8.5,72.86
2022,1,1,21,0,454,-7.4,70.15
2022,1,1,22,0,362,-7.2,69.86
2022,1,1,23,0,221,-8.200000000000001,74.7
2022,1,2,0,0,65,-11.200000000000001,73.76
2022,1,2,1,0,0,-13.8,76.37
2022,1,2,2,0,0,-15.3,78.8
2022,1,2,3,0,0,-15.9,79.67
2022,1,2,4,0,0,-16.1,78.95
2022,1,2,5,0,0,-16.5,78.21000000000001
2022,1,2,6,0,0,-17.1,76.87
2022,1,2,7,0,0,-17.7,75.03
2022,1,2,8,0,0,-18.2,73.07000000000001
2022,1,2,9,0,0,-18.7,71.54
2022,1,2,10,0,0,-18.900000000000002,69.62
2022,1,2,11,0,0,-19,68.38
2022,1,2,12,0,0,-18.8,66.87
2022,1,2,13,0,0,-18.400000000000002,65.66
2022,1,2,14,0,0,-18.2,64.29
2022,1,2,15,0,0,-18.2,63.06
2022,1,2,16,0,43,-16.2,63.6
2022,1,2,17,0,216,-12.200000000000001,63.7
2022,1,2,18,0,300,-10,68.08
2022,1,2,19,0,349,-8,74.11
2022,1,2,20,0,467,-5.9,75.57000000000001
2022,1,2,21,0,453,-4.4,74.91
2022,1,2,22,0,305,-3.7,75.73
2022,1,2,23,0,76,-4.1000000000000005,77.75
2022,1,3,0,0,24,-5.6000000000000005,76.19
2022,1,3,1,0,0,-6.5,74.67
2022,1,3,2,0,0,-7.2,74.26
2022,1,3,3,0,0,-7.800000000000001,73.68
2022,1,3,4,0,0,-8.4,72.97
2022,1,3,5,0,0,-8.700000000000001,70.79
2022,1,3,6,0,0,-8.4,66.25
2022,1,3,7,0,0,-8.1,61.480000000000004
2022,1,3,8,0,0,-8.1,58.03
2022,1,3,9,0,0,-8.3,56.22
2022,1,3,10,0,0,-8.4,55.09
2022,1,3,11,0,0,-8.4,54.660000000000004
2022,1,3,12,0,0,-8.3,54.53
2022,1,3,13,0,0,-8.3,54.050000000000004
2022,1,3,14,0,0,-8.6,54.11
2022,1,3,15,0,0,-8.5,54.47
2022,1,3,16,0,56,-5.9,57.38
2022,1,3,17,0,217,-1.3,62.32
2022,1,3,18,0,156,2.1,64.48
2022,1,3,19,0,359,3,65.43
2022,1,3,20,0,185,3.4000000000000004,65.04
2022,1,3,21,0,158,3.6,64.68
2022,1,3,22,0,330,3.5,66.12
2022,1,3,23,0,224,3.4000000000000004,67.86
2022,1,4,0,0,68,2.8000000000000003,71.17
2022,1,4,1,0,0,1.6,73.8
2022,1,4,2,0,0,1.2000000000000002,75.95
2022,1,4,3,0,0,1.3,77.55
2022,1,4,4,0,0,1.3,79.63
2022,1,4,5,0,0,1.4000000000000001,81.36
2022,1,4,6,0,0,1.6,83.12
2022,1,4,7,0,0,2,84.41
2022,1,4,8,0,0,2.4000000000000004,84.85000000000001
2022,1,4,9,0,0,2.5,85.42
2022,1,4,10,0,0,2.6,84.95
2022,1,4,11,0,0,2.6,84.77
2022,1,4,12,0,0,2.5,84.94
2022,1,4,13,0,0,2.4000000000000004,84.76
2022,1,4,14,0,0,2.2,85.03
2022,1,4,15,0,0,2,85.41
2022,1,4,16,0,35,2.1,85.72
2022,1,4,17,0,58,2.3000000000000003,85.92
2022,1,4,18,0,100,2.4000000000000004,86
2022,1,4,19,0,381,2.3000000000000003,87.22
2022,1,4,20,0,145,2.2,88.36
2022,1,4,21,0,143,2.3000000000000003,87.94
2022,1,4,22,0,84,2.5,86.72
2022,1,4,23,0,89,2.4000000000000004,87
2022,1,5,0,0,27,2,87.54
2022,1,5,1,0,0,1.7000000000000002,87.75
2022,1,5,2,0,0,1.7000000000000002,86.99
2022,1,5,3,0,0,1.6,87.25
2022,1,5,4,0,0,1.5,87.63
2022,1,5,5,0,0,1.8,86.67
2022,1,5,6,0,0,1.9000000000000001,86.62
2022,1,5,7,0,0,2.4000000000000004,85.78
2022,1,5,8,0,0,2.4000000000000004,86.89
2022,1,5,9,0,0,2.4000000000000004,87.2
2022,1,5,10,0,0,2.4000000000000004,87.69
2022,1,5,11,0,0,2.5,87.58
2022,1,5,12,0,0,2.6,87.74
2022,1,5,13,0,0,2.8000000000000003,87.63
2022,1,5,14,0,0,2.9000000000000004,87.92
2022,1,5,15,0,0,2.9000000000000004,88.60000000000001
2022,1,5,16,0,39,3.1,88.04
2022,1,5,17,0,235,3.3000000000000003,87.61
2022,1,5,18,0,221,3.5,87.38
2022,1,5,19,0,129,3.7,87.07000000000001
2022,1,5,20,0,114,3.8000000000000003,87.28
2022,1,5,21,0,348,3.9000000000000004,87.14
2022,1,5,22,0,11,3.9000000000000004,87.4
2022,1,5,23,0,67,3.5,89.29
2022,1,6,0,0,15,2.9000000000000004,92.26
2022,1,6,1,0,0,2.7,92.57000000000001
2022,1,6,2,0,0,2.5,93.08
2022,1,6,3,0,0,2.5,92.91
2022,1,6,4,0,0,2.5,93.47
2022,1,6,5,0,0,2.1,94.68
2022,1,6,6,0,0,1.5,96.5
2022,1,6,7,0,0,1.2000000000000002,97.54
2022,1,6,8,0,0,1.4000000000000001,96.79
2022,1,6,9,0,0,1.8,95.54
2022,1,6,10,0,0,2,94.99
2022,1,6,11,0,0,2,94.17
2022,1,6,12,0,0,1.8,93.58
2022,1,6,13,0,0,1.6,92.94
2022,1,6,14,0,0,1.5,93.02
2022,1,6,15,0,0,1.7000000000000002,92.59
2022,1,6,16,0,85,2.1,91.69
2022,1,6,17,0,153,2.6,90.43
2022,1,6,18,0,98,3.2,88.79
2022,1,6,19,0,439,3.8000000000000003,87.25
2022,1,6,20,0,466,4.3,86.53
2022,1,6,21,0,437,5,83.84
2022,1,6,22,0,353,5.4,82.68
2022,1,6,23,0,225,5.1000000000000005,82.43
2022,1,7,0,0,74,4.9,80.54
2022,1,7,1,0,0,5,78.14
2022,1,7,2,0,0,4.6000000000000005,78.51
2022,1,7,3,0,0,3.6,80.83
2022,1,7,4,0,0,2.6,83.24
2022,1,7,5,0,0,1.9000000000000001,84.76
2022,1,7,6,0,0,1.5,85.16
2022,1,7,7,0,0,1.4000000000000001,84.84
2022,1,7,8,0,0,1.2000000000000002,85.03
2022,1,7,9,0,0,1.3,84.76
2022,1,7,10,0,0,1.7000000000000002,83.96000000000001
2022,1,7,11,0,0,1.8,84.18
2022,1,7,12,0,0,1.1,85.96000000000001
2022,1,7,13,0,0,0.4,86.65
2022,1,7,14,0,0,-0.2,87.14
2022,1,7,15,0,0,-0.2,85.18
2022,1,7,16,0,38,2.1,79.5
2022,1,7,17,0,56,4,74.65
2022,1,7,18,0,182,4.800000000000001,70.87
2022,1,7,19,0,258,5.4,69.11
2022,1,7,20,0,375,6,67.8
2022,1,7,21,0,275,6.4,65.99
2022,1,7,22,0,98,6,66.29
2022,1,7,23,0,128,4.7,71.11
2022,1,8,0,0,75,2.3000000000000003,79.39
2022,1,8,1,0,0,1.3,83.56
2022,1,8,2,0,0,1.1,87.04
2022,1,8,3,0,0,0.7000000000000001,89.75
2022,1,8,4,0,0,-0.1,92.9
2022,1,8,5,0,0,-0.7000000000000001,94.07000000000001
2022,1,8,6,0,0,-1.5,96.51
2022,1,8,7,0,0,-2,97.74000000000001
2022,1,8,8,0,0,-2.2,98.19
2022,1,8,9,0,0,-2.2,96.34
2022,1,8,10,0,0,-2.3000000000000003,94.91
2022,1,8,11,0,0,-2.4000000000000004,92.64
2022,1,8,12,0,0,-2.6,90.99
2022,1,8,13,0,0,-2.7,90.03
2022,1,8,14,0,0,-2.9000000000000004,89.52
2022,1,8,15,0,0,-3.2,89.69
2022,1,8,16,0,90,-2.5,86.32000000000001
2022,1,8,17,0,244,-0.7000000000000001,78.39
2022,1,8,18,0,378,1.2000000000000002,69.68
2022,1,8,19,0,463,2.1,65.42
2022,1,8,20,0,491,2.6,63.9
2022,1,8,21,0,459,2.9000000000000004,61.370000000000005
2022,1,8,22,0,371,3,59.730000000000004
2022,1,8,23,0,237,2,68.55
2022,1,9,0,0,55,-0.7000000000000001,70.97
2022,1,9,1,0,0,-2,74.61
2022,1,9,2,0,0,-2.7,77.64
2022,1,9,3,0,0,-3.3000000000000003,79.69
2022,1,9,4,0,0,-3.8000000000000003,81.35000000000001
2022,1,9,5,0,0,-4.2,82.59
2022,1,9,6,0,0,-4.5,83.22
2022,1,9,7,0,0,-4.9,83.83
2022,1,9,8,0,0,-5.4,84.64
2022,1,9,9,0,0,-6,86.09
2022,1,9,10,0,0,-6.7,88.22
2022,1,9,11,0,0,-7.300000000000001,89.85000000000001
2022,1,9,12,0,0,-7.800000000000001,91.36
2022,1,9,13,0,0,-8.200000000000001,92.31
2022,1,9,14,0,0,-8.4,91.21000000000001
2022,1,9,15,0,0,-8.200000000000001,87.65
2022,1,9,16,0,94,-6.300000000000001,81.41
2022,1,9,17,0,252,-3.8000000000000003,75.09
2022,1,9,18,0,384,-0.9,67.71000000000001
2022,1,9,19,0,468,1.5,61.46
2022,1,9,20,0,501,3.2,54.730000000000004
2022,1,9,21,0,472,3.8000000000000003,52.57
2022,1,9,22,0,383,3.8000000000000003,54.03
2022,1,9,23,0,247,2,65.59
2022,1,10,0,0,87,-1.5,71.61
2022,1,10,1,0,0,-2.9000000000000004,75.56
2022,1,10,2,0,0,-3.5,78.31
2022,1,10,3,0,0,-4,80.24
2022,1,10,4,0,0,-4.5,81.82000000000001
2022,1,10,5,0,0,-5,83.59
2022,1,10,6,0,0,-5.4,84.21000000000001
2022,1,10,7,0,0,-5.9,85.08
2022,1,10,8,0,0,-6.300000000000001,85.34
2022,1,10,9,0,0,-6.7,85.85000000000001
2022,1,10,10,0,0,-7.2,87.01
2022,1,10,11,0,0,-7.7,87.93
2022,1,10,12,0,0,-8,87.49
2022,1,10,13,0,0,-8.1,86.09
2022,1,10,14,0,0,-8.1,84.24
2022,1,10,15,0,0,-7.800000000000001,82.21000000000001
2022,1,10,16,0,61,-6.4,78.87
2022,1,10,17,0,202,-4.5,74.60000000000001
2022,1,10,18,0,355,-2.4000000000000004,71.06
2022,1,10,19,0,381,0,65.47
2022,1,10,20,0,368,2,57.57
2022,1,10,21,0,302,2.8000000000000003,56.1
2022,1,10,22,0,263,3,57.5
2022,1,10,23,0,101,2.2,64.3
2022,1,11,0,0,43,0.8,60.26
2022,1,11,1,0,0,-0.4,64.09
2022,1,11,2,0,0,-1.6,69.43
2022,1,11,3,0,0,-2.5,71.92
2022,1,11,4,0,0,-2.7,70.72
2022,1,11,5,0,0,-3.1,70.41
2022,1,11,6,0,0,-4.2,72.63
2022,1,11,7,0,0,-4.3,70.28
2022,1,11,8,0,0,-4.2,67.45
2022,1,11,9,0,0,-4.1000000000000005,65.38
2022,1,11,10,0,0,-4.5,67.14
2022,1,11,11,0,0,-5.1000000000000005,69.41
2022,1,11,12,0,0,-5.5,69.14
2022,1,11,13,0,0,-5.7,68.61
2022,1,11,14,0,0,-6.1000000000000005,69.52
2022,1,11,15,0,0,-6,69.9
2022,1,11,16,0,92,-3.7,64.42
2022,1,11,17,0,184,-2,61.29
2022,1,11,18,0,299,-0.5,61.02
2022,1,11,19,0,265,1.7000000000000002,58.5
2022,1,11,20,0,239,4.2,48.19
2022,1,11,21,0,319,5.2,45.89
2022,1,11,22,0,366,5.2,52.06
2022,1,11,23,0,173,4.4,52.52
2022,1,12,0,0,51,3.2,50.92
2022,1,12,1,0,0,2.1,52.02
2022,1,12,2,0,0,1.5,53.68
2022,1,12,3,0,0,0.8,56.38
2022,1,12,4,0,0,0.1,59.27
2022,1,12,5,0,0,-0.4,60.72
2022,1,12,6,0,0,-0.7000000000000001,60.15
2022,1,12,7,0,0,-0.8,59.02
2022,1,12,8,0,0,-0.8,57.36
2022,1,12,9,0,0,-0.7000000000000001,55.300000000000004
2022,1,12,10,0,0,-0.9,55.15
2022,1,12,11,0,0,-1.2000000000000002,55.86
2022,1,12,12,0,0,-1.9000000000000001,57.95
2022,1,12,13,0,0,-2.3000000000000003,59.08
2022,1,12,14,0,0,-2.3000000000000003,58.53
2022,1,12,15,0,0,-2,58.660000000000004
2022,1,12,16,0,44,0.2,61.910000000000004
2022,1,12,17,0,166,2.6,52.480000000000004
2022,1,12,18,0,335,4.4,52.65
2022,1,12,19,0,382,5.9,53.02
2022,1,12,20,0,494,7.4,49.04
2022,1,12,21,0,464,8.200000000000001,49.08
2022,1,12,22,0,378,7.9,57
2022,1,12,23,0,246,6.2,61.02
2022,1,13,0,0,90,3.7,62.910000000000004
2022,1,13,1,0,0,2,69.28
2022,1,13,2,0,0,1.5,73.01
2022,1,13,3,0,0,1.3,75.26
2022,1,13,4,0,0,1.2000000000000002,75.82000000000001
2022,1,13,5,0,0,1.1,75.89
2022,1,13,6,0,0,1.1,75.26
2022,1,13,7,0,0,1.2000000000000002,74.37
2022,1,13,8,0,0,1.5,73.32000000000001
2022,1,13,9,0,0,1.5,73.10000000000001
2022,1,13,10,0,0,1.4000000000000001,73.12
2022,1,13,11,0,0,1.2000000000000002,73.57000000000001
2022,1,13,12,0,0,0.9,73.22
2022,1,13,13,0,0,0.6000000000000001,72.93
2022,1,13,14,0,0,0.30000000000000004,72.58
2022,1,13,15,0,0,0.9,71.35000000000001
2022,1,13,16,0,43,2.5,71.43
2022,1,13,17,0,131,4.2,66.96000000000001
2022,1,13,18,0,380,5.7,57.42
2022,1,13,19,0,487,7.4,52.31
