Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,4635371,-,b'Pennsylvania',b'United States',39.96,-76.73,0,121,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity
2022,1,1,0,0,0,8.5,100
2022,1,1,1,0,0,8.3,100
2022,1,1,2,0,0,8.3,99.11
2022,1,1,3,0,0,8.200000000000001,99.54
2022,1,1,4,0,0,8.4,98.71000000000001
2022,1,1,5,0,0,8.4,99.26
2022,1,1,6,0,0,8.4,99.42
2022,1,1,7,0,0,8.5,99.55
2022,1,1,8,0,0,8.4,100
2022,1,1,9,0,0,8.700000000000001,99.4
2022,1,1,10,0,0,8.8,99.56
2022,1,1,11,0,0,8.700000000000001,100
2022,1,1,12,0,0,8.4,100
2022,1,1,13,0,7,9.3,99.99000000000001
2022,1,1,14,0,13,10.100000000000001,98.3
2022,1,1,15,0,19,10.8,97.43
2022,1,1,16,0,28,11.9,95.05
2022,1,1,17,0,14,12.4,94.65
2022,1,1,18,0,19,12.5,96.13
2022,1,1,19,0,150,12.600000000000001,96.07000000000001
2022,1,1,20,0,4,11.8,98.32000000000001
2022,1,1,21,0,12,11.200000000000001,99.71000000000001
2022,1,1,22,0,0,10.700000000000001,100
2022,1,1,23,0,0,10.3,100
2022,1,2,0,0,0,10.200000000000001,100
2022,1,2,1,0,0,10.200000000000001,100
2022,1,2,2,0,0,10.3,100
2022,1,2,3,0,0,10.5,99.96000000000001
2022,1,2,4,0,0,10.100000000000001,100
2022,1,2,5,0,0,9.8,99.53
2022,1,2,6,0,0,9.4,99.31
2022,1,2,7,0,0,8.9,99.67
2022,1,2,8,0,0,8.8,99.26
2022,1,2,9,0,0,8.9,98.16
2022,1,2,10,0,0,8.700000000000001,98.69
2022,1,2,11,0,0,8.3,99.68
2022,1,2,12,0,0,8.200000000000001,98.64
2022,1,2,13,0,19,8.8,97.12
2022,1,2,14,0,47,11,91.38
2022,1,2,15,0,183,12.4,88.2
2022,1,2,16,0,132,13.700000000000001,83.68
2022,1,2,17,0,346,13.9,77.89
2022,1,2,18,0,223,13.3,74.53
2022,1,2,19,0,195,12.5,73
2022,1,2,20,0,57,11.100000000000001,74.05
2022,1,2,21,0,19,9.600000000000001,74.14
2022,1,2,22,0,0,8.1,73.57000000000001
2022,1,2,23,0,0,6.7,72.39
2022,1,3,0,0,0,5.4,71.05
2022,1,3,1,0,0,4.3,71.23
2022,1,3,2,0,0,3.5,71.38
2022,1,3,3,0,0,2.7,71.53
2022,1,3,4,0,0,1.7000000000000002,71.25
2022,1,3,5,0,0,0.8,72.45
2022,1,3,6,0,0,0.2,73.64
2022,1,3,7,0,0,-0.1,75.34
2022,1,3,8,0,0,-0.1,75.52
2022,1,3,9,0,0,-0.5,76.62
2022,1,3,10,0,0,-0.9,77.29
2022,1,3,11,0,0,-1.5,77.43
2022,1,3,12,0,0,-2,77.8
2022,1,3,13,0,7,-2.3000000000000003,76.51
2022,1,3,14,0,15,-2.4000000000000004,74.31
2022,1,3,15,0,10,-2.5,71.4
2022,1,3,16,0,8,-2.4000000000000004,67.48
2022,1,3,17,0,9,-2.3000000000000003,63.64
2022,1,3,18,0,43,-2.3000000000000003,60.910000000000004
2022,1,3,19,0,42,-2.2,58.97
2022,1,3,20,0,76,-2.1,58.35
2022,1,3,21,0,85,-2.8000000000000003,62.440000000000005
2022,1,3,22,0,0,-3.8000000000000003,68.31
2022,1,3,23,0,0,-4,70.24
2022,1,4,0,0,0,-4.2,72.23
2022,1,4,1,0,0,-4.4,73.99
2022,1,4,2,0,0,-4.6000000000000005,75.78
2022,1,4,3,0,0,-4.9,78.04
2022,1,4,4,0,0,-5.1000000000000005,79.83
2022,1,4,5,0,0,-5.2,81.06
2022,1,4,6,0,0,-5.2,81.28
2022,1,4,7,0,0,-5.2,81.85000000000001
2022,1,4,8,0,0,-5.2,83.11
2022,1,4,9,0,0,-5.300000000000001,85.24
2022,1,4,10,0,0,-5.300000000000001,86.07000000000001
2022,1,4,11,0,0,-5,84.16
2022,1,4,12,0,0,-4.9,84.68
2022,1,4,13,0,58,-3.4000000000000004,73.69
2022,1,4,14,0,211,-1.7000000000000002,63.01
2022,1,4,15,0,350,-0.4,59.29
2022,1,4,16,0,442,0.7000000000000001,57.35
2022,1,4,17,0,484,1.5,56.81
2022,1,4,18,0,466,1.9000000000000001,57.370000000000005
2022,1,4,19,0,391,1.8,59.42
2022,1,4,20,0,268,1,64.89
2022,1,4,21,0,115,-1.5,79.77
2022,1,4,22,0,0,-2.9000000000000004,85.24
2022,1,4,23,0,0,-3,85.41
2022,1,5,0,0,0,-3.3000000000000003,87.26
2022,1,5,1,0,0,-3.6,89.74
2022,1,5,2,0,0,-3.8000000000000003,92.09
2022,1,5,3,0,0,-3.8000000000000003,93.67
2022,1,5,4,0,0,-3.6,93.99
2022,1,5,5,0,0,-3.3000000000000003,93.28
2022,1,5,6,0,0,-3,92.15
2022,1,5,7,0,0,-2.8000000000000003,92.46000000000001
2022,1,5,8,0,0,-2.5,92.43
2022,1,5,9,0,0,-2.2,92.26
2022,1,5,10,0,0,-2.1,93.31
2022,1,5,11,0,0,-1.8,92.54
2022,1,5,12,0,0,-1.8,92.28
2022,1,5,13,0,30,-1.1,87.45
2022,1,5,14,0,124,0.2,80.54
2022,1,5,15,0,154,1.7000000000000002,73.88
2022,1,5,16,0,219,2.6,72.73
2022,1,5,17,0,239,3,74.41
2022,1,5,18,0,197,3.1,77.18
2022,1,5,19,0,170,2.9000000000000004,80.82000000000001
2022,1,5,20,0,72,2.2,86.65
2022,1,5,21,0,76,1,93.46000000000001
2022,1,5,22,0,0,-0.4,100
2022,1,5,23,0,0,-0.8,100
2022,1,6,0,0,0,-0.30000000000000004,100
2022,1,6,1,0,0,0.2,97.14
2022,1,6,2,0,0,0.4,96.99000000000001
2022,1,6,3,0,0,0.7000000000000001,96.87
2022,1,6,4,0,0,0.9,97.73
2022,1,6,5,0,0,0.7000000000000001,99.09
2022,1,6,6,0,0,-0.2,100
2022,1,6,7,0,0,-0.9,99.7
2022,1,6,8,0,0,-1.4000000000000001,91.79
2022,1,6,9,0,0,-1.7000000000000002,84.29
2022,1,6,10,0,0,-1.7000000000000002,77.88
2022,1,6,11,0,0,-1.9000000000000001,74.14
2022,1,6,12,0,0,-2.1,71.28
2022,1,6,13,0,28,-1.2000000000000002,64.59
2022,1,6,14,0,91,-0.2,56.78
2022,1,6,15,0,101,0.5,52.6
2022,1,6,16,0,167,1,50.93
2022,1,6,17,0,289,1,51.71
2022,1,6,18,0,342,1.4000000000000001,50.93
2022,1,6,19,0,286,1.8,50.88
2022,1,6,20,0,89,0.9,62.72
2022,1,6,21,0,23,-0.6000000000000001,77.86
2022,1,6,22,0,0,-0.8,76.61
2022,1,6,23,0,0,-0.5,73.55
2022,1,7,0,0,0,-0.9,79.85000000000001
2022,1,7,1,0,0,-1.1,82.16
2022,1,7,2,0,0,-1.3,81.69
2022,1,7,3,0,0,-1.6,84.22
