Location,Latitude,Longitude,Facility Type,Facility Size,Technology Level,Crop,Evapotranspiration (L/year),Annual Water Consumption (L/year),Annual Energy Consumption (MWh/year),Annual CO2 Emissions (kg CO2-eq/year)
"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,Low-tech,Roses,328784.9781,328784.9781,0,0
"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,Low-tech,Lettuce,427281.4775,427281.4775,0,0
"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,Low-tech,Spinach,430438.5151,430438.5151,0,0
"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,Low-tech,Broccoli,427586.8572,427586.8572,0,0
"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,Low-tech,Basil,391051.4052,391051.4052,0,0
"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,Low-tech,Tomatoes,564354.5342,564354.5342,0,0
"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,Low-tech,Bell peppers,495797.0352,495797.0352,0,0
"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,Low-tech,Zucchini,407593.772,407593.772,0,0
"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,Low-tech,Strawberries,362182.8994,362182.8994,0,0
"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,High-tech,Roses,334670.9517,334670.9517,36.18648,14210.4307
"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,High-tech,Lettuce,433797.8085,433797.8085,36.18648,14210.4307
"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,High-tech,Spinach,437166.0826,437166.0826,36.18648,14210.4307
"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,High-tech,Broccoli,433238.6664,433238.6664,36.18648,14210.4307
"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,High-tech,Basil,398050.6657,398050.6657,36.18648,14210.4307
"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,High-tech,Tomatoes,576517.5952,576517.5952,36.18648,14210.4307
"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,High-tech,Bell peppers,505564.1966,505564.1966,36.18648,14210.4307
"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,High-tech,Zucchini,413895.9272,413895.9272,36.18648,14210.4307
"Miami, Florida",25.7741728,-80.19362,Hoop House,Small,High-tech,Strawberries,367583.9996,367583.9996,36.18648,14210.4307
"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,Low-tech,Roses,575373.7116,575373.7116,0,0
"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,Low-tech,Lettuce,747742.5857,747742.5857,0,0
"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,Low-tech,Spinach,753267.4014,753267.4014,0,0
"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,Low-tech,Broccoli,748277.0001,748277.0001,0,0
"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,Low-tech,Basil,684339.9591,684339.9591,0,0
"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,Low-tech,Tomatoes,987620.4348,987620.4348,0,0
"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,Low-tech,Bell peppers,867644.8117,867644.8117,0,0
"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,Low-tech,Zucchini,713289.101,713289.101,0,0
"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,Low-tech,Strawberries,633820.074,633820.074,0,0
"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,High-tech,Roses,585674.1654,585674.1654,70.14,27543.978
"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,High-tech,Lettuce,759146.1648,759146.1648,70.14,27543.978
"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,High-tech,Spinach,765040.6445,765040.6445,70.14,27543.978
"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,High-tech,Broccoli,758167.6662,758167.6662,70.14,27543.978
"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,High-tech,Basil,696588.665,696588.665,70.14,27543.978
"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,High-tech,Tomatoes,1008905.792,1008905.792,70.14,27543.978
"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,High-tech,Bell peppers,884737.344,884737.344,70.14,27543.978
"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,High-tech,Zucchini,724317.8727,724317.8727,70.14,27543.978
"Miami, Florida",25.7741728,-80.19362,Hoop House,Medium,High-tech,Strawberries,643271.9993,643271.9993,70.14,27543.978
"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,Low-tech,Roses,821962.4452,821962.4452,0,0
"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,Low-tech,Lettuce,1068203.694,1068203.694,0,0
"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,Low-tech,Spinach,1076096.288,1076096.288,0,0
"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,Low-tech,Broccoli,1068967.143,1068967.143,0,0
"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,Low-tech,Basil,977628.513,977628.513,0,0
"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,Low-tech,Tomatoes,1410886.335,1410886.335,0,0
"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,Low-tech,Bell peppers,1239492.588,1239492.588,0,0
"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,Low-tech,Zucchini,1018984.43,1018984.43,0,0
"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,Low-tech,Strawberries,905457.2486,905457.2486,0,0
"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,High-tech,Roses,836677.3792,836677.3792,43.66296,17146.44439
"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,High-tech,Lettuce,1084494.521,1084494.521,43.66296,17146.44439
"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,High-tech,Spinach,1092915.206,1092915.206,43.66296,17146.44439
"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,High-tech,Broccoli,1083096.666,1083096.666,43.66296,17146.44439
"Miami, Florida",25.7741728,-80.19362,Hoop House,Large,High-tech,Basil,995126.6643,995126.6643,43.66296,17146.44439
